🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
transformer         35.34%      1.09    31.43%   289.35%
eata                33.60%      0.98    43.18%   218.24%
buy_and_hold        32.82%      1.14    43.80%  6907.74%
macd                21.93%      1.20    34.90%  1846.30%
gp                  13.40%      0.55    36.83%    75.93%
ppo                 10.20%      0.59    26.85%    54.71%
lstm                 2.06%      0.20    39.27%     9.59%
lightgbm           -33.31%     -1.08    84.23%   -83.66%
arima              -35.32%     -1.18    86.17%   -85.88%
