🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
eata                34.01%      1.27    20.30%   222.09%
buy_and_hold        13.01%      0.67    30.64%   524.45%
transformer         10.03%      0.52    27.26%    53.63%
macd                 7.28%      0.57    21.05%   186.34%
lstm                 1.69%      0.20    23.63%     7.83%
ppo                  0.22%      0.11    45.81%     1.00%
lightgbm            -1.44%      0.06    50.32%    -6.30%
gp                 -21.68%     -0.92    69.84%   -66.64%
arima              -30.91%     -1.45    81.77%   -81.00%
