🏆 Baseline策略对比报告
================================================================================

📊 成功策略 (9/9):
--------------------------------------------------------------------------------
策略              年化收益         夏普比率       最大回撤       总收益       
--------------------------------------------------------------------------------
eata                32.30%      1.39    23.52%   205.98%
buy_and_hold         9.01%      0.57    28.64%   264.07%
gp                   8.95%      0.50    23.77%    46.98%
transformer          8.95%      0.50    23.77%    46.98%
ppo                  5.68%      0.45    25.52%    28.15%
macd                 4.47%      0.45    30.18%    92.38%
lstm                 0.18%      0.47     0.00%     0.80%
lightgbm            -4.04%     -0.08    44.11%   -16.85%
arima              -16.67%     -0.73    57.72%   -55.93%
