日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2018-12-10,0,98.0,102.0,98.0,102.0
2018-12-11,0,98.0,102.0,98.0,102.0
2018-12-12,1,98.74763987957765,102.7781557930298,98.74763987957765,102.7781557930298
2018-12-13,-1,97.68368609489441,101.67077532325744,97.68368609489441,101.67077532325744
2018-12-14,1,100.82955490693665,104.94504694395447,100.82955490693665,104.94504694395447
2018-12-17,1,101.71522506570435,105.86686690512084,101.71522506570435,105.86686690512084
2018-12-18,-1,100.4902315675354,104.59187367233278,100.4902315675354,104.59187367233278
2018-12-19,1,103.46932147080993,107.6925590818634,103.46932147080993,107.6925590818634
2018-12-20,1,105.80427884672547,110.12282084046937,105.80427884672547,110.12282084046937
2018-12-21,1,109.31247165693664,113.77420519395447,109.31247165693664,113.77420519395447
2018-12-24,1,111.55540884672546,116.10869084046935,111.55540884672546,116.10869084046935
2018-12-26,-1,105.60874253285219,109.91930345256044,105.60874253285219,109.91930345256044
2018-12-27,1,106.19536025000001,110.52986475000002,106.19536025000001,110.52986475000002
2018-12-28,0,106.14935015693665,110.48197669395448,106.14935015693665,110.48197669395448
2018-12-31,-1,105.28092391059874,109.5781044783783,105.28092391059874,109.5781044783783
2019-01-02,0,105.17740778285219,109.47036320256043,105.17740778285219,109.47036320256043
2019-01-03,1,114.22393281570436,118.88613415512086,114.22393281570436,118.88613415512086
2019-01-04,-1,110.73300146897888,115.2527158146515,110.73300146897888,115.2527158146515
2019-01-07,0,110.92278981204224,115.45025062069702,110.92278981204224,115.45025062069702
2019-01-08,-1,109.30096693978882,113.7622308965149,109.30096693978882,113.7622308965149
2019-01-09,-1,107.82867906387328,112.22984963790894,107.82867906387328,112.22984963790894
2019-01-10,0,107.54687053468324,111.93653871977234,107.54687053468324,111.93653871977234
2019-01-11,1,108.41529678102111,112.8404109353485,108.41529678102111,112.8404109353485
2019-01-14,1,109.73230168978883,114.2111711465149,109.73230168978883,114.2111711465149
2019-01-15,-1,107.96670056753538,112.37350467233276,107.96670056753538,112.37350467233276
2019-01-16,-1,106.89124206570435,111.25414990512087,106.89124206570435,111.25414990512087
2019-01-17,1,108.47210341352844,112.89953620591736,108.47210341352844,112.89953620591736
2019-01-18,1,109.14021720602416,113.5949199491272,109.14021720602416,113.5949199491272
2019-01-22,-1,106.69048079261779,111.04519429435729,106.69048079261779,111.04519429435729
2019-01-23,0,107.12196453443909,111.49428961747742,107.12196453443909,111.49428961747742
2019-01-24,-1,106.27290834489442,110.61057807325746,106.27290834489442,110.61057807325746
2019-01-25,1,109.79439846580505,114.27580248481749,109.79439846580505,114.27580248481749
2019-01-28,-1,108.7783217926178,113.2182532943573,108.7783217926178,113.2182532943573
2019-01-29,-1,107.65088043148803,112.04479391848754,107.65088043148803,112.04479391848754
2019-01-30,1,115.00704531875611,119.70121043380739,115.00704531875611,119.70121043380739
2019-01-31,1,115.83522394784545,120.56319227224732,115.83522394784545,120.56319227224732
2019-02-01,0,115.89090098216248,120.62114183857729,115.89090098216248,120.62114183857729
2019-02-04,1,119.1827273187561,124.04732843380737,119.1827273187561,124.04732843380737
2019-02-05,1,121.22184693148803,126.16967741848755,121.22184693148803,126.16967741848755
2019-02-06,0,121.26361267170715,126.21314788279723,121.26361267170715,126.21314788279723
2019-02-07,-1,118.96698544784545,123.82278077224731,118.96698544784545,123.82278077224731
2019-02-08,0,118.59813438739012,123.43887456646728,118.59813438739012,123.43887456646728
2019-02-11,-1,117.91609868148802,122.72900066848754,117.91609868148802,122.72900066848754
2019-02-12,1,118.93218597398376,123.78656091169739,118.93218597398376,123.78656091169739
2019-02-13,0,118.43805893148804,123.27226541848755,118.43805893148804,123.27226541848755
2019-02-14,0,118.86955329261781,123.72137179435731,118.86955329261781,123.72137179435731
2019-02-15,0,118.60509003443909,123.4461141174774,118.60509003443909,123.4461141174774
2019-02-19,0,118.96001918148805,123.81553016848757,118.96001918148805,123.81553016848757
2019-02-20,1,119.72556512921142,124.6123228895874,119.72556512921142,124.6123228895874
2019-02-21,-1,119.05049568966673,123.90969959536743,119.05049568966673,123.90969959536743
2019-02-22,1,120.37975700830077,125.29321647802735,120.37975700830077,125.29321647802735
2019-02-25,1,121.25664640534973,126.20589727903749,121.25664640534973,126.20589727903749
2019-02-26,0,121.32624535307312,126.27833700013733,121.32624535307312,126.27833700013733
2019-02-27,0,121.70205206057742,126.66948275692752,121.70205206057742,126.66948275692752
2019-02-28,-1,120.50502237103271,125.42359471270751,120.50502237103271,125.42359471270751
2019-03-01,1,121.7716510083008,126.74192247802735,121.7716510083008,126.74192247802735
2019-03-04,1,122.38408776647948,127.37935665490723,122.38408776647948,127.37935665490723
2019-03-05,0,122.16137962921141,127.1475583895874,122.16137962921141,127.1475583895874
2019-03-06,0,121.66725258671569,126.63326289637756,121.66725258671569,126.63326289637756
2019-03-07,1,123.07306850012208,128.09645905114746,123.07306850012208,128.09645905114746
2019-03-08,0,122.78772768148804,127.79947166848754,122.78772768148804,127.79947166848754
2019-03-11,-1,118.6190119478455,123.46060427224735,118.6190119478455,123.46060427224735
2019-03-12,-1,117.22015168148805,122.00464766848755,117.22015168148805,122.00464766848755
2019-03-13,0,116.66339195762636,121.42516305793764,116.66339195762636,121.42516305793764
2019-03-14,-1,115.25758666352844,119.96197795591736,115.25758666352844,119.96197795591736
2019-03-15,-1,113.59427375830077,118.23077472802734,113.59427375830077,118.23077472802734
2019-03-18,1,115.17688519403076,119.87798254888916,115.17688519403076,119.87798254888916
2019-03-19,-1,114.26414731406403,118.92799006157686,114.26414731406403,118.92799006157686
2019-03-20,1,115.26264511014556,119.96724286974334,115.26264511014556,119.96724286974334
2019-03-21,1,119.50777497852324,124.3856433449936,119.50777497852324,124.3856433449936
2019-03-22,-1,117.03298215126036,121.80983856559753,117.03298215126036,121.80983856559753
2019-03-25,-1,115.61793886180114,120.33703840718077,115.61793886180114,120.33703840718077
2019-03-26,-1,114.42341305909729,119.09375644926452,114.42341305909729,119.09375644926452
2019-03-27,1,115.4525413996048,120.1648900281601,115.4525413996048,120.1648900281601
2019-03-28,0,115.6056847746048,120.3242841531601,115.6056847746048,120.3242841531601
2019-03-29,1,116.35914756240845,121.1085005241394,116.35914756240845,121.1085005241394
2019-04-01,1,117.14937261180116,121.9309796571808,117.14937261180116,121.9309796571808
2019-04-02,1,118.85232619403077,123.70344154888916,118.85232619403077,123.70344154888916
2019-04-03,1,119.66705007068634,124.55141946132662,119.66705007068634,124.55141946132662
2019-04-04,0,119.87532281737518,124.76819313645171,119.87532281737518,124.76819313645171
2019-04-05,1,120.67779260683442,125.60341679486847,120.67779260683442,125.60341679486847
2019-04-08,1,122.57677419568634,127.57990783632661,122.57677419568634,127.57990783632661
2019-04-09,0,122.2092263568344,127.19735804486847,122.2092263568344,127.19735804486847
2019-04-10,1,122.8953056857529,127.911440611702,122.8953056857529,127.911440611702
2019-04-11,-1,121.87230906240845,126.84668902413941,121.87230906240845,126.84668902413941
2019-04-12,0,121.8233020607529,126.795681736702,121.8233020607529,126.795681736702
2019-04-15,0,122.04382889463807,127.0252096658478,122.04382889463807,127.0252096658478
2019-04-16,0,122.05608298183441,127.03796391986847,122.05608298183441,127.03796391986847
2019-04-17,1,124.43287115291595,129.51176385303498,124.43287115291595,129.51176385303498
2019-04-18,0,124.88004719071961,129.9771919740143,124.88004719071961,129.9771919740143
2019-04-22,0,125.29047031406402,130.40436706157683,125.29047031406402,130.40436706157683
2019-04-23,1,127.09756026963804,132.28521579084776,127.09756026963804,132.28521579084776
2019-04-24,0,126.90154161014559,132.08119636974337,126.90154161014559,132.08119636974337
2019-04-25,-1,125.74990043906402,130.88254943657685,125.74990043906402,130.88254943657685
2019-04-26,0,125.14958102626038,130.25772719059754,125.14958102626038,130.25772719059754
2019-04-29,0,125.33947731571959,130.45537434901428,125.33947731571959,130.45537434901428
2019-04-30,-1,122.92593623017885,127.94332138243104,122.92593623017885,127.94332138243104
2019-05-01,1,128.95978894403078,134.22345379888918,128.95978894403078,134.22345379888918
2019-05-02,-1,128.12055689298245,133.34996737841033,128.12055689298245,133.34996737841033
2019-05-03,1,129.7132517318344,135.00767016986848,129.7132517318344,135.00767016986848
2019-05-06,-1,127.71013376963805,132.92279229084778,127.71013376963805,132.92279229084778
2019-05-07,-1,124.2674736907196,129.33961547401427,124.2674736907196,129.33961547401427
2019-05-08,0,124.29197251798244,129.3651142534103,124.29197251798244,129.3651142534103
2019-05-09,-1,122.9565667746048,127.9752021531601,122.9565667746048,127.9752021531601
2019-05-10,-1,121.08209336014556,126.02421961974335,121.08209336014556,126.02421961974335
2019-05-13,1,128.10218043575287,133.33084086170197,128.10218043575287,133.33084086170197
2019-05-14,-1,126.3012128502121,131.45636439511873,126.3012128502121,131.45636439511873
2019-05-15,-1,124.91680010517884,130.01544500743103,124.91680010517884,130.01544500743103
2019-05-16,0,125.43135960186767,130.55100693255616,125.43135960186767,130.55100693255616
2019-05-17,1,126.09294010352325,131.2395907199936,126.09294010352325,131.2395907199936
2019-05-20,1,129.7132517318344,135.00767016986848,129.7132517318344,135.00767016986848
2019-05-21,-1,127.56311276467132,132.76977042853545,127.56311276467132,132.76977042853545
2019-05-22,1,129.90314802129365,135.20531732828522,129.90314802129365,135.20531732828522
2019-05-23,1,131.8143743502121,137.19455289511873,131.8143743502121,137.19455289511873
2019-05-24,0,132.23705156075286,137.63448223670198,132.23705156075286,137.63448223670198
