日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2021-11-01,1,147.0,153.0,147.0,153.0
2021-11-02,1,146.94282357777018,152.9404898462506,146.94282357777018,152.9404898462506
2021-11-03,1,146.05098022943125,152.0122447285917,146.05098022943125,152.0122447285917
2021-11-04,1,145.02398375064266,150.9433300261791,145.02398375064266,150.9433300261791
2021-11-05,1,147.4300264074903,153.4475785057552,147.4300264074903,153.4475785057552
2021-11-08,1,147.20102114991604,153.2092260948106,147.20102114991604,153.2092260948106
2021-11-09,1,149.24147889595855,155.33296783048746,149.24147889595855,155.33296783048746
2021-11-10,1,153.02816050582766,159.27420787341248,153.02816050582766,159.27420787341248
2021-11-11,1,150.9338182822979,157.09438229382025,150.9338182822979,157.09438229382025
2021-11-12,1,149.18624579085224,155.27548031292787,149.18624579085224,155.27548031292787
2021-11-15,1,146.39745426594666,152.3728605625159,146.39745426594666,152.3728605625159
2021-11-16,1,148.59057541994602,154.65549686565814,148.59057541994602,154.65549686565814
2021-11-17,1,146.3790798939762,152.3537362161793,146.3790798939762,152.3537362161793
2021-11-18,1,142.33211388738195,148.14158792360163,142.33211388738195,148.14158792360163
2021-11-19,1,141.93903988215627,147.73247008142798,141.93903988215627,147.73247008142798
2021-11-22,1,143.14296723925557,148.98553733065378,143.14296723925557,148.98553733065378
2021-11-23,1,145.59657771061904,151.53929516819534,145.59657771061904,151.53929516819534
2021-11-24,1,148.7598540678293,154.83168484610806,148.7598540678293,154.83168484610806
2021-11-25,1,146.42918997356566,152.40589160513974,146.42918997356566,152.40589160513974
2021-11-26,1,143.1413909638724,148.98389671749985,143.1413909638724,148.98389671749985
2021-11-29,1,141.4508835806653,147.22438903293735,141.4508835806653,147.22438903293735
2021-11-30,1,145.95229948788875,151.9095362016801,145.95229948788875,151.9095362016801
2021-12-01,1,146.65473116058646,152.64063855489613,146.65473116058646,152.64063855489613
2021-12-02,1,145.64592241500597,151.5906539421491,145.64592241500597,151.5906539421491
2021-12-03,1,141.52788537855864,147.30453376135696,141.52788537855864,147.30453376135696
2021-12-06,1,142.74321622214424,148.56946994549705,142.74321622214424,148.56946994549705
2021-12-07,1,142.67629210624978,148.49981423303547,142.67629210624978,148.49981423303547
2021-12-08,1,144.8572838627521,150.76982606123178,144.8572838627521,150.76982606123178
2021-12-09,1,143.9807472824899,149.85751247769358,143.9807472824899,149.85751247769358
2021-12-10,1,144.65429015543515,150.55854689647333,144.65429015543515,150.55854689647333
2021-12-13,1,148.73346432500955,154.80421797092833,148.73346432500955,154.80421797092833
2021-12-14,1,152.25068670092398,158.46500044381887,152.25068670092398,158.46500044381887
2021-12-15,1,151.51991606408137,157.70440243404386,151.51991606408137,157.70440243404386
2021-12-16,1,152.83676083976397,159.07499597608088,152.83676083976397,159.07499597608088
2021-12-17,1,157.58792382452938,164.02008398063262,157.58792382452938,164.02008398063262
2021-12-20,1,161.29573802509574,167.87923753632415,161.29573802509574,167.87923753632415
2021-12-21,1,159.70727177463894,166.22593592870587,159.70727177463894,166.22593592870587
2021-12-22,1,162.85870405304158,169.50599809602286,162.85870405304158,169.50599809602286
2021-12-23,1,159.15601033407836,165.6521740211836,159.15601033407836,165.6521740211836
2021-12-24,1,161.25426144707916,167.83606803675588,161.25426144707916,167.83606803675588
2021-12-27,1,161.56783884555134,168.1624445127167,161.56783884555134,168.1624445127167
2021-12-28,1,154.98170582620165,161.3074897374752,154.98170582620165,161.3074897374752
2021-12-29,1,156.88614519829508,163.28966132883772,156.88614519829508,163.28966132883772
2021-12-30,1,159.27574883848737,165.77679981148688,159.27574883848737,165.77679981148688
2021-12-31,1,158.2624954001254,164.72218908992645,158.2624954001254,164.72218908992645
2022-01-03,1,160.0662285093165,166.59954395867635,160.0662285093165,166.59954395867635
2022-01-04,1,161.29770037259354,167.8812799796382,161.29770037259354,167.8812799796382
2022-01-05,1,157.68140497503416,164.11738068830087,157.68140497503416,164.11738068830087
2022-01-06,1,158.26647895760877,164.7263352415928,158.26647895760877,164.7263352415928
2022-01-07,1,161.25114651908152,167.83282596883996,161.25114651908152,167.83282596883996
2022-01-10,1,158.74786385935434,165.22736850667494,158.74786385935434,165.22736850667494
2022-01-11,1,162.67038524432877,169.30999280532177,162.67038524432877,169.30999280532177
2022-01-12,1,165.42764154764902,172.17979018224693,165.42764154764902,172.17979018224693
2022-01-13,1,165.0974114995139,171.8360813566369,165.0974114995139,171.8360813566369
2022-01-14,1,162.98785467613337,169.64042017311843,162.98785467613337,169.64042017311843
2022-01-17,1,160.15748719469224,166.69452748835317,160.15748719469224,166.69452748835317
2022-01-18,1,161.329086904208,167.91394759417568,161.329086904208,167.91394759417568
2022-01-19,1,161.5874313665308,168.18283672843003,161.5874313665308,168.18283672843003
2022-01-20,1,161.34912050988794,167.93479889804667,161.34912050988794,167.93479889804667
2022-01-21,1,160.0080307185204,166.53897074784777,160.0080307185204,166.53897074784777
2022-01-24,1,160.84277405519256,167.40778524111877,160.84277405519256,167.40778524111877
2022-01-25,1,160.79621257330447,167.35932329058224,160.79621257330447,167.35932329058224
2022-01-26,1,160.88043817728177,167.4469866743137,160.88043817728177,167.4469866743137
2022-01-27,1,161.01028449220826,167.582132838829,161.01028449220826,167.582132838829
2022-01-28,1,160.15854351358732,166.6956269223052,160.15854351358732,166.6956269223052
2022-01-31,1,157.93826273747484,164.38472244104523,157.93826273747484,164.38472244104523
2022-02-01,1,162.40835050741273,169.0372627730214,162.40835050741273,169.0372627730214
2022-02-02,1,161.78481832240914,168.38828029475235,161.78481832240914,168.38828029475235
2022-02-03,1,162.22169244269318,168.8429860117827,162.22169244269318,168.8429860117827
2022-02-04,1,162.14855716053688,168.76686561606903,162.14855716053688,168.76686561606903
2022-02-07,1,160.40138489944314,166.94838020146125,160.40138489944314,166.94838020146125
2022-02-08,1,160.1629041475282,166.70016554130484,160.1629041475282,166.70016554130484
2022-02-09,1,161.5493935056417,168.14324630179036,161.5493935056417,168.14324630179036
2022-02-10,1,161.06815224559293,167.64236254133144,161.06815224559293,167.64236254133144
2022-02-11,1,163.8531718305385,170.54105639505028,163.8531718305385,170.54105639505028
2022-02-14,1,160.83512056450093,167.39981936305202,160.83512056450093,167.39981936305202
2022-02-15,1,161.14868966896606,167.72618720647486,161.14868966896606,167.72618720647486
2022-02-16,1,160.55500239144317,167.10826779517555,160.55500239144317,167.10826779517555
2022-02-17,1,165.21765430928025,171.96123203618964,165.21765430928025,171.96123203618964
2022-02-18,1,165.49772808072103,172.2527373901382,165.49772808072103,172.2527373901382
2022-02-21,1,167.63848623939265,174.48087343283726,167.63848623939265,174.48087343283726
2022-02-22,1,165.9654538036003,172.7395539588493,165.9654538036003,172.7395539588493
2022-02-23,1,164.69182778972626,171.4139432097151,164.69182778972626,171.4139432097151
2022-02-24,1,163.73811883919956,170.4213073632485,163.73811883919956,170.4213073632485
2022-02-25,1,165.0755821778464,171.8133610422483,165.0755821778464,171.8133610422483
2022-02-28,1,163.32693127229854,169.99333663035154,163.32693127229854,169.99333663035154
2022-03-01,1,164.333217890714,171.04069617196765,164.333217890714,171.04069617196765
2022-03-02,1,162.2440737125181,168.86628080282495,162.2440737125181,168.86628080282495
2022-03-03,1,161.4537687596618,168.04371850495411,161.4537687596618,168.04371850495411
2022-03-04,1,157.54424295604167,163.97462021955357,157.54424295604167,163.97462021955357
2022-03-07,1,156.49082211213724,162.8782026065102,156.49082211213724,162.8782026065102
2022-03-08,1,154.23777951368172,160.5331990856687,154.23777951368172,160.5331990856687
2022-03-09,1,153.43542728151291,159.69809778279918,153.43542728151291,159.69809778279918
2022-03-10,1,155.38506261488183,161.7273100685505,155.38506261488183,161.7273100685505
2022-03-11,1,159.60532159382583,166.11982451602282,159.60532159382583,166.11982451602282
2022-03-14,1,155.47120399824536,161.81696742674518,155.47120399824536,161.81696742674518
2022-03-15,1,145.88806356866823,151.84267840820573,145.88806356866823,151.84267840820573
2022-03-16,1,147.84527515199022,153.87977617860207,147.84527515199022,153.87977617860207
2022-03-17,1,148.41911140714683,154.47703432172426,148.41911140714683,154.47703432172426
2022-03-18,1,153.76849858201922,160.0447638302649,153.76849858201922,160.0447638302649
2022-03-21,1,150.95443935149942,157.1158450393157,150.95443935149942,157.1158450393157
2022-03-22,1,149.7964822082677,155.91062433921738,149.7964822082677,155.91062433921738
2022-03-23,1,146.21961643799898,152.18776404771324,146.21961643799898,152.18776404771324
2022-03-24,1,145.87322843787624,151.8272377618712,145.87322843787624,151.8272377618712
2022-03-25,1,142.36214411648288,148.17284387633933,142.36214411648288,148.17284387633933
2022-03-28,1,144.07737703409362,149.9580863007913,144.07737703409362,149.9580863007913
2022-03-29,1,138.09514377989828,143.73168026071048,138.09514377989828,143.73168026071048
2022-03-30,1,135.24451423777026,140.76469849237316,135.24451423777026,140.76469849237316
2022-03-31,1,137.55586031003182,143.1703852206454,137.55586031003182,143.1703852206454
2022-04-01,1,139.14936169239198,144.8289274757549,139.14936169239198,144.8289274757549
2022-04-04,1,139.88349972672304,145.5930303278138,139.88349972672304,145.5930303278138
2022-04-05,1,138.5852738349995,144.24181562418318,138.5852738349995,144.24181562418318
2022-04-06,1,138.7155778541774,144.3774381747561,138.7155778541774,144.3774381747561
2022-04-07,1,140.5071232730432,146.24210789643274,140.5071232730432,146.24210789643274
2022-04-08,1,139.70390788032205,145.40610820196787,139.70390788032205,145.40610820196787
2022-04-11,1,138.24311182162802,143.88568781434753,138.24311182162802,143.88568781434753
2022-04-12,1,138.35939367215357,144.00671586285372,138.35939367215357,144.00671586285372
2022-04-13,1,138.63437568655812,144.29292163294824,138.63437568655812,144.29292163294824
2022-04-14,1,136.6354997560518,142.21245892976822,136.6354997560518,142.21245892976822
2022-04-15,1,135.88159506034026,141.42778261382352,135.88159506034026,141.42778261382352
2022-04-18,1,133.18456428123267,138.62066894577276,133.18456428123267,138.62066894577276
2022-04-19,1,133.03032906660886,138.46013841626635,133.03032906660886,138.46013841626635
2022-04-20,1,130.34978729892114,135.67018678050974,130.34978729892114,135.67018678050974
2022-04-21,1,130.7873289544091,136.12558727907887,130.7873289544091,136.12558727907887
2022-04-22,1,132.4282934896391,137.83352995860395,132.4282934896391,137.83352995860395
2022-04-25,1,132.7505130414962,138.16890132890418,132.7505130414962,138.16890132890418
2022-04-26,1,128.05756780579216,133.2844073080694,128.05756780579216,133.2844073080694
2022-04-27,1,127.05567933867113,132.2416254341271,127.05567933867113,132.2416254341271
2022-04-28,1,127.4064894572206,132.60675433302552,127.4064894572206,132.60675433302552
2022-04-29,1,128.5558684915924,133.8030467973717,128.5558684915924,133.8030467973717
2022-05-02,1,128.0568457723582,133.28365580388305,128.0568457723582,133.28365580388305
2022-05-03,1,129.8934713775007,135.19524571943953,129.8934713775007,135.19524571943953
2022-05-04,1,129.5277949258272,134.81464369830996,129.5277949258272,134.81464369830996
