日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2020-01-30,0,157.88780059814454,164.3322006225586,157.88780059814454,164.3322006225586
2020-01-31,-1,155.4084017944336,161.7516018676758,155.4084017944336,161.7516018676758
2020-02-03,0,155.12419342041017,161.45579315185546,155.12419342041017,161.45579315185546
2020-02-04,0,161.14139282226563,167.71859252929687,161.14139282226563,167.71859252929687
2020-02-05,0,164.9830059814453,171.71700622558595,164.9830059814453,171.71700622558595
2020-02-06,1,165.48280059814454,172.2372006225586,165.48280059814454,172.2372006225586
2020-02-07,0,164.10099700927734,170.79899688720704,164.10099700927734,170.79899688720704
2020-02-10,0,164.87520538330077,171.60480560302736,164.87520538330077,171.60480560302736
2020-02-11,0,166.85479461669922,173.66519439697265,166.85479461669922,173.66519439697265
2020-02-12,0,168.3934017944336,175.26660186767577,168.3934017944336,175.26660186767577
2020-02-13,1,167.3447946166992,174.17519439697267,167.3447946166992,174.17519439697267
2020-02-14,1,164.70860717773436,171.43140747070314,164.70860717773436,171.43140747070314
2020-02-18,0,162.97400299072265,169.62600311279297,162.97400299072265,169.62600311279297
2020-02-19,0,161.6313928222656,168.2285925292969,161.6313928222656,168.2285925292969
2020-02-20,0,162.51340179443358,169.1466018676758,162.51340179443358,169.1466018676758
2020-02-21,-1,173.8813928222656,180.9785925292969,173.8813928222656,180.9785925292969
2020-02-24,0,168.42280059814453,175.2972006225586,168.42280059814453,175.2972006225586
2020-02-25,1,163.31699401855468,169.98299377441407,163.31699401855468,169.98299377441407
2020-02-26,0,163.5815982055664,170.25839813232423,163.5815982055664,170.25839813232423
2020-02-27,1,156.7902053833008,163.18980560302734,156.7902053833008,163.18980560302734
2020-02-28,1,153.35039581298827,159.60959564208986,153.35039581298827,159.60959564208986
2020-03-02,-1,160.6415982055664,167.19839813232423,160.6415982055664,167.19839813232423
2020-03-03,0,154.62439880371093,160.93559875488282,154.62439880371093,160.93559875488282
2020-03-04,0,159.80860717773436,166.33140747070314,159.80860717773436,166.33140747070314
2020-03-05,1,155.88860717773437,162.25140747070313,155.88860717773437,162.25140747070313
2020-03-06,1,160.75919342041016,167.32079315185547,160.75919342041016,167.32079315185547
2020-03-09,1,147.0,153.0,147.0,153.0
2020-03-10,1,151.89020538330078,158.08980560302734,151.89020538330078,158.08980560302734
2020-03-11,1,142.96240478515625,148.79760498046875,142.96240478515625,148.79760498046875
2020-03-12,1,127.78219940185546,132.9977993774414,127.78219940185546,132.9977993774414
2020-03-13,1,136.18080657958984,141.73920684814453,136.18080657958984,141.73920684814453
2020-03-16,1,117.64900299072264,122.45100311279296,117.64900299072264,122.45100311279296
2020-03-17,1,124.1757991027832,129.2441990661621,124.1757991027832,129.2441990661621
2020-03-18,1,111.9257991027832,116.49419906616211,111.9257991027832,116.49419906616211
2020-03-19,1,117.26680358886719,122.05320373535156,117.26680358886719,122.05320373535156
2020-03-20,1,109.3973973083496,113.86259719848631,109.3973973083496,113.86259719848631
2020-03-23,1,108.92700149536132,113.37300155639649,108.92700149536132,113.37300155639649
2020-03-24,1,123.48,128.52,123.48,128.52
2020-03-25,0,125.92020538330078,131.05980560302734,125.92020538330078,131.05980560302734
2020-03-26,0,136.3081964111328,141.87179626464845,136.3081964111328,141.87179626464845
2020-03-27,1,132.40780059814452,137.8122006225586,132.40780059814452,137.8122006225586
2020-03-30,1,138.40539581298827,144.05459564208985,138.40539581298827,144.05459564208985
2020-03-31,1,135.3968035888672,140.92320373535156,135.3968035888672,140.92320373535156
2020-04-01,1,130.9965982055664,136.3433981323242,130.9965982055664,136.3433981323242
2020-04-02,1,136.59240478515625,142.16760498046875,136.59240478515625,142.16760498046875
2020-04-03,1,132.80960418701173,138.23040435791015,132.80960418701173,138.23040435791015
2020-04-06,1,140.62020538330077,146.35980560302735,140.62020538330077,146.35980560302735
2020-04-07,1,139.96360717773436,145.67640747070314,139.96360717773436,145.67640747070314
2020-04-08,1,143.8346041870117,149.70540435791017,143.8346041870117,149.70540435791017
2020-04-09,1,142.835,148.665,142.835,148.665
2020-04-13,1,137.00400299072265,142.59600311279297,137.00400299072265,142.59600311279297
2020-04-14,1,135.36740478515625,140.89260498046875,135.36740478515625,140.89260498046875
2020-04-15,1,132.60379760742188,138.01619750976562,132.60379760742188,138.01619750976562
2020-04-16,1,127.35099700927734,132.54899688720704,127.35099700927734,132.54899688720704
2020-04-17,-1,135.69080657958983,141.22920684814454,135.69080657958983,141.22920684814454
2020-04-20,1,134.55400299072267,140.04600311279296,134.55400299072267,140.04600311279296
2020-04-21,1,131.37879760742186,136.74119750976564,131.37879760742186,136.74119750976564
2020-04-22,1,133.48580657958985,138.93420684814453,133.48580657958985,138.93420684814453
2020-04-23,1,134.36780059814453,139.8522006225586,134.36780059814453,139.8522006225586
2020-04-24,1,135.85740478515623,141.40260498046877,135.85740478515623,141.40260498046877
2020-04-27,1,136.90599700927734,142.49399688720703,136.90599700927734,142.49399688720703
2020-04-28,1,138.72879760742188,144.39119750976562,138.72879760742188,144.39119750976562
2020-04-29,1,144.1580059814453,150.04200622558594,144.1580059814453,150.04200622558594
2020-04-30,1,142.15879760742186,147.96119750976564,142.15879760742186,147.96119750976564
