日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,0,1000000.0,44.178402,45.9816,44.178402,45.9816
2016-08-10,0,1000000.0,43.913803,45.7062,43.913803,45.7062
2016-08-11,0,1000000.0,44.149,45.951,44.149,45.951
2016-08-12,0,1000000.0,44.139202,45.9408,44.139202,45.9408
2016-08-15,0,1000000.0,44.247,46.053,44.247,46.053
2016-08-16,0,1000000.0,44.0216,45.818398,44.0216,45.818398
2016-08-17,0,1000000.0,43.7864,45.5736,43.7864,45.5736
2016-08-18,0,1000000.0,43.4728,45.2472,43.4728,45.2472
2016-08-19,0,1000000.0,43.3552,45.1248,43.3552,45.1248
2016-08-22,0,1000000.0,43.2866,45.0534,43.2866,45.0534
2016-08-23,0,1000000.0,43.022003,44.778,43.022003,44.778
2016-08-24,0,1000000.0,42.3066,44.033398,42.3066,44.033398
2016-08-25,0,1000000.0,41.9832,43.6968,41.9832,43.6968
2016-08-26,0,1000000.0,42.1204,43.8396,42.1204,43.8396
2016-08-29,0,1000000.0,42.385002,44.114998,42.385002,44.114998
2016-08-30,0,1000000.0,41.973404,43.6866,41.973404,43.6866
2016-08-31,0,1000000.0,41.1796,42.8604,41.1796,42.8604
2016-09-01,0,1000000.0,41.454,43.146,41.454,43.146
2016-09-02,0,1000000.0,41.2482,42.9318,41.2482,42.9318
2016-09-06,0,1000000.0,41.3168,43.0032,41.3168,43.0032
2016-09-07,-1,1000000.0,41.062004,42.738,41.062004,42.738
2016-09-08,-1,1001193.4041976929,41.013,42.686996,41.013,42.686996
2016-09-09,-1,1021289.0431453801,40.1898,41.830196,40.1898,41.830196
2016-09-12,-1,1011078.5973965229,40.5916,42.248398,40.5916,42.248398
2016-09-13,-1,1030118.6551142549,39.8272,41.452797,39.8272,41.452797
2016-09-14,-1,1025809.490384348,39.9938,41.6262,39.9938,41.6262
2016-09-15,-1,1018017.3028680424,40.2976,41.942398,40.2976,41.942398
2016-09-16,-1,999449.4208817324,41.0326,42.707397,41.0326,42.707397
2016-09-19,-1,1003984.7432683886,40.8464,42.5136,40.8464,42.5136
2016-09-20,-1,1006393.5096504892,40.7484,42.411602,40.7484,42.411602
2016-09-21,-1,998164.3076175111,41.0816,42.758396,41.0816,42.758396
2016-09-22,-1,991020.8344639785,41.375603,43.0644,41.375603,43.0644
2016-09-23,-1,991725.0603849227,41.3462,43.0338,41.3462,43.0338
2016-09-26,-1,1003713.151905671,40.8464,42.5136,40.8464,42.5136
2016-09-27,-1,988060.1665420146,41.483402,43.1766,41.483402,43.1766
2016-09-28,-1,988993.8557715242,41.444202,43.1358,41.444202,43.1358
2016-09-29,-1,1008871.9813853669,40.6112,42.2688,40.6112,42.2688
2016-09-30,-1,988178.3754134234,41.444202,43.1358,41.444202,43.1358
2016-10-03,-1,982103.0738431038,41.699,43.400997,41.699,43.400997
2016-10-04,-1,992489.6299142186,41.258,42.941998,41.258,42.941998
2016-10-05,-1,977401.8757748487,41.885204,43.5948,41.885204,43.5948
2016-10-06,-1,972142.1383456795,42.110603,43.8294,42.110603,43.8294
2016-10-07,-1,972142.1383456795,42.110603,43.8294,42.110603,43.8294
2016-10-10,-1,960151.6318771363,42.63,44.37,42.63,44.37
2016-10-11,-1,1011801.195643704,40.3368,41.9832,40.3368,41.9832
2016-10-12,-1,1016225.9973345435,40.1604,41.7996,40.1604,41.7996
2016-10-13,-1,1016225.9973345435,40.1604,41.7996,40.1604,41.7996
2016-10-14,-1,1020937.5739872295,39.9742,41.6058,39.9742,41.6058
2016-10-17,-1,1025943.4323317449,39.778202,41.4018,39.778202,41.4018
2016-10-18,-1,1011283.5822755881,40.3466,41.993397,40.3466,41.993397
2016-10-19,-1,1039777.3374221309,39.2098,40.810196,39.2098,40.810196
2016-10-20,-1,1020805.9991048386,39.9252,41.554802,39.9252,41.554802
2016-10-21,-1,1026819.6536782507,39.690002,41.309998,39.690002,41.309998
2016-10-24,-1,1029101.4933558282,39.6018,41.2182,39.6018,41.2182
2016-10-25,-1,1034704.1571888282,39.3862,40.993797,39.3862,40.993797
2016-10-26,-1,1040625.5836188254,39.1608,40.759197,39.1608,40.759197
2016-10-27,-1,1032031.7408822501,39.484203,41.0958,39.484203,41.0958
2016-10-28,-1,1051243.0808902225,38.749203,40.3308,38.749203,40.3308
2016-10-31,-1,1059219.1292105014,38.455204,40.0248,38.455204,40.0248
2016-11-01,-1,1064347.9136989736,38.269,39.830997,38.269,39.830997
2016-11-02,-1,1073887.461865417,37.926003,39.474,37.926003,39.474
2016-11-03,-1,1082767.1301032666,37.6124,39.147602,37.6124,39.147602
2016-11-04,-1,1062736.8737384817,38.3082,39.8718,38.3082,39.8718
2016-11-07,-1,1041802.9308225,39.0628,40.6572,39.0628,40.6572
2016-11-08,-1,1042587.02072201,39.0334,40.626602,39.0334,40.626602
2016-11-09,-1,1036304.857632566,39.2686,40.8714,39.2686,40.8714
2016-11-10,-1,1022339.1045719265,39.797802,41.4222,39.797802,41.4222
2016-11-11,-1,1034171.2004698955,39.3372,40.9428,39.3372,40.9428
2016-11-14,-1,1058389.4312408061,38.416,39.984,38.416,39.984
2016-11-15,-1,1041919.5972485775,39.0138,40.6062,39.0138,40.6062
2016-11-16,-1,1038255.5056473449,39.151,40.749,39.151,40.749
2016-11-17,-1,1026820.4229534392,39.5822,41.1978,39.5822,41.1978
2016-11-18,-1,1040802.8600280719,39.0432,40.6368,39.0432,40.6368
2016-11-21,-1,1042892.8759374066,38.964798,40.5552,38.964798,40.5552
2016-11-22,-1,1086434.1652192809,37.337997,38.862,37.337997,38.862
2016-11-23,-1,1061340.6242153705,38.2004,39.759598,38.2004,39.759598
2016-11-25,-1,1056439.5546028398,38.3768,39.9432,38.3768,39.9432
2016-11-28,-1,1067770.080300052,37.965202,39.5148,37.965202,39.5148
2016-11-29,-1,1068045.7863521087,37.9554,39.5046,37.9554,39.5046
2016-11-30,-1,1086246.3840176484,37.3086,38.831398,37.3086,38.831398
2016-12-01,-1,1099656.8899551306,36.848,38.351997,36.848,38.351997
2016-12-02,-1,1090882.9509056977,37.142002,38.658,37.142002,38.658
2016-12-05,-1,1075627.9519449768,37.6614,39.1986,37.6614,39.1986
2016-12-06,-1,1075907.9308917902,37.6516,39.188396,37.6516,39.188396
2016-12-07,-1,1074227.6199507364,37.7104,39.2496,37.7104,39.2496
2016-12-08,-1,1068644.2950141258,37.906403,39.453598,37.906403,39.453598
2016-12-09,-1,1054277.7527074735,38.416,39.984,38.416,39.984
2016-12-12,-1,1054277.7527074735,38.416,39.984,38.416,39.984
2016-12-13,-1,1047823.0945778348,38.6512,40.228798,38.6512,40.228798
2016-12-14,-1,1064294.9463523403,38.043602,39.596397,38.043602,39.596397
2016-12-15,-1,1061279.155070307,38.1514,39.7086,38.1514,39.7086
2016-12-16,-1,1083905.9906938113,37.337997,38.862,37.337997,38.862
2016-12-19,-1,1077078.187992786,37.5732,39.1068,37.5732,39.1068
2016-12-20,-1,1081292.1371475002,37.4262,38.953796,37.4262,38.953796
2016-12-21,-1,1079876.427706519,37.4752,39.004803,37.4752,39.004803
2016-12-22,-1,1078464.5027889302,37.5242,39.0558,37.5242,39.0558
2016-12-23,-1,1074803.0289139524,37.6516,39.188396,37.6516,39.188396
2016-12-27,-1,1069767.5291219314,37.828,39.371998,37.828,39.371998
2016-12-28,-1,1080298.8362477599,37.4556,38.9844,37.4556,38.9844
2016-12-29,-1,1077755.0121815498,37.5438,39.076202,37.5438,39.076202
2016-12-30,-1,1074941.8489312553,37.6418,39.1782,37.6418,39.1782
2017-01-03,-1,1057030.7816847563,38.269,39.830997,38.269,39.830997
2017-01-04,-1,1048639.4123567923,38.5728,40.1472,38.5728,40.1472
2017-01-05,-1,1039580.9895841928,38.906002,40.494,38.906002,40.494
2017-01-06,-1,1011300.190177775,39.9644,41.595596,39.9644,41.595596
2017-01-09,-1,1012292.0677711358,39.9252,41.554802,39.9252,41.554802
2017-01-10,-1,998625.9086073096,40.464203,42.1158,40.464203,42.1158
2017-01-11,-1,1003704.8651832781,40.258404,41.9016,40.258404,41.9016
2017-01-12,-1,1012500.7650219902,39.9056,41.5344,39.9056,41.5344
2017-01-13,-1,1007279.1840879882,40.1114,41.7486,40.1114,41.7486
2017-01-17,-1,1008017.477743308,40.082,41.718002,40.082,41.718002
2017-01-18,-1,1011467.956996202,39.944798,41.5752,39.944798,41.5752
2017-01-19,-1,1020401.340158926,39.592003,41.208,39.592003,41.208
2017-01-20,-1,1018885.9326091037,39.6508,41.2692,39.6508,41.2692
2017-01-23,-1,1021907.813302581,39.5332,41.1468,39.5332,41.1468
2017-01-24,-1,1022667.7321042919,39.503803,41.1162,39.503803,41.1162
2017-01-25,-1,1022667.7321042919,39.503803,41.1162,39.503803,41.1162
2017-01-26,-1,1006177.2519852044,40.1408,41.779198,40.1408,41.779198
2017-01-27,-1,1005194.6570125625,40.18,41.82,40.18,41.82
2017-01-30,-1,1004949.4878178347,40.1898,41.830196,40.1898,41.830196
2017-01-31,-1,986325.6061885258,40.9346,42.6054,40.9346,42.6054
2017-02-01,-1,973102.1818761267,41.483402,43.1766,41.483402,43.1766
2017-02-02,-1,963447.0351817152,41.895,43.605,41.895,43.605
2017-02-03,-1,962770.9024197462,41.9244,43.635597,41.9244,43.635597
2017-02-06,-1,970647.6522968493,41.5814,43.2786,41.5814,43.2786
2017-02-07,-1,960124.5023188691,42.0322,43.7478,42.0322,43.7478
2017-02-08,-1,971093.4845152277,41.552002,43.248,41.552002,43.248
2017-02-09,-1,967887.0708487288,41.6892,43.3908,41.6892,43.3908
2017-02-10,-1,963336.5544594538,41.885204,43.5948,41.885204,43.5948
2017-02-13,-1,952517.6037115317,42.355602,44.0844,42.355602,44.0844
2017-02-14,-1,943040.9221586256,42.777,44.523003,42.777,44.523003
2017-02-15,-1,935479.3793488729,43.120003,44.879997,43.120003,44.879997
2017-02-16,-1,931227.2044070264,43.316,45.084,43.316,45.084
2017-02-17,-1,920903.7426510556,43.7962,45.583797,43.7962,45.583797
2017-02-21,-1,914309.6802981505,44.1098,45.9102,44.1098,45.9102
2017-02-22,-1,914309.6802981505,44.1098,45.9102,44.1098,45.9102
2017-02-23,-1,906387.3273377843,44.492,46.308002,44.492,46.308002
2017-02-24,-1,900797.2634359847,44.7664,46.5936,44.7664,46.5936
2017-02-27,-1,905135.6065605467,44.5508,46.369198,44.5508,46.369198
2017-02-28,-1,912701.5947116232,44.178402,45.9816,44.178402,45.9816
2017-03-01,-1,902376.0190331169,44.6782,46.5018,44.6782,46.5018
2017-03-02,-1,900396.7015170035,44.7762,46.603798,44.7762,46.603798
2017-03-03,-1,909067.5974199529,44.345,46.155,44.345,46.155
2017-03-06,-1,911478.380922079,44.2274,46.0326,44.2274,46.0326
2017-03-07,-1,914103.9611848117,44.100002,45.899998,44.100002,45.899998
2017-03-08,-1,906791.1146754562,44.4528,46.2672,44.4528,46.2672
2017-03-09,-1,901393.5691067545,44.717403,46.5426,44.717403,46.5426
2017-03-10,-1,899615.6271652023,44.805603,46.6344,44.805603,46.6344
2017-03-13,-1,903354.2093445824,44.6194,46.440598,44.6194,46.440598
2017-03-14,-1,917838.0048409656,43.904,45.696,43.904,45.696
2017-03-15,-1,907184.5029899606,44.4136,46.2264,44.4136,46.2264
2017-03-16,-1,913990.3809528678,44.0804,45.8796,44.0804,45.8796
2017-03-17,-1,909723.2225304408,44.286198,46.0938,44.286198,46.0938
2017-03-20,-1,913950.7213789603,44.0804,45.8796,44.0804,45.8796
2017-03-21,-1,917608.165944415,43.904,45.696,43.904,45.696
2017-03-22,-1,917403.2833113472,43.913803,45.7062,43.913803,45.7062
2017-03-23,-1,918222.2480891837,43.8746,45.6654,43.8746,45.6654
2017-03-24,-1,919042.6554499078,43.8354,45.6246,43.8354,45.6246
2017-03-27,-1,919659.0311322093,43.806,45.594,43.806,45.594
2017-03-28,-1,919659.0311322093,43.806,45.594,43.806,45.594
2017-03-29,-1,920276.3135436404,43.7766,45.563396,43.7766,45.563396
2017-03-30,-1,922748.4718072701,43.659,45.440998,43.659,45.440998
2017-03-31,-1,925648.2418095812,43.5218,45.2982,43.5218,45.2982
2017-04-03,-1,924397.5817271611,43.5806,45.3594,43.5806,45.3594
