date,portfolio_value
881,1000000.0
882,1000010.261
883,1000035.505
884,999977.733
885,999558.978
886,999132.326
887,999617.758
888,1000241.108
889,999410.368
890,999538.731
891,999292.079
892,999351.451
893,999380.817
894,997190.18
895,997869.711
896,996573.193
897,996966.7609999999
898,996688.3039999999
899,998175.8629999999
900,999689.3389999999
901,999702.7349999999
902,999801.1299999999
903,994536.5199999999
904,996830.1489999999
905,994663.6779999998
906,995182.2969999998
907,995903.8949999998
908,997274.4649999997
909,998975.9839999997
910,997780.4419999997
911,1001313.9409999996
912,1002578.3219999997
913,1002763.6619999997
914,1001766.9959999997
915,998836.3599999996
916,998339.8099999996
917,995237.2739999996
918,994157.8239999997
919,991491.4029999997
920,986298.0519999997
921,986291.8339999997
922,986572.6159999997
923,984634.3909999997
924,986434.2119999997
925,982599.9909999997
926,985563.8569999997
927,987995.6569999998
928,986908.4039999997
929,990118.1739999998
930,992071.8769999997
931,991165.5399999998
932,989731.2209999998
933,987488.9299999998
934,990397.6819999998
935,992713.3789999998
936,993092.0329999998
937,991181.6799999998
938,992429.3609999998
939,1000717.0199999998
940,992096.5359999997
941,987470.1979999997
942,989354.9369999997
943,986124.6449999997
944,991410.4049999997
945,991340.0809999997
946,978463.7579999997
947,968491.6329999997
948,970160.6589999996
949,961518.6599999997
950,966618.7879999997
951,963322.8419999997
952,962393.9429999997
953,959364.0569999997
954,965782.2129999996
955,964666.2809999996
956,962035.3639999996
957,968869.4819999996
958,977949.5099999995
959,980829.4199999996
960,963285.2929999996
961,956159.3879999996
962,960527.5719999996
963,964621.7019999996
964,966856.7819999997
965,973402.8349999996
966,972801.8099999996
967,979761.7919999997
968,988107.6929999996
969,994789.4979999997
970,985794.2269999996
971,989478.0569999996
972,995841.8459999997
973,997031.5649999996
974,999536.2709999996
975,995675.9499999996
976,999849.6699999996
977,999171.3459999996
978,998777.0289999996
979,991518.7159999995
980,1000323.4769999995
981,997117.1489999995
982,995090.8529999997
983,996002.5769999996
984,999498.2919999997
985,998971.9729999995
986,990250.6589999995
987,988230.4279999996
988,999566.2159999995
989,1000747.8979999996
990,1000087.5689999996
991,1006461.2459999996
992,1002569.8649999995
993,994051.5189999996
994,996418.2489999996
995,994131.9579999995
996,994930.6869999995
997,992024.4089999995
998,993305.1559999995
999,997192.8919999995
1000,1000042.5949999995
1001,1010236.2739999995
1002,998492.8679999996
1003,1006904.5589999995
1004,1009973.1809999995
1005,1007362.7779999996
1006,1008731.3959999995
1007,1007087.0029999996
1008,1002254.6229999996
1009,1009032.2809999995
1010,1006961.8859999995
1011,1000195.5069999995
1012,1000451.1799999996
1013,1005856.8509999996
1014,1011303.4809999996
1015,1020007.0699999997
1016,1027425.5939999996
1017,1036939.0629999997
1018,1052550.4619999998
1019,1046333.7469999996
1020,1050080.0769999996
1021,1038173.3799999997
1022,1043524.7679999996
1023,1043802.1179999996
1024,1041364.4659999995
1025,1039773.8309999995
1026,1023962.2069999997
1027,1019429.6919999996
1028,1027655.2079999998
1029,1033716.6679999996
1030,1033412.0869999997
1031,1046755.5079999997
1032,1036631.8399999997
1033,1043617.2389999996
1034,1038408.5919999995
1035,1051491.9789999998
1036,1058615.2809999997
1037,1058764.5369999995
1038,1064081.3468499999
1039,1062516.9045299995
1040,1064866.6230999997
1041,1057816.3306199997
1042,1054215.0741099997
1043,1053745.1268299995
1044,1054057.3697899997
1045,1056250.2537399998
1046,1064707.3333599996
1047,1061419.1728899998
1048,1056724.5319299994
1049,1059539.0133699996
1050,1057810.3808699998
1051,1064074.4982899998
1052,1060160.1381799998
1053,1063288.9978599998
1054,1067041.8159399997
1055,1063273.9808799995
1056,1058573.2905999995
1057,1065147.7836399996
1058,1066868.4107599996
1059,1065147.5769999996
1060,1062477.7675799995
1061,1068898.5183999995
1062,1064671.0554999996
1063,1059037.5928599997
1064,1067482.1130999997
1065,1065761.8230999997
1066,1067638.9719999996
1067,1073738.0278399996
1068,1063107.7205599998
1069,1056519.3572499997
1070,1058083.5764299994
1071,1060273.6897399996
1072,1068249.5493399997
1073,1076065.0048599995
