date,portfolio_value
881,1000000.0
882,999959.321
883,1000038.68
884,1000143.998
885,1000257.28
886,1000129.533
887,1000168.8110000001
888,1000439.082
889,1002004.314
890,1001560.35
891,1002357.4349999999
892,1002079.44
893,1002016.47
894,1002429.505
895,1002538.508
896,1002445.503
897,1002202.5040000001
898,1002964.52
899,1002475.491
900,1002396.4890000001
901,1002253.491
902,1001998.5
903,999949.521
904,1001625.6349999999
905,1001118.6759999999
906,1001240.7379999999
907,1003109.7949999999
908,1002836.7799999999
909,1003533.7749999999
910,1003791.7449999999
911,1004328.7059999999
912,1003457.6489999999
913,1001438.6199999999
914,1000412.6539999999
915,1001395.7189999998
916,1001742.7549999998
917,1001163.7809999997
918,1003269.8229999997
919,1002392.8079999997
920,1001180.8159999998
921,1002497.8549999997
922,1002289.8609999998
923,1001698.8719999999
924,1000104.8969999999
925,996845.9589999999
926,996843.095
927,993252.231
928,994236.4450000001
929,992937.638
930,994012.858
931,995510.056
932,995813.2239999999
933,996070.3859999999
934,999883.543
935,998314.6279999999
936,998256.7419999999
937,998309.8569999998
938,997166.9709999998
939,999600.1049999997
940,998535.1969999997
941,996672.3069999997
942,994717.4479999996
943,994404.6209999996
944,1001394.7989999995
945,1002543.8659999996
946,1000070.9149999996
947,993798.0019999996
948,998083.1839999997
949,999236.3019999997
950,1003511.4029999997
951,1006378.4419999997
952,1011416.4399999997
953,1011485.3669999997
954,1015935.2929999997
955,1018300.1579999997
956,1019871.9909999997
957,1019868.8029999997
958,1019557.6149999998
959,1022050.4309999997
960,1022363.2149999997
961,1005559.9949999998
962,1016410.9849999998
963,1017145.8409999998
964,1017806.6879999997
965,1025363.5269999998
966,1027060.2759999997
967,1023961.0049999998
968,1020912.7699999998
969,1021173.5699999998
970,1022149.3669999999
971,1030426.1529999998
972,1025417.8469999998
973,1024770.5959999998
974,1026348.3519999998
975,1026063.0909999998
976,1030144.8329999998
977,1029085.5319999998
978,1033253.2419999997
979,1029035.9089999998
980,1026656.6189999997
981,1022753.3529999999
982,1019417.1259999998
983,1022473.9319999998
984,1021028.7079999998
985,1020401.4979999998
986,1028168.2939999998
987,1031875.0159999997
988,1035509.7029999997
989,1033778.3559999998
990,1039007.0249999998
991,1033613.6459999997
992,1037939.3159999999
993,1038607.9469999999
994,1039621.5719999999
995,1038592.188
996,1041808.813
997,1046329.4099999999
998,1041177.9679999999
999,1053682.5699999998
1000,1045349.0659999999
1001,1044265.6319999999
1002,1053700.207
1003,1052598.704
1004,1057146.21
1005,1055530.679
1006,1060027.1609999998
1007,1060779.6069999998
1008,1058363.0469999998
1009,1057207.5059999998
1010,1059009.974
1011,1056016.4279999998
1012,1059418.9049999998
1013,1055323.3559999997
1014,1061836.8379999998
1015,1074027.2709999997
1016,1073078.6129999997
1017,1068314.9619999996
1018,1070229.3459999997
1019,1072019.7159999995
1020,1069097.0729999996
1021,1077913.4509999997
1022,1072833.7659999996
1023,1078226.1169999996
1024,1078079.4299999997
1025,1079659.7439999995
1026,1082846.0469999996
1027,1085616.3279999995
1028,1096490.5899999994
1029,1101222.7779999995
1030,1098685.9339999994
1031,1108432.1069999994
1032,1110391.2149999994
1033,1113883.3099999994
1034,1118316.3819999993
1035,1103066.4249999993
1036,1106782.5669999993
1037,1107246.6849999994
1038,1109126.7999999993
1039,1107384.9029999995
1040,1106745.0169999993
1041,1107541.1349999993
1042,1107859.2479999994
1043,1108017.3589999992
1044,1107850.4689999993
1045,1109650.5799999994
1046,1099416.6799999992
1047,1102732.8419999992
1048,1108573.9839999992
1049,1107394.0909999993
1050,1096236.2049999994
1051,1088922.3849999993
1052,1084643.6079999993
1053,1093239.8559999992
1054,1093755.0539999993
1055,1114631.2489999994
1056,1125827.3239999993
1057,1124063.3349999993
1058,1135564.3559999992
1059,1141790.3119999995
1060,1140354.2329999993
1061,1151510.1619999993
1062,1138474.0289999994
1063,1158307.9679999994
1064,1158486.7979999995
1065,1155538.6269999994
1066,1156829.4719999994
1067,1160731.3099999994
1068,1155304.1269999994
1069,1164699.9729999993
1070,1180382.7689999994
1071,1191968.4819999991
1072,1191200.1339999994
1073,1208091.7899999993
1074,1222562.3579999993
1075,1177743.8509999993
1076,1200164.5749999993
1077,1203492.1839999994
1078,1216292.7759999991
1079,1219852.3029999994
1080,1214275.8119999995
1081,1222071.3489999995
1082,1231714.8469999994
1083,1232922.2969999993
1084,1239413.7409999995
1085,1241857.1529999995
1086,1258252.5529999994
1087,1256599.8729999994
1088,1253490.2009999994
1089,1267837.5439999995
1090,1271385.8179999995
1091,1214891.0749999995
1092,1206446.6009999996
1093,1217254.1669999994
1094,1198718.6819999993
