日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,-1,1000000.0,26.254202,27.3258,26.254202,27.3258
2016-08-10,0,1014184.4153404236,25.8818,26.9382,25.8818,26.9382
2016-08-11,0,1014184.4153404236,26.2836,27.3564,26.2836,27.3564
2016-08-12,0,1014184.4153404236,26.6364,27.7236,26.6364,27.7236
2016-08-15,0,1014184.4153404236,26.920599,28.0194,26.920599,28.0194
2016-08-16,0,1014184.4153404236,26.6756,27.764399,26.6756,27.764399
2016-08-17,0,1014184.4153404236,26.744202,27.8358,26.744202,27.8358
2016-08-18,0,1014184.4153404236,27.1264,28.2336,27.1264,28.2336
2016-08-19,0,1014184.4153404236,29.0472,30.2328,29.0472,30.2328
2016-08-22,0,1014184.4153404236,28.567,29.733,28.567,29.733
2016-08-23,0,1014184.4153404236,29.351002,30.549,29.351002,30.549
2016-08-24,0,1014184.4153404236,29.106,30.294,29.106,30.294
2016-08-25,0,1014184.4153404236,29.057001,30.242998,29.057001,30.242998
2016-08-26,0,1014184.4153404236,29.3706,30.569399,29.3706,30.569399
2016-08-29,0,1014184.4153404236,29.449,30.651,29.449,30.651
2016-08-30,0,1014184.4153404236,29.3902,30.5898,29.3902,30.5898
2016-08-31,0,1014184.4153404236,29.2432,30.4368,29.2432,30.4368
2016-09-01,0,1014184.4153404236,29.684202,30.8958,29.684202,30.8958
2016-09-02,0,1014184.4153404236,29.419601,30.6204,29.419601,30.6204
2016-09-06,0,1014184.4153404236,29.3804,30.5796,29.3804,30.5796
2016-09-07,0,1014184.4153404236,29.3118,30.5082,29.3118,30.5082
2016-09-08,0,1014184.4153404236,29.1942,30.385801,29.1942,30.385801
2016-09-09,0,1014184.4153404236,28.2828,29.4372,28.2828,29.4372
2016-09-12,0,1014184.4153404236,28.998201,30.181799,28.998201,30.181799
2016-09-13,0,1014184.4153404236,28.7924,29.967598,28.7924,29.967598
2016-09-14,0,1014184.4153404236,28.8414,30.0186,28.8414,30.0186
2016-09-15,0,1014184.4153404236,29.547,30.752998,29.547,30.752998
2016-09-16,0,1014184.4153404236,29.449,30.651,29.449,30.651
2016-09-19,0,1014184.4153404236,29.694,30.905998,29.694,30.905998
2016-09-20,0,1014184.4153404236,29.7822,30.997799,29.7822,30.997799
