date,portfolio_value
881,1000000.0
882,1000020.408
883,999938.7840000001
884,1000110.1950000001
885,999814.545
886,998967.966
887,999220.554
888,999062.098
889,998458.663
890,999356.3019999999
891,999944.8399999999
892,999218.3179999999
893,998822.8609999998
894,997485.4359999998
895,998328.1129999998
896,997386.7289999998
897,997631.4069999998
898,998368.0689999998
899,1000642.6869999998
900,1004545.1779999998
901,1003893.4629999999
902,1002663.7799999999
903,989320.1549999999
904,991793.1359999999
905,984198.009
906,984837.198
907,986672.361
908,983745.453
909,987094.6529999999
910,985488.7329999999
911,989827.8679999999
912,996574.8579999999
913,998835.6299999999
914,997834.3309999999
915,997449.0619999999
916,997612.8039999999
917,1000661.5409999999
918,1000095.1929999999
919,995979.8599999999
920,989572.6349999999
921,976881.5739999999
922,981257.83
923,981246.9789999999
924,985192.128
925,983025.1849999999
926,994714.291
927,1000039.137
928,1003082.867
929,1003023.5319999999
930,1006981.198
931,1012819.783
932,1010309.2509999999
933,1014873.7679999999
934,1020374.1969999999
935,1020362.522
936,1014410.8470000001
937,1012887.28
938,1017036.74
939,1023173.1270000001
940,1011125.408
941,997673.893
942,999858.602
943,998049.275
944,1011960.977
945,1016685.4580000001
946,973058.865
947,949881.9430000001
948,949871.3720000001
949,928508.8010000001
950,934846.544
951,948416.1950000001
952,949186.652
953,945936.098
954,951911.589
955,967218.9980000001
956,958208.2000000001
957,962149.5220000001
958,952975.7920000001
959,952497.1810000001
960,922624.5760000001
961,912294.349
962,925163.251
963,920806.9940000001
964,910919.79
965,922249.7050000001
966,923854.4850000001
967,928316.246
968,936831.9550000001
969,956533.5660000001
970,959815.9530000001
971,955845.3030000001
972,953500.9102800001
973,963864.7102800001
974,964135.0702800001
975,960710.51028
976,960710.51028
977,955573.6702800001
978,957916.7902800002
979,953861.3902800002
980,958817.9902800001
981,952419.4702800001
982,956655.1102800001
983,958367.3902800002
984,955032.9502800001
985,948724.5502800001
986,946471.5502800001
987,932773.3102800001
988,935747.27028
989,939081.7102800001
990,932322.7102800001
991,947823.3502800001
992,952329.3502800001
993,941244.5902800001
994,939081.7102800001
995,944308.6702800001
996,942416.1502800001
997,936558.3502800001
998,939982.9102800001
999,935657.1502800001
1000,928357.4302800001
1001,932773.3102800001
1002,930790.6702800001
1003,938270.63028
1004,948544.3102800001
1005,934034.9902800001
1006,932502.9502800001
1007,939982.9102800001
1008,953320.6702800001
1009,950707.1902800001
1010,969271.9102800001
1011,962332.6702800001
1012,965306.63028
1013,970713.83028
1014,974318.63028
1015,1001985.4702800001
1016,1000543.5502800001
1017,1011177.7102800001
1018,1017395.9902800001
1019,1021451.3902800002
1020,1034518.7902800002
1021,1025957.3902800002
1022,1034699.0302800001
1023,1042449.3502800001
1024,1033797.83028
1025,1033707.7102800001
1026,1020550.1902800001
1027,1018387.3102800001
1028,1023614.27028
1029,1029742.4302800001
1030,1027579.5502800001
1031,1038934.6702800001
1032,1037222.3902800002
1033,1045513.4302800001
1034,1045243.0702800001
1035,1052092.19028
1036,1066241.03028
1037,1072008.7102800002
1038,1075343.15028
1039,1081561.4302800002
1040,1084985.99028
1041,1090843.79028
1042,1089672.23028
1043,1095349.79028
1044,1091835.1102800001
1045,1088140.19028
1046,1087238.99028
1047,1099044.7102800002
1048,1100576.75028
1049,1103821.07028
1050,1106344.4302800002
1051,1102829.75028
1052,1104902.51028
1053,1119772.31028
1054,1125269.6302800002
1055,1123557.3502800001
1056,1120222.91028
1057,1121394.4702800002
1058,1116167.51028
1059,1116978.5902800001
1060,1106795.03028
1061,1133470.55028
1062,1135002.5902800001
1063,1149151.4302800002
1064,1152756.23028
1065,1142662.79028
1066,1148069.99028
1067,1159785.5902800001
1068,1161407.75028
1069,1154378.3902800002
1070,1145456.51028
1071,1138066.6702800002
1072,1136624.75028
1073,1152936.4702800002
1074,1156901.75028
1075,1178260.1902800002
1076,1153387.07028
1077,1156451.15028
1078,1160146.07028
1079,1160146.07028
1080,1165282.9102800002
1081,1181053.9102800002
1082,1181594.6302800002
1083,1190696.75028
1084,1182315.5902800001
1085,1188083.2702800003
1086,1194031.1902800002
1087,1186100.6302800002
1088,1186911.71028
1089,1187993.15028
1090,1180332.95028
1091,1174114.6702800002
1092,1164201.4702800002
1093,1173303.5902800001
1094,1176097.31028
1095,1179431.75028
1096,1189164.71028
1097,1192589.2702800003
1098,1182405.71028
