日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,1,1000000.0,113.6016,118.2384,113.6016,118.2384
2016-08-10,1,1002760.5244996549,113.9152,118.56479999999999,113.9152,118.56479999999999
2016-08-11,-1,999741.2008281575,113.5722,118.2078,113.5722,118.2078
2016-08-12,1,994478.9510006902,114.17,118.83,114.17,118.83
2016-08-15,-1,988418.1779945918,113.47420000000001,118.1058,113.47420000000001,118.1058
2016-08-16,-1,1002673.7990089363,111.83760000000001,116.4024,111.83760000000001,116.4024
2016-08-17,1,998807.8993282148,112.2688,116.8512,112.2688,116.8512
2016-08-18,-1,996976.9840099629,112.06299999999999,116.637,112.06299999999999,116.637
2016-08-19,-1,1003428.7808457072,111.3378,115.8822,111.3378,115.8822
2016-08-22,1,994508.2362752102,112.3276,116.9124,112.3276,116.9124
2016-08-23,1,999714.1771386295,112.9156,117.5244,112.9156,117.5244
2016-08-24,-1,994074.4078699251,112.2786,116.86139999999999,112.2786,116.86139999999999
2016-08-25,-1,996850.9096637487,111.965,116.535,111.965,116.535
2016-08-26,-1,1005750.5851810968,110.9654,115.4946,110.9654,115.4946
2016-08-29,1,1000332.340396495,111.5632,116.11680000000001,111.5632,116.11680000000001
2016-08-30,-1,994884.2900535063,110.95559999999999,115.48440000000001,110.95559999999999,115.48440000000001
2016-08-31,1,993478.3415778964,111.1124,115.6476,111.1124,115.6476
2016-09-01,1,997333.7876027181,111.5436,116.09639999999999,111.5436,116.09639999999999
2016-09-02,1,1008462.0068107259,112.7882,117.3918,112.7882,117.3918
2016-09-06,1,1026512.5041087543,114.807,119.49300000000001,114.807,119.49300000000001
2016-09-07,-1,1023708.5433634294,114.4934,119.1666,114.4934,119.1666
2016-09-08,-1,1028790.7222143305,113.925,118.575,113.925,118.575
2016-09-09,-1,1082420.5869594389,107.9862,112.3938,107.9862,112.3938
2016-09-12,1,1071811.5096029076,109.04459999999999,113.4954,109.04459999999999,113.4954
2016-09-13,-1,1041372.7177421617,105.9478,110.2722,105.9478,110.2722
2016-09-14,1,1038868.260183999,106.2026,110.5374,106.2026,110.5374
2016-09-15,1,1045674.5392716674,106.8984,111.2616,106.8984,111.2616
2016-09-16,-1,1035321.3260115517,105.84,110.16,105.84,110.16
2016-09-19,1,1023817.7557225345,107.016,111.384,107.016,111.384
2016-09-20,-1,1018661.1644620274,106.477,110.82300000000001,106.477,110.82300000000001
2016-09-21,1,1005066.5147752356,107.898,112.30199999999999,107.898,112.30199999999999
2016-09-22,1,1024967.0143411758,110.0344,114.5256,110.0344,114.5256
2016-09-23,1,1031448.3697043948,110.7302,115.2498,110.7302,115.2498
2016-09-26,-1,1028709.7688466966,110.4362,114.9438,110.4362,114.9438
2016-09-27,-1,1029713.9224945195,110.3284,114.8316,110.3284,114.8316
2016-09-28,1,1029256.5970714896,110.3774,114.8826,110.3774,114.8826
2016-09-29,1,1037024.2265441947,111.2104,115.7496,111.2104,115.7496
2016-09-30,-1,1035653.4684019525,111.0634,115.5966,111.0634,115.5966
2016-10-03,-1,1045522.9270260953,110.005,114.495,110.005,114.495
2016-10-04,-1,1060798.2731314208,108.3978,112.8222,108.3978,112.8222
2016-10-05,-1,1091199.9594692437,105.29119999999999,109.5888,105.29119999999999,109.5888
2016-10-06,1,1080332.6478848048,106.3398,110.68020000000001,106.3398,110.68020000000001
2016-10-07,-1,1080332.6478848048,106.3398,110.68020000000001,106.3398,110.68020000000001
2016-10-10,1,1071173.0677903064,107.2414,111.61860000000001,107.2414,111.61860000000001
2016-10-11,-1,1066376.6243724385,106.7612,111.1188,106.7612,111.1188
2016-10-12,1,1040926.1082776309,109.3092,113.77080000000001,109.3092,113.77080000000001
2016-10-13,1,1051751.5904867223,110.446,114.95400000000001,110.446,114.95400000000001
2016-10-14,1,1057817.593448713,111.083,115.61699999999999,111.083,115.61699999999999
2016-10-17,-1,1057724.270326221,111.0732,115.6068,111.0732,115.6068
2016-10-18,1,1050165.0974043552,111.867,116.433,111.867,116.433
2016-10-19,1,1060928.9446576454,113.0136,117.62639999999999,113.0136,117.62639999999999
2016-10-20,-1,1056421.0086284894,112.5334,117.1266,112.5334,117.1266
2016-10-21,1,1048325.1235149036,113.3958,118.0242,113.3958,118.0242
2016-10-24,1,1057747.4563163514,114.41499999999999,119.08500000000001,114.41499999999999,119.08500000000001
2016-10-25,-1,1057747.4563163514,114.41499999999999,119.08500000000001,114.41499999999999,119.08500000000001
2016-10-26,-1,1067532.1865332392,113.3566,117.9834,113.3566,117.9834
2016-10-27,-1,1070024.048644106,113.092,117.70800000000001,113.092,117.70800000000001
2016-10-28,1,1063255.2656674145,113.80739999999999,118.4526,113.80739999999999,118.4526
2016-10-31,1,1072960.342577838,114.8462,119.5338,114.8462,119.5338
2016-11-01,-1,1054282.6473917405,112.84700000000001,117.453,112.84700000000001,117.453
2016-11-02,-1,1074791.4891647105,110.6518,115.1682,110.6518,115.1682
2016-11-03,1,1071364.6453413174,111.0046,115.5354,111.0046,115.5354
2016-11-04,-1,1068621.6794443547,110.7204,115.23960000000001,110.7204,115.23960000000001
2016-11-07,1,1047718.3876088794,112.8862,117.4938,112.8862,117.4938
2016-11-08,1,1054449.1073487056,113.6114,118.24860000000001,113.6114,118.24860000000001
2016-11-09,-1,993417.8513294715,107.0356,111.4044,107.0356,111.4044
2016-11-10,-1,1025343.2922575655,103.5958,107.82419999999999,103.5958,107.82419999999999
2016-11-11,-1,1025343.2922575655,103.5958,107.82419999999999,103.5958,107.82419999999999
2016-11-14,-1,1055799.993966853,100.51859999999999,104.6214,100.51859999999999,104.6214
2016-11-15,1,1046330.0125449022,101.4202,105.5598,101.4202,105.5598
