date,portfolio_value
881,1000000.0
882,999948.169
883,1000407.313
884,1000726.189
885,999020.933
886,996719.084
887,996996.68
888,996801.2170000001
889,991004.7710000001
890,992882.04
891,995776.0920000002
892,989979.8470000001
893,992268.1220000001
894,1004906.2000000002
895,1007892.3260000001
896,1003047.0660000002
897,1005110.5460000001
898,1007017.3060000001
899,1009394.2260000001
900,1030851.8060000001
901,1025118.4660000001
902,1024569.9460000001
903,993330.4260000001
904,1008153.5260000002
905,994466.6460000001
906,994571.1260000002
907,1005802.7260000001
908,1017334.7060000001
909,1012868.1860000001
910,1019554.9060000002
911,1031988.0260000002
912,1051525.786
913,1052897.0860000001
914,1044290.5460000001
915,1066427.246
916,1082895.9060000002
917,1083326.8860000002
918,1094114.446
919,1093370.026
920,1089830.766
921,1103321.746
922,1099795.546
923,1096883.166
924,1099860.8460000001
925,1085873.5860000001
926,1089909.1260000002
927,1083627.266
928,1075373.3460000001
929,1062300.286
930,1068438.486
931,1068490.7260000003
932,1058865.5060000003
933,1070188.526
934,1095133.1260000002
935,1091332.666
936,1074890.1260000002
937,1069365.746
938,1014461.5060000002
939,1032092.5060000002
940,1026333.0460000001
941,1000408.9460000001
942,1002328.7660000001
943,986682.886
944,1025706.1660000001
945,1029389.0860000001
946,1008662.8660000002
947,970135.8660000002
948,965734.6460000001
949,939693.0060000002
950,971259.0260000002
951,975503.5260000002
952,988445.9860000001
953,993356.5460000001
954,1019267.5860000001
955,1026228.5660000002
956,1019424.3060000001
957,1019750.8060000001
958,1001989.2060000001
959,996438.7060000001
960,980832.0060000002
961,971794.4860000001
962,967471.6260000002
963,992311.7460000002
964,999311.9060000002
965,1006756.106
966,1002720.5660000002
967,1004457.5460000001
968,993304.3060000001
969,1011875.6260000002
970,1004666.5060000002
971,994453.5860000001
972,990235.2060000001
973,1000983.5860000001
974,1007800.9060000002
975,1006991.1860000001
976,1001427.6260000002
977,993918.1260000002
978,1008035.9860000001
979,1008989.3660000002
980,999873.4860000001
981,979917.8060000001
982,984880.606
983,989464.6660000001
984,1019855.2860000002
985,1040150.5260000002
986,1041365.106
987,1040032.9860000001
988,1044107.7060000001
989,1063201.4260000002
990,1067772.4260000002
991,1058081.9060000002
992,1055156.4660000002
993,1057193.8260000001
994,1056266.566
995,1068738.8660000002
996,1074694.2260000003
997,1093082.706
998,1096517.486
999,1092103.206
1000,1085063.8660000002
1001,1076052.4660000002
1002,1087636.6860000002
1003,1097562.286
1004,1058708.786
1005,1055365.4260000002
1006,1061712.5860000001
1007,1071128.8460000001
1008,1073283.746
1009,1081250.3460000001
1010,1093095.766
1011,1092912.9260000002
1012,1101153.786
1013,1103034.4260000002
1014,1104249.0060000003
1015,1119098.2260000003
1016,1118014.246
1017,1113547.7260000003
1018,1104471.026
1019,1108911.4260000002
1020,1104209.8260000001
1021,1114710.066
1022,1109264.046
1023,1110530.8660000002
1024,1106260.246
1025,1105489.706
1026,1111340.5860000001
1027,1114605.5860000001
1028,1113900.3460000001
1029,1116682.1260000002
1030,1113991.766
1031,1114566.4060000002
1032,1115154.1060000001
1033,1113704.446
1034,1119790.4060000002
1035,1101806.786
1036,1108153.946
1037,1107265.8660000002
1038,1104954.246
1039,1106534.5060000003
1040,1118523.5860000001
1041,1142449.5060000003
1042,1145087.6260000002
1043,1158408.8260000001
1044,1164899.6460000002
1045,1184907.566
1046,1188107.266
1047,1173741.266
1048,1169300.8660000002
1049,1185181.8260000001
1050,1179069.746
1051,1171063.9660000002
1052,1155966.6060000001
1053,1178586.526
1054,1180924.266
1055,1174942.786
1056,1178677.946
1057,1174067.766
1058,1185665.046
1059,1185939.306
1060,1188120.3260000001
1061,1199991.8660000002
1062,1208624.526
1063,1238975.9660000002
1064,1237291.2260000003
1065,1229572.766
1066,1225001.766
1067,1220587.486
1068,1240033.8260000001
1069,1244970.5060000003
1070,1239916.286
1071,1238179.306
1072,1256110.6860000002
1073,1251696.4060000002
1074,1262275.0060000003
1075,1234444.1460000002
1076,1252375.526
1077,1254138.6260000002
1078,1268282.6060000001
1079,1269418.8260000001
1080,1280924.6860000002
1081,1297941.8660000002
1082,1301076.266
1083,1302277.786
1084,1299561.306
1085,1301298.286
1086,1315376.9660000002
1087,1321397.6260000002
1088,1310505.5860000001
1089,1319739.0060000003
1090,1320000.206
1091,1278260.446
1092,1260760.046
1093,1281499.3260000001
1094,1275857.4060000002
1095,1259793.6060000001
1096,1290536.8460000001
1097,1300279.6060000001
1098,1296910.1260000002
1099,1309499.9660000002
1100,1308285.3860000002
1101,1311472.026
1102,1298725.4660000002
1103,1276262.266
1104,1293958.566
1105,1275152.166
1106,1264795.5860000001
1107,1246067.546
1108,1269235.986
1109,1261060.4260000002
1110,1278848.1460000002
1111,1301977.4060000002
1112,1298921.3660000002
1113,1315089.6460000002
1114,1307410.3660000002
1115,1308951.446
1116,1319699.8260000001
1117,1338519.286
1118,1341679.806
1119,1344069.786
1120,1340112.6060000001
1121,1357456.286
1122,1358657.806
1123,1375544.3860000002
1124,1366663.5860000001
1125,1332759.8260000001
1126,1290628.266
1127,1296492.206
1128,1301219.9260000002
1129,1289505.1060000001
1130,1290367.066
1131,1296492.206
1132,1293318.6260000002
1133,1283092.6460000002
1134,1250325.1060000001
1135,1264782.526
1136,1284777.3860000002
1137,1284046.026
1138,1278090.666
1139,1255092.0060000003
1140,1252349.4060000002
1141,1245584.3260000001
1142,1263358.986
1143,1251735.5860000001
1144,1244487.286
1145,1235097.1460000002
1146,1236089.706
1147,1246589.946
1148,1264260.1260000002
1149,1281251.1860000002
1150,1278182.0860000001
1151,1261230.206
1152,1264534.3860000002
1153,1279775.4060000002
1154,1262052.986
1155,1277803.3460000001
1156,1283837.066
1157,1306065.1860000002
1158,1296413.8460000001
1159,1289335.3260000001
1160,1272879.7260000003
1161,1267224.746
1162,1271599.8460000001
1163,1260420.486
1164,1247948.1860000002
1165,1227953.3260000001
1166,1226399.1860000002
1167,1242423.806
1168,1249645.986
1169,1256110.6860000002
1170,1253289.7260000003
1171,1250560.1860000002
1172,1261465.286
1173,1281577.6860000002
1174,1292979.066
1175,1294820.526
