日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,1,1000000.0,752.9437999999999,783.6762,752.9437999999999,783.6762
2016-08-10,1,1000325.3894912209,753.1887999999999,783.9312,753.1887999999999,783.9312
2016-08-11,1,1003813.56483711,755.8152,786.6648,755.8152,786.6648
2016-08-12,1,1005531.6213507568,757.1088,788.0111999999999,757.1088,788.0111999999999
2016-08-15,-1,1000234.2804336792,753.1202,783.8598000000001,753.1202,783.8598000000001
2016-08-16,-1,1006026.213377413,748.7592,779.3208,748.7592,779.3208
2016-08-17,1,1005249.348990872,749.3374,779.9226,749.3374,779.9226
2016-08-18,-1,1005025.8521501407,749.1708,779.7492000000001,749.1708,779.7492000000001
2016-08-19,-1,1014425.8663338439,742.1637999999999,772.4562,742.1637999999999,772.4562
2016-08-22,1,1011519.1251975264,744.2904,774.6696000000001,744.2904,774.6696000000001
2016-08-23,1,1015474.7419377128,747.201,777.6990000000001,747.201,777.6990000000001
2016-08-24,-1,1008549.0829986661,742.105,772.395,742.105,772.395
2016-08-25,1,1005925.323746758,744.0356,774.4044,744.0356,774.4044
2016-08-26,1,1018883.2933290179,753.62,784.38,753.62,784.38
2016-08-29,1,1021917.419130999,755.8642,786.7158,755.8642,786.7158
2016-08-30,-1,1017001.8703426367,752.2284000000001,782.9316,752.2284000000001,782.9316
2016-08-31,1,1014908.4560338461,753.7768,784.5432,753.7768,784.5432
2016-09-01,1,1016834.9295189589,755.2076,786.0324,755.2076,786.0324
2016-09-02,1,1019236.4238634148,756.9912,787.8888000000001,756.9912,787.8888000000001
2016-09-06,1,1040915.8480828698,773.0926,804.6474000000001,773.0926,804.6474000000001
2016-09-07,-1,1035123.2326036606,768.7904,800.1696000000001,768.7904,800.1696000000001
2016-09-08,-1,1035677.4236062276,768.3788,799.7411999999999,768.3788,799.7411999999999
2016-09-09,-1,1067273.7350781315,744.9372,775.3428,744.9372,775.3428
2016-09-12,1,1051337.7799999397,756.0602,786.9198,756.0602,786.9198
2016-09-13,-1,1037056.2987955179,745.7898,776.2302,745.7898,776.2302
2016-09-14,1,1036947.279855026,745.8682,776.3118000000001,745.8682,776.3118000000001
2016-09-15,1,1048664.3522206508,754.2962,785.0838000000001,754.2962,785.0838000000001
2016-09-16,1,1060694.788149542,762.9495999999999,794.0904,762.9495999999999,794.0904
2016-09-19,-1,1056035.2082087935,759.598,790.6020000000001,759.598,790.6020000000001
2016-09-20,1,1049059.462800422,764.6156,795.8244000000001,764.6156,795.8244000000001
2016-09-21,1,1061859.757699117,773.9452,805.5348,773.9452,805.5348
2016-09-22,1,1081974.5068256382,788.606,820.7940000000001,788.606,820.7940000000001
2016-09-23,1,1083386.3040571122,789.635,821.865,789.635,821.865
2016-09-26,-1,1074525.5957186245,783.1768,815.1432,783.1768,815.1432
2016-09-27,1,1051735.1546962627,799.7878,832.4322000000001,799.7878,832.4322000000001
2016-09-28,1,1067985.8810698153,812.1456000000001,845.2944,812.1456000000001,845.2944
2016-09-29,1,1068411.1578107567,812.4689999999999,845.631,812.4689999999999,845.631
2016-09-30,1,1079055.963508262,820.5637999999999,854.0562,820.5637999999999,854.0562
2016-10-03,-1,1078321.3945920907,820.0052,853.4748000000001,820.0052,853.4748000000001
2016-10-04,-1,1081813.818737398,817.3494,850.7106,817.3494,850.7106
2016-10-05,1,1068414.856173033,827.4728,861.2472,827.4728,861.2472
2016-10-06,-1,1064998.3986055648,824.8267999999999,858.4932,824.8267999999999,858.4932
2016-10-07,-1,1067820.1394853625,822.6414,856.2185999999999,822.6414,856.2185999999999
2016-10-10,1,1064919.8024494848,824.8758,858.5442,824.8758,858.5442
2016-10-11,-1,1051369.6591884638,814.38,847.62,814.38,847.62
2016-10-12,1,1047460.2341019508,817.4082,850.7718000000001,817.4082,850.7718000000001
2016-10-13,-1,1041419.7783645238,812.6944,845.8656,812.6944,845.8656
2016-10-14,-1,1049356.5102274213,806.5008,839.4192,806.5008,839.4192
2016-10-17,-1,1062120.2638331573,796.691,829.2090000000001,796.691,829.2090000000001
2016-10-18,1,1055979.707538163,801.2969999999999,834.003,801.2969999999999,834.003
2016-10-19,1,1056031.3667912683,801.3362000000001,834.0438,801.3362000000001,834.0438
2016-10-20,-1,1046513.1494066218,794.1136,826.5264000000001,794.1136,826.5264000000001
2016-10-21,1,1035316.0062960538,802.6102,835.3698,802.6102,835.3698
2016-10-24,1,1059461.0333662922,821.3282,854.8518,821.3282,854.8518
2016-10-25,-1,1055782.3931163237,818.4763999999999,851.8836,818.4763999999999,851.8836
2016-10-26,-1,1071697.8847819937,806.1382,839.0418000000001,806.1382,839.0418000000001
2016-10-27,-1,1077208.8708778955,801.9928,834.7272,801.9928,834.7272
2016-10-28,-1,1132546.2052193915,760.7936000000001,791.8464,760.7936000000001,791.8464
2016-10-31,1,1112851.5254862122,774.0236,805.6164000000001,774.0236,805.6164000000001
2016-11-01,-1,1106637.8625916357,769.7017999999999,801.1182,769.7017999999999,801.1182
2016-11-02,-1,1134606.390586497,750.2488,780.8711999999999,750.2488,780.8711999999999
2016-11-03,1,1132427.7613553952,751.6894,782.3706,751.6894,782.3706
2016-11-04,-1,1114740.728799905,739.949,770.151,739.949,770.151
2016-11-07,1,1070626.4940120883,769.2313999999999,800.6286,769.2313999999999,800.6286
2016-11-08,1,1074472.909250535,771.995,803.505,771.995,803.505
2016-11-09,-1,1052826.5937065098,756.4424,787.3176,756.4424,787.3176
2016-11-10,-1,1093063.9162363615,727.5323999999999,757.2276,727.5323999999999,757.2276
2016-11-11,-1,1098025.8298085437,724.2298,753.7902,724.2298,753.7902
2016-11-14,-1,1127652.8105616895,704.6886000000001,733.4514,704.6886000000001,733.4514
2016-11-15,1,1089749.173320147,728.3752,758.1048000000001,728.3752,758.1048000000001
2016-11-16,1,1094514.3700443418,731.5602,761.4198,731.5602,761.4198
2016-11-17,1,1109044.554517194,741.2719999999999,771.528,741.2719999999999,771.528
2016-11-18,1,1114557.520573493,744.9567999999999,775.3632,744.9567999999999,775.3632
2016-11-21,1,1143647.213806731,764.4,795.6,764.4,795.6
2016-11-22,1,1151462.1364344105,769.6234000000001,801.0366,769.6234000000001,801.0366
2016-11-23,-1,1143823.159531932,764.5176,795.7224,764.5176,795.7224
2016-11-25,1,1143456.6059377634,764.7626,795.9774,764.7626,795.9774
2016-11-28,-1,1123528.866736162,751.4345999999999,782.1054,751.4345999999999,782.1054
2016-11-29,-1,1129756.2852366623,747.2696,777.7704,747.2696,777.7704
2016-11-30,-1,1147461.509504325,735.5586000000001,765.5814,735.5586000000001,765.5814
2016-12-01,-1,1158040.7141698059,728.7769999999999,758.523,728.7769999999999,758.523
2016-12-02,-1,1163195.1749563345,725.5332,755.1468000000001,725.5332,755.1468000000001
2016-12-05,1,1133311.6454595232,744.1728,774.5472,744.1728,774.5472
2016-12-06,1,1141311.2114356915,749.4256,780.0144,749.4256,780.0144
2016-12-07,1,1149818.2125670642,755.0115999999999,785.8284,755.0115999999999,785.8284
2016-12-08,-1,1145206.5224800569,751.9834000000001,782.6766,751.9834000000001,782.6766
2016-12-09,1,1143221.5555494034,753.2868,784.0332,753.2868,784.0332
2016-12-12,-1,1130520.0853488052,744.9176,775.3224,744.9176,775.3224
2016-12-13,1,1109370.7989023756,758.8532,789.8268,758.8532,789.8268
2016-12-14,-1,1101462.48109632,753.4436000000001,784.1964,753.4436000000001,784.1964
2016-12-15,-1,1112665.9313215658,745.78,776.22,745.78,776.22
2016-12-16,-1,1117388.547560946,742.6146,772.9254,742.6146,772.9254
2016-12-19,1,1105252.7969421218,750.68,781.32,750.68,781.32
2016-12-20,1,1112784.6763155393,755.7956,786.6444,755.7956,786.6444
2016-12-21,-1,1111890.0852788498,755.188,786.0120000000001,755.188,786.0120000000001
2016-12-22,-1,1118036.7914341677,751.0132,781.6668000000001,751.0132,781.6668000000001
2016-12-23,-1,1126425.6417496237,745.3782,775.8018000000001,745.3782,775.8018000000001
2016-12-27,1,1110416.1475578602,755.972,786.828,755.972,786.828
2016-12-28,1,1111466.9691649608,756.6874,787.5726,756.6874,787.5726
2016-12-29,-1,1101419.3872230968,749.847,780.453,749.847,780.453
2016-12-30,-1,1123414.6668895269,734.8726,764.8674,734.8726,764.8674
2017-01-03,1,1117721.7124651864,738.5966,768.7434,738.5966,768.7434
2017-01-04,1,1122927.178001499,742.0364,772.3235999999999,742.0364,772.3235999999999
2017-01-05,1,1157437.4865570539,764.841,796.0590000000001,764.841,796.0590000000001
2017-01-06,1,1180483.9066238056,780.0702,811.9098,780.0702,811.9098
2017-01-09,1,1181863.1325351363,780.9816,812.8584,780.9816,812.8584
2017-01-10,-1,1180350.4331485154,779.982,811.818,779.982,811.818
2017-01-11,1,1175723.3526717932,783.0396,815.0004,783.0396,815.0004
2017-01-12,1,1197236.0499960924,797.3672,829.9128,797.3672,829.9128
2017-01-13,1,1202386.1485347415,800.7972,833.4828,800.7972,833.4828
2017-01-17,-1,1191467.9396328058,793.5256,825.9144,793.5256,825.9144
2017-01-18,-1,1194764.0026975411,791.3304,823.6296,791.3304,823.6296
2017-01-19,1,1192455.7946376412,792.8592,825.2207999999999,792.8592,825.2207999999999
2017-01-20,-1,1191409.3153360088,792.1634,824.4966000000001,792.1634,824.4966000000001
2017-01-23,1,1177333.4317717976,801.5224,834.2376,801.5224,834.2376
2017-01-24,1,1183897.5248525422,805.9912,838.8888000000001,805.9912,838.8888000000001
2017-01-25,1,1204165.601733438,819.7896,853.2504,819.7896,853.2504
2017-01-26,1,1207951.4712076394,822.367,855.933,822.367,855.933
2017-01-27,-1,1203085.9811609471,819.0545999999999,852.4854,819.0545999999999,852.4854
2017-01-30,-1,1210844.8543419149,813.7724,846.9876,813.7724,846.9876
2017-01-31,-1,1220906.30752595,807.0104,839.9496,807.0104,839.9496
2017-02-01,1,1207755.4854686384,815.703,848.9970000000001,815.703,848.9970000000001
2017-02-02,1,1218783.2282325737,823.1510000000001,856.749,823.1510000000001,856.749
2017-02-03,-1,1175615.4193869054,793.996,826.4040000000001,793.996,826.4040000000001
2017-02-06,-1,1179330.02747581,791.4871999999999,823.7928,791.4871999999999,823.7928
2017-02-07,1,1172233.3706317549,796.25,828.75,796.25,828.75
2017-02-08,1,1182635.5892191457,803.3158,836.1042000000001,803.3158,836.1042000000001
2017-02-09,1,1185016.1246795056,804.9328,837.7872,804.9328,837.7872
2017-02-10,1,1193816.892139018,810.9108,844.0092000000001,810.9108,844.0092000000001
2017-02-13,1,1206902.623427178,819.7994,853.2606,819.7994,853.2606
2017-02-14,-1,1206700.6386002384,819.6622,853.1178,819.6622,853.1178
2017-02-15,1,1197596.8939003164,825.846,859.5540000000001,825.846,859.5540000000001
2017-02-16,1,1199643.3392868317,827.2572,861.0228,827.2572,861.0228
