日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,0,1000000.0,752.9438,783.6762,752.9438,783.6762
2016-08-10,0,1000000.0,753.18884,783.93115,753.18884,783.93115
2016-08-11,0,1000000.0,755.8152,786.6648,755.8152,786.6648
2016-08-12,0,1000000.0,757.1088,788.01117,757.1088,788.01117
2016-08-15,0,1000000.0,753.1202,783.8598,753.1202,783.8598
2016-08-16,0,1000000.0,748.7592,779.32074,748.7592,779.32074
2016-08-17,0,1000000.0,749.3374,779.9226,749.3374,779.9226
2016-08-18,0,1000000.0,749.17084,779.7492,749.17084,779.7492
2016-08-19,0,1000000.0,742.1638,772.4562,742.1638,772.4562
2016-08-22,0,1000000.0,744.2904,774.66956,744.2904,774.66956
2016-08-23,0,1000000.0,747.20105,777.699,747.20105,777.699
2016-08-24,0,1000000.0,742.10504,772.39496,742.10504,772.39496
2016-08-25,0,1000000.0,744.0356,774.40436,744.0356,774.40436
2016-08-26,0,1000000.0,753.62,784.38,753.62,784.38
2016-08-29,0,1000000.0,755.8642,786.71576,755.8642,786.71576
2016-08-30,0,1000000.0,752.22845,782.9316,752.22845,782.9316
2016-08-31,0,1000000.0,753.7768,784.54315,753.7768,784.54315
2016-09-01,0,1000000.0,755.2076,786.0324,755.2076,786.0324
2016-09-02,0,1000000.0,756.9912,787.8888,756.9912,787.8888
2016-09-06,0,1000000.0,773.0926,804.6474,773.0926,804.6474
2016-09-07,-1,1000000.0,768.7904,800.16956,768.7904,800.16956
2016-09-08,-1,1000535.3689193726,768.3788,799.7412,768.3788,799.7412
2016-09-09,-1,1031059.5644486895,744.93726,775.3428,744.93726,775.3428
2016-09-12,-1,1015664.360061328,756.0602,786.9198,756.0602,786.9198
2016-09-13,-1,1029461.2232984144,745.7898,776.2302,745.7898,776.2302
2016-09-14,-1,1029352.9830756087,745.8682,776.3118,745.8682,776.3118
2016-09-15,-1,1017721.6956725294,754.2962,785.0838,754.2962,785.0838
2016-09-16,-1,1006046.1631998306,762.94965,794.0904,762.94965,794.0904
2016-09-19,-1,1010465.705412326,759.59796,790.602,759.59796,790.602
2016-09-20,-1,1003790.9477328268,764.6156,795.82434,764.6156,795.82434
2016-09-21,-1,991543.0250196434,773.9452,805.5348,773.9452,805.5348
2016-09-22,-1,972760.2729360145,788.606,820.794,788.606,820.794
2016-09-23,-1,971490.9522158713,789.635,821.865,789.635,821.865
2016-09-26,-1,979436.5537978146,783.1768,815.1431,783.1768,815.1431
2016-09-27,-1,958662.8651133201,799.7878,832.4322,799.7878,832.4322
2016-09-28,-1,943850.2660192079,812.14557,845.2944,812.14557,845.2944
2016-09-29,-1,943474.3509998423,812.469,845.631,812.469,845.631
2016-09-30,-1,934074.2575269007,820.56384,854.05615,820.56384,854.05615
2016-10-03,-1,934710.123578528,820.0052,853.4748,820.0052,853.4748
2016-10-04,-1,937737.4043851222,817.3494,850.71063,817.3494,850.71063
2016-10-05,-1,926122.9576448757,827.4728,861.2472,827.4728,861.2472
2016-10-06,-1,929084.4484282506,824.8268,858.49316,824.8268,858.49316
2016-10-07,-1,931546.0447274867,822.6414,856.21857,822.6414,856.21857
2016-10-10,-1,929015.794580011,824.87585,858.5442,824.87585,858.5442
2016-10-11,-1,940836.6858856941,814.38,847.62,814.38,847.62
2016-10-12,-1,937338.1890262829,817.40826,850.7718,817.40826,850.7718
2016-10-13,-1,942743.583448593,812.69446,845.8656,812.69446,845.8656
2016-10-14,-1,949928.2793230299,806.50085,839.4192,806.50085,839.4192
2016-10-17,-1,961482.6375732243,796.69104,829.209,796.69104,829.209
2016-10-18,-1,955923.9101947335,801.29706,834.003,801.29706,834.003
2016-10-19,-1,955877.188640552,801.33624,834.04376,801.33624,834.04376
2016-10-20,-1,964492.6779420828,794.11365,826.52637,794.11365,826.52637
2016-10-21,-1,954173.078335567,802.6102,835.36975,802.6102,835.36975
2016-10-24,-1,931920.3219568951,821.32825,854.8518,821.32825,854.8518
