日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,0,1000000.0,752.9437999999999,783.6762,752.9437999999999,783.6762
2016-08-10,1,1000000.0,753.1887999999999,783.9312,753.1887999999999,783.9312
2016-08-11,1,1003487.04069949,755.8152,786.6648,755.8152,786.6648
2016-08-12,1,1005204.5383574477,757.1088,788.0111999999999,757.1088,788.0111999999999
2016-08-15,0,999908.9205787448,753.1202,783.8598000000001,753.1202,783.8598000000001
2016-08-16,0,999908.9205787448,748.7592,779.3208,748.7592,779.3208
2016-08-17,0,999908.9205787448,749.3374,779.9226,749.3374,779.9226
2016-08-18,0,999908.9205787448,749.1708,779.7492000000001,749.1708,779.7492000000001
2016-08-19,0,999908.9205787448,742.1637999999999,772.4562,742.1637999999999,772.4562
2016-08-22,0,999908.9205787448,744.2904,774.6696000000001,744.2904,774.6696000000001
2016-08-23,0,999908.9205787448,747.201,777.6990000000001,747.201,777.6990000000001
2016-08-24,0,999908.9205787448,742.105,772.395,742.105,772.395
2016-08-25,0,999908.9205787448,744.0356,774.4044,744.0356,774.4044
2016-08-26,1,999908.9205787448,753.62,784.38,753.62,784.38
2016-08-29,1,1002886.5427219507,755.8642,786.7158,755.8642,786.7158
2016-08-30,1,998062.5347956215,752.2284000000001,782.9316,752.2284000000001,782.9316
2016-08-31,1,1000116.9640472658,753.7768,784.5432,753.7768,784.5432
2016-09-01,1,1002015.3606975193,755.2076,786.0324,755.2076,786.0324
2016-09-02,1,1004381.855151945,756.9912,787.8888000000001,756.9912,787.8888000000001
2016-09-06,1,1025745.3188256884,773.0926,804.6474000000001,773.0926,804.6474000000001
2016-09-07,1,1020037.1261581454,768.7904,800.1696000000001,768.7904,800.1696000000001
2016-09-08,1,1019491.0120532778,768.3788,799.7411999999999,768.3788,799.7411999999999
2016-09-09,1,988388.5135093981,744.9372,775.3428,744.9372,775.3428
2016-09-12,1,1003146.5970576019,756.0602,786.9198,756.0602,786.9198
2016-09-13,0,989519.7498694806,745.7898,776.2302,745.7898,776.2302
2016-09-14,0,989519.7498694806,745.8682,776.3118000000001,745.8682,776.3118000000001
2016-09-15,0,989519.7498694806,754.2962,785.0838000000001,754.2962,785.0838000000001
2016-09-16,0,989519.7498694806,762.9495999999999,794.0904,762.9495999999999,794.0904
2016-09-19,1,989519.7498694806,759.598,790.6020000000001,759.598,790.6020000000001
2016-09-20,1,996056.1208143028,764.6156,795.8244000000001,764.6156,795.8244000000001
2016-09-21,1,1008209.6855398318,773.9452,805.5348,773.9452,805.5348
2016-09-22,1,1027308.1443942343,788.606,820.7940000000001,788.606,820.7940000000001
2016-09-23,1,1028648.6110919028,789.635,821.865,789.635,821.865
2016-09-26,1,1020235.5867703445,783.1768,815.1432,783.1768,815.1432
2016-09-27,1,1041874.5491755668,799.7878,832.4322000000001,799.7878,832.4322000000001
2016-09-28,1,1057972.9158970919,812.1456000000001,845.2944,812.1456000000001,845.2944
2016-09-29,1,1058394.2054306448,812.4689999999999,845.631,812.4689999999999,845.631
2016-09-30,1,1068939.2101189715,820.5637999999999,854.0562,820.5637999999999,854.0562
2016-10-03,1,1068211.52819738,820.0052,853.4748000000001,820.0052,853.4748000000001
2016-10-04,1,1064751.847482445,817.3494,850.7106,817.3494,850.7106
2016-10-05,1,1077939.486517604,827.4728,861.2472,827.4728,861.2472
2016-10-06,1,1074492.5721521704,824.8267999999999,858.4932,824.8267999999999,858.4932
2016-10-07,1,1071645.6762133122,822.6414,856.2185999999999,822.6414,856.2185999999999
2016-10-10,1,1074556.4038996787,824.8758,858.5442,824.8758,858.5442
2016-10-11,1,1060883.6435834586,814.38,847.62,814.38,847.62
2016-10-12,1,1064828.4455794548,817.4082,850.7718000000001,817.4082,850.7718000000001
2016-10-13,0,1058687.8314691824,812.6944,845.8656,812.6944,845.8656
2016-10-14,0,1058687.8314691824,806.5008,839.4192,806.5008,839.4192
2016-10-17,0,1058687.8314691824,796.691,829.2090000000001,796.691,829.2090000000001
2016-10-18,0,1058687.8314691824,801.2969999999999,834.003,801.2969999999999,834.003
2016-10-19,0,1058687.8314691824,801.3362000000001,834.0438,801.3362000000001,834.0438
2016-10-20,0,1058687.8314691824,794.1136,826.5264000000001,794.1136,826.5264000000001
2016-10-21,0,1058687.8314691824,802.6102,835.3698,802.6102,835.3698
2016-10-24,0,1058687.8314691824,821.3282,854.8518,821.3282,854.8518
2016-10-25,0,1058687.8314691824,818.4763999999999,851.8836,818.4763999999999,851.8836
