date,portfolio_value
881,1000000.0
882,999992.5506000001
883,999988.8435800001
884,1000064.3558800002
885,1000287.74132
886,1000495.0896400001
887,1000683.6954600001
888,1000975.96898
889,1001163.82
890,1001097.32688
891,1001075.0405599999
892,1000987.4759399999
893,1001194.3587999998
894,1000534.9039799998
895,1001310.2994799998
896,1001692.5992199997
897,1001126.9531199997
898,1001514.7020399998
899,1001992.8678399997
900,1002187.7867799998
901,1002182.4351799998
902,1001098.9435799997
903,997832.3633199998
904,997084.3112999998
905,994737.2715799997
906,993975.7494399997
907,993758.5975599997
908,993037.5738399997
909,993984.6166399997
910,994245.8454399997
911,995944.2450599998
912,995317.3278999997
913,994561.5707999996
914,995555.1371599996
915,996116.5332599997
916,997230.0726999997
917,998118.5001799997
918,997899.5228399998
919,985271.5712799998
920,980957.2918999997
921,980490.2230199997
922,980555.2656999999
923,977766.0066799998
924,978229.2539599998
925,974110.6503599997
926,974350.9402599997
927,973486.2247199997
928,974104.9478799996
929,973496.5977799996
930,976057.7402599996
931,976206.1903799997
932,977033.9574399997
933,977117.7881799997
934,977779.9572199996
935,975388.5736799997
936,974392.9343399997
937,975188.0930199997
938,975978.1374199997
939,975204.5078799997
940,972873.0115999996
941,975500.1147599997
942,974541.5340599997
943,975127.2489999998
944,983069.5344199997
945,982738.4736999997
946,983374.7180799998
947,989563.4925999998
948,986278.4132799997
949,984978.9829199996
950,985349.6515999996
951,986772.9548399998
952,984981.8776799997
953,984879.2656799997
954,989292.5350399996
955,989212.3038799996
956,991859.5537399995
957,993896.1282399995
958,994519.6358799995
959,998996.6953599995
960,1001650.9573799996
961,1000585.2457399997
962,1001902.2673599997
963,1009647.9926599996
964,1007498.2634399997
965,1013119.6000599996
966,1014617.3496999997
967,1016045.0416599996
968,1016306.1769599996
969,1014745.2491999997
970,1011895.7391199996
971,1014675.3009999996
972,1009534.1919399997
973,1010436.2993199995
974,1009735.6368399996
975,1009251.2218399995
976,1005176.4119399996
977,1006444.4048799996
978,1009407.6245599997
979,1001872.2936399996
980,999342.8595599997
981,997467.9509799996
982,996020.7810999997
983,1000350.9054999996
984,995338.1273999996
985,999364.2979199997
986,1006320.8896799997
987,1002531.7151399996
988,1005255.2762999997
989,1004626.0719599996
990,1002805.1733999997
991,1002762.8314999996
992,1006494.1499399997
993,1003214.2947199997
994,1007627.6487399997
995,1005490.8636599997
996,1009630.4972799997
997,1015147.0948599996
998,1016255.8848399997
999,988969.2252999997
1000,984837.4769599998
1001,979814.2832999997
1002,975366.4114599997
1003,977850.4963399998
1004,981525.9208199997
1005,976841.3953799998
1006,975774.1676799997
1007,974869.8084799998
1008,974649.1964199997
1009,981564.1660599997
1010,983182.2216399997
1011,990382.0446399997
1012,991490.7122199998
1013,989196.9912999999
1014,987519.0277199998
1015,987377.5367199997
1016,982186.0267399998
1017,982273.7351799998
1018,984597.9629399999
1019,977649.0136999998
1020,982795.6147799997
1021,998118.0387999997
1022,983155.8733399997
1023,978081.6939599998
1024,977055.9302799997
1025,978666.8737399997
1026,978267.7259799998
1027,973398.2609399998
1028,974343.1692199998
1029,969558.0510399997
1030,961245.1251599997
1031,970471.4950399997
1032,970364.1233799998
1033,978421.5123999998
1034,974047.0883799997
1035,962313.7329199996
1036,962098.2936199997
1037,965488.2156799998
1038,954220.3759799998
1039,959480.3480199997
1040,966665.7067399998
1041,964104.2402399997
1042,957640.2697199997
1043,955928.1793199998
1044,954039.2994599997
1045,956265.1111599997
1046,955643.4092599999
1047,955356.6110999997
1048,954329.9746399997
1049,958609.3842999998
1050,962397.1284599998
1051,957132.6901799997
1052,950093.1428399999
1053,959211.4566399998
1054,955736.4573999997
1055,953897.8982199999
1056,965436.3095799998
1057,967825.2549799999
1058,982624.8667799997
1059,994542.5549399997
1060,993624.8361199999
1061,990682.4223999998
1062,986985.2249999997
1063,996448.0879999998
1064,1005714.0389799998
1065,1007585.9592999998
1066,1013493.6694199997
1067,1029045.7875799998
1068,1022492.0420999997
1069,1016798.1916399999
1070,1016471.9514399997
1071,1007495.2891899998
1072,1008852.7572499998
1073,1015426.7092199998
1074,1010646.8418999998
1075,998946.2757499998
1076,999866.1412199998
1077,1002447.3126299997
1078,1003841.3427299998
1079,1000627.4267399999
1080,1009421.2446699997
1081,1009282.9853099998
1082,1007859.0864299998
1083,1008262.9125899997
1084,1008872.3753999998
1085,1015847.3257799998
1086,1027589.3986199996
1087,1014979.5928199998
1088,1009173.1336199999
1089,1003927.8365399999
1090,1004893.8331799997
1091,1021113.3896799998
1092,1011324.0170299998
1093,1024029.1794399999
1094,1019130.9930099999
1095,1016710.6007299998
1096,1018779.5938399996
1097,1023196.7283299998
1098,1013476.2829799998
1099,1004772.8413599996
1100,1010082.2400399998
1101,1014848.2647899998
1102,1014639.9303299998
1103,1007185.6254199998
1104,1014146.2609499998
1105,992942.9580299999
1106,1001838.8120999999
1107,1010336.2523199997
1108,998741.2737099999
1109,995421.3223899998
1110,1008399.5632199997
1111,1004881.8171299997
1112,999837.1116299998
1113,1006458.8666999997
1114,1010880.6782099998
1115,1019162.9788799997
1116,1019023.7887499998
1117,1016880.7265999998
1118,1023570.4794399999
1119,1022190.5332299997
1120,1019637.3872199997
1121,1014806.5415799997
1122,1015495.6618199997
1123,1007616.3762999998
1124,1005889.8311999998
1125,1004785.8183499998
1126,995531.2529799998
1127,1030492.6936299998
1128,1036630.8764099998
1129,1028422.1082999997
1130,1030491.6613799998
1131,1031043.5141599999
1132,1021036.9168599998
1133,1023792.4042099998
1134,1015297.3529599998
1135,1012399.7277799997
1136,1026492.2079799997
1137,1027663.8882199997
1138,1036428.0114099998
1139,1018920.9986899997
1140,1020438.2066699998
1141,1016230.3348299998
1142,1021755.6478799997
1143,1016303.3343299998
1144,1016786.2591699997
1145,1022160.7120999997
1146,1020570.6639699998
1147,1017741.9919499998
1148,1018707.3621399998
1149,1017740.0525499998
1150,1019672.1871799998
1151,1011538.3163299998
1152,1011743.5882199998
1153,1010845.8077199998
1154,1014989.3309099998
1155,1044037.0261799998
1156,1044726.9769999998
1157,1044174.2734799997
1158,1050179.6838799997
1159,1050592.0932499997
1160,1056248.1529899999
1161,1053143.45204
1162,1056455.3015399997
1163,1056938.2205599998
1164,1051492.1811099998
1165,1060259.5777299998
1166,1056465.4139599998
1167,1058812.5112199998
1168,1058949.1493399998
1169,1058120.8779999998
1170,1064873.6770199996
1171,1071707.6484199998
1172,1069706.4297099998
1173,1072537.1320099998
1174,1072466.7522199997
1175,1068602.0389199997
1176,1071702.0642599997
1177,1069904.7727899998
1178,1072730.75642
1179,1073557.8429999999
1180,1071900.4618599997
1181,1073625.5586399997
1182,1071763.3374099997
1183,1069413.64581
1184,1078790.8300699997
1185,1074505.2452099996
1186,1076228.8628099998
1187,1080438.3189599998
1188,1128198.4888199996
1189,1124670.1410199997
1190,1118248.9030999998
1191,1114662.5835499999
1192,1118044.9409599998
1193,1114525.5216799998
1194,1113421.5222699998
1195,1110316.3630199998
1196,1117010.1742199997
1197,1125072.3762899998
1198,1122377.3340699999
1199,1120651.88912
1200,1137645.9452199996
1201,1133435.4803799998
1202,1124533.0282299998
1203,1126737.0204899998
1204,1129496.92515
1205,1129426.5109299999
1206,1134398.8905199997
1207,1129774.4299099997
1208,1129360.3282899996
1209,1125082.1667299997
1210,1140949.7057899998
1211,1136671.54255
1212,1139566.62945
1213,1129893.3099299998
1214,1135135.0951699999
1215,1132236.9327699998
1216,1121485.5149499997
1217,1125349.6694899998
1218,1124934.5206699998
1219,1140130.0287099998
1220,1138541.7906299997
1221,1135781.6277399997
1222,1122257.6277399997
1223,1121498.6277399997
1224,1133366.6277399997
1225,1135988.6277399997
1226,1138127.6277399997
1227,1140404.6277399997
1228,1142198.6277399997
1229,1139300.6277399997
1230,1143923.6277399997
1231,1150478.6277399997
1232,1146752.6277399997
1233,1156619.6277399997
1234,1162829.6277399997
1235,1167245.6277399997
1236,1176905.6277399997
1237,1178147.6277399997
1238,1181114.6277399997
1239,1176215.6277399997
1240,1187391.8393899999
1241,1188633.6694199997
1242,1165189.8186699997
1243,1177691.1309199997
1244,1166237.27388
1245,1172447.1069799997
1246,1177967.7391799996
1247,1184858.2217799998
1248,1193211.06698
1249,1215207.7696899998
1250,1186541.8056899998
1251,1164604.6370399997
1252,1175865.9369999997
1253,1176347.4922999998
1254,1165456.6169699996
1255,1138179.6986999998
1256,1093285.27314
1257,1120159.2508499997
1258,1106288.8088699998
