日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,1,1000000.0,39.4744,41.085598,39.4744,41.085598
2016-08-10,1,989076.4951705933,39.0432,40.6368,39.0432,40.6368
2016-08-11,1,994041.7992311268,39.2392,40.8408,39.2392,40.8408
2016-08-12,1,986345.6435954523,38.935402,40.524597,38.935402,40.524597
2016-08-15,1,997020.8737387647,39.3568,40.9632,39.3568,40.9632
2016-08-16,1,992800.4817255022,39.1902,40.789803,39.1902,40.789803
2016-08-17,1,998262.1455236756,39.4058,41.0142,39.4058,41.0142
2016-08-18,1,999006.9797999742,39.435204,41.0448,39.435204,41.0448
2016-08-19,1,999255.1652612453,39.445,41.055,39.445,41.055
2016-08-22,1,997517.3163110982,39.3764,40.9836,39.3764,40.9836
2016-08-23,1,999255.1157243705,39.445,41.055,39.445,41.055
2016-08-24,1,1000248.2232697216,39.484203,41.0958,39.484203,41.0958
2016-08-25,1,1006206.4708679601,39.7194,41.3406,39.7194,41.3406
2016-08-26,1,1014150.8235867969,40.033,41.666996,40.033,41.666996
2016-08-29,1,1024329.5581803153,40.4348,42.085197,40.4348,42.085197
2016-08-30,1,1035501.3653833598,40.8758,42.544197,40.8758,42.544197
2016-08-31,1,1034508.2794643958,40.836597,42.5034,40.836597,42.5034
2016-09-01,1,1029543.1106194985,40.640602,42.2994,40.640602,42.2994
2016-09-02,1,1034011.8728027794,40.817,42.483,40.817,42.483
2016-09-06,1,1029791.3812124189,40.650402,42.309597,40.650402,42.309597
2016-09-07,1,1025074.4241163541,40.464203,42.1158,40.464203,42.1158
2016-09-08,1,1028798.2979700998,40.6112,42.2688,40.6112,42.2688
2016-09-09,1,1016136.9507375391,40.1114,41.7486,40.1114,41.7486
2016-09-12,1,1029294.7766843425,40.6308,42.2892,40.6308,42.2892
2016-09-13,0,1011419.990404778,39.9252,41.554802,39.9252,41.554802
2016-09-14,0,1011419.990404778,39.729202,41.3508,39.729202,41.3508
2016-09-15,0,1011419.990404778,40.033,41.666996,40.033,41.666996
2016-09-16,0,1011419.990404778,39.2588,40.861202,39.2588,40.861202
2016-09-19,0,1011419.990404778,39.2882,40.8918,39.2882,40.8918
2016-09-20,0,1011419.990404778,39.3764,40.9836,39.3764,40.9836
2016-09-21,0,1011419.990404778,39.709602,41.3304,39.709602,41.3304
2016-09-22,0,1011419.990404778,39.543,41.156998,39.543,41.156998
2016-09-23,0,1011419.990404778,39.396,41.004,39.396,41.004
2016-09-26,0,1011419.990404778,38.759,40.341,38.759,40.341
2016-09-27,0,1011419.990404778,38.71,40.29,38.71,40.29
2016-09-28,0,1011419.990404778,38.71,40.29,38.71,40.29
2016-09-29,0,1011419.990404778,38.2788,39.8412,38.2788,39.8412
2016-09-30,0,1011419.990404778,39.0824,40.6776,39.0824,40.6776
2016-10-03,0,1011419.990404778,38.8962,40.4838,38.8962,40.4838
2016-10-04,0,1011419.990404778,39.396,41.004,39.396,41.004
2016-10-05,0,1011419.990404778,40.0134,41.646603,40.0134,41.646603
2016-10-06,0,1011419.990404778,39.9154,41.544598,39.9154,41.544598
2016-10-07,0,1011419.990404778,39.758602,41.381397,39.758602,41.381397
2016-10-10,0,1011419.990404778,39.8664,41.4936,39.8664,41.4936
2016-10-11,0,1011419.990404778,39.151,40.749,39.151,40.749
2016-10-12,0,1011419.990404778,39.3176,40.922398,39.3176,40.922398
2016-10-13,0,1011419.990404778,38.3082,39.8718,38.3082,39.8718
2016-10-14,0,1011419.990404778,38.680603,40.2594,38.680603,40.2594
2016-10-17,0,1011419.990404778,38.514,40.086,38.514,40.086
2016-10-18,0,1011419.990404778,39.2294,40.830597,39.2294,40.830597
2016-10-19,0,1011419.990404778,39.621403,41.238598,39.621403,41.238598
2016-10-20,0,1011419.990404778,41.405003,43.094997,41.405003,43.094997
2016-10-21,0,1011419.990404778,42.189,43.911,42.189,43.911
2016-10-24,0,1011419.990404778,42.5418,44.2782,42.5418,44.2782
2016-10-25,0,1011419.990404778,42.532,44.268,42.532,44.268
2016-10-26,0,1011419.990404778,42.7378,44.4822,42.7378,44.4822
2016-10-27,0,1011419.990404778,42.826,44.574,42.826,44.574
2016-10-28,0,1011419.990404778,42.63,44.37,42.63,44.37
2016-10-31,0,1011419.990404778,42.404602,44.1354,42.404602,44.1354
2016-11-01,0,1011419.990404778,42.532,44.268,42.532,44.268
2016-11-02,0,1011419.990404778,42.0126,43.727398,42.0126,43.727398
2016-11-03,0,1011419.990404778,42.179203,43.9008,42.179203,43.9008
2016-11-04,0,1011419.990404778,42.130203,43.8498,42.130203,43.8498
2016-11-07,0,1011419.990404778,43.1494,44.9106,43.1494,44.9106
2016-11-08,0,1011419.990404778,43.002403,44.7576,43.002403,44.7576
2016-11-09,0,1011419.990404778,44.6292,46.4508,44.6292,46.4508
2016-11-10,0,1011419.990404778,45.2858,47.134197,45.2858,47.134197
