日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-16,0,1000000.0,359.7286,374.4114,359.7286,374.4114
2016-08-17,0,1000000.0,362.69800000000004,377.502,362.69800000000004,377.502
2016-08-18,0,1000000.0,363.37420000000003,378.2058,363.37420000000003,378.2058
2016-08-19,0,1000000.0,364.609,379.49100000000004,364.609,379.49100000000004
2016-08-22,0,1000000.0,364.119,378.981,364.119,378.981
2016-08-23,-1,1000000.0,364.83439999999996,379.7256,364.83439999999996,379.7256
2016-08-24,0,1008488.2346620823,361.7376,376.5024,361.7376,376.5024
2016-08-25,0,1008488.2346620823,361.13,375.87,361.13,375.87
2016-08-26,-1,1008488.2346620823,363.66819999999996,378.5118,363.66819999999996,378.5118
2016-08-29,-1,1001123.4360527577,366.324,381.276,366.324,381.276
2016-08-30,-1,995204.5414736337,368.4898,383.5302,368.4898,383.5302
2016-08-31,-1,1003674.1421031796,365.3538,380.2662,365.3538,380.2662
2016-09-01,0,1005397.1416228975,364.7266,379.6134,364.7266,379.6134
2016-09-02,-1,1005397.1416228975,366.373,381.32700000000006,366.373,381.32700000000006
2016-09-06,-1,1011474.9737482629,364.15819999999997,379.0218,364.15819999999997,379.0218
2016-09-07,-1,1006167.0370470353,366.0692,381.0108,366.0692,381.0108
2016-09-08,-1,1009291.6120938163,364.9324,379.8276,364.9324,379.8276
2016-09-09,1,1036937.4965219727,354.9364,369.4236,354.9364,369.4236
2016-09-12,-1,1053886.7206078141,360.738,375.46200000000005,360.738,375.46200000000005
2016-09-13,1,1074472.0113472058,353.6918,368.12820000000005,353.6918,368.12820000000005
2016-09-14,1,1073846.8163612455,353.486,367.914,353.486,367.914
2016-09-15,-1,1088136.9874689083,358.19,372.81,358.19,372.81
2016-09-16,-1,1086737.7415479496,358.6506,373.28940000000006,358.6506,373.28940000000006
2016-09-19,-1,1080828.4918671548,360.6008,375.31919999999997,360.6008,375.31919999999997
2016-09-20,0,1087437.5366184895,358.39579999999995,373.0242,358.39579999999995,373.0242
2016-09-21,-1,1087437.5366184895,362.9626,377.7774,362.9626,377.7774
2016-09-22,-1,1077161.24162115,366.3926,381.3474,366.3926,381.3474
2016-09-23,0,1100843.9800225352,358.337,372.96299999999997,358.337,372.96299999999997
2016-09-26,1,1100843.9800225352,353.486,367.914,353.486,367.914
2016-09-27,0,1104170.622490582,354.55420000000004,369.0258,354.55420000000004,369.0258
2016-09-28,0,1104170.622490582,354.4464,368.91360000000003,354.4464,368.91360000000003
2016-09-29,0,1104170.622490582,350.0854,364.37460000000004,350.0854,364.37460000000004
2016-09-30,-1,1104170.622490582,355.21079999999995,369.7092,355.21079999999995,369.7092
2016-10-03,0,1111451.337018399,352.8686,367.27139999999997,352.8686,367.27139999999997
2016-10-04,0,1111451.337018399,348.90939999999995,363.1506,348.90939999999995,363.1506
2016-10-05,0,1111451.337018399,351.0752,365.4048,351.0752,365.4048
2016-10-06,0,1111451.337018399,349.664,363.93600000000004,349.664,363.93600000000004
2016-10-07,1,1111451.337018399,350.06579999999997,364.3542,350.06579999999997,364.3542
2016-10-10,-1,1116398.5882875666,351.624,365.976,351.624,365.976
2016-10-11,1,1137961.1362720502,344.8326,358.9074,344.8326,358.9074
2016-10-12,0,1135470.9266067494,344.07800000000003,358.122,344.07800000000003,358.122
2016-10-13,-1,1135470.9266067494,342.35319999999996,356.3268,342.35319999999996,356.3268
2016-10-14,-1,1117366.578232101,347.8118,362.00820000000004,347.8118,362.00820000000004
2016-10-17,0,1118342.5542239072,347.50800000000004,361.692,347.50800000000004,361.692
2016-10-18,-1,1118342.5542239072,349.4582,363.7218,349.4582,363.7218
2016-10-19,0,1130479.7024469264,345.66560000000004,359.7744,345.66560000000004,359.7744
2016-10-20,0,1130479.7024469264,342.1866,356.15340000000003,342.1866,356.15340000000003
2016-10-21,0,1130479.7024469264,338.639,352.461,338.639,352.461
2016-10-24,0,1130479.7024469264,336.2772,350.0028,336.2772,350.0028
2016-10-25,-1,1130479.7024469264,334.7092,348.37080000000003,334.7092,348.37080000000003
2016-10-26,-1,1135080.5304213986,333.347,346.953,333.347,346.953
2016-10-27,0,1134646.7204288815,333.47439999999995,347.0856,333.47439999999995,347.0856
2016-10-28,0,1134646.7204288815,332.89619999999996,346.48380000000003,332.89619999999996,346.48380000000003
2016-10-31,0,1134646.7204288815,334.4152,348.0648,334.4152,348.0648
2016-11-01,-1,1134646.7204288815,334.14079999999996,347.7792,334.14079999999996,347.7792
2016-11-02,-1,1142467.0506523913,331.8378,345.3822,331.8378,345.3822
2016-11-03,1,1133930.8537351398,334.31719999999996,347.9628,334.31719999999996,347.9628
2016-11-04,0,1149420.4409380646,338.884,352.716,338.884,352.716
2016-11-07,-1,1149420.4409380646,350.4872,364.7928,350.4872,364.7928
2016-11-08,-1,1162758.1403841358,346.4202,360.5598,346.4202,360.5598
2016-11-09,-1,1126805.3652719727,357.1316,371.70840000000004,357.1316,371.70840000000004
2016-11-10,-1,1094060.541117892,367.5098,382.5102,367.5098,382.5102
2016-11-11,0,1105205.07397587,363.76619999999997,378.6138,363.76619999999997,378.6138
2016-11-14,0,1105205.07397587,366.3338,381.2862,366.3338,381.2862
2016-11-15,1,1105205.07397587,364.707,379.59299999999996,364.707,379.59299999999996
2016-11-16,1,1091247.0897015543,360.101,374.799,360.101,374.799
2016-11-17,0,1102888.6425431112,363.94259999999997,378.79740000000004,363.94259999999997,378.79740000000004
2016-11-18,1,1102888.6425431112,365.32439999999997,380.2356,365.32439999999997,380.2356
2016-11-21,0,1108184.4488367755,367.0786,382.0614,367.0786,382.0614
2016-11-22,1,1108184.4488367755,365.5988,380.5212,365.5988,380.5212
2016-11-23,1,1107976.5120131585,365.5302,380.44980000000004,365.5302,380.44980000000004
2016-11-25,1,1109996.4697282957,366.1966,381.14340000000004,366.1966,381.14340000000004
2016-11-28,1,1095084.4289489018,361.277,376.02299999999997,361.277,376.02299999999997
2016-11-29,1,1094787.3763437348,361.17900000000003,375.921,361.17900000000003,375.921
2016-11-30,1,1101441.35469948,363.37420000000003,378.2058,363.37420000000003,378.2058
2016-12-01,0,1120482.426690698,369.656,384.74399999999997,369.656,384.74399999999997
2016-12-02,0,1120482.426690698,363.9328,378.78720000000004,363.9328,378.78720000000004
2016-12-05,0,1120482.426690698,366.863,381.83700000000005,366.863,381.83700000000005
2016-12-06,0,1120482.426690698,366.49060000000003,381.4494,366.49060000000003,381.4494
2016-12-07,-1,1120482.426690698,372.2138,387.4062,372.2138,387.4062
2016-12-08,-1,1089447.2377046624,382.5234,398.1366,382.5234,398.1366
2016-12-09,-1,1094443.2937482442,380.7692,396.31080000000003,380.7692,396.31080000000003
2016-12-12,-1,1089542.044633296,382.47439999999995,398.0856,382.47439999999995,398.0856
2016-12-13,-1,1082953.6485450144,384.7872,400.4928,384.7872,400.4928
2016-12-14,-1,1090235.121732053,382.2,397.8,382.2,397.8
2016-12-15,-1,1079752.091715399,385.875,401.625,385.875,401.625
2016-12-16,-1,1082850.8088294014,384.7676,400.4724,384.7676,400.4724
2016-12-19,-1,1090711.144026701,381.97459999999995,397.5654,381.97459999999995,397.5654
2016-12-20,-1,1066421.5046748994,390.481,406.419,390.481,406.419
2016-12-21,-1,1079589.5152232756,385.65939999999995,401.4006,385.65939999999995,401.4006
2016-12-22,-1,1097174.3722674176,379.3776,394.86240000000004,379.3776,394.86240000000004
2016-12-23,-1,1101085.564233033,378.0252,393.45480000000003,378.0252,393.45480000000003
2016-12-27,-1,1096090.2312693587,379.7402,395.2398,379.7402,395.2398
2016-12-28,-1,1114363.5877275902,373.40939999999995,388.6506,373.40939999999995,388.6506
2016-12-29,-1,1120300.5430410483,371.42,386.58,371.42,386.58
2016-12-30,-1,1115748.3983542854,372.92920000000004,388.1508,372.92920000000004,388.1508
2017-01-03,-1,1098478.8391323725,378.7014,394.15860000000004,378.7014,394.15860000000004
2017-01-04,-1,1097825.0334418193,378.9268,394.39320000000004,378.9268,394.39320000000004
2017-01-05,-1,1109522.7501380907,374.8892,390.1908,374.8892,390.1908
2017-01-06,-1,1104418.028957971,376.614,391.98600000000005,376.614,391.98600000000005
2017-01-09,-1,1115568.541454346,372.8116,388.02840000000003,372.8116,388.02840000000003
2017-01-10,-1,1115891.1126639561,372.7038,387.9162,372.7038,387.9162
2017-01-11,-1,1114013.249047157,373.33099999999996,388.569,373.33099999999996,388.569
2017-01-12,-1,1121791.895175167,370.7242,385.85580000000004,370.7242,385.85580000000004
2017-01-13,-1,1118648.5411111268,371.76300000000003,386.937,371.76300000000003,386.937
2017-01-17,-1,1132065.836121159,367.30400000000003,382.296,367.30400000000003,382.296
2017-01-18,-1,1122400.3860795696,370.44,385.56,370.44,385.56
2017-01-19,-1,1124330.4396535156,369.803,384.89700000000005,369.803,384.89700000000005
2017-01-20,-1,1112263.2916991054,373.772,389.02799999999996,373.772,389.02799999999996
2017-01-23,-1,1122003.6152289296,370.4988,385.6212,370.4988,385.6212
2017-01-24,-1,1112150.5442810375,373.75239999999997,389.0076,373.75239999999997,389.0076
2017-01-25,-1,1091883.4975487674,380.5634,396.09659999999997,380.5634,396.09659999999997
2017-01-26,-1,1116936.1124978042,371.83160000000004,387.0084,371.83160000000004,387.0084
2017-01-27,-1,1129771.0749417727,367.5588,382.5612,367.5588,382.5612
2017-01-30,-1,1129409.6060328167,367.6764,382.6836,367.6764,382.6836
2017-01-31,-1,1133021.9828312583,366.5004,381.4596,366.5004,381.4596
2017-02-01,-1,1135991.0227349284,365.54,380.46,365.54,380.46
2017-02-02,0,1140132.9739170184,364.2072,379.0728,364.2072,379.0728
2017-02-03,-1,1140132.9739170184,370.44,385.56,370.44,385.56
2017-02-06,-1,1141882.3843002773,369.8716,384.96840000000003,369.8716,384.96840000000003
2017-02-07,-1,1143485.8967364999,369.3522,384.4278,369.3522,384.4278
2017-02-08,-1,1150555.1268550914,367.0688,382.0512,367.0688,382.0512
2017-02-09,-1,1138237.4045711078,370.9986,386.1414,370.9986,386.1414
2017-02-10,-1,1125248.5634380355,375.2322,390.5478,375.2322,390.5478
2017-02-13,-1,1116608.4036623617,378.11339999999996,393.5466,378.11339999999996,393.5466
2017-02-14,-1,1119068.3397562709,377.2804,392.67960000000005,377.2804,392.67960000000005
2017-02-15,-1,1095639.3543065446,385.17920000000004,400.9008,385.17920000000004,400.9008
2017-02-16,-1,1098622.0891658668,384.1306,399.80940000000004,384.1306,399.80940000000004
2017-02-17,-1,1107619.1473749708,380.9848,396.5352,380.9848,396.5352
2017-02-21,-1,1103801.3429262557,382.298,397.90200000000004,382.298,397.90200000000004
2017-02-22,-1,1102075.3269837154,382.89579999999995,398.5242,382.89579999999995,398.5242
2017-02-23,-1,1102357.3968890116,382.7978,398.42220000000003,382.7978,398.42220000000003
2017-02-24,-1,1106449.5046832028,381.3768,396.94320000000005,381.3768,396.94320000000005
2017-02-27,-1,1101218.0649447478,383.18,398.82,383.18,398.82
