date,portfolio_value
879,1000000.0
880,999973.80136
881,999991.06744
882,999965.1241599999
883,999906.0690399999
884,999830.2283199998
885,999668.9624799998
886,999731.4032799997
887,999847.1149599998
888,999839.2119999998
889,999981.7897599998
890,999645.0731199998
891,999692.6269599998
892,999694.3367199998
893,999689.5662399998
894,999140.9559999999
895,999197.1822399999
896,998938.7648799998
897,998760.2826399998
898,999037.0902399998
899,998848.5231999998
900,998968.1255199999
901,998359.5620799998
902,998722.5462399998
903,998306.4745599998
904,998083.1401599998
905,998543.5746399999
906,998302.4713599999
907,997951.6969599999
908,998284.4550399999
909,998549.5215999999
910,998912.7392799999
911,998957.4651999999
912,998164.1096799999
913,998374.9381599998
914,997827.6003999998
915,996772.1982399998
916,996815.3053599998
917,997488.8912799999
918,998002.3794399998
919,997597.8544
920,997852.3794399999
921,998234.09824
922,992432.92792
923,992157.1724800001
924,992652.7832800001
925,992905.50304
926,992374.13728
927,991877.5828
928,992711.35864
929,992494.15744
930,993092.72056
931,992667.19192
932,991661.1114400001
933,992074.6499200001
934,991730.2607200001
935,995317.5577600001
936,994003.0307200002
937,993876.5267200001
938,993719.5448800002
939,993387.1256800002
940,992858.8720000002
941,994048.0669600002
942,996481.1627200001
943,997309.3398400001
944,1002206.4640000002
945,1002775.3528000001
946,1002307.6729600001
947,1002616.4000800002
948,1002830.3226400001
949,1002005.7620800001
950,1002822.3332800001
951,1002959.2129600001
952,1002905.29072
953,1002584.2492
954,1002942.892
955,1003361.05
956,1002491.12248
957,1002208.9662400001
958,1002359.2936000001
959,1001129.1390400002
960,1001438.8398400001
961,1000630.6168000002
962,1001585.4436000002
963,999991.4588800002
964,999969.7331200001
965,1003704.2476000001
966,1002679.7586400002
967,1003987.8414400002
968,1006827.3493600002
969,1007149.9453600002
970,1007083.0177600002
971,1008848.0108800002
972,1008176.9848000002
973,1007205.4859200002
974,1007363.6773600003
975,1009320.6671200003
976,1008667.3964800002
977,1006972.5325600002
978,1007660.1659200003
979,1006554.7523200003
980,1009001.5897600004
981,1008241.2829600003
982,1010687.1436000003
983,1010236.4204800003
984,1009680.5816800003
985,1010315.1481600003
986,1002147.4686400003
987,1001498.1054400003
988,1000633.4682400003
989,1000790.5189600002
990,1000229.7282400003
991,998669.3425600004
992,981690.8908000004
993,983796.4292800004
994,980924.8292800004
995,982566.2142400004
996,974899.1850400004
997,977503.5013600003
998,980215.5556000004
999,981567.9870400005
1000,981944.3272000005
1001,985486.0242400005
1002,986311.3722400004
1003,987083.9135200005
1004,988942.6885600005
1005,989969.6087200005
1006,988474.8407200004
1007,988903.6844800005
1008,990078.9248800005
1009,995319.2761600006
1010,999468.0671200005
1011,997090.7464000005
1012,998078.9636800005
1013,998688.6935200004
1014,1000534.1788000005
1015,1001903.7304000005
1016,1004105.3519200004
1017,1004501.4373600004
1018,1005000.4799200005
1019,1006578.3188800004
1020,1005494.0665600004
1021,1006855.9019200003
1022,1005859.2476800004
1023,1003646.0404000003
1024,1006393.8884800003
1025,1009440.9976000004
1026,1010603.8458400003
1027,1005665.1661600004
1028,1004805.5598400005
1029,1008260.1992800004
1030,1007026.6556800003
1031,1003304.3202400003
1032,1003743.6092800003
1033,1001155.0554400004
1034,1003571.7184000004
1035,1001361.4057600003
1036,1001812.2272800003
1037,1002379.6859200003
1038,1002988.9009600005
1039,1002027.5521600004
1040,999746.4493600004
1041,995934.8807200005
1042,995268.5356000004
1043,994991.7145600005
1044,990792.8152000003
1045,991628.1812800004
1046,992147.9423200004
1047,991864.4202400004
1048,990362.4198400005
1049,990401.9483200004
1050,989744.0365600004
1051,990238.1286400004
1052,990153.8178400004
1053,991280.0675200005
1054,992286.7907200004
1055,992454.4681600004
1056,992750.5446400004
1057,994415.3394400005
1058,993683.7248800005
1059,1001890.4344000005
1060,1003539.8183200004
1061,1004674.1531200004
1062,1003091.6816800005
1063,999160.0988800004
1064,999735.9774400004
1065,999556.0928800004
1066,998612.2892800004
1067,1000325.5307200004
1068,999507.7230400004
1069,999506.3996800004
1070,999000.8363200004
1071,999322.0756000003
1072,996032.0332000003
1073,996123.8478400003
1074,993174.1420000003
1075,994301.8112800003
1076,994678.7548000003
1077,995200.1764000003
1078,993336.2353600003
1079,996070.9436800004
1080,994043.5583200004
1081,993848.3430400004
1082,993944.4887200004
1083,996782.8739200004
1084,998946.3652000005
1085,986041.2059200004
1086,982562.3492800004
1087,987103.8294400005
1088,988507.0477600005
1089,993041.7793600004
1090,996129.5293600003
1091,995263.2647200003
1092,996948.9241600004
1093,995714.9756800004
1094,996642.4729600004
1095,1000581.0059200004
1096,1002871.2006400004
1097,1005014.9848000003
1098,1011636.1991200004
1099,1007991.6232000005
1100,1009475.3838400005
1101,1004039.4577600004
1102,1003877.5561600004
1103,1003607.4152800003
1104,1003066.0756000003
1105,1006047.9383200004
1106,1006482.4278400003
1107,1000626.0354400004
1108,1004087.1887200003
1109,1004196.2468800003
1110,1000868.5045600004
1111,999252.4566400003
1112,997182.0956800004
1113,999876.4636000004
1114,997844.7400000003
1115,997560.2250400004
1116,999435.9512800004
1117,1001548.0696000003
1118,1002751.2990400004
1119,1002461.9634400004
1120,1004485.0290400004
1121,1004657.9262400004
1122,994508.9027200004
1123,1000539.2809600005
1124,1010122.3544800004
1125,1005456.8288800004
1126,1000238.8422400004
1127,1001844.5567200005
1128,1004532.4247200005
1129,1006631.0819200004
1130,1010304.3707200004
1131,1013266.5248800004
1132,1008346.8272800006
1133,1009198.9091200004
1134,1014644.3476000004
1135,1016178.9647200003
1136,1013895.4158400004
1137,1009373.8758400003
1138,1007196.9133600004
1139,1008568.3592800003
1140,1015018.9199200004
1141,1016275.1358400004
1142,1018167.3469600005
1143,1019433.1508800003
1144,1020767.3500000003
1145,1022553.4640800004
1146,1025884.2114400005
1147,1032957.9863200004
1148,1029212.0548000003
1149,1028627.4172000003
1150,1029016.2217600003
1151,1048402.9448800003
1152,1046959.9967200003
1153,1047616.0938400002
1154,1049594.5885600003
1155,1046016.1160800003
1156,1047410.6965600003
1157,1046008.0720000004
1158,1047479.6924800004
1159,1049023.7876800003
1160,1052798.9173600003
1161,1051714.5136000004
1162,1051916.7536800003
1163,1050756.5130400003
1164,1048976.5964800003
1165,1049112.3661600004
1166,1049524.1353600004
1167,1054568.3831200004
1168,1060254.3733600006
1169,1058373.6239200006
1170,1061514.8809600004
1171,1054925.8072000004
1172,1062026.5960000004
1173,1057368.0805600006
1174,1064304.9409600005
1175,1064161.2978400006
1176,1065870.4552000004
1177,1065439.7668000006
1178,1053669.5598400005
1179,1057484.0322400006
1180,1054014.9719200004
1181,1061044.0031200005
1182,1059224.4510400004
1183,1054334.5849600006
1184,1053601.0549600003
1185,1056610.5673600005
1186,1033694.5499200004
1187,1026227.1671200003
1188,1032900.1285600003
1189,1038999.4684000004
1190,1042729.9885600003
1191,1043252.6567200003
1192,1043176.0432000003
1193,1039105.1099200003
1194,1040842.4296000003
1195,1045922.2237600003
1196,1041432.0018400004
1197,1032806.3540800003
1198,1033800.1734400003
1199,1035795.5096800004
1200,1034407.3196800004
1201,1040588.2540000004
1202,1036323.1691200004
1203,1032278.1774400005
1204,1035708.7182400004
1205,1034924.8484800004
1206,1037199.3011200004
1207,1038614.7868000004
1208,1045798.6681600005
1209,1048806.7676800005
1210,1051109.0180800003
1211,1051505.9015200005
1212,1045350.5437600005
1213,1041741.8444800004
1214,1033298.3560000004
1215,1040312.5727200004
1216,1045002.1285600003
1217,1049867.8304800005
1218,1051981.6780000003
1219,1053530.5592800004
1220,1042562.4760000004
1221,1044859.2248800003
1222,1044775.4070400002
1223,1037838.8694400003
1224,1034856.5920000003
1225,1037346.3232000003
1226,1032847.7272000003
1227,1035351.8641600003
1228,1038868.3139200003
1229,1039622.8336000004
1230,1035493.5911200005
1231,1035745.5604000003
1232,1036167.6889600004
1233,1039479.6563200003
1234,1040670.9743200004
1235,1040840.3689600003
1236,1040324.8031200004
1237,1041698.0387200003
1238,1045659.9104800003
1239,1048596.0112000003
1240,1023555.5437600003
1241,1040321.9456800004
1242,1040146.2212800003
1243,1044075.9373600003
1244,1052834.4426400005
1245,1054150.5239200003
1246,1057055.6416000002
1247,1054934.4313600003
1248,1061397.7868800003
1249,1062994.6448800003
1250,1058808.2185600004
1251,1046664.6035200004
1252,1048453.5011200003
1253,1054555.6739200002
1254,1031874.1504000003
1255,1031331.2473600003
1256,1046982.8257600003
