日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-16,0,1000000.0,76.40079999999999,79.5192,76.40079999999999,79.5192
2016-08-17,0,1000000.0,74.7936,77.84639999999999,74.7936,77.84639999999999
2016-08-18,0,1000000.0,75.3718,78.4482,75.3718,78.4482
2016-08-19,0,1000000.0,75.9304,79.0296,75.9304,79.0296
2016-08-22,1,1000000.0,75.705,78.795,75.705,78.795
2016-08-23,0,1009967.6375404529,76.4596,79.5804,76.4596,79.5804
2016-08-24,0,1009967.6375404529,76.2636,79.37639999999999,76.2636,79.37639999999999
2016-08-25,-1,1009967.6375404529,78.5568,81.7632,78.5568,81.7632
2016-08-26,1,1011605.5591083204,78.4294,81.6306,78.4294,81.6306
2016-08-29,1,1010215.1228781326,78.3216,81.5184,78.3216,81.5184
2016-08-30,1,1009077.4932352517,78.2334,81.4266,78.2334,81.4266
2016-08-31,-1,1003894.9581954617,77.8316,81.00840000000001,77.8316,81.00840000000001
2016-09-01,1,1048262.5142678121,74.39179999999999,77.4282,74.39179999999999,77.4282
2016-09-02,0,1037076.9967265537,73.598,76.60199999999999,73.598,76.60199999999999
2016-09-06,1,1037076.9967265537,73.9116,76.9284,73.9116,76.9284
2016-09-07,-1,1031439.2140607105,73.5098,76.51020000000001,73.5098,76.51020000000001
2016-09-08,-1,1033226.8036864656,73.38239999999999,76.3776,73.38239999999999,76.3776
2016-09-09,0,1042609.7394037035,72.71600000000001,75.684,72.71600000000001,75.684
2016-09-12,1,1042609.7394037035,72.8728,75.8472,72.8728,75.8472
2016-09-13,1,1024382.2964071354,71.5988,74.52120000000001,71.5988,74.52120000000001
2016-09-14,-1,1035038.3400051291,72.3436,75.29639999999999,72.3436,75.29639999999999
2016-09-15,-1,1032654.7513055779,72.5102,75.46979999999999,72.5102,75.46979999999999
2016-09-16,-1,1042424.4272876551,71.8242,74.75580000000001,71.8242,74.75580000000001
2016-09-19,-1,1046549.1794218265,71.53999999999999,74.46000000000001,71.53999999999999,74.46000000000001
2016-09-20,-1,1047839.4455334425,71.45179999999999,74.3682,71.45179999999999,74.3682
2016-09-21,-1,1029587.4074614703,72.69640000000001,75.6636,72.69640000000001,75.6636
2016-09-22,0,1023896.778760214,73.0982,76.0818,73.0982,76.0818
2016-09-23,1,1023896.778760214,68.9822,71.7978,68.9822,71.7978
2016-09-26,0,1020987.5678530959,68.7862,71.5938,68.7862,71.5938
2016-09-27,0,1020987.5678530959,68.649,71.451,68.649,71.451
2016-09-28,-1,1020987.5678530959,70.1876,73.0524,70.1876,73.0524
2016-09-29,-1,1026974.928625203,69.776,72.62400000000001,69.776,72.62400000000001
2016-09-30,-1,1025099.8339521516,69.90339999999999,72.7566,69.90339999999999,72.7566
2016-10-03,0,1036740.5302300323,69.1096,71.93039999999999,69.1096,71.93039999999999
2016-10-04,-1,1036740.5302300323,71.17739999999999,74.0826,71.17739999999999,74.0826
2016-10-05,-1,1096835.224327078,67.0516,69.78840000000001,67.0516,69.78840000000001
2016-10-06,-1,1051307.4248957874,69.8348,72.68520000000001,69.8348,72.68520000000001
2016-10-07,0,1056471.0173559831,69.4918,72.3282,69.4918,72.3282
2016-10-10,-1,1056471.0173559831,73.598,76.60199999999999,73.598,76.60199999999999
2016-10-11,1,1094171.980425411,70.9716,73.86840000000001,70.9716,73.86840000000001
2016-10-12,-1,1091301.32761844,70.7854,73.67460000000001,70.7854,73.67460000000001
2016-10-13,0,1115475.2459929313,69.2174,72.0426,69.2174,72.0426
2016-10-14,-1,1115475.2459929313,72.7846,75.7554,72.7846,75.7554
2016-10-17,0,1137102.8796839213,71.3734,74.28659999999999,71.3734,74.28659999999999
2016-10-18,-1,1137102.8796839213,71.3146,74.2254,71.3146,74.2254
2016-10-19,-1,1136321.5804674283,71.36359999999999,74.2764,71.36359999999999,74.2764
2016-10-20,0,1139910.6214384183,71.1382,74.04180000000001,71.1382,74.04180000000001
2016-10-21,-1,1139910.6214384183,72.52,75.48,72.52,75.48
2016-10-24,-1,1123582.1719961923,73.5588,76.5612,73.5588,76.5612
2016-10-25,-1,1123582.1719961923,73.5588,76.5612,73.5588,76.5612
2016-10-26,0,1125228.775232531,73.45100000000001,76.449,73.45100000000001,76.449
2016-10-27,-1,1125228.775232531,73.2452,76.23479999999999,73.2452,76.23479999999999
2016-10-28,0,1119357.230914352,73.6274,76.6326,73.6274,76.6326
2016-10-31,0,1119357.230914352,73.65679999999999,76.6632,73.65679999999999,76.6632
2016-11-01,0,1119357.230914352,73.941,76.959,73.941,76.959
2016-11-02,0,1119357.230914352,73.5,76.5,73.5,76.5
2016-11-03,0,1119357.230914352,72.6572,75.6228,72.6572,75.6228
2016-11-04,1,1119357.230914352,72.8826,75.85740000000001,72.8826,75.85740000000001
2016-11-07,-1,1148406.0335990998,74.774,77.826,74.774,77.826
2016-11-08,0,1144643.2353238733,75.01899999999999,78.081,75.01899999999999,78.081
2016-11-09,0,1144643.2353238733,74.382,77.418,74.382,77.418
2016-11-10,1,1144643.2353238733,72.1574,75.1026,72.1574,75.1026
2016-11-11,-1,1159567.281309354,73.0982,76.0818,73.0982,76.0818
2016-11-14,0,1188016.2439691757,71.3048,74.21520000000001,71.3048,74.21520000000001
2016-11-15,-1,1188016.2439691757,72.5396,75.5004,72.5396,75.5004
2016-11-16,-1,1199411.6983493178,71.8438,74.7762,71.8438,74.7762
2016-11-17,-1,1168653.3571558008,73.6862,76.6938,73.6862,76.6938
2016-11-18,-1,1128553.2685607488,76.21459999999999,79.3254,76.21459999999999,79.3254
2016-11-21,0,1152061.7717762354,74.62700000000001,77.673,74.62700000000001,77.673
2016-11-22,0,1152061.7717762354,74.0586,77.08139999999999,74.0586,77.08139999999999
2016-11-23,1,1152061.7717762354,72.471,75.429,72.471,75.429
2016-11-25,0,1148634.407478862,72.25540000000001,75.2046,72.25540000000001,75.2046
2016-11-28,-1,1148634.407478862,71.4714,74.38860000000001,71.4714,74.38860000000001
2016-11-29,-1,1148634.407478862,71.4714,74.38860000000001,71.4714,74.38860000000001
2016-11-30,-1,1163281.7405236356,70.56,73.44,70.56,73.44
2016-12-01,-1,1220476.4260993812,67.09079999999999,69.8292,67.09079999999999,69.8292
2016-12-02,0,1221367.8053179756,67.0418,69.7782,67.0418,69.7782
2016-12-05,0,1221367.8053179756,69.384,72.216,69.384,72.216
2016-12-06,0,1221367.8053179756,69.2076,72.03240000000001,69.2076,72.03240000000001
2016-12-07,-1,1221367.8053179756,70.3444,73.21560000000001,70.3444,73.21560000000001
2016-12-08,-1,1220006.570650583,70.4228,73.2972,70.4228,73.2972
2016-12-09,-1,1231721.0784956834,69.7466,72.5934,69.7466,72.5934
2016-12-12,0,1245393.4074546774,68.9724,71.7876,68.9724,71.7876
2016-12-13,-1,1245393.4074546774,70.1778,73.0422,70.1778,73.0422
2016-12-14,0,1250262.9808953602,69.90339999999999,72.7566,69.90339999999999,72.7566
2016-12-15,0,1250262.9808953602,68.8254,71.6346,68.8254,71.6346
2016-12-16,1,1250262.9808953602,68.4628,71.2572,68.4628,71.2572
2016-12-19,1,1243999.1383057043,68.1198,70.90020000000001,68.1198,70.90020000000001
2016-12-20,0,1250262.9808953602,68.4628,71.2572,68.4628,71.2572
2016-12-21,-1,1250262.9808953602,68.70779999999999,71.5122,68.70779999999999,71.5122
2016-12-22,0,1254007.8849887566,68.50200000000001,71.298,68.50200000000001,71.298
2016-12-23,-1,1254007.8849887566,68.4726,71.26740000000001,68.4726,71.26740000000001
2016-12-27,-1,1254366.8395858626,68.45299999999999,71.247,68.45299999999999,71.247
2016-12-28,0,1268014.9254568038,67.7082,70.4718,67.7082,70.4718
2016-12-29,0,1268014.9254568038,67.76700000000001,70.533,67.76700000000001,70.533
2016-12-30,1,1268014.9254568038,67.09079999999999,69.8292,67.09079999999999,69.8292
2017-01-03,1,1306540.6491633505,69.12920000000001,71.9508,69.12920000000001,71.9508
2017-01-04,-1,1348400.3297291168,71.344,74.256,71.344,74.256
2017-01-05,0,1348585.5495546286,71.33420000000001,74.2458,71.33420000000001,74.2458
2017-01-06,-1,1348585.5495546286,72.324,75.276,72.324,75.276
2017-01-09,-1,1345661.7868455672,72.48079999999999,75.4392,72.48079999999999,75.4392
2017-01-10,-1,1345297.8977739483,72.5004,75.45960000000001,72.5004,75.45960000000001
2017-01-11,-1,1312747.434986501,74.2546,77.2854,74.2546,77.2854
2017-01-12,-1,1322449.6728589102,73.7058,76.71419999999999,73.7058,76.71419999999999
