日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,0,1000000.0,30.3212,31.5588,30.3212,31.5588
2016-08-10,0,1000000.0,30.233,31.467000000000002,30.233,31.467000000000002
2016-08-11,1,1000000.0,30.331,31.569,30.331,31.569
2016-08-12,0,997415.1857835219,30.2526,31.4874,30.2526,31.4874
2016-08-15,1,997415.1857835219,30.566200000000002,31.8138,30.566200000000002,31.8138
2016-08-16,1,995176.6778321,30.497600000000002,31.7424,30.497600000000002,31.7424
2016-08-17,0,982385.2038239752,30.1056,31.3344,30.1056,31.3344
2016-08-18,0,982385.2038239752,29.8704,31.0896,29.8704,31.0896
2016-08-19,0,982385.2038239752,29.909599999999998,31.1304,29.909599999999998,31.1304
2016-08-22,0,982385.2038239752,30.0174,31.2426,30.0174,31.2426
2016-08-23,0,982385.2038239752,30.3604,31.599600000000002,30.3604,31.599600000000002
2016-08-24,1,982385.2038239752,30.438799999999997,31.6812,30.438799999999997,31.6812
2016-08-25,1,989659.7883983317,30.664199999999997,31.9158,30.664199999999997,31.9158
2016-08-26,1,991557.5061133812,30.723000000000003,31.977,30.723000000000003,31.977
2016-08-29,1,998832.0906877377,30.9484,32.2116,30.9484,32.2116
2016-08-30,1,997566.9455443713,30.9092,32.1708,30.9092,32.1708
2016-08-31,1,994404.0826859555,30.8112,32.0688,30.8112,32.0688
2016-09-01,1,998832.0906877376,30.9484,32.2116,30.9484,32.2116
2016-09-02,1,1006739.2478337773,31.193399999999997,32.4666,31.193399999999997,32.4666
2016-09-06,1,1008004.3929771439,31.2326,32.507400000000004,31.2326,32.507400000000004
2016-09-07,1,1005474.102690411,31.1542,32.4258,31.1542,32.4258
2016-09-08,1,995352.9415434801,30.8406,32.0994,30.8406,32.0994
2016-09-09,0,975743.1918213017,30.233,31.467000000000002,30.233,31.467000000000002
2016-09-12,0,975743.1918213017,30.8112,32.0688,30.8112,32.0688
2016-09-13,0,975743.1918213017,30.438799999999997,31.6812,30.438799999999997,31.6812
2016-09-14,0,975743.1918213017,30.38,31.62,30.38,31.62
2016-09-15,0,975743.1918213017,30.683799999999998,31.9362,30.683799999999998,31.9362
2016-09-16,0,975743.1918213017,30.2232,31.4568,30.2232,31.4568
2016-09-19,0,975743.1918213017,30.3996,31.6404,30.3996,31.6404
2016-09-20,0,975743.1918213017,30.478,31.722,30.478,31.722
2016-09-21,0,975743.1918213017,30.732799999999997,31.9872,30.732799999999997,31.9872
2016-09-22,1,975743.1918213017,31.026799999999998,32.2932,31.026799999999998,32.2932
2016-09-23,1,965880.9738370056,30.7132,31.9668,30.7132,31.9668
2016-09-26,0,957559.7274127556,30.4486,31.6914,30.4486,31.6914
2016-09-27,1,957559.7274127556,30.8504,32.1096,30.8504,32.1096
2016-09-28,1,958168.088103615,30.87,32.13,30.87,32.13
2016-09-29,1,954822.1043038882,30.7622,32.0178,30.7622,32.0178
2016-09-30,1,964860.0557030689,31.0856,32.3544,31.0856,32.3544
2016-10-03,1,958168.0881036151,30.87,32.13,30.87,32.13
2016-10-04,1,953605.3829221693,30.723000000000003,31.977,30.723000000000003,31.977
2016-10-05,1,960905.7112124824,30.958199999999998,32.2218,30.958199999999998,32.2218
2016-10-06,1,957559.7274127556,30.8504,32.1096,30.8504,32.1096
2016-10-07,1,957255.5470673258,30.8406,32.0994,30.8406,32.0994
2016-10-10,1,957255.5470673258,30.8406,32.0994,30.8406,32.0994
2016-10-11,0,944175.792213848,30.4192,31.6608,30.4192,31.6608
2016-10-12,0,944175.792213848,29.7332,30.9468,29.7332,30.9468
2016-10-13,0,944175.792213848,29.5666,30.773400000000002,29.5666,30.773400000000002
2016-10-14,0,944175.792213848,29.5764,30.7836,29.5764,30.7836
2016-10-17,0,944175.792213848,29.615599999999997,30.8244,29.615599999999997,30.8244
2016-10-18,0,944175.792213848,29.8312,31.048800000000004,29.8312,31.048800000000004
2016-10-19,0,944175.792213848,29.743000000000002,30.957,29.743000000000002,30.957
2016-10-20,0,944175.792213848,29.5568,30.7632,29.5568,30.7632
