date,portfolio_value
881,1000000.0
882,999993.72
883,1000039.434
884,999817.1190000001
885,999896.8740000001
886,999664.606
887,999664.382
888,999743.156
889,1000034.917
890,999563.64
891,999961.414
892,998893.147
893,1000188.976
894,1000345.696
895,1001677.403
896,1001800.0140000001
897,1000299.616
898,1000372.311
899,1002070.0009999999
900,1001392.5959999999
901,999460.2259999999
902,998691.9519999999
903,990539.7139999999
904,993701.8459999999
905,987665.8399999999
906,987604.0849999998
907,989022.3319999998
908,986985.5239999999
909,987785.7909999999
910,986875.0289999999
911,990403.2979999998
912,992406.4489999998
913,992074.5349999998
914,991699.6309999998
915,995053.7379999998
916,999871.7459999998
917,997807.6159999998
918,1001458.5429999998
919,999128.3709999998
920,995411.2599999998
921,994799.2439999997
922,996960.2429999998
923,990564.1889999998
924,990767.2869999998
925,982351.3799999998
926,982249.6639999998
927,981639.9499999997
928,980453.2489999998
929,978425.5729999999
930,979687.9389999998
931,980776.2789999999
932,978775.5969999998
933,975383.9539999999
934,980301.3759999999
935,976185.7049999998
936,972874.1099999999
937,970678.575
938,971465.0789999999
939,966059.5689999999
940,954071.152
941,953159.938
942,948207.739
943,945034.6209999999
944,958883.554
945,963544.267
946,971072.9069999999
947,980235.431
948,977007.816
949,965504.249
950,966596.851
951,971065.4369999999
952,971408.959
953,967437.476
954,972098.048
955,982742.556
956,985955.9199999999
957,984804.2409999999
958,982482.5769999999
959,983016.943
960,985533.3019999999
961,999601.629
962,986629.78
963,1000312.091
964,986439.235
965,1002555.546
966,1009301.43122
967,1016811.25122
968,1024996.11122
969,1031324.61122
970,1021452.15122
971,1029805.77122
972,1014870.51122
973,1017401.9112199999
974,1016136.2112199999
975,1007276.31122
976,1000694.67122
977,1002129.13122
978,1005926.23122
979,995716.25122
980,993269.23122
981,989134.61122
982,996053.77122
983,1002382.27122
984,1000863.43122
985,1003479.2112199999
986,1002804.17122
987,994534.93122
988,998416.4112199999
989,1001116.5712199999
990,1000525.9112199999
991,1001454.0912200001
992,1004744.9112199999
993,1002888.5512199999
994,999091.45122
995,1007107.5512199999
996,1026514.95122
997,1033602.87122
998,1020608.35122
999,1023477.27122
1000,1025164.87122
1001,1013689.1912199999
1002,1019173.89122
1003,1014364.23122
1004,1018920.75122
1005,1010060.85122
1006,1014701.75122
1007,1015461.17122
1008,1017739.43122
1009,1022717.85122
1010,1027443.13122
1011,1036556.17122
1012,1041281.45122
1013,1040268.89122
1014,1045922.35122
1015,1046597.39122
1016,1038750.0512199999
1017,1035881.13122
1018,1059001.25122
1019,1044994.17122
1020,1046091.11122
1021,1062123.31122
1022,1055541.67122
1023,1056891.75122
1024,1055288.53122
1025,1052419.61122
1026,1050563.25122
1027,1043728.47122
1028,1048453.75122
1029,1052841.51122
1030,1043644.0912200001
1031,1057904.31122
1032,1056385.47122
1033,1058241.83122
1034,1055879.19122
1035,1048031.85122
1036,1048369.37122
1037,1047863.0912200001
1038,1044909.79122
1039,1047272.43122
1040,1053685.31122
1041,1052925.8912199999
1042,1057651.17122
1043,1057651.17122
1044,1062207.69122
1045,1055288.53122
1046,1053347.79122
1047,1056554.23122
1048,1056891.75122
1049,1062123.31122
1050,1060351.33122
1051,1054444.73122
1052,1050310.11122
1053,1058326.21122
1054,1057398.03122
1055,1060773.23122
1056,1066173.55122
1057,1064907.85122
1058,1074189.6512199999
1059,1082205.75122
1060,1086846.65122
1061,1091656.31122
1062,1089293.67122
