date,portfolio_value
881,1000000.0
882,999949.067
883,1000075.177
884,1000094.22
885,1000082.254
886,999874.289
887,1000736.364
888,1000651.294
889,1000971.235
890,1000891.135
891,1001433.0430000001
892,1000357.8960000001
893,999845.846
894,999434.838
895,997186.861
896,996804.044
897,997532.252
898,995892.414
899,994930.672
900,996803.983
901,997476.1950000001
902,999085.373
903,997009.474
904,998841.669
905,996937.784
906,995829.978
907,998994.216
908,998878.332
909,999402.452
910,1007485.5530000001
911,1007237.3750000001
912,1006671.2050000001
913,1006183.0530000001
914,1003699.9160000001
915,999033.854
916,998045.929
917,994042.032
918,998696.246
919,994546.334
920,991457.5310000001
921,992769.807
922,987186.05
923,983104.429
924,984171.905
925,976816.3559999999
926,973253.974
927,973384.6710000001
928,971920.3650000001
929,971385.0900000001
930,975150.8260000001
931,974793.4850000001
932,979733.1510000001
933,979621.7200000002
934,978872.2910000002
935,980268.876
936,985596.435
937,988108.8970000001
938,976986.3140000001
939,975528.9260000001
940,978117.5630000001
941,968750.1560000002
942,964167.905
943,968314.729
944,978198.486
945,978447.0860000001
946,1007234.682
947,1003068.835
948,993547.051
949,995783.409
950,993015.734
951,990558.099
952,987568.4990000001
953,980648.9410000001
954,983269.479
955,979413.981
956,985706.535
957,986763.005
958,979825.461
959,982392.007
960,973141.52
961,966254.1499999999
962,962844.8659999999
963,962345.624
964,963251.388
965,965848.1410000001
966,959380.863
967,965221.6610000001
968,971913.3910000001
969,983962.044
970,991697.56
971,990249.9890000001
972,977047.434
973,979800.024
974,976537.584
975,975684.1789999999
976,969406.783
977,972663.453
978,973529.0889999999
979,964113.716
980,957770.439
981,952563.226
982,978311.065
983,1000947.649
984,997129.0109999999
985,991713.41
986,995380.861
987,986575.277
988,973299.7760000001
989,968864.399
990,965696.0629999998
991,952928.756
992,955363.565
993,949084.352
994,942749.1950000001
995,939094.094
996,934027.025
997,953276.0
998,945195.809
999,945660.6870000002
1000,948628.5610000001
1001,959901.41
1002,964371.1649999999
1003,957409.883
1004,958509.658
1005,959122.424
1006,968365.185
1007,888977.872
1008,873223.189
1009,883072.63
1010,899706.9940000002
1011,898400.229
1012,927868.474
1013,934593.4940000001
1014,928472.70548
1015,921029.1854800001
1016,914914.86548
1017,922092.5454800001
1018,929668.98548
1019,937112.50548
1020,936846.6654800001
1021,932991.98548
1022,937511.2654800001
1023,940302.58548
1024,932061.5454800001
1025,917440.34548
1026,926478.9054800001
1027,909066.38548
1028,906407.98548
1029,905211.70548
1030,900825.34548
1031,910129.74548
1032,911060.1854800001
1033,917972.0254800001
1034,913319.82548
1035,900426.58548
1036,901622.86548
1037,897103.58548
1038,897369.4254800001
1039,897236.50548
1040,891919.70548
1041,894046.4254800001
1042,897635.2654800001
1043,902819.1454800001
1044,891919.70548
1045,890324.6654800001
1046,883545.74548
1047,883678.6654800001
1048,885007.86548
1049,882881.1454800001
1050,877564.34548
1051,880222.74548
1052,884077.4254800001
1053,886602.9054800001
1054,878096.0254800001
1055,881020.2654800001
1056,883944.50548
1057,876368.0654800001
1058,880621.50548
1059,892185.5454800001
1060,906806.74548
1061,911591.86548
1062,911193.10548
1063,905344.62548
1064,911724.7854800001
1065,893381.82548
1066,904945.86548
1067,901224.10548
1068,893381.82548
1069,898698.62548
1070,889527.1454800001
1071,886735.82548
1072,878096.0254800001
1073,876633.9054800001
1074,873576.74548
1075,857493.4254800001
1076,856430.0654800001
1077,853771.6654800001
1078,855499.62548
1079,859885.98548
1080,854835.0254800001
1081,858158.0254800001
1082,857360.50548
1083,857227.58548
1084,862544.38548
1085,858955.5454800001
1086,869323.3054800001
1087,870386.6654800001
1088,862012.70548
1089,854967.94548
1090,852309.5454800001
1091,860018.9054800001
1092,869722.0654800001
1093,866000.3054800001
1094,863873.58548
1095,861481.0254800001
1096,852309.5454800001
1097,861613.94548
1098,871848.7854800001
1099,897236.50548
1100,936846.6654800001
1101,937378.34548
1102,946948.58548
1103,939106.3054800001
1104,955987.1454800001
1105,941897.62548
1106,940834.2654800001
1107,939770.9054800001
1108,941897.62548
1109,923554.6654800001
1110,920497.50548
1111,921029.1854800001
1112,921826.70548
1113,927808.10548
1114,938175.86548
1115,938042.94548
1116,945752.3054800001
1117,952929.98548
1118,966620.74548
1119,975925.1454800001
1120,980444.4254800001
1121,988818.38548
1122,980178.58548
1123,986159.98548
1124,996394.82548
1125,1009420.98548
1126,1011414.7854800001
1127,1006230.9054800001
1128,1008091.7854800001
1129,988552.5454800001
1130,972469.22548
1131,976190.98548
1132,973931.34548
1133,982305.3054800001
1134,966354.9054800001
1135,962367.3054800001
1136,967817.0254800001
1137,971937.5454800001
1138,974994.70548
1139,961569.7854800001
1140,958512.62548
1141,965025.70548
1142,974861.7854800001
1143,980178.58548
1144,983900.34548
1145,980843.1854800001
1146,992805.98548
1147,1006762.58548
1148,1079735.6654800002
1149,1112699.8254799999
1150,1113231.50548
1151,1097414.02548
1152,1102597.9054800002
1153,1136093.74548
1154,1131175.70548
1155,1123466.34548
1156,1123333.4254800002
1157,1112301.06548
1158,1093825.1854800002
1159,1094755.62548
1160,1102863.74548
1161,1093825.1854800002
1162,1098477.3854800002
1163,1098211.54548
1164,1106851.34548
1165,1111370.62548
1166,1113364.4254800002
1167,1114693.62548
1168,1075482.22548
1169,1076944.34548
1170,1110174.34548
1171,1105787.98548
1172,1095553.1454800002
1173,1110041.4254800002
1174,1091831.3854800002
1175,1089704.6654800002
1176,1103794.1854800002
1177,1097546.94548
1178,1080666.10548
1179,1078938.1454800002
1180,1062721.9054800002
1181,1066576.58548
1182,1063519.4254800002
1183,1084520.78548
1184,1079469.8254799999
1185,1065646.1454800002
1186,1064715.70548
1187,1061924.3854800002
1188,1035207.46548
1189,1024440.94548
1190,1010085.58548
1191,996394.82548
1192,994733.32548
1193,981109.0254800001
1194,976456.82548
1195,962101.46548
1196,973133.82548
1197,971671.70548
1198,970608.34548
1199,980577.34548
1200,968348.70548
1201,945752.3054800001
1202,954525.0254800001
1203,962500.22548
1204,962898.98548
1205,958778.46548
1206,963829.4254800001
1207,967949.94548
1208,963164.82548
1209,953062.9054800001
1210,964892.7854800001
1211,979248.1454800001
1212,994002.2654800001
1213,1001445.7854800001
1214,971538.7854800001
1215,974197.1854800001
1216,974197.1854800001
1217,966620.74548
1218,986558.74548
1219,1008623.46548
1220,1011414.7854800001
1221,1017927.86548
1222,988153.7854800001
1223,1004502.94548
1224,998654.46548
1225,988286.70548
1226,983767.4254800001
1227,970608.34548
1228,966487.82548
1229,966354.9054800001
1230,970076.6654800001
1231,963430.6654800001
1232,952265.38548
1233,984963.70548
1234,992407.22548
