日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,1,1000000.0,133.3878,138.8322,133.3878,138.8322
2016-08-10,1,996253.0732154846,132.88802,138.312,132.88802,138.312
2016-08-11,1,1006832.6850257136,134.2992,139.78079,134.2992,139.78079
2016-08-12,1,1003379.7200623367,133.83861,139.3014,133.83861,139.3014
2016-08-15,1,1006979.6879514925,134.3188,139.8012,134.3188,139.8012
2016-08-16,1,1000881.6482459666,133.5054,138.95459,133.5054,138.95459
2016-08-17,1,1000293.8459025881,133.427,138.87299,133.427,138.87299
2016-08-18,1,990375.4612050746,132.104,137.496,132.104,137.496
2016-08-19,1,995224.5018257133,132.75081,138.1692,132.75081,138.1692
2016-08-22,1,994342.7693025619,132.6332,138.0468,132.6332,138.0468
2016-08-23,1,1000808.1366208153,133.4956,138.9444,133.4956,138.9444
2016-08-24,1,992285.5988129406,132.3588,137.7612,132.3588,137.7612
2016-08-25,1,995003.8952288325,132.72139,138.1386,132.72139,138.1386
2016-08-26,1,987142.6531538438,131.6728,137.0472,131.6728,137.0472
2016-08-29,1,993681.469685162,132.545,137.955,132.545,137.955
2016-08-30,1,985232.4726040295,131.41801,136.782,131.41801,136.782
2016-08-31,1,985379.2836829063,131.43759,136.8024,131.43759,136.8024
2016-09-01,1,986187.4522696061,131.5454,136.9146,131.5454,136.9146
2016-09-02,1,992946.7200251431,132.44699,137.853,132.44699,137.853
2016-09-06,1,985232.4690833756,131.41801,136.782,131.41801,136.782
2016-09-07,1,975607.8284087596,130.1342,135.44579,130.1342,135.44579
2016-09-08,1,964366.9379726835,128.6348,133.8852,128.6348,133.8852
2016-09-09,1,938505.5443701309,125.1852,130.2948,125.1852,130.2948
2016-09-12,1,944750.4947815932,126.018196,131.16179,126.018196,131.16179
2016-09-13,0,923664.647000235,123.205605,128.2344,123.205605,128.2344
2016-09-14,0,923664.647000235,123.7348,128.7852,123.7348,128.7852
2016-09-15,0,923664.647000235,124.4208,129.49919,124.4208,129.49919
