date,portfolio_value
881,1000000.0
882,999965.374
883,1000021.771
884,999929.134
885,1000213.524
886,999896.84
887,999615.217
888,999659.639
889,999848.053
890,1000259.4419999999
891,1000677.7839999999
892,1000391.0829999999
893,1000391.4069999999
894,1000353.7299999999
895,1000930.0549999998
896,1000693.3379999999
897,1000185.6359999998
898,999187.9649999999
899,999644.3519999998
900,998340.7129999999
901,995389.1419999999
902,994495.7179999999
903,990502.3359999999
904,993895.1349999999
905,989347.7859999998
906,995411.6259999998
907,998650.2229999998
908,995884.6949999997
909,996657.2689999997
910,997602.8149999997
911,1000771.3279999997
912,1003549.7349999998
913,1000818.0519999998
914,1000674.4539999998
915,1001580.8599999998
916,1004894.2389999997
917,1001390.5229999997
918,1002858.9039999997
919,1000795.2449999998
920,996220.6399999998
921,997729.1519999998
922,999152.6259999998
923,962727.0649999998
924,962114.3709999998
925,957615.6909999999
926,965030.1129999999
927,968837.3699999999
928,972304.5439999998
929,967685.6439999999
930,966841.8399999999
931,968831.0529999998
932,968157.2259999998
933,972410.4119999998
934,973989.5159999998
935,972952.5899999999
936,974921.6829999997
937,971550.7399999998
938,977239.8569999998
939,976358.8739999998
940,973220.9059999997
941,969069.9909999998
942,968388.1449999998
943,967757.3099999998
944,986646.4849999998
945,982603.3599999998
946,993902.2979999997
947,999369.0619999998
948,999759.7429999998
949,998320.4179999998
950,998861.1139999998
951,992899.8019999998
952,998781.5749999997
953,991498.2649999998
954,992363.0559999997
955,994645.8349999997
956,1004459.5829999998
957,1007032.1999999997
958,1004556.7829999998
959,1000567.3979999998
960,1005296.0639999998
961,1003124.6699999998
962,993231.3029999998
963,996746.0579999997
964,998311.7699999998
965,1027196.4629999998
966,1019874.8119999998
967,1024851.2469999997
968,1035105.6239999998
969,1041077.8829999998
970,1027148.4116499998
971,1025649.8616499997
972,1026002.4616499997
973,1034024.1116499999
974,1037726.4116499997
975,1033230.7616499998
976,1030762.5616499998
977,1031379.6116499997
978,1031732.2116499997
979,1020449.0116499998
980,1022652.7616499998
981,1021330.5116499998
982,1024239.4616499998
983,1027060.2616499998
984,1029352.1616499998
985,1044954.7116499997
986,1036316.0116499998
987,1038960.5116499998
988,1040370.9116499998
989,1037021.2116499997
990,1040899.8116499997
991,1033495.2116499998
992,1040811.6616499998
993,1039489.4116499998
994,1038696.0616499997
995,1035081.9116499998
996,1039930.1616499997
997,1039224.9616499997
998,1040018.3116499998
999,1043985.0616499998
1000,1050067.4116499997
1001,1043103.5616499997
1002,1040282.7616499998
1003,1040194.6116499997
1004,1050772.6116499999
1005,1052094.8616499999
1006,1055444.5616499998
1007,1055532.7116499997
1008,1063730.6616499997
1009,1074220.5116499998
1010,1089823.0616499998
1011,1089823.0616499998
1012,1095640.9616499997
1013,1094583.1616499997
1014,1098109.1616499997
1015,1099431.4116499997
1016,1102340.3616499999
1017,1100401.0616499998
1018,1102252.2116499997
1019,1101018.1116499999
1020,1097580.2616499998
1021,1121821.5116499998
1022,1113711.7116499997
1023,1112653.9116499997
1024,1111507.9616499997
1025,1113094.66165
1026,1116003.6116499999
1027,1112477.6116499999
1028,1119970.3616499999
1029,1117237.7116499997
1030,1108246.4116499997
1031,1119353.3116499998
1032,1113976.1616499997
1033,1121028.1616499997
1034,1115210.2616499998
1035,1107805.6616499997
1036,1106395.2616499998
1037,1106571.5616499998
1038,1099960.3116499998
1039,1097580.2616499998
1040,1104455.9616499997
1041,1104632.2616499998
1042,1105601.9116499997
1043,1100841.8116499998
1044,1096081.7116499997
1045,1094759.4616499997
1046,1089382.3116499998
1047,1091674.2116499997
1048,1095552.8116499998
1049,1097227.6616499997
1050,1097932.8616499999
1051,1085680.0116499998
1052,1079950.2616499998
1053,1088148.2116499997
1054,1085062.9616499997
1055,1082065.8616499996
1056,1091145.3116499998
1057,1120322.9616499997
1058,1144211.6116499996
1059,1139892.2616499998
1060,1146944.2616499998
1061,1145004.9616499997
1062,1156111.8616499996
1063,1153996.2616499998
1064,1156552.6116499999
1065,1155494.8116499998
1066,1156640.7616499998
1067,1158491.9116499997
1068,1156023.7116499997
1069,1162899.4116499997
1070,1161400.8616499999
1071,1162811.2616499998
1072,1159197.1116499999
1073,1163516.4616499997
1074,1163780.9116499997
1075,1145533.8616499999
1076,1149765.0616499996
1077,1158403.7616499998
1078,1162282.3616499999
1079,1162370.5116499998
1080,1164926.8616499996
1081,1179119.0116499998
1082,1174711.5116499998
1083,1171890.7116499997
1084,1172419.6116499999
1085,1176474.5116499998
1086,1181587.2116499997
1087,1176827.1116499999
1088,1170215.8616499999
1089,1170039.5616499998
1090,1177356.0116499998
1091,1179471.6116499996
1092,1174799.6616499997
1093,1184760.6116499996
1094,1183438.3616499999
1095,1185465.8116499998
1096,1186876.2116499997
1097,1197542.3616499999
1098,1189344.4116499997
1099,1183526.5116499998
1100,1181939.8116499998
1101,1181234.6116499999
1102,1183614.6616499997
1103,1171890.7116499997
1104,1181058.3116499998
1105,1166513.5616499998
1106,1175064.1116499996
1107,1178766.41165
1108,1179559.7616499998
1109,1175769.3116499998
1110,1182380.5616499998
1111,1187405.1116499999
1112,1183262.0616499998
1113,1188110.3116499998
1114,1193046.71165
1115,1197454.21165
1116,1192429.6616499997
1117,1191812.6116499999
1118,1200275.0116499998
1119,1189697.0116499998
1120,1202038.0116499998
1121,1214026.41165
1122,1209971.5116499998
1123,1220902.1116499999
1124,1207591.4616499997
1125,1205916.6116499996
1126,1200010.5616499998
1127,1234565.3616499996
1128,1222929.5616499998
1129,1230334.1616499997
1130,1234565.3616499996
1131,1225045.16165
1132,1222488.8116499996
1133,1225397.7616499998
1134,1209883.3616499999
1135,1204153.6116499999
1136,1218962.8116499998
1137,1211470.0616499996
1138,1217287.96165
1139,1197630.5116499998
1140,1189697.0116499998
1141,1195162.3116499998
1142,1213321.2116499997
1143,1202566.9116499997
1144,1203712.8616499996
1145,1206181.0616499998
1146,1206621.8116499998
1147,1213321.2116499997
1148,1216935.3616499996
1149,1218962.8116499998
1150,1213321.2116499997
1151,1203448.4116499997
1152,1203801.0116499998
1153,1208472.96165
