日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,0,1000000.0,113.93481,118.5852,113.93481,118.5852
2016-08-10,0,1000000.0,113.709404,118.35059,113.709404,118.35059
2016-08-11,0,1000000.0,114.0426,118.6974,114.0426,118.6974
2016-08-12,0,1000000.0,113.778,118.422,113.778,118.422
2016-08-15,0,1000000.0,114.5032,119.176796,114.5032,119.176796
2016-08-16,0,1000000.0,113.9054,118.5546,113.9054,118.5546
2016-08-17,0,1000000.0,113.4644,118.0956,113.4644,118.0956
2016-08-18,0,1000000.0,113.5428,118.1772,113.5428,118.1772
2016-08-19,0,1000000.0,113.7878,118.4322,113.7878,118.4322
2016-08-22,0,1000000.0,114.248405,118.9116,114.248405,118.9116
2016-08-23,0,1000000.0,114.66981,119.3502,114.66981,119.3502
2016-08-24,0,1000000.0,114.424805,119.0952,114.424805,119.0952
2016-08-25,0,1000000.0,114.4346,119.10539,114.4346,119.10539
2016-08-26,0,1000000.0,114.415,119.085,114.415,119.085
2016-08-29,0,1000000.0,114.8266,119.5134,114.8266,119.5134
2016-08-30,0,1000000.0,114.679596,119.3604,114.679596,119.3604
2016-08-31,0,1000000.0,114.3758,119.0442,114.3758,119.0442
2016-09-01,0,1000000.0,113.807396,118.4526,113.807396,118.4526
2016-09-02,0,1000000.0,114.0622,118.7178,114.0622,118.7178
2016-09-06,0,1000000.0,113.3958,118.0242,113.3958,118.0242
2016-09-07,-1,1000000.0,111.9552,116.524796,111.9552,116.524796
2016-09-08,-1,1003676.4740943909,111.5436,116.0964,111.5436,116.0964
2016-09-09,-1,1019637.2192253164,109.769806,114.2502,109.769806,114.2502
2016-09-12,-1,1006164.7134482298,111.2202,115.759796,111.2202,115.759796
2016-09-13,-1,1022920.7955424229,109.368004,113.83199,109.368004,113.83199
2016-09-14,-1,1000647.5413970628,111.7494,116.3106,111.7494,116.3106
2016-09-15,-1,989678.4336122302,112.9744,117.585594,112.9744,117.585594
2016-09-16,-1,998435.1197678813,111.97481,116.5452,111.97481,116.5452
2016-09-19,-1,995988.3692751812,112.24921,116.830795,112.24921,116.830795
2016-09-20,-1,993118.8768744584,112.5726,117.167404,112.5726,117.167404
2016-09-21,-1,983954.6214913129,113.611404,118.2486,113.611404,118.2486
2016-09-22,-1,976315.9194783712,114.4934,119.1666,114.4934,119.1666
2016-09-23,-1,983419.1271905021,113.66041,118.2996,113.66041,118.2996
2016-09-26,-1,983758.2813785346,113.62121,118.2588,113.62121,118.2588
2016-09-27,-1,981467.350865781,113.8858,118.534195,113.8858,118.534195
2016-09-28,-1,973443.9571092754,114.8168,119.503204,114.8168,119.503204
2016-09-29,-1,981503.3565933347,113.8662,118.5138,113.8662,118.5138
2016-09-30,-1,978124.5059030053,114.2582,118.92179,114.2582,118.92179
2016-10-03,-1,982654.7667479031,113.729004,118.371,113.729004,118.371
2016-10-04,-1,992561.7813071923,112.5824,117.1776,112.5824,117.1776
2016-10-05,-1,989278.5662245812,112.9548,117.5652,112.9548,117.5652
2016-10-06,-1,986274.5048931376,113.297806,117.922195,113.297806,117.922195
2016-10-07,-1,1060238.6732697894,104.8012,109.078804,104.8012,109.078804
2016-10-10,-1,1061626.69153335,104.664,108.936005,104.664,108.936005
2016-10-11,-1,1071765.8963730838,103.6644,107.8956,103.6644,107.8956
2016-10-12,-1,1055048.0457148433,105.2814,109.5786,105.2814,109.5786
2016-10-13,-1,1046896.7929870035,106.0948,110.4252,106.0948,110.4252
2016-10-14,-1,1039740.8959403085,106.82,111.18,106.82,111.18
2016-10-17,-1,1048898.2075148828,105.8792,110.2008,105.8792,110.2008
2016-10-18,-1,1050548.6520093796,105.71261,110.0274,105.71261,110.0274
2016-10-19,-1,1046653.0871708029,106.1046,110.435394,106.1046,110.435394
2016-10-20,-1,1047909.7783755873,105.9772,110.302795,105.9772,110.302795
2016-10-21,-1,1039963.7051900608,106.7808,111.1392,106.7808,111.1392
2016-10-24,-1,1037100.2930841697,107.07481,111.4452,107.07481,111.4452
2016-10-25,-1,1038903.7747256252,106.8886,111.251396,106.8886,111.251396
2016-10-26,-1,1035474.6995185582,107.2414,111.6186,107.2414,111.6186
2016-10-27,-1,1041152.1779592013,106.653404,111.0066,106.653404,111.0066
2016-10-28,-1,1031585.3928767304,107.63341,112.026596,107.63341,112.026596
2016-10-31,-1,1032994.3124312249,107.486404,111.8736,107.486404,111.8736
