date,portfolio_value
881,1000000.0
882,1000008.65018
883,1000015.19014
884,999969.0860400001
885,1000036.3967800001
886,999975.3103
887,999996.41572
888,999975.23736
889,1000002.7818
890,999968.4426000001
891,1000148.86704
892,999532.8132800001
893,999556.4753800001
894,999613.17538
895,999697.8709
896,999778.22026
897,999843.86416
898,1000054.12386
899,999984.5111
900,999796.7421200001
901,999963.18294
902,999664.67536
903,999136.44192
904,999228.2924200001
905,998272.5188600001
906,998764.5250600001
907,999363.6115200002
908,999074.7948800002
909,999065.4288800003
910,999059.8431600002
911,999818.5175800002
912,999808.2866600002
913,999421.4560200002
914,998994.8774200003
915,999531.2317000002
916,999563.9901600002
917,999123.9676400002
918,999485.0373000002
919,999031.2971600002
920,999144.4289200002
921,998717.2977400002
922,998847.7972000003
923,998028.9534400002
924,998448.8491400003
925,997732.7750400002
926,998071.4771800003
927,997599.8517600002
928,997723.3765600004
929,997647.9587000003
930,997831.6823800004
931,998558.1822800003
932,998349.6076200003
933,998748.4970200002
934,999618.8287200002
935,998630.7139700003
936,998244.1974900003
937,997842.8480100003
938,998527.6256700003
939,998988.9512900003
940,997872.3289300003
941,996871.2254700003
942,996357.3386700003
943,996078.1002700003
944,998387.4663500004
945,998789.1557500003
946,999706.7388500003
947,999585.0878100004
948,1001600.2585900004
949,1000294.4592700005
950,1001152.6591300005
951,1001111.9065300005
952,1004032.7144900004
953,1006228.5612900004
954,1005910.1175700005
955,1006695.8581900004
956,1006053.7281700005
957,1006318.1066900005
958,1005928.4017100006
959,1006418.1817700006
960,1003673.6755300006
961,1003324.8840100006
962,1003198.5568300006
963,1005068.2111900006
964,1004648.2827300007
965,1007092.7593100007
966,1008352.5267700006
967,1007520.1193900007
968,1006361.3816700007
969,1008528.0772500007
970,1008376.9081900006
971,1008513.8608100007
972,1007913.4318900006
973,1008993.7095500007
974,1009304.5354500007
975,1008381.6779900007
976,1007342.6303300005
977,1007354.4335900006
978,1007325.6367100007
979,1005348.3201100007
980,1004598.2636700007
981,1004162.6547900008
982,1004359.0102500007
983,1004685.8437500007
984,1005708.0540300007
985,1007409.9543700007
986,1006893.8183300006
987,1006298.5871900007
988,1006701.4216500007
989,1007697.7123300007
990,1007787.6337700007
991,1006230.5943700006
992,1005762.7691100007
993,1006012.0280500007
994,1007829.7047500006
995,1007828.0653500006
996,1010482.9259500006
997,1012527.5034500007
998,1009986.9233100007
999,1010200.0248700008
1000,1010098.4046100007
1001,1010180.7451900007
1002,1008705.3050700007
1003,1008908.6171300007
1004,1009836.8475100007
1005,1009001.9103300007
1006,1008282.7598700006
1007,1006640.5951500006
1008,1005821.0834500007
1009,1008399.9381900007
1010,1009969.5127700007
1011,1010768.6551700007
1012,1010968.7314100007
1013,1011502.9861100006
1014,1012655.7567500006
1015,1012672.8387100006
1016,1011839.5605300006
1017,1014255.9685100007
1018,1028274.8587100008
1019,1024099.9465700006
1020,1023300.3246700007
1021,1021514.9685100007
1022,1022776.5850900006
1023,1025319.4727100007
1024,1024617.0024100007
1025,1023204.0370100007
1026,1023608.2814100006
1027,1021889.5630100006
1028,1022258.2563700007
1029,1022277.2272100006
1030,1020940.4379100007
1031,1021694.6975700007
1032,1021016.4721900006
1033,1020099.6912900007
1034,1018984.1164100007
1035,1013915.7888100008
1036,1014065.9941100008
1037,1011596.3784300007
1038,1011001.2385700007
1039,1008190.3224900007
1040,1007186.9641900007
1041,1006916.5121900006
1042,1001820.8218700007
1043,1002658.3631900006
1044,1003067.4993300007
1045,1002744.4329500006
1046,1003944.0085300006
1047,1006870.6168300007
1048,1008388.6674900006
1049,1008763.3290500006
1050,1008903.6283700006
1051,1006878.9668500007
1052,1007020.9572300005
1053,1008825.3067700006
1054,1010543.2658100007
1055,1009615.9149100005
1056,1007899.2493300006
1057,1008119.3535500006
1058,1009108.8965100006
1059,1009904.6738700005
1060,1001708.3867500005
1061,1026402.7654100005
1062,1025387.4068700005
1063,1026175.5339300005
1064,1027172.9566500005
1065,1026372.6339100004
1066,1027277.3755100005
1067,1027770.3722100004
1068,1027847.1462500005
1069,1029319.2998700005
1070,1030270.0856500005
1071,1029709.7063900004
1072,1028718.5500700005
1073,1031727.3389300006
1074,1031374.2921100005
1075,1025533.1071100004
1076,1024985.3522100005
1077,1025614.7201100005
1078,1030522.2047900006
1079,1036036.7045500006
1080,1060217.3764500006
1081,1061699.4468300007
1082,1062260.3097900006
1083,1066472.0899500006
1084,1068146.9092500005
1085,1070115.5802900007
1086,1074361.2016700006
1087,1073897.7623300008
1088,1070939.8052300005
1089,1071927.9024100006
1090,1074091.1548300006
1091,1066739.1568900007
1092,1065348.8139500006
1093,1065762.3775900006
1094,1066684.8392700006
1095,1066113.6366100004
1096,1064576.5766100006
1097,1068384.8637500005
1098,1066620.8532500006
1099,1066863.0508700004
1100,1066063.9273700006
1101,1067324.7675100006
1102,1061134.8019100006
1103,1051466.9843100004
1104,1051714.8502500006
1105,1044594.2350700004
1106,1043678.8716700004
1107,1040101.6923300003
