日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,-1,1000000.0,227.581872,236.87092800000002,227.581872,236.87092800000002
2016-08-10,-1,1004937.4231353543,226.458204,235.70139600000002,226.458204,235.70139600000002
2016-08-11,1,1001603.574704745,227.20947199999998,236.483328,227.20947199999998,236.483328
2016-08-12,-1,994950.5945202551,225.70027199999998,234.912528,225.70027199999998,234.912528
2016-08-15,1,991969.7137882435,226.37647199999998,235.616328,226.37647199999998,235.616328
2016-08-16,-1,982021.5196217465,224.106204,233.253396,224.106204,233.253396
2016-08-17,-1,986516.3719199732,223.08043800000002,232.185762,223.08043800000002,232.185762
2016-08-18,1,982586.9152881396,223.969004,233.11059600000002,223.969004,233.11059600000002
2016-08-19,1,985524.7039762208,224.638638,233.807562,224.638638,233.807562
2016-08-22,1,992088.6173233509,226.134804,235.36479599999998,226.134804,235.36479599999998
2016-08-23,1,997405.2710503836,227.346672,236.626128,227.346672,236.626128
2016-08-24,-1,982543.9211612834,223.959204,233.100396,223.959204,233.100396
2016-08-25,1,981311.7094855858,224.24007199999997,233.392728,224.24007199999997,233.392728
2016-08-26,-1,979653.7203428184,223.861204,232.998396,223.861204,232.998396
2016-08-29,1,976423.0860405766,224.599438,233.766762,224.599438,233.766762
2016-08-30,-1,976394.541027107,224.592872,233.759928,224.592872,233.759928
2016-08-31,-1,977970.9074425845,224.23027199999999,233.382528,224.23027199999999,233.382528
2016-09-01,1,973311.9980365869,225.298472,234.494328,225.298472,234.494328
2016-09-02,-1,971449.1707842415,224.86727199999999,234.04552800000002,224.86727199999999,234.04552800000002
2016-09-06,1,964745.5328947785,226.419004,235.66059600000003,226.419004,235.66059600000003
2016-09-07,-1,960500.1310926036,225.422638,234.623562,225.422638,234.623562
2016-09-08,1,958996.8905607034,225.775438,234.99076200000002,225.775438,234.99076200000002
2016-09-09,-1,938280.7884453421,220.898272,229.914528,220.898272,229.914528
2016-09-12,1,928332.1308899915,223.240472,232.352328,223.240472,232.352328
2016-09-13,-1,913172.1216584552,219.594872,228.557928,219.594872,228.557928
2016-09-14,1,911962.9886641013,219.885638,228.860562,219.885638,228.860562
2016-09-15,1,926960.9693853667,223.501838,232.624362,223.501838,232.624362
2016-09-16,1,929914.6367539692,224.21400400000002,233.365596,224.21400400000002,233.365596
2016-09-19,1,939642.1888570056,226.559438,235.806762,226.559438,235.806762
2016-09-20,1,946849.7550393958,228.297272,237.615528,228.297272,237.615528
2016-09-21,1,952526.6329996643,229.66603800000001,239.040162,229.66603800000001,239.040162
2016-09-22,1,973038.9119443824,234.611804,244.187796,234.611804,244.187796
2016-09-23,-1,962227.3594461262,232.00500399999999,241.47459600000002,232.00500399999999,241.47459600000002
2016-09-26,-1,966265.0272099486,231.03147199999998,240.461328,231.03147199999998,240.461328
2016-09-27,1,948571.9627858166,235.26183799999998,244.864362,235.26183799999998,244.864362
2016-09-28,-1,945384.4133357792,234.471272,244.04152800000003,234.471272,244.04152800000003
2016-09-29,1,942460.4185508186,235.196472,244.796328,235.196472,244.796328
2016-09-30,1,948796.2037513044,236.777604,246.44199600000002,236.777604,246.44199600000002
2016-10-03,-1,939777.1149512822,234.526838,244.09936199999999,234.526838,244.09936199999999
2016-10-04,-1,941504.984970009,234.09563799999998,243.650562,234.09563799999998,243.650562
2016-10-05,1,939560.6705658935,234.579072,244.153728,234.579072,244.153728
2016-10-06,-1,937061.8891041585,233.955204,243.504396,233.955204,243.504396
2016-10-07,1,934641.6116154597,234.55947199999997,244.133328,234.55947199999997,244.133328
2016-10-10,1,943193.505980438,236.705672,246.36712799999998,236.705672,246.36712799999998
2016-10-11,-1,924566.7771580879,232.031072,241.501728,232.031072,241.501728
2016-10-12,1,923746.732492953,232.236872,241.71592800000002,232.236872,241.71592800000002
2016-10-13,1,927008.2340225434,233.056838,242.56936199999998,233.056838,242.56936199999998
2016-10-14,1,928918.280334841,233.537038,243.069162,233.537038,243.069162
