日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,0,1000000.0,227.58188,236.87091,227.58188,236.87091
2016-08-10,0,1000000.0,226.4582,235.7014,226.4582,235.7014
2016-08-11,0,1000000.0,227.20949,236.48332,227.20949,236.48332
2016-08-12,0,1000000.0,225.70027,234.91252,225.70027,234.91252
2016-08-15,0,1000000.0,226.37648,235.61632,226.37648,235.61632
2016-08-16,0,1000000.0,224.1062,233.25339,224.1062,233.25339
2016-08-17,0,1000000.0,223.08044,232.18576,223.08044,232.18576
2016-08-18,0,1000000.0,223.96901,233.11058,223.96901,233.11058
2016-08-19,0,1000000.0,224.63864,233.80756,224.63864,233.80756
2016-08-22,0,1000000.0,226.13481,235.36479,226.13481,235.36479
2016-08-23,0,1000000.0,227.34668,236.62613,227.34668,236.62613
2016-08-24,0,1000000.0,223.95921,233.10039,223.95921,233.10039
2016-08-25,0,1000000.0,224.24008,233.39273,224.24008,233.39273
2016-08-26,0,1000000.0,223.8612,232.99838,223.8612,232.99838
2016-08-29,0,1000000.0,224.59944,233.76677,224.59944,233.76677
2016-08-30,0,1000000.0,224.59288,233.75993,224.59288,233.75993
2016-08-31,0,1000000.0,224.23027,233.38252,224.23027,233.38252
2016-09-01,0,1000000.0,225.29846,234.49432,225.29846,234.49432
2016-09-02,0,1000000.0,224.86728,234.04553,224.86728,234.04553
2016-09-06,0,1000000.0,226.419,235.66058,226.419,235.66058
2016-09-07,-1,1000000.0,225.42264,234.62357,225.42264,234.62357
2016-09-08,-1,998434.9012374878,225.77545,234.99075,225.77545,234.99075
2016-09-09,-1,1020002.9479546302,220.89828,229.91452,220.89828,229.91452
2016-09-12,-1,1009187.785032984,223.24048,232.35233,223.24048,232.35233
2016-09-13,-1,1025668.1862490003,219.59488,228.55792,219.59488,228.55792
2016-09-14,-1,1024310.1425134165,219.88564,228.86055,219.88564,228.86055
2016-09-15,-1,1007464.4657764815,223.50183,232.62436,223.50183,232.62436
2016-09-16,-1,1004254.3363121246,224.214,233.36559,224.214,233.36559
2016-09-19,-1,993749.0984626834,226.55945,235.80676,226.55945,235.80676
2016-09-20,-1,986126.5244026508,228.29729,237.61552,228.29729,237.61552
2016-09-21,-1,980214.1909835297,229.66605,239.04016,229.66605,239.04016
2016-09-22,-1,959105.7076058084,234.6118,244.18779,234.6118,244.18779
2016-09-23,-1,969762.4084715493,232.00502,241.4746,232.00502,241.4746
2016-09-26,-1,973831.7512825857,231.03148,240.46132,231.03148,240.46132
2016-09-27,-1,956000.1271727801,235.26184,244.86435,235.26184,244.86435
2016-09-28,-1,959212.6610740989,234.47127,244.04152,234.47127,244.04152
