日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,0,1000000.0,120.9614,125.89860000000002,120.9614,125.89860000000002
2016-08-10,0,1000000.0,120.8928,125.8272,120.8928,125.8272
2016-08-11,1,1000000.0,121.29459999999999,126.2454,121.29459999999999,126.2454
2016-08-12,0,995556.2737335381,120.7556,125.6844,120.7556,125.6844
2016-08-15,0,995556.2737335381,119.8638,124.7562,119.8638,124.7562
2016-08-16,0,995556.2737335381,117.9234,122.7366,117.9234,122.7366
2016-08-17,0,995556.2737335381,118.8838,123.73620000000001,118.8838,123.73620000000001
2016-08-18,0,995556.2737335381,118.3154,123.14460000000001,118.3154,123.14460000000001
2016-08-19,0,995556.2737335381,117.5216,122.3184,117.5216,122.3184
2016-08-22,0,995556.2737335381,116.7474,121.51259999999999,116.7474,121.51259999999999
2016-08-23,0,995556.2737335381,117.0512,121.8288,117.0512,121.8288
2016-08-24,0,995556.2737335381,116.33579999999999,121.0842,116.33579999999999,121.0842
2016-08-25,0,995556.2737335381,116.19859999999998,120.9414,116.19859999999998,120.9414
2016-08-26,0,995556.2737335381,116.6592,121.42080000000001,116.6592,121.42080000000001
2016-08-29,0,995556.2737335381,117.5216,122.3184,117.5216,122.3184
2016-08-30,0,995556.2737335381,117.08059999999999,121.85940000000001,117.08059999999999,121.85940000000001
2016-08-31,0,995556.2737335381,116.9532,121.72680000000001,116.9532,121.72680000000001
2016-09-01,0,995556.2737335381,116.69839999999999,121.4616,116.69839999999999,121.4616
2016-09-02,1,995556.2737335381,116.93359999999998,121.7064,116.93359999999998,121.7064
2016-09-06,1,999144.0142439759,117.355,122.145,117.355,122.145
2016-09-07,1,997975.9126824379,117.2178,122.0022,117.2178,122.0022
2016-09-08,1,996807.8111209001,117.08059999999999,121.85940000000001,117.08059999999999,121.85940000000001
2016-09-09,0,986461.768718708,115.86540000000001,120.5946,115.86540000000001,120.5946
2016-09-12,1,986461.768718708,116.7768,121.5432,116.7768,121.5432
2016-09-13,0,973630.1495384966,115.2578,119.9622,115.2578,119.9622
2016-09-14,0,973630.1495384966,115.5028,120.2172,115.5028,120.2172
2016-09-15,0,973630.1495384966,116.25739999999999,121.0026,116.25739999999999,121.0026
2016-09-16,0,973630.1495384966,115.88499999999999,120.61500000000001,115.88499999999999,120.61500000000001
2016-09-19,0,973630.1495384966,115.3068,120.0132,115.3068,120.0132
2016-09-20,0,973630.1495384966,115.591,120.30900000000001,115.591,120.30900000000001
2016-09-21,1,973630.1495384966,116.53179999999999,121.2882,116.53179999999999,121.2882
2016-09-22,1,978133.5267334017,117.07079999999999,121.8492,117.07079999999999,121.8492
2016-09-23,1,972811.3536848775,116.4338,121.1862,116.4338,121.1862
2016-09-26,1,964377.7563926005,115.4244,120.1356,115.4244,120.1356
2016-09-27,1,976168.4166847159,116.8356,121.6044,116.8356,121.6044
2016-09-28,1,977560.3696358685,117.0022,121.7778,117.0022,121.7778
2016-09-29,1,960201.897539143,114.9246,119.6154,114.9246,119.6154
2016-09-30,1,967243.5418802674,115.7674,120.4926,115.7674,120.4926
