date,portfolio_value
881,1000000.0
882,1000019.34634
883,1000132.50004
884,1000365.4404999999
885,1000831.36885
886,998336.62735
887,997977.75208
888,997886.17444
889,997342.7480199999
890,997366.5079000001
891,995084.0437
892,994156.8764500001
893,994395.1423300001
894,991670.7973000001
895,991565.51086
896,987835.1510500001
897,990695.2591000001
898,991237.7476300001
899,990959.1035200001
900,990636.6142000001
901,988961.6212
902,989227.77133
903,985075.2682
904,986071.9132600001
905,984358.37446
906,984346.26655
907,986561.83864
908,984291.3650499999
909,989177.2950999999
910,988573.4102199997
911,993671.3457399998
912,998085.7109199998
913,996800.1732999998
914,996265.9054599998
915,996704.2234299998
916,996620.2881399998
917,990346.9948899999
918,985390.6955499998
919,987045.1498299998
920,980111.1602499997
921,979079.0681499998
922,975135.9215499999
923,972574.9708299998
924,972036.7407999998
925,968793.4830099999
926,969355.4086599998
927,971431.5115599999
928,970412.8890699999
929,970890.628
930,970928.7367299998
931,969743.8644399999
932,968431.5156099999
933,964945.57228
934,969366.7357599998
935,1016448.2955999998
936,1018763.7333399998
937,1014295.6187499999
938,1012742.2337199999
939,1007937.6257199999
940,1003712.4603399998
941,1004097.76636
942,984143.7557499998
943,976479.5420499998
944,986074.3617699998
945,985801.0389999999
946,1033093.8903099999
947,1045905.4238499998
948,1052384.6030799998
949,1080358.1454099999
950,1075734.6261699998
951,1066510.46374
952,1066243.5628899997
953,1065532.4556099998
954,1066747.62802
955,1071413.9536
956,1070405.9559399998
957,1076278.96914
958,1076305.4049799999
959,1078872.6084799997
960,1073519.0658
961,1078156.9303
962,1083091.8727
963,1080299.4426999998
964,1076535.7326999998
965,1078073.5926999997
966,1049218.4826999998
967,1050351.6426999997
968,1024369.9027
969,1018623.1626999999
970,1021091.8327
971,1014414.2827
972,1012107.4927
973,1020606.1927
974,1026879.0426999999
975,1021982.1727
976,1023115.3327
977,1010124.4626999999
978,1015264.1527
979,1010083.9927
980,1014171.4626999999
981,1011540.9126999999
982,1025179.3027
983,1027931.2627
984,1035984.7926999999
985,1043552.6827
986,1043390.8027
987,1036753.7227
988,1032544.8426999999
989,1022386.8727
990,1030116.6427
991,1028457.3727
992,1028255.0226999999
993,1040234.1426999999
994,1043067.0427
995,1042055.2927
996,1023560.5027
997,1015830.7326999999
998,1031897.3226999999
999,1025948.2326999999
1000,1023236.7427
1001,1017166.2427
1002,1015426.0327
1003,1019756.3226999999
1004,1029833.3526999999
1005,1033273.3027
1006,1037563.1227
1007,1039060.5127
1008,1044969.1326999998
1009,1054479.5827
1010,1061764.1827
1011,1062614.0527
1012,1066256.3526999997
1013,1073824.2426999998
1014,1073905.1827
1015,1075159.7526999998
1016,1076211.9726999998
1017,1071881.6827
1018,1076535.7326999998
1019,1090133.6527
1020,1078882.9926999998
1021,1086167.5926999997
1022,1080542.2626999998
1023,1083658.4526999998
1024,1083496.5727
1025,1088838.6127
1026,1083496.5727
1027,1087381.6926999998
1028,1087300.7526999998
1029,1089445.6626999998
1030,1084629.7326999998
1031,1090457.4126999998
1032,1084386.9126999998
1033,1100736.7926999999
1034,1100939.1426999997
1035,1088676.7326999998
1036,1090376.4726999998
1037,1090700.2326999998
1038,1082282.4726999998
1039,1081230.2526999998
1040,1089162.3727
1041,1085601.0126999998
1042,1094909.1127
1043,1083010.9327
1044,1087381.6926999998
1045,1090943.0527
1046,1080501.7926999999
1047,1081027.9027
1048,1093654.5426999999
1049,1088798.1426999997
1050,1093816.4226999998
1051,1086693.7026999998
1052,1084629.7326999998
1053,1092238.0926999997
1054,1087786.3926999997
1055,1091226.3426999997
1056,1100210.6827
1057,1105228.9626999998
1058,1117855.6026999997
1059,1092804.6726999998
1060,1094140.1827
1061,1097337.3126999997
1062,1090497.8826999997
1063,1086369.9426999998
1064,1090659.7626999998
1065,1091104.9327
1066,1094787.7026999998
1067,1104986.1426999997
1068,1102841.2326999998
1069,1108385.6227
1070,1099765.5126999998
1071,1101181.9626999998
1072,1097822.9526999998
1073,1102234.1827
1074,1099401.2826999996
1075,1089648.0126999998
1076,1081877.7726999999
1077,1104014.8627
1078,1121174.1426999997
1079,1126556.6527
1080,1133396.0827
1081,1141530.5527
1082,1147965.2826999996
1083,1133557.9626999998
1084,1137766.8426999997
1085,1137078.8526999997
1086,1140316.4526999998
1087,1133719.8426999997
1088,1120567.0926999997
1089,1122590.5926999997
1090,1123561.8727
1091,1121052.7326999998
1092,1120607.5626999997
1093,1126556.6527
1094,1134407.8327
1095,1136957.4426999998
1096,1137685.9027
1097,1142501.8327
1098,1144889.5626999997
1099,1145294.2626999998
1100,1134933.9426999998
1101,1135783.8126999997
1102,1131979.6326999997
1103,1124411.7426999998
1104,1133274.6726999998
1105,1119960.0426999999
1106,1123521.4027
1107,1128822.9726999998
1108,1142906.5326999996
1109,1137078.8526999997
1110,1154238.1326999997
1111,1155735.5226999999
1112,1159175.4726999998
1113,1158932.6527
1114,1160551.4526999998
1115,1166095.8426999997
1116,1167552.7626999998
1117,1160672.8627
1118,1176375.2226999998
1119,1172328.2226999998
1120,1170102.3727
1121,1174796.8926999997
1122,1172975.7426999998
1123,1173056.6827
1124,1166095.8426999997
1125,1175323.0026999998
1126,1182283.8426999997
1127,1192684.6326999997
1128,1192684.6326999997
1129,1197217.2726999999
1130,1201992.7326999998
1131,1202599.7826999996
1132,1214538.4327
1133,1235259.0727
1134,1227286.4826999998
1135,1229309.9826999998
1136,1244809.9926999998
1137,1239225.1326999997
1138,1237606.3327
1139,1219880.4726999998
1140,1210896.1326999997
1141,1221742.0926999997
1142,1233559.3327
1143,1225627.2126999998
1144,1224655.9327
1145,1225465.3327
1146,1228743.4027
1147,1247076.3126999997
1148,1239629.8327
1149,1235947.0626999997
1150,1222996.6626999998
1151,1223037.1326999997
1152,1220001.8826999997
