日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,0,1000000.0,255.44681,265.8732,255.44681,265.8732
2016-08-10,0,1000000.0,256.074,266.52597,256.074,266.52597
2016-08-11,0,1000000.0,257.2892,267.7908,257.2892,267.7908
2016-08-12,0,1000000.0,258.867,269.43298,258.867,269.43298
2016-08-15,0,1000000.0,261.17,271.83,261.17,271.83
2016-08-16,0,1000000.0,251.6346,261.9054,251.6346,261.9054
2016-08-17,0,1000000.0,250.5272,260.7528,250.5272,260.7528
2016-08-18,0,1000000.0,250.3116,260.52838,250.3116,260.52838
2016-08-19,0,1000000.0,249.0376,259.2024,249.0376,259.2024
2016-08-22,0,1000000.0,249.116,259.284,249.116,259.284
2016-08-23,0,1000000.0,244.755,254.745,244.755,254.745
2016-08-24,0,1000000.0,243.1576,253.0824,243.1576,253.0824
2016-08-25,0,1000000.0,243.5594,253.5006,243.5594,253.5006
2016-08-26,0,1000000.0,239.55121,249.3288,239.55121,249.3288
2016-08-29,0,1000000.0,239.4238,249.1962,239.4238,249.1962
2016-08-30,0,1000000.0,234.661,244.239,234.661,244.239
2016-08-31,0,1000000.0,238.11061,247.82939,238.11061,247.82939
2016-09-01,0,1000000.0,238.73781,248.4822,238.73781,248.4822
2016-09-02,0,1000000.0,238.45361,248.1864,238.45361,248.1864
2016-09-06,0,1000000.0,238.14,247.86,238.14,247.86
2016-09-07,-1,1000000.0,236.5426,246.19739,236.5426,246.19739
2016-09-08,-1,998922.8248596191,236.79741,246.4626,236.79741,246.4626
2016-09-09,-1,1014177.6810262968,233.18121,242.69879,233.18121,242.69879
2016-09-12,-1,1010512.1320924289,234.024,243.576,234.024,243.576
2016-09-13,-1,1016394.0717880029,232.6618,242.1582,232.6618,242.1582
2016-09-14,-1,1016394.0717880029,232.6618,242.1582,232.6618,242.1582
2016-09-15,-1,1009201.6784260282,234.3082,243.8718,234.3082,243.8718
2016-09-16,-1,1016124.1581959106,232.701,242.19899,232.701,242.19899
2016-09-19,-1,1001446.0560758222,236.06241,245.6976,236.06241,245.6976
2016-09-20,-1,1003109.1024697132,235.6704,245.2896,235.6704,245.2896
2016-09-21,-1,989176.9651687875,238.94362,248.6964,238.94362,248.6964
2016-09-22,-1,977817.4661213168,241.6876,251.55238,241.6876,251.55238
2016-09-23,-1,980910.0501583423,240.9232,250.75679,240.9232,250.75679
2016-09-26,-1,982146.9736753996,240.6194,250.4406,240.6194,250.4406
2016-09-27,-1,981106.94277073,240.87419,250.7058,240.87419,250.7058
2016-09-28,-1,981266.5891598427,240.835,250.665,240.835,250.665
2016-09-29,-1,994882.5478916026,237.4932,247.1868,237.4932,247.1868
2016-09-30,-1,1005638.4317224883,234.9256,244.5144,234.9256,244.5144
2016-10-03,-1,1002030.7195771292,235.7684,245.3916,235.7684,245.3916
2016-10-04,-1,1016525.1280128993,232.35802,241.842,232.35802,241.842
2016-10-05,-1,1018668.7887387966,231.86801,241.332,231.86801,241.332
2016-10-06,-1,1026763.02417254,230.0256,239.4144,230.0256,239.4144
2016-10-07,-1,1031968.5606161352,228.8594,238.20059,228.8594,238.20059
2016-10-10,-1,1033029.1180961215,228.62419,237.9558,228.62419,237.9558
2016-10-11,-1,1039405.5293798409,227.21301,236.487,227.21301,236.487
2016-10-12,-1,1038284.7924216663,227.45801,236.742,227.45801,236.742
2016-10-13,-1,1034303.3801399353,228.33022,237.6498,228.33022,237.6498
2016-10-14,-1,1036167.8394832239,227.91861,237.2214,227.91861,237.2214
2016-10-17,-1,1035276.7602011748,228.11461,237.4254,228.11461,237.4254
2016-10-18,-1,1035187.9016840828,228.1342,237.44579,228.1342,237.44579
2016-10-19,-1,1037233.4466253072,227.68341,236.9766,227.68341,236.9766
2016-10-20,-1,1039465.6614828767,227.1934,236.4666,227.1934,236.4666
2016-10-21,-1,1045339.3692008653,225.9096,235.1304,225.9096,235.1304
2016-10-24,-1,1037902.5205348484,227.51682,236.80319,227.51682,236.80319
2016-10-25,-1,961454.6872151955,244.2748,254.2452,244.2748,254.2452
2016-10-26,-1,958253.1651297694,245.0882,255.0918,245.0882,255.0918
2016-10-27,-1,964230.5042924266,243.5594,253.5006,243.5594,253.5006
2016-10-28,-1,966286.7595723595,243.04001,252.95999,243.04001,252.95999
2016-10-31,-1,972598.7880305861,241.45241,251.3076,241.45241,251.3076
2016-11-01,-1,978125.3760091469,240.0804,249.8796,240.0804,249.8796
2016-11-02,-1,977606.2655471975,240.20781,250.01219,240.20781,250.01219
2016-11-03,-1,1003172.1728472427,233.926,243.474,233.926,243.474
2016-11-04,-1,1013342.5466477446,231.5544,241.0056,231.5544,241.0056
2016-11-07,-1,1000519.1598955152,234.4846,244.0554,234.4846,244.0554
2016-11-08,-1,1000853.7155504591,234.4062,243.9738,234.4062,243.9738
2016-11-09,-1,941143.0636530509,248.39081,258.5292,248.39081,258.5292
2016-11-10,-1,926995.863438491,252.12459,262.41537,252.12459,262.41537
2016-11-11,-1,920149.653110436,253.98662,264.3534,253.98662,264.3534
2016-11-14,-1,891498.1951043634,261.8952,272.58478,261.8952,272.58478
2016-11-15,-1,895868.2707512154,260.6114,271.2486,260.6114,271.2486
2016-11-16,-1,904559.7417732034,258.083,268.617,258.083,268.617
2016-11-17,-1,904800.2069641092,258.0144,268.5456,258.0144,268.5456
2016-11-18,-1,905453.1949751071,257.82822,268.35178,257.82822,268.35178
2016-11-21,-1,904317.3588541771,258.1516,268.68842,258.1516,268.68842
2016-11-22,-1,900060.5406134063,259.36682,269.9532,259.36682,269.9532
2016-11-23,-1,900944.7634684015,259.112,269.688,259.112,269.688
2016-11-25,-1,895765.2435572282,260.60162,271.2384,260.60162,271.2384
2016-11-28,-1,895731.6067426673,260.6114,271.2486,260.6114,271.2486
2016-11-29,-1,893542.1992909599,261.24838,271.9116,261.24838,271.9116
2016-11-30,-1,898000.1595811088,259.945,270.555,259.945,270.555
2016-12-01,-1,894106.8595480395,261.072,271.728,261.072,271.728
2016-12-02,-1,890012.25778379,262.2676,272.97238,262.2676,272.97238
2016-12-05,-1,892306.9925142097,261.5914,272.2686,261.5914,272.2686
2016-12-06,-1,895415.7996206117,260.68,271.32,260.68,271.32
2016-12-07,-1,894136.6049148091,261.0524,271.7076,261.0524,271.7076
2016-12-08,-1,918069.3337030337,254.065,264.435,254.065,264.435
2016-12-09,-1,917077.7856221901,254.3394,264.72058,254.3394,264.72058
2016-12-12,-1,939763.539231928,248.0478,258.1722,248.0478,258.1722
2016-12-13,-1,945035.8265629527,246.6562,256.7238,246.6562,256.7238
2016-12-14,-1,942745.3960898812,247.25401,257.346,247.25401,257.346
2016-12-15,-1,948910.8390098732,245.637,255.663,245.637,255.663
2016-12-16,-1,951068.6968052253,245.0784,255.0816,245.0784,255.0816
2016-12-19,-1,943082.3622343815,247.1364,257.2236,247.1364,257.2236
2016-12-20,-1,937285.7715966017,248.6554,258.8046,248.6554,258.8046
2016-12-21,-1,941755.4895002233,247.4696,257.5704,247.4696,257.5704
2016-12-22,-1,940711.3034078656,247.744,257.856,247.744,257.856
2016-12-23,-1,952656.2823489599,244.5982,254.58179,244.5982,254.58179
2016-12-27,-1,947808.853460188,245.8428,255.8772,245.8428,255.8772
2016-12-28,-1,952645.006067418,244.58841,254.5716,244.58841,254.5716
2016-12-29,-1,948789.8443980479,245.5782,255.60179,245.5782,255.60179
2016-12-30,-1,951250.8865905377,244.94121,254.9388,244.94121,254.9388
2017-01-03,-1,938425.0123182123,248.2438,258.3762,248.2438,258.3762
2017-01-04,-1,935905.8347797705,248.91022,259.0698,248.91022,259.0698
2017-01-05,-1,928573.0955356591,250.8604,261.09958,250.8604,261.09958
2017-01-06,-1,921789.6234902947,252.69301,263.007,252.69301,263.007
2017-01-09,-1,921932.6399710949,252.65381,262.9662,252.65381,262.9662
2017-01-10,-1,927797.2254384117,251.04662,261.2934,251.04662,261.2934
2017-01-11,-1,931563.9440892467,250.0274,260.2326,250.0274,260.2326
2017-01-12,-1,940728.8228104564,247.5676,257.6724,247.5676,257.6724
2017-01-13,-1,933616.2261963424,249.4394,259.6206,249.4394,259.6206
2017-01-17,-1,935120.1097079426,249.0376,259.2024,249.0376,259.2024
2017-01-18,-1,935304.0434644155,248.98862,259.1514,248.98862,259.1514
2017-01-19,-1,924407.4484431942,251.8894,262.1706,251.8894,262.1706
2017-01-20,-1,921889.8659590521,252.57541,262.8846,252.57541,262.8846
2017-01-23,-1,922784.1046502996,252.33041,262.6296,252.33041,262.6296
2017-01-24,-1,939162.5553488277,247.8518,257.9682,247.8518,257.9682
2017-01-25,-1,946255.1929622651,245.98001,256.02,245.98001,256.02
2017-01-26,-1,931288.5692980966,249.8706,260.0694,249.8706,260.0694
2017-01-27,-1,936657.8003697175,248.43001,258.57,248.43001,258.57
2017-01-30,-1,939133.3767814413,247.7734,257.8866,247.7734,257.8866
2017-01-31,-1,944705.1306960774,246.3034,256.3566,246.3034,256.3566
2017-02-01,-1,946321.4751942725,245.882,255.91798,245.882,255.91798
2017-02-02,-1,942285.686327386,246.9306,257.0094,246.9306,257.0094
2017-02-03,-1,932973.9320363902,249.3708,259.5492,249.3708,259.5492
2017-02-06,-1,929857.4599650296,250.2038,260.4162,250.2038,260.4162
2017-02-07,-1,925996.8581088382,251.2426,261.49738,251.2426,261.49738
2017-02-08,-1,924660.3975231102,251.6052,261.8748,251.6052,261.8748
2017-02-09,-1,919402.0758082984,253.03601,263.364,253.03601,263.364
2017-02-10,-1,911034.2381785258,255.33899,265.761,255.33899,265.761
2017-02-13,-1,904740.3253857049,257.103,267.59702,257.103,267.59702
2017-02-14,-1,904016.19731289,257.3088,267.8112,257.3088,267.8112
2017-02-15,-1,900917.4612964335,258.1908,268.7292,258.1908,268.7292
2017-02-16,-1,894522.8930244328,260.0234,270.63657,260.0234,270.63657
2017-02-17,-1,894455.3927918215,260.043,270.657,260.043,270.657
2017-02-21,-1,893410.4443511076,260.3468,270.9732,260.3468,270.9732
2017-02-22,-1,892536.0561632077,260.60162,271.2384,260.60162,271.2384
2017-02-23,-1,896127.4341415007,259.553,270.147,259.553,270.147
2017-02-24,-1,892236.3778826828,260.68,271.32,260.68,271.32
2017-02-27,-1,880966.0623742186,263.97278,274.7472,263.97278,274.7472
2017-02-28,-1,890058.3216360857,261.24838,271.9116,261.24838,271.9116
2017-03-01,-1,884048.4230385936,263.01242,273.7476,263.01242,273.7476
2017-03-02,-1,888627.1626621113,261.6502,272.32977,261.6502,272.32977
2017-03-03,-1,886064.3349621778,262.40482,273.1152,262.40482,273.1152
2017-03-06,-1,886196.7385318613,262.3656,273.0744,262.3656,273.0744
2017-03-07,-1,881827.3488660576,263.6592,274.4208,263.6592,274.4208
