日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,1,1000000.0,79.713196,82.9668,79.713196,82.9668
2016-08-10,0,995574.2359161377,79.360405,82.5996,79.360405,82.5996
2016-08-11,0,995574.2359161377,79.9778,83.2422,79.9778,83.2422
2016-08-12,0,995574.2359161377,80.0856,83.3544,80.0856,83.3544
2016-08-15,0,995574.2359161377,79.9092,83.1708,79.9092,83.1708
2016-08-16,0,995574.2359161377,79.8504,83.109604,79.8504,83.109604
2016-08-17,0,995574.2359161377,75.3424,78.417595,75.3424,78.417595
2016-08-18,0,995574.2359161377,74.901405,77.958595,74.901405,77.958595
2016-08-19,0,995574.2359161377,76.2636,79.376396,76.2636,79.376396
2016-08-22,0,995574.2359161377,75.7442,78.8358,75.7442,78.8358
2016-08-23,0,995574.2359161377,75.754005,78.846,75.754005,78.846
2016-08-24,0,995574.2359161377,75.4208,78.4992,75.4208,78.4992
2016-08-25,0,995574.2359161377,75.9206,79.0194,75.9206,79.0194
2016-08-26,0,995574.2359161377,75.362,78.438,75.362,78.438
2016-08-29,0,995574.2359161377,75.6364,78.7236,75.6364,78.7236
2016-08-30,0,995574.2359161377,75.0288,78.091194,75.0288,78.091194
2016-08-31,0,995574.2359161377,75.0288,78.091194,75.0288,78.091194
2016-09-01,0,995574.2359161377,74.9112,77.9688,74.9112,77.9688
2016-09-02,0,995574.2359161377,75.4208,78.4992,75.4208,78.4992
2016-09-06,0,995574.2359161377,74.48981,77.5302,74.48981,77.5302
2016-09-07,0,995574.2359161377,73.931206,76.9488,73.931206,76.9488
2016-09-08,0,995574.2359161377,72.6474,75.612595,72.6474,75.612595
2016-09-09,0,995574.2359161377,70.334595,73.2054,70.334595,73.2054
2016-09-12,0,995574.2359161377,71.05,73.95,71.05,73.95
2016-09-13,0,995574.2359161377,69.6584,72.5016,69.6584,72.5016
2016-09-14,0,995574.2359161377,69.6976,72.542404,69.6976,72.542404
2016-09-15,0,995574.2359161377,69.8838,72.7362,69.8838,72.7362
2016-09-16,0,995574.2359161377,69.531,72.368996,69.531,72.368996
2016-09-19,0,995574.2359161377,69.8838,72.7362,69.8838,72.7362
2016-09-20,0,995574.2359161377,69.942604,72.7974,69.942604,72.7974
2016-09-21,0,995574.2359161377,70.609,73.491005,70.609,73.491005
2016-09-22,0,995574.2359161377,70.638405,73.5216,70.638405,73.5216
2016-09-23,0,995574.2359161377,70.903,73.797,70.903,73.797
2016-09-26,0,995574.2359161377,69.3938,72.2262,69.3938,72.2262
2016-09-27,0,995574.2359161377,70.07,72.93,70.07,72.93
2016-09-28,0,995574.2359161377,70.32481,73.1952,70.32481,73.1952
2016-09-29,0,995574.2359161377,70.5698,73.4502,70.5698,73.4502
2016-09-30,0,995574.2359161377,70.7658,73.6542,70.7658,73.6542
2016-10-03,0,995574.2359161377,70.7462,73.633804,70.7462,73.633804
2016-10-04,0,995574.2359161377,71.246,74.15399,71.246,74.15399
2016-10-05,0,995574.2359161377,70.805,73.695,70.805,73.695
2016-10-06,0,995574.2359161377,70.6482,73.53179,70.6482,73.53179
2016-10-07,0,995574.2359161377,69.874,72.726006,69.874,72.726006
2016-10-10,0,995574.2359161377,69.550606,72.3894,69.550606,72.3894
2016-10-11,0,995574.2359161377,68.688194,71.4918,68.688194,71.4918
2016-10-12,0,995574.2359161377,69.8936,72.7464,69.8936,72.7464
2016-10-13,0,995574.2359161377,69.678,72.521996,69.678,72.521996
2016-10-14,0,995574.2359161377,69.923,72.777,69.923,72.777
2016-10-17,0,995574.2359161377,68.58041,71.3796,68.58041,71.3796
2016-10-18,0,995574.2359161377,68.8352,71.6448,68.8352,71.6448
2016-10-19,0,995574.2359161377,68.1982,70.9818,68.1982,70.9818
2016-10-20,0,995574.2359161377,68.4922,71.287796,68.4922,71.287796
2016-10-21,0,995574.2359161377,69.237,72.063,69.237,72.063
2016-10-24,0,995574.2359161377,69.5604,72.399605,69.5604,72.399605
2016-10-25,0,995574.2359161377,67.1006,69.8394,67.1006,69.8394
2016-10-26,0,995574.2359161377,66.022606,68.7174,66.022606,68.7174
2016-10-27,0,995574.2359161377,65.8168,68.503204,65.8168,68.503204
2016-10-28,0,995574.2359161377,65.6894,68.3706,65.6894,68.3706
2016-10-31,0,995574.2359161377,65.317,67.983,65.317,67.983
2016-11-01,0,995574.2359161377,64.3174,66.9426,64.3174,66.9426
2016-11-02,0,995574.2359161377,65.2288,67.8912,65.2288,67.8912
2016-11-03,0,995574.2359161377,65.258194,67.9218,65.258194,67.9218
2016-11-04,0,995574.2359161377,64.925,67.575,64.925,67.575
2016-11-07,0,995574.2359161377,65.88541,68.5746,65.88541,68.5746
2016-11-08,0,995574.2359161377,65.4738,68.146194,65.4738,68.146194
2016-11-09,0,995574.2359161377,66.4832,69.19679,66.4832,69.19679
