date,portfolio_value
881,1000000.0
882,999572.671
883,999519.76
884,999597.871
885,1000212.9530000001
886,999763.8790000001
887,999964.893
888,1000459.8720000001
889,1002258.7790000001
890,1002258.4600000001
891,1002929.1400000001
892,1001610.7520000001
893,1002501.4830000001
894,1002973.1390000001
895,1003705.758
896,1001656.324
897,1002191.0260000001
898,1004408.694
899,1003913.231
900,1002649.795
901,1003320.425
902,1002324.0210000001
903,997056.6640000001
904,1001854.5460000001
905,997693.219
906,997759.0650000001
907,1002403.908
908,1001314.572
909,999037.2760000001
910,998535.0610000001
911,1002455.8630000001
912,1000586.5340000001
913,997665.2650000001
914,996435.0870000002
915,1000165.9460000002
916,1001661.6950000002
917,1002696.4010000002
918,1008163.0780000002
919,1007697.6070000002
920,1008624.1480000002
921,1013974.6650000002
922,1030447.0480000002
923,1031109.0290000002
924,1038838.9940000002
925,1027564.7790000002
926,1023459.8200000003
927,1019079.9520000002
928,1021373.1790000001
929,1020595.3570000001
930,1027494.5510000001
931,1028734.604
932,1014546.632
933,1018020.9380000001
934,1025272.177
935,1020402.2790000001
936,1019237.471
937,1012675.684
938,1009873.014
939,1013633.393
940,1008844.707
941,1007635.1020000001
942,1003904.517
943,1002406.993
944,1024510.493
945,1028404.642
946,1021179.73
947,1007705.929
948,1017880.332
949,1024806.5830000001
950,1042805.7320000001
951,1043635.62
952,1061801.496
953,1068343.116
954,1079501.645
955,1082969.021
956,1084758.35
957,1089231.655
958,1083291.901
959,1089521.224
960,1077265.467
961,1017734.865
962,1033196.007
963,1048847.958
964,1054232.7179999999
965,1083622.413
966,1088711.758
967,1062385.043
968,1058372.634
969,1062146.271
970,1065517.865
971,1080627.421
972,1065419.8090000001
973,1088777.364
974,1087464.665
975,1083975.98
976,1095460.332
977,1099001.563
978,1108399.757
979,1094080.854
980,1089912.097
981,1075701.382
982,1091143.8090000001
983,1091746.40628
984,1089305.12628
985,1094594.56628
986,1107411.28628
987,1103444.20628
988,1108733.64628
989,1100392.60628
990,1124500.24628
991,1109852.56628
992,1131620.64628
993,1127551.84628
994,1142911.56628
995,1147183.80628
996,1166205.44628
997,1189397.60628
998,1163052.12628
999,1202824.64628
1000,1180039.36628
1001,1168443.28628
1002,1197738.64628
1003,1192550.92628
1004,1196823.16628
1005,1191838.88628
1006,1190211.36628
1007,1178717.00628
1008,1180039.36628
1009,1179937.64628
1010,1182684.08628
1011,1176275.7262799998
1012,1182328.06628
1013,1165493.40628
1014,1168850.16628
1015,1198552.40628
1016,1206283.12628
1017,1197636.92628
1018,1208419.24628
1019,1213505.24628
1020,1205876.24628
1021,1217370.60628
1022,1205265.92628
1023,1206690.00628
1024,1204045.28628
1025,1194585.32628
1026,1197636.92628
1027,1195805.9662799998
1028,1226830.56628
1029,1245140.16628
1030,1244631.56628
1031,1263144.60628
1032,1281454.20628
1033,1286641.92628
1034,1290507.28628
1035,1264161.80628
1036,1275656.16628
1037,1275147.56628
1038,1296712.20628
1039,1300068.9662799998
1040,1299560.36628
1041,1300882.7262799998
1042,1309223.7662799999
1043,1305765.2862800001
1044,1306375.6062799997
1045,1311156.4462799998
1046,1299763.80628
1047,1310851.2862800001
1048,1315326.96628
1049,1310240.96628
1050,1294270.92628
1051,1283386.88628
1052,1273316.60628
1053,1295288.12628
1054,1296305.32628
1055,1385208.6062799997
1056,1417657.2862800001
1057,1423963.9262799998
1058,1449699.08628
1059,1482758.08628
1060,1480215.08628
1061,1495371.36628
1062,1473501.56628
1063,1517953.20628
1064,1518970.40628
1065,1526701.1262800002
1066,1532092.2862800001
1067,1529040.68628
1068,1516936.00628
1069,1531380.2462799998
1070,1517241.16628
1071,1525073.6062799997
1072,1521615.1262800002
1073,1538805.8062800001
1074,1551927.68628
1075,1498117.8062800001
1076,1523954.68628
