日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,-1,1000000.0,91.4242,95.15580000000001,91.4242,95.15580000000001
2016-08-10,-1,1044806.517311609,87.3278,90.8922,87.3278,90.8922
2016-08-11,-1,1047385.9969862647,87.1122,90.6678,87.1122,90.6678
2016-08-12,1,1043968.9428842731,87.3964,90.96360000000001,87.3964,90.96360000000001
2016-08-15,1,1062230.7902816657,88.92519999999999,92.5548,88.92519999999999,92.5548
2016-08-16,-1,1051929.2353395468,88.0628,91.6572,88.0628,91.6572
2016-08-17,1,1047832.025987568,88.4058,92.01419999999999,88.4058,92.01419999999999
2016-08-18,1,1056195.16819698,89.1114,92.74860000000001,89.1114,92.74860000000001
2016-08-19,1,1082446.1423543005,91.3262,95.0538,91.3262,95.0538
2016-08-22,1,1082562.297107209,91.336,95.06400000000001,91.336,95.06400000000001
2016-08-23,1,1090460.8203049868,92.0024,95.7576,92.0024,95.7576
2016-08-24,-1,1076638.4047088756,90.83619999999999,94.5438,90.83619999999999,94.5438
2016-08-25,1,1067926.7982407382,91.57119999999999,95.3088,91.57119999999999,95.3088
2016-08-26,1,1072155.5323519227,91.9338,95.6862,91.9338,95.6862
2016-08-29,1,1078212.9082409167,92.4532,96.22680000000001,92.4532,96.22680000000001
2016-08-30,-1,1062669.453129536,91.1204,94.8396,91.1204,94.8396
2016-08-31,1,1058783.5893516908,91.4536,95.18639999999999,91.4536,95.18639999999999
2016-09-01,1,1073646.4965746945,92.7374,96.5226,92.7374,96.5226
2016-09-02,-1,1070583.1492844573,92.47279999999999,96.2472,92.47279999999999,96.2472
2016-09-06,-1,1078071.3315494822,91.82600000000001,95.574,91.82600000000001,95.574
2016-09-07,1,1074159.4398448202,92.1592,95.92080000000001,92.1592,95.92080000000001
2016-09-08,-1,1068790.9271190963,91.69859999999998,95.4414,91.69859999999998,95.4414
2016-09-09,-1,1096090.3854477766,89.35640000000001,93.0036,89.35640000000001,93.0036
2016-09-12,1,1070966.1377444884,91.40459999999999,95.1354,91.40459999999999,95.1354
2016-09-13,-1,1051101.535854299,89.70920000000001,93.3708,89.70920000000001,93.3708
2016-09-14,1,1050757.0629891513,89.73859999999999,93.4014,89.73859999999999,93.4014
2016-09-15,1,1071297.1431764462,91.4928,95.2272,91.4928,95.2272
2016-09-16,-1,1066707.1811234192,91.10079999999999,94.8192,91.10079999999999,94.8192
2016-09-19,-1,1076001.8542807982,90.307,93.99300000000001,90.307,93.99300000000001
2016-09-20,-1,1077986.8821183213,90.1404,93.81960000000001,90.1404,93.81960000000001
2016-09-21,1,1062633.9487026331,91.4242,95.15580000000001,91.4242,95.15580000000001
2016-09-22,-1,1055799.5573507026,90.83619999999999,94.5438,90.83619999999999,94.5438
2016-09-23,-1,1066165.0509011303,89.9444,93.6156,89.9444,93.6156
2016-09-26,-1,1070463.1667088598,89.5818,93.23819999999999,89.5818,93.23819999999999
2016-09-27,1,1057581.5401539998,90.6598,94.3602,90.6598,94.3602
2016-09-28,1,1062497.3337143308,91.0812,94.7988,91.0812,94.7988
2016-09-29,1,1065812.6363480424,91.36540000000001,95.0946,91.36540000000001,95.0946
2016-09-30,1,1082732.1118580187,92.8158,96.60419999999999,92.8158,96.60419999999999
2016-10-03,-1,1081360.2624923452,92.6982,96.4818,92.6982,96.4818
2016-10-04,1,1078616.5637609977,92.93339999999999,96.7266,92.93339999999999,96.7266
2016-10-05,1,1093858.0084034076,94.2466,98.0934,94.2466,98.0934
2016-10-06,1,1139582.3423306376,98.1862,102.1938,98.1862,102.1938
2016-10-07,1,1141402.216317791,98.34299999999999,102.357,98.34299999999999,102.357
2016-10-10,1,1161875.798673267,100.107,104.19300000000001,100.107,104.19300000000001
2016-10-11,-1,1132757.8148788123,97.5982,101.5818,97.5982,101.5818
2016-10-12,-1,1143108.3481807474,96.7064,100.65360000000001,96.7064,100.65360000000001
2016-10-13,-1,1154113.1407503837,95.7754,99.6846,95.7754,99.6846
2016-10-14,1,1148326.63262629,96.2556,100.1844,96.2556,100.1844
2016-10-17,-1,1146456.0129844635,96.0988,100.02120000000001,96.0988,100.02120000000001
2016-10-18,1,1129971.1773908667,97.4806,101.4594,97.4806,101.4594
2016-10-19,1,1132811.157227478,97.7256,101.7144,97.7256,101.7144
2016-10-20,-1,1101230.5814443612,95.0012,98.8788,95.0012,98.8788
2016-10-21,1,1093619.4354822433,95.6578,99.5622,95.6578,99.5622
2016-10-24,1,1108968.8733124929,97.0004,100.95960000000001,97.0004,100.95960000000001
2016-10-25,-1,1098885.3010152485,96.1184,100.0416,96.1184,100.0416
2016-10-26,-1,1101238.1345512723,95.9126,99.82740000000001,95.9126,99.82740000000001
2016-10-27,-1,1114403.0330638401,94.766,98.634,94.766,98.634
2016-10-28,-1,1120049.956395808,94.2858,98.13419999999999,94.2858,98.13419999999999
2016-10-31,1,1112482.837887781,94.9228,98.7972,94.9228,98.7972
