date,portfolio_value
881,1000000.0
882,1000037.169
883,1000141.289
884,1000171.351
885,999759.399
886,999457.547
887,998941.753
888,998951.0430000001
889,997243.3300000001
890,997600.829
891,997359.287
892,996995.768
893,997656.2810000001
894,996357.7380000001
895,997718.2940000001
896,997616.7520000001
897,998085.2160000001
898,997631.6500000001
899,998394.1100000001
900,1001080.5270000001
901,1000408.8020000001
902,998822.1100000001
903,995312.4930000001
904,998452.0350000001
905,995512.4400000002
906,996625.9670000002
907,999110.4490000001
908,996776.8350000002
909,996569.3070000001
910,1000153.7860000002
911,1001582.1410000002
912,1002903.4480000002
913,1002283.7120000002
914,1000159.9950000002
915,1001338.3420000002
916,995376.6540000002
917,993961.1360000002
918,996058.6570000001
919,993311.1210000002
920,988853.6570000001
921,988482.3070000001
922,990561.9660000001
923,988576.5740000001
924,993983.2290000002
925,989439.7580000001
926,994063.3900000001
927,997271.9190000001
928,991056.378
929,982980.969
930,977285.7280000001
931,977324.6030000001
932,973794.4770000002
933,991255.4200000002
934,989336.0270000002
935,984734.6700000002
936,981368.3980000002
937,981189.1870000002
938,981291.9790000002
939,984006.7690000001
940,982107.5120000001
941,982936.2870000002
942,978838.0480000002
943,974610.8760000002
944,985813.7720000001
945,994058.4900000002
946,999702.0790000001
947,996588.5810000002
948,994634.1300000001
949,1019374.7080000002
950,1022536.9220000003
951,1028755.0900000002
952,1030447.1690000002
953,1034395.2240000002
954,1030733.2240000002
955,1032127.2740000002
956,1035490.3050000002
957,1039430.2910000002
958,1048350.2250000002
959,1039446.0430000002
960,1028294.9750000002
961,1021883.0480000002
962,1020008.2010000002
963,1028606.3770000002
964,1028262.4480000002
965,1033857.0437500002
966,1038313.3886300002
967,1045177.2711800003
968,1049188.98518
969,1057118.9190400003
970,1058470.2949200002
971,1054425.3555200002
972,1061879.4115600002
973,1059772.3375600001
974,1062634.4351700002
975,1061365.9752000002
976,1065905.2239
977,1060982.1769800002
978,1060383.6129800002
979,1057086.0657100002
980,1058013.9115900001
981,1048967.0264800002
982,1031282.8662800002
983,1030088.3694600002
984,1031920.0214600002
985,1040860.1797600002
986,1038070.5929200002
987,1036551.6778700002
988,1041884.2226200002
989,1052090.85462
990,1047021.2065200002
991,1057577.6130200003
992,1057238.3082700002
993,1052771.4134200003
994,1053442.4404400003
995,1046054.9344400001
996,1043261.6702600002
997,1049514.3208100002
998,1050267.4981600002
999,1058567.5234800002
1000,1059895.5574800002
1001,1056090.95326
1002,1054822.80013
1003,1061586.4983500002
1004,1070171.60565
1005,1071945.2470100003
1006,1073106.2820100002
1007,1073774.1220200004
1008,1072167.1199900003
1009,1083441.54319
1010,1081060.0281700003
1011,1083309.53417
1012,1088955.9897600003
1013,1090813.4114400004
1014,1100063.2769400002
1015,1102089.2411400003
1016,1100485.3771400002
1017,1104020.2782900005
1018,1107227.8438600004
1019,1093196.4946600003
1020,1098747.2700100003
1021,1110608.6833600004
1022,1103725.8183600002
1023,1100933.1263300003
1024,1102030.2152300002
1025,1102362.2541800002
1026,1102523.92191
1027,1102929.81291
1028,1101572.3963700002
1029,1098446.9645500004
1030,1100051.8860600002
1031,1100720.85306
1032,1101560.9523800001
1033,1107078.29438
1034,1108252.0473400003
1035,1106054.1483200002
1036,1110929.7701200002
1037,1110074.3950200002
1038,1112908.9950200003
1039,1114166.5052800004
1040,1113827.5398700002
1041,1108692.9091200004
1042,1112751.1298800001
1043,1115165.7878800002
1044,1115157.8816700003
1045,1112455.5951800002
1046,1121918.4315700002
1047,1119725.9672200002
1048,1118107.5880700003
1049,1118262.1120700003
1050,1128547.3232900002
1051,1129052.9024900002
1052,1124842.8083900001
1053,1129833.3120300001
1054,1137773.5770300003
1055,1140632.7267300002
1056,1145949.9929700003
1057,1147122.3085200002
1058,1154057.93051
1059,1216553.46751
1060,1209295.8838100003
1061,1209547.7562500003
1062,1201644.0058000004
1063,1211961.5500700003
1064,1212616.5550700002
1065,1224318.6900400002
1066,1231317.62646
1067,1235622.2654100002
1068,1237971.4668100004
1069,1238978.9481700002
1070,1240303.5521700003
1071,1237681.4364500004
1072,1247384.9885600002
1073,1255111.5809600004
1074,1263652.3078800002
1075,1256276.3788800002
1076,1261323.0478700004
1077,1270937.6247800002
1078,1271274.0514300002
1079,1268157.53478
1080,1282378.1177600003
1081,1284706.7677600004
1082,1285372.1111800005
1083,1285961.5624400002
1084,1294025.11489
1085,1306714.9106000003
1086,1317993.7716000003
1087,1309978.74346
1088,1296817.2083500002
1089,1302811.7972800003
1090,1298517.3793800003
1091,1298931.69215
1092,1273719.83415
1093,1285093.9774800004
1094,1292351.8891000003
1095,1296465.5553000001
1096,1303399.2739300004
1097,1313006.1249300002
1098,1320834.8233900003
1099,1317964.8567600003
1100,1327000.6931900003
1101,1325649.51519
1102,1319879.1221500004
1103,1317854.4461500004
1104,1322736.2092300004
1105,1312857.6805300002
1106,1313104.53098
1107,1307506.3082200002
1108,1312260.8182200002
1109,1312420.0609500003
1110,1339251.5231400002
1111,1332943.8036900002
1112,1327771.2769700002
1113,1341723.6659700004
1114,1328739.6145900004
1115,1330762.3792300003
1116,1330592.12171
1117,1319656.2876100005
1118,1319054.0660500003
1119,1321716.7570500001
1120,1319262.65024
1121,1301792.53496
1122,1362464.1002100003
1123,1340783.9969400002
1124,1344448.9459400002
1125,1335170.77199
1126,1329180.51934
1127,1319893.2333600002
1128,1341325.6919600004
1129,1325480.9799700002
1130,1317934.3079700002
1131,1327618.2749500002
1132,1327194.9802200003
1133,1327189.5580200003
1134,1341568.9079000002
1135,1347240.7659000005
1136,1346894.1706000003
1137,1349928.9952600002
1138,1360674.1985600004
1139,1352119.9056600002
1140,1351017.31666
1141,1356060.2933000003
1142,1366849.2680600001
1143,1359843.4613000003
1144,1356476.3029500002
1145,1359937.2899400003
1146,1367031.65794
1147,1364578.37807
1148,1365842.1936500003
1149,1369532.6101000002
1150,1368169.09193
1151,1362216.8009300001
1152,1354795.7358300004
1153,1368958.3918500005
1154,1367353.3527500003
1155,1382644.8629
1156,1338611.8095700003
1157,1344201.3965700003
1158,1344191.8195700003
1159,1343515.5265700002
1160,1341493.7943700005
1161,1347830.7368900005
1162,1368301.8938900004
1163,1361132.5912100002
1164,1360119.31994
1165,1337861.7080900003
1166,1313239.3962300003
1167,1319074.6612300004
1168,1348026.6241800003
1169,1341198.5267700003
1170,1343559.4766500003
1171,1342713.7830500004
1172,1345666.2645900003
1173,1358947.7135900005
1174,1365677.2267900002
1175,1370060.9503900004
1176,1373918.4261900003
1177,1395648.2608100004
1178,1401984.7858100003
1179,1414267.9873000004
1180,1411232.0589700004
1181,1414499.9436200005
1182,1417618.2042200004
1183,1423700.7772200003
1184,1422007.4207200003
1185,1397067.9240200003
1186,1401620.8139600002
1187,1398843.4081600006
1188,1402725.0316100002
1189,1414245.4306100002
1190,1421308.98182
1191,1427039.8857500004
