date,portfolio_value
881,1000000.0
882,999946.226
883,1000039.497
884,999952.717
885,1000091.963
886,999763.172
887,999670.4450000001
888,999626.7320000001
889,999586.0240000001
890,999829.3200000001
891,1000300.5880000001
892,999026.8080000001
893,997506.143
894,999070.604
895,1000265.944
896,999342.198
897,999621.5129999999
898,999527.8099999999
899,1000131.112
900,999837.38
901,997788.6630000001
902,998011.0480000001
903,994944.422
904,997994.935
905,994722.3150000001
906,994313.831
907,996853.363
908,997789.797
909,997725.196
910,998789.597
911,1001120.9609999999
912,1003220.2469999999
913,1002859.4649999999
914,999055.6939999999
915,999421.038
916,999657.3709999999
917,994824.6969999999
918,998516.1569999999
919,998469.5169999999
920,997368.8779999999
921,998120.2669999999
922,996676.6369999999
923,996710.0419999999
924,997604.4459999999
925,984527.8289999999
926,986679.5090000001
927,984969.141
928,982140.8099999998
929,981460.5389999999
930,986254.282
931,986845.927
932,988622.56
933,988042.158
934,984800.7670000001
935,980310.4370000002
936,972877.1900000002
937,972925.0780000002
938,977476.9650000002
939,977990.7720000001
940,971492.5700000001
941,972504.4780000001
942,975607.3690000001
943,978947.2090000001
944,990341.9950000001
945,992829.6000000001
946,983201.1660000002
947,982268.8800000001
948,977905.6080000001
949,955321.4010000001
950,965801.5260000001
951,970133.4990000001
952,976586.4100000001
953,970314.2300000002
954,967751.1370000001
955,916091.0790000001
956,932433.7190000002
957,930450.1410000002
958,918661.5890000002
959,914208.1900000002
960,910961.8480000002
961,901914.5470000003
962,902960.3590000002
963,900165.1580000002
964,903809.9910000002
965,904726.7800000001
966,903444.5580000002
967,914445.3510000001
968,917570.0160000001
969,914570.6450000001
970,913940.3080000002
971,915192.9780000001
972,915367.6340000001
973,912048.2880000002
974,905902.9780000001
975,897811.7340000002
976,899324.5760000001
977,901333.4020000001
978,899580.2070000002
979,899965.0300000001
980,897284.8490000003
981,894177.6950000001
982,887908.5720000002
983,894633.5110000002
984,890094.3840000001
985,911303.3010000001
986,921271.014
987,932711.6320000002
988,927782.1420000001
989,935010.6980000001
990,934785.1870000002
991,942807.678
992,941135.0960000001
993,936983.5290000001
994,933472.9990000001
995,930957.5000000001
996,920140.0230000002
997,927788.64
998,922516.1910000002
999,933246.7870000001
1000,929907.2920000001
1001,946099.8250000001
1002,945850.2230000001
1003,944866.6230000001
1004,950025.0310000001
1005,945553.3970000001
1006,947292.2138800002
1007,940821.33388
1008,942190.17388
1009,947665.5338800002
1010,957247.4138800001
1011,958865.1338800001
1012,966953.7338800002
1013,970562.4938800001
1014,981637.6538800001
1015,1002543.5738800002
1016,990846.2138800002
1017,1004783.4938800001
1018,1008392.2538800002
1019,1004907.9338800001
1020,1006898.9738800001
1021,1021334.0138800001
1022,1020338.4938800001
1023,1018720.7738800001
1024,1014738.6938800003
1025,1012996.5338800002
1026,1023200.6138800001
1027,1030293.6938800003
1028,1033404.6938800003
1029,1031538.0938800002
1030,1026933.8138800001
1031,1036640.1338800001
1032,1018347.4538800002
1033,1023325.0538800001
1034,1013245.4138800001
1035,1009512.2138800002
1036,1008018.9338800001
1037,1006276.7738800001
1038,1008018.9338800001
1039,1008392.2538800002
1040,1004783.4938800001
1041,1009761.0938800002
1042,1007894.4938800001
1043,1002543.5738800002
1044,1008392.2538800002
1045,1003290.2138800002
1046,998561.4938800001
1047,998312.6138800001
1048,1000179.2138800002
1049,999308.1338800001
1050,997441.5338800002
1051,996819.33388
1052,995699.3738800002
1053,1000054.7738800001
1054,999681.4538800002
1055,999557.0138800001
1056,1008267.8138800001
1057,1001548.0538800001
1058,1003663.5338800002
1059,1017476.3738800002
1060,1022205.0938800002
1061,1034524.6538800001
1062,1034026.8938800002
1063,1042115.4938800001
1064,1054683.9338800001
1065,1046470.8938800002
1066,1044230.9738800001
1067,1045350.9338800001
1068,1036640.1338800001
1069,1037137.8938800002
1070,1031538.0938800002
1071,1033031.3738800002
1072,1038133.4138800001
1073,1047093.0938800002
1074,1044604.2938800001
1075,1028675.9738800001
1076,1025440.5338800002
1077,1035769.0538800001
1078,1045226.4938800001
1079,1052941.7738800002
1080,1054061.7338800002
1081,1065012.4538800002
1082,1058914.89388
1083,1056052.7738800002
1084,1048835.2538800002
1085,1071234.4538800002
1086,1067999.01388
1087,1069616.7338800002
1088,1070238.9338800001
1089,1069990.0538800003
1090,1069492.29388
1091,1076585.3738800003
1092,1090522.65388
1093,1085171.7338800002
1094,1090771.5338800002
1095,1090895.9738800002
1096,1096122.4538800002
1097,1107446.49388
1098,1105331.01388
1099,1104957.6938800002
1100,1108690.89388
1101,1110059.7338800002
1102,1109437.5338800002
1103,1104957.6938800002
1104,1111304.13388
1105,1103962.1738800001
1106,1104459.9338800001
1107,1105206.5738800003
1108,1106326.5338800002
1109,1085918.3738800003
1110,1094629.1738800001
1111,1085171.7338800002
1112,1085918.3738800003
1113,1092762.5738800003
1114,1092762.5738800003
1115,1102220.01388
1116,1070985.5738800003
1117,1068372.33388
1118,1065883.5338800002
1119,1066132.4138800001
1120,1059910.4138800001
1121,1058914.89388
1122,1069367.8538800003
1123,1067003.49388
1124,1053812.8538800003
1125,1048959.6938800002
1126,1044977.6138800001
1127,1041368.8538800002
1128,1035395.7338800002
1129,1036515.6938800003
1130,1041368.8538800002
1131,1049955.2138800002
1132,1043235.4538800002
1133,1044728.7338800002
1134,1033404.6938800003
1135,1041742.17388
1136,1051199.61388
1137,1052692.89388
1138,1052817.33388
1139,1041244.4138800001
1140,1038008.9738800001
1141,1039377.8138800001
1142,1017476.3738800002
1143,992463.9338800001
1144,986117.4938800001
1145,983877.5738800002
1146,990472.8938800002
1147,992090.6138800001
1148,993832.7738800001
1149,1003290.2138800002
1150,996197.1338800001
1151,993335.0138800001
1152,993957.2138800002
1153,994952.7338800002
1154,1020836.2538800002
1155,1014987.5738800002
1156,1024196.1338800001
1157,1019591.8538800002
1158,1017974.1338800001
1159,1021956.2138800002
1160,1025440.5338800002
1161,1010383.2938800001
1162,997565.9738800001
1163,989726.2538800002
1164,991841.7338800002
1165,974046.8138800001
1166,975291.2138800002
1167,968695.8938800002
1168,967078.17388
1169,967824.8138800001
1170,971309.1338800001
1171,972055.7738800001
1172,978526.6538800001
1173,989477.3738800002
1174,993210.5738800002
1175,957371.8538800002
1176,961851.6938800003
1177,973673.4938800001
1178,969691.4138800001
1179,971558.0138800001
1180,967327.0538800001
1181,970686.9338800001
1182,978028.8938800002
1183,976660.0538800001
1184,974917.8938800002
1185,983379.8138800001
1186,978899.9738800001
1187,985993.0538800001
1188,1001050.2938800001
1189,1011752.1338800001
1190,1002170.2538800002
1191,1002045.8138800001
1192,999432.5738800002
1193,969069.2138800002
1194,976037.8538800002
1195,966829.2938800001
1196,970811.3738800002
1197,968322.5738800002
1198,1005654.5738800002
1199,987237.4538800002
1200,985619.7338800002
1201,985121.9738800001
1202,979148.8538800002
1203,986366.3738800002
1204,989228.4938800001
1205,981886.5338800002
1206,1028675.9738800001
1207,1024693.8938800002
1208,1036017.9338800001
1209,1013120.9738800001
1210,1026187.17388
1211,1021831.7738800001
1212,1022080.6538800001
1213,1011378.8138800001
1214,993957.2138800002
1215,1007023.4138800001
1216,1014240.9338800001
1217,1002668.0138800001
1218,1008890.0138800001
1219,1011378.8138800001
1220,1020462.9338800001
1221,1019467.4138800001
1222,1018347.4538800002
1223,1039128.9338800001
1224,1038257.8538800002
1225,1020960.6938800003
1226,1012747.6538800001
1227,1013992.0538800001
1228,1014738.6938800003
1229,1013867.6138800001
1230,1017476.3738800002
1231,1012249.8938800002
1232,1004907.9338800001
1233,1023076.17388
1234,1044355.4138800001
1235,1046844.2138800002
1236,1064514.6938800002
1237,1064141.3738800003
1238,1068745.65388
1239,1063892.49388
1240,1066879.0538800003
1241,1063394.7338800002
1242,1061777.01388
1243,1071607.7738800002
1244,1085918.3738800003
1245,1078700.8538800003
1246,1070861.13388
1247,1060657.0538800003
1248,1067252.3738800003
1249,1080443.01388
1250,1084176.2138800002
1251,1079198.61388
1252,1069741.1738800001
1253,1068870.09388
1254,1057546.0538800003
1255,1050950.7338800002
1256,1013245.4138800001
1257,1016356.4138800001
1258,1012374.33388
