date,portfolio_value
881,1000000.0
882,1000004.2773699999
883,1000075.35743
884,1000035.05043
885,1000051.7058399998
886,999938.1363199998
887,999997.3088999998
888,999912.1411099999
889,999967.5750499998
890,999881.9016799998
891,999997.8574899998
892,999927.4813999998
893,999959.1114299997
894,999918.4885699997
895,1000174.8585999997
896,1000082.5400999996
897,999831.9575499997
898,1000042.7704699996
899,1000293.6908099997
900,1000177.5670399996
901,999933.0992199997
902,1000054.9934699996
903,998383.8917699996
904,999342.7658899996
905,998511.4981899995
906,998317.2549999995
907,998743.0094599996
908,998037.7374299996
909,998824.9214099996
910,999255.7571699996
911,1000267.6379699996
912,1000401.6049399995
913,999060.3074899996
914,998249.4518599994
915,998448.7607099995
916,999213.3136099995
917,997851.6545799994
918,998389.6132899995
919,997617.8773799995
920,995387.2216999995
921,995867.1031399996
922,995341.4225099996
923,995117.1646299997
924,994975.3620199997
925,993880.3726399997
926,993908.0880799998
927,994139.8028399998
928,994384.6024999998
929,994283.7868899998
930,994064.3133199997
931,994027.4241699998
932,993981.1856999998
933,993660.0580799998
934,995251.9465799998
935,990622.3149899998
936,990881.2890799997
937,990164.4584099997
938,990171.3304899997
939,989705.0923999997
940,988649.1322999997
941,990155.9400499996
942,991293.8226399997
943,990922.0865299995
944,994410.7163699996
945,995811.3507899996
946,995101.2432799995
947,999462.9266499996
948,1000371.1638899995
949,997859.6675299995
950,999416.8180599996
951,996760.1559799996
952,997674.5518099995
953,997904.1747199995
954,996114.1943999995
955,996601.8985599995
956,997032.4760899995
957,998631.6278399995
958,997332.7685099995
959,997687.8560099995
960,996301.6289199996
961,997509.1093399995
962,997230.7746299995
963,996098.7033199996
964,996349.7657799997
965,1002415.8451799996
966,1002167.2023299995
967,1005980.0323699996
968,1007677.8480399996
969,1006463.0341599996
970,1003086.0040499994
971,1002195.6018499995
972,1004404.8195099996
973,1005512.2428599995
974,1006283.9041399995
975,1005929.3070899996
976,1007169.8237799995
977,1006432.3773799995
978,1006709.6686299995
979,1005307.1869899996
980,1005859.5496299996
981,1006128.5166599995
982,1005232.6409699996
983,1005697.7941199995
984,1004626.6526799996
985,1005542.9916099994
986,1003826.3616999995
987,1002579.9681099997
988,1004959.8562499997
989,1004130.6321199996
990,1004034.9656399996
991,1003788.8500099997
992,1006106.8465899996
993,1006465.5722599996
994,1006097.5446999996
995,1006133.2703699996
996,1001164.5356999995
997,1002660.2642099995
998,1002836.2697999995
999,1004157.2238599996
1000,999986.8266999996
1001,998759.8445599996
1002,999476.8226199995
1003,997420.5847299995
1004,999215.8836699994
1005,999339.3879899995
1006,1000738.9112899996
1007,1003541.9433699995
1008,1005935.4231799996
1009,1007716.7141199996
1010,1012143.5311199997
1011,1013422.2537799996
1012,1013641.8665799994
1013,1017476.0176799996
1014,1016432.8397099995
1015,1017386.4895599996
1016,1023511.0222699996
1017,1026166.6595899996
1018,1026675.8573599996
1019,1025499.6713899996
1020,1024173.2139199995
1021,1032523.8459699997
1022,1032592.5283499996
1023,1031189.1802199997
1024,1030189.2519499997
1025,1030651.1606499997
1026,1031683.2461199996
1027,1032648.0044499997
1028,1035918.4661499996
1029,1036695.1755799996
1030,1033677.6497399997
1031,1035892.9141299997
1032,1033605.0337299997
1033,1038898.9984599997
1034,1040586.3783399996
1035,1038279.2571699996
1036,1038513.1409599998
1037,1038297.7132199996
1038,1036612.9768399997
1039,1033708.8411699997
1040,1035219.2838599996
1041,1034372.8370299996
1042,1036011.7954699995
1043,1036146.2437099996
1044,1034452.6810999996
1045,1032971.7988599995
1046,1033108.8156299996
1047,1032117.8815499996
1048,1032398.5534199995
1049,1031595.6435899996
1050,1032626.6985199996
1051,1031554.1673299996
1052,1028498.5924299997
1053,1033495.4253799997
1054,1033080.4492599997
1055,1031923.5955199996
1056,1035877.1184099996
1057,1036891.1486899996
1058,1045102.4631899996
1059,1047822.5612799996
1060,1047423.6540699996
1061,1050816.9390699996
1062,1049952.0451999996
1063,1046792.8360899996
1064,1052140.4443199995
1065,1055577.9033099995
1066,1061487.1435999996
1067,1061135.9319299995
1068,1058748.2921299995
1069,1056539.6750799995
1070,1052295.1497599995
1071,1052647.1068799996
1072,1052059.3021299995
1073,1055515.8004399994
1074,1056431.1207299996
1075,1046302.8962599996
1076,1047625.5839799996
1077,1049488.1848999998
1078,1058560.6462999997
1079,1055931.7916299996
1080,1055116.5102199996
1081,1062083.1528899996
1082,1065940.9707099996
1083,1072015.7393199997
1084,1079017.8278399997
1085,1078598.1918499996
1086,1086784.4678999996
1087,1085099.9939999995
1088,1082246.0982599996
1089,1080828.2062899997
1090,1084129.0111199997
1091,1087659.8101399997
1092,1089306.3123299996
1093,1095501.6666999997
1094,1098757.0118299997
1095,1103410.0816599997
1096,1110533.7397299998
1097,1110970.7546499998
1098,1110967.1275299997
1099,1109110.5004099999
1100,1106724.1617899996
1101,1109263.7540499996
1102,1108170.6047499997
1103,1097486.5703799997
1104,1100667.4441199997
1105,1090115.7035799995
1106,1091412.6701299998
1107,1097710.0108999999
1108,1097436.3137899996
1109,1090688.5078699999
1110,1096796.9815299998
1111,1100312.4184999997
1112,1097049.4301699996
1113,1103514.0259499997
1114,1102678.6238499996
1115,1105380.0753199998
1116,1105016.9252299997
1117,1103528.8866699997
1118,1106708.2043999997
1119,1108120.6986999996
1120,1102875.8170499997
1121,1098139.4273299999
1122,1054666.6873299996
1123,1053182.2576999997
1124,1057392.4941899998
1125,1056020.2533399998
1126,1062056.1080999996
1127,1089152.0482099997
1128,1079742.7581599997
1129,1089056.6261899997
1130,1089180.08665
1131,1088284.0565999998
1132,1083970.8601199999
1133,1084181.5508099997
1134,1083102.7906499999
1135,1082019.7847399998
1136,1088041.9330799999
1137,1087211.5277899997
1138,1090441.0657299997
1139,1079165.5110899997
1140,1071148.5601399997
1141,1075653.5001299998
1142,1079687.6927799997
1143,1067257.5399599997
1144,1064795.04457
1145,1064836.4885299997
1146,1066319.7023199997
1147,1068396.3804999997
1148,1071887.9608599998
1149,1074754.7781299998
1150,1071275.8246899997
1151,1059430.1641699998
1152,1064356.23751
1153,1075496.64266
1154,1081201.5968399998
1155,1099224.5601099997
1156,1099594.9975899996
1157,1098887.6337099997
1158,1108019.5323799998
1159,1117089.8580699996
1160,1119030.8611199998
1161,1118075.2271999996
1162,1103501.7466799996
1163,1103162.5880099998
1164,1104698.5305299996
1165,1104550.1076099996
1166,1106000.0251999998
1167,1098460.3376899997
1168,1098798.3065299997
1169,1100508.3441799998
1170,1114555.9558799998
1171,1123475.6389599997
1172,1133118.6412699998
1173,1132370.3604299997
1174,1133113.0357
1175,1133910.2766199997
1176,1134256.2427799997
1177,1133024.4862799998
1178,1138561.4119199999
1179,1139225.6786799997
1180,1144415.2356799997
1181,1139353.4999999998
1182,1142068.7092499998
1183,1147130.5813599997
1184,1157993.7636399996
1185,1159192.3457199999
1186,1227599.4379699999
1187,1244626.1833199996
1188,1218691.5337699996
1189,1228091.7690699997
1190,1208683.1206299998
1191,1204347.7055299997
1192,1204295.24534
1193,1214988.7142599996
1194,1214935.3331099998
1195,1204959.17089
1196,1203601.33934
1197,1202451.12909
1198,1194936.0599399998
1199,1190025.2979899996
1200,1194042.0207399996
1201,1199838.4096399997
1202,1189766.5229899997
1203,1200315.8459899996
1204,1200001.6188899998
1205,1211125.4620899998
1206,1224691.1046399998
1207,1211580.2041899997
1208,1210535.4462899999
1209,1224218.5493899998
1210,1232722.7193899998
1211,1245152.2812399997
1212,1271914.0631799996
1213,1261521.0674799997
1214,1251649.3563299996
1215,1246430.9207699997
1216,1248570.7494699997
1217,1257084.0007999998
1218,1245761.6689999998
1219,1251870.2183499997
1220,1237663.41905
1221,1250863.7761499998
1222,1245482.8905999998
1223,1245064.2601999997
1224,1247256.7301999996
1225,1247098.9980999997
1226,1239419.9961499996
1227,1228252.2915499997
1228,1227989.9676499998
1229,1231745.7539999997
1230,1235661.8267499995
1231,1233156.0057499998
1232,1231326.7771499997
1233,1232734.4602999997
