date,portfolio_value
881,1000000.0
882,1000008.751
883,1000200.4870000001
884,1000110.1240000001
885,1000091.7890000001
886,999945.457
887,1000089.153
888,1000320.824
889,1000098.461
890,1000263.125
891,1000286.77
892,999345.412
893,998847.139
894,999529.907
895,999747.622
896,999291.321
897,999413.05
898,999593.7710000001
899,999731.481
900,1000219.1830000001
901,999472.859
902,1000243.572
903,998587.248
904,1000190.9990000001
905,996872.68
906,995716.4990000001
907,998388.3640000001
908,998112.126
909,995445.898
910,997208.765
911,999482.571
912,1000468.301
913,1000269.999
914,997590.703
915,999012.488
916,1001561.231
917,996550.9010000001
918,998394.7100000001
919,998806.469
920,998566.2170000001
921,999919.971
922,999339.691
923,999795.425
924,1004648.148
925,995973.758
926,994752.5650000001
927,998656.3990000001
928,996911.148
929,993928.934
930,996715.782
931,995609.573
932,995858.3859999999
933,992108.1939999999
934,989717.0739999999
935,996190.999
936,990244.804
937,992590.717
938,978619.588
939,977917.704
940,981333.832
941,978567.902
942,976061.018
943,978473.175
944,986216.2930000001
945,989154.2880000001
946,1013003.2370000002
947,1018144.8190000001
948,1011371.3230000001
949,1008508.9280000001
950,1009330.5750000001
951,1002184.2100000001
952,1002674.947
953,996692.677
954,999825.49
955,995379.26
956,994923.09
957,999248.926
958,996085.705
959,999121.5249999999
960,991215.306
961,987769.1869999999
962,990760.111
963,983537.9979999999
964,983780.973
965,981926.945
966,982430.939
967,991970.9269999999
968,996227.804
969,996837.632
970,996920.453
971,1002044.2729999999
972,1002675.0359999998
973,990708.7919999999
974,984750.6779999998
975,974686.6279999999
976,976105.6849999999
977,975907.727
978,978132.771
979,973030.7919999999
980,970747.865
981,969041.9609999999
982,981964.074
983,981754.0589999999
984,981542.046
985,983200.0349999999
986,991909.0079999999
987,979394.898
988,997685.906
989,1003943.743
990,1005354.5219999999
991,995888.288
992,992441.1399999999
993,983027.0229999999
994,1007880.99
995,999666.737
996,992760.5559999999
997,991246.4349999999
998,992644.3269999999
999,999128.2069999999
1000,995314.0319999999
1001,1002027.889
1002,1003352.69
1003,1028722.4800000001
1004,1030069.062
1005,1038122.6329999999
1006,1028866.139
1007,1030371.7189999998
1008,1031254.2869999999
1009,1028175.848
1010,1036167.433
1011,1047730.9559999999
1012,1041174.3899999999
1013,1042487.8740000001
1014,1044210.3479999999
1015,1045409.8089999999
1016,1042838.2609999999
1017,1050447.7319999998
1018,1054688.1469999999
1019,1050403.5309999997
1020,1050674.946
1021,1055428.3589999997
1022,1053588.738
1023,1060682.13
1024,1059102.4719999998
1025,1051751.8249999997
1026,1049425.2289999998
1027,1050732.649
1028,1046463.0599999998
1029,1024996.5
1030,1025735.085
1031,1033228.6649999999
1032,1025370.1950000001
1033,1021107.7769999999
1034,1024314.3869999999
1035,1021227.9759999999
1036,1014866.585
1037,1011428.2349999999
1038,1009851.9069999999
1039,1010003.5889999999
1040,1012382.2699999999
1041,1017115.9359999999
1042,1014088.5719999999
1043,1015504.227
1044,1014384.8729999999
1045,1017538.526
1046,1015942.1589999999
1047,1010721.8019999999
1048,1008966.4779999999
1049,999796.1649999999
1050,1000266.9099999999
1051,1007686.6519999999
1052,1000684.347
1053,1003680.0859999999
1054,995246.8059999999
1055,1001086.5789999999
1056,999649.315
1057,989215.0599999999
1058,993183.8709999999
1059,995705.6569999999
1060,1002059.4269999999
1061,1000157.1569999999
1062,996175.899
1063,996959.666
1064,1002041.428
1065,1016729.1579999999
1066,1012747.7949999999
1067,1022063.4569999999
1068,1022693.06
1069,1011310.659
1070,1021639.33
1071,1029374.936
1072,1015694.4929999999
1073,1014740.1359999999
1074,1019185.7849999999
1075,1006697.406
1076,1020842.1059999999
1077,1019097.717
1078,1023225.339
1079,1031276.9349999999
1080,1037312.4800000001
1081,1039043.9870000001
1082,1037129.4829999999
1083,1036490.9909999998
1084,1040141.5029999999
1085,1042504.9920000001
1086,1045837.4659999999
1087,1039510.9189999998
1088,1033144.4119999999
1089,1023499.945
1090,1009819.5389999999
1091,1028615.2189999999
1092,1028608.7799999999
1093,1010906.3409999999
1094,1012490.014
1095,1009639.6769999999
1096,1006135.3579999999
1097,1017347.061
1098,1030855.693
1099,1045543.2399999998
1100,1054440.694
1101,1056646.092
1102,1052823.476
1103,1046812.8840000001
1104,1040764.33
1105,1027801.8139999999
1106,1023820.3799999999
1107,1026657.9709999998
1108,1024902.544
1109,1008148.1279999999
1110,1009095.818
1111,1003875.502
1112,996078.2189999999
1113,1003023.985
1114,1004766.7069999999
1115,1007446.418
1116,1000285.112
1117,997118.8509999999
1118,1000451.61
1119,1005501.348
1120,1000566.0539999999
1121,999611.791
1122,996266.534
1123,987412.298
1124,1017457.1179999999
1125,1024086.749
1126,1020423.338
1127,1013464.95
1128,1013458.6059999999
1129,1014716.262
1130,1008031.9099999999
1131,1003917.6
1132,995643.316
1133,998323.0839999999
1134,993387.835
1135,996541.617
1136,1001146.379
1137,998454.112
1138,1001627.862
1139,988033.592
1140,982462.4079999999
1141,990040.259
1142,997189.0619999999
1143,992916.82
1144,1001814.605
1145,1005442.3339999999
1146,1011478.0399999999
1147,1008311.708
1148,1008305.396
1149,1019991.0839999999
1150,1019507.698
1151,1016183.315
1152,1022218.953
1153,1027268.5529999998
1154,1026467.1209999998
1155,1040048.6939999999
1156,1045289.1809999999
1157,1045124.635
1158,898520.09
1159,1055408.467
1160,1052698.851
1161,1052060.2519999999
1162,1049509.6570000001
1163,1046501.0779999999
1164,1039021.5179999998
1165,1039805.0050000001
1166,1033120.4870000001
1167,1030112.0109999998
1168,1025653.5540000001
1169,1021539.125
1170,1029800.722
1171,1026950.2670000001
