date,portfolio_value
881,1000000.0
882,1000017.393
883,1000134.756
884,1000053.054
885,999452.375
886,998774.843
887,999848.444
888,1000647.8640000001
889,999131.1680000001
890,999082.66
891,998300.1560000001
892,998155.729
893,998587.314
894,994804.862
895,995800.7
896,994108.4659999999
897,993648.3439999999
898,993738.2499999999
899,997560.1499999999
900,1001651.8369999999
901,1001179.308
902,1001838.8019999999
903,991882.264
904,997459.178
905,993246.8489999999
906,994634.695
907,996260.485
908,997841.2119999999
909,1001804.8799999999
910,1002749.4059999998
911,1011046.8989999999
912,1011623.1149999999
913,1007514.3119999999
914,1005785.6369999999
915,1007677.0139999999
916,1006579.3349999998
917,996558.6869999998
918,991440.3169999998
919,986906.0849999998
920,978196.9719999998
921,976745.0819999998
922,974642.2279999999
923,990212.4249999998
924,994672.2509999998
925,987487.9729999998
926,995710.8579999998
927,1003288.5599999998
928,1000456.0969999998
929,1000587.6939999999
930,1005720.2879999998
931,1003057.7769999998
932,1000750.3189999999
933,998553.9059999998
934,1002092.5349999999
935,1008236.0969999998
936,1011963.5449999998
937,1005902.9249999998
938,1009367.4129999998
939,1022520.8399999999
940,1010059.0399999998
941,996786.4509999999
942,997750.0829999999
943,993645.6989999999
944,1002957.3809999998
945,1006208.9149999999
946,956276.3979999999
947,940226.6489999999
948,930031.1429999999
949,936139.7889999999
950,940199.345
951,935007.842
952,938475.413
953,933495.9349999999
954,935382.526
955,931523.0909999999
956,928436.7079999999
957,938609.3659999999
958,950455.8899999999
959,958010.2599999999
960,933982.5329999999
961,923731.1099999999
962,935545.815
963,940361.43543
964,938317.18543
965,962275.79543
966,955652.42543
967,952545.1654299999
968,960395.08543
969,973232.9754299999
970,948783.74543
971,956960.74543
972,972251.73543
973,974868.3754299999
974,975522.5354299999
975,969798.6354299999
976,972251.73543
977,974950.14543
978,975113.68543
979,970207.48543
980,982718.29543
981,976830.8554299999
982,970779.8754299999
983,973641.8254299999
984,973069.43543
985,970207.48543
986,967754.3854299999
987,969635.09543
988,976422.0054299999
989,977157.93543
990,973478.2854299999
991,983045.3754299999
992,981491.74543
993,975358.99543
994,975195.45543
995,971270.49543
996,971515.80543
997,973232.9754299999
998,971025.18543
999,992448.92543
1000,1001280.08543
1001,1011664.8754299999
1002,1002670.17543
1003,1009538.8554299999
1004,1015671.6054299999
1005,1012809.6554299999
1006,1016652.84543
1007,1032761.5354299999
1008,1019269.48543
1009,1025974.6254299999
1010,1030308.43543
1011,1030308.43543
1012,1024502.76543
1013,1031862.06543
1014,1037340.6554299999
1015,1048788.4554299999
1016,1050260.3154299997
1017,1056229.5254299997
1018,1070866.35543
1019,1061953.4254299998
1020,1071193.4354299998
1021,1058192.00543
1022,1070702.8154299997
1023,1069558.03543
1024,1068249.7154299996
1025,1068331.48543
1026,1058437.3154299997
1027,1052795.1854299998
1028,1063507.05543
1029,1066777.85543
1030,1067677.3254299997
1031,1078552.73543
1032,1062198.73543
1033,1064897.1454299998
1034,1062116.9654299996
1035,1078143.8854299998
1036,1082723.00543
1037,1080106.3654299998
1038,1085912.03543
1039,1072011.1354299998
1040,1073319.4554299999
1041,1067513.78543
1042,1047725.44543
1043,1049687.9254299998
1044,1052549.8754299998
1045,1059255.0154299997
1046,1068249.7154299996
1047,1061053.9554299999
1048,1054267.04543
1049,1058355.54543
1050,1057456.0754299997
1051,1067186.7054299999
1052,1069312.7254299999
1053,1070457.50543
1054,1078879.8154299997
1055,1075281.9354299998
1056,1070130.4254299998
1057,1087710.9754299999
1058,1085503.1854299998
1059,1086893.2754299997
1060,1086157.34543
1061,1091799.4754299999
1062,1092126.55543
1063,1087874.5154299997
1064,1095887.9754299999
1065,1090491.15543
1066,1098504.6154299998
1067,1098422.84543
1068,1103492.5854299997
1069,1093843.7254299999
1070,1097114.5254299997
1071,1100957.7154299996
1072,1108398.78543
1073,1113141.4454299998
1074,1111260.73543
1075,1115758.0854299997
1076,1119764.8154299997
1077,1122626.7654299997
1078,1131294.3854299998
1079,1136282.35543
1080,1146012.98543
1081,1150510.3354299997
1082,1150592.10543
1083,1150101.48543
1084,1156561.3154299997
1085,1160322.73543
1086,1166946.10543
1087,1159913.8854299998
1088,1160486.2754299997
1089,1165883.09543
1090,1156643.0854299997
1091,1146748.9154299998
1092,1140043.7754299997
1093,1144377.5854299997
1094,1154189.98543
1095,1160077.4254299998
1096,1168009.1154299998
1097,1164329.4654299996
1098,1160813.35543
1099,1153454.05543
1100,1157787.8654299998
1101,1170462.2154299996
1102,1179375.1454299998
1103,1163348.2254299999
1104,1153126.9754299999
1105,1144541.1254299998
1106,1145849.4454299998
1107,1141679.1754299998
1108,1135137.5754299997
1109,1141270.3254299997
1110,1148711.3954299998
1111,1153208.74543
1112,1150919.1854299998
1113,1151164.49543
1114,1149529.09543
1115,1158360.25543
1116,1152718.1254299998
1117,1156970.1654299998
1118,1159505.03543
1119,1173242.3954299998
1120,1180519.9254299998
1121,1170543.98543
1122,1170216.90543
1123,1189678.1654299998
1124,1182809.48543
1125,1186652.6754299998
1126,1194584.3654299998
1127,1199981.1854299998
1128,1199899.4154299998
1129,1206441.0154299997
1130,1199981.1854299998
1131,1202761.3654299998
1132,1204887.3854299998
1133,1203987.9154299998
1134,1207912.8754299998
1135,1203497.29543
1136,1210693.05543
1137,1218788.28543
1138,1226392.8954299998
1139,1215190.40543
1140,1225984.04543
1141,1230236.0854299997
1142,1233425.1154299998
1143,1223612.7154299996
1144,1220914.30543
1145,1227374.1354299998
1146,1233752.1954299998
1147,1232443.8754299998
1148,1231626.1754299998
1149,1230726.7054299999
1150,1227864.75543
1151,1228682.4554299999
1152,1212246.6854299998
1153,1222386.1654299998
1154,1212328.4554299999
1155,1238004.23543
1156,1219442.4454299998
1157,1211674.29543
1158,1260082.1354299998
1159,1227292.3654299998
1160,1212655.53543
1161,1209548.2754299997
1162,1199899.4154299998
1163,1200226.49543
1164,1196792.15543
1165,1200553.5754299997
1166,1207749.3354299997
1167,1195892.6854299998
1168,1201943.6654299998
1169,1198345.78543
1170,1199899.4154299998
1171,1201125.9654299996
1172,1214863.3254299997
1173,1208239.9554299999
1174,1205868.6254299998
1175,1209384.73543
1176,1218624.74543
1177,1225493.4254299998
1178,1232280.3354299997
1179,1231053.78543
1180,1238985.4754299999
1181,1248389.0254299997
1182,1247326.0154299997
1183,1258201.4254299998
1184,1260572.75543
1185,1262371.6954299998
1186,1261063.3754299998
1187,1258119.65543
1188,1254276.4654299996
1189,1274310.1154299998
1190,1270385.15543
1191,1268013.8254299997
1192,1254194.6954299998
1193,1225411.65543
1194,1248225.48543
1195,1241765.65543
1196,1271448.1654299998
1197,1266787.2754299997
1198,1269485.6854299998
1199,1268749.75543
1200,1281996.49543
1201,1295243.23543
1202,1286739.15543
1203,1286166.7654299997
1204,1275945.5154299997
1205,1274964.2754299997
1206,1277335.60543
1207,1268913.29543
1208,1275863.74543
1209,1283795.4354299998
1210,1290255.2654299997
1211,1290091.7254299999
1212,1292299.5154299997
1213,1287638.6254299998
1214,1275373.1254299998
1215,1272674.7154299996
1216,1290173.49543
1217,1293444.29543
1218,1300394.74543
1219,1302193.6854299998
