日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,0,1000000.0,123.5486,128.5914,123.5486,128.5914
2016-08-10,0,1000000.0,123.842606,128.8974,123.842606,128.8974
2016-08-11,0,1000000.0,124.4796,129.5604,124.4796,129.5604
2016-08-12,0,1000000.0,124.2542,129.3258,124.2542,129.3258
2016-08-15,0,1000000.0,122.8136,127.8264,122.8136,127.8264
2016-08-16,0,1000000.0,121.5102,126.469795,121.5102,126.469795
2016-08-17,0,1000000.0,123.284004,128.316,123.284004,128.316
2016-08-18,0,1000000.0,124.4208,129.49919,124.4208,129.49919
2016-08-19,0,1000000.0,122.57841,127.5816,122.57841,127.5816
2016-08-22,0,1000000.0,122.5392,127.5408,122.5392,127.5408
2016-08-23,0,1000000.0,121.7846,126.755394,121.7846,126.755394
2016-08-24,0,1000000.0,121.66701,126.632996,121.66701,126.632996
2016-08-25,0,1000000.0,122.0296,127.01039,122.0296,127.01039
2016-08-26,0,1000000.0,119.18761,124.0524,119.18761,124.0524
2016-08-29,0,1000000.0,119.893196,124.7868,119.893196,124.7868
2016-08-30,0,1000000.0,118.7956,123.6444,118.7956,123.6444
2016-08-31,0,1000000.0,118.5212,123.3588,118.5212,123.3588
2016-09-01,0,1000000.0,118.58,123.42,118.58,123.42
2016-09-02,0,1000000.0,120.6674,125.5926,120.6674,125.5926
2016-09-06,0,1000000.0,122.7842,127.7958,122.7842,127.7958
2016-09-07,-1,1000000.0,122.5588,127.561195,122.5588,127.561195
2016-09-08,-1,997441.1725997925,122.8724,127.887596,122.8724,127.887596
2016-09-09,-1,1033399.3051777881,118.4428,123.2772,118.4428,123.2772
2016-09-12,-1,1012621.8221662336,120.8242,125.7558,120.8242,125.7558
2016-09-13,-1,1026995.1692167124,119.1092,123.9708,119.1092,123.9708
2016-09-14,-1,1022263.2291516389,119.658,124.542,119.658,124.542
2016-09-15,-1,1016988.621094215,120.275406,125.1846,120.275406,125.1846
2016-09-16,-1,1012099.7190100736,120.8536,125.7864,120.8536,125.7864
2016-09-19,-1,1000445.6104668755,122.2452,127.234795,122.2452,127.234795
2016-09-20,-1,997798.9390539926,122.5686,127.571396,122.5686,127.571396
2016-09-21,-1,975700.1508533729,125.283195,130.39679,125.283195,130.39679
2016-09-22,-1,974249.9663315977,125.4694,130.59059,125.4694,130.59059
2016-09-23,-1,983990.1919806384,124.215004,129.285,124.215004,129.285
2016-09-26,-1,988027.0393886849,123.70541,128.75461,123.70541,128.75461
2016-09-27,-1,983643.782205747,124.2542,129.3258,124.2542,129.3258
2016-09-28,-1,986048.7740676912,123.95041,129.0096,123.95041,129.0096
2016-09-29,-1,1007721.9375964437,121.226,126.173996,121.226,126.173996
2016-09-30,-1,1018964.1062550645,119.873604,124.766396,119.873604,124.766396
2016-10-03,-1,1028877.2111741909,118.7074,123.5526,118.7074,123.5526
2016-10-04,-1,1047818.8071136451,116.522,121.278,116.522,121.278
2016-10-05,-1,1050991.3270326206,116.169205,120.9108,116.169205,120.9108
2016-10-06,-1,1055513.093693303,115.6694,120.390594,115.6694,120.390594
2016-10-07,-1,1022335.5426034589,119.3052,124.1748,119.3052,124.1748
2016-10-10,-1,1013601.9589559635,120.3244,125.235596,120.3244,125.235596
2016-10-11,-1,1027058.2775918004,118.727005,123.573,118.727005,123.573
2016-10-12,-1,1011544.30811436,120.52041,125.4396,120.52041,125.4396
2016-10-13,-1,997972.6537004627,122.1374,127.1226,122.1374,127.1226
2016-10-14,-1,1002777.1606722622,121.5494,126.5106,121.5494,126.5106
2016-10-17,-1,1002534.6132962252,121.5788,126.5412,121.5788,126.5412
