date,portfolio_value
881,1000000.0
882,999951.632
883,1000140.3049999999
884,1000195.8799999999
885,1000424.4339999999
886,1000896.9289999999
887,1001249.3279999999
888,1001850.6669999999
889,1001090.9189999999
890,1000921.2649999999
891,1001443.6289999998
892,1002348.9399999998
893,1001909.1679999998
894,1001654.4319999998
895,1002738.7149999999
896,1002565.9199999998
897,1000974.1359999998
898,1000949.4509999998
899,1002147.7669999998
900,1003090.0159999997
901,1001322.2149999997
902,1002616.5019999997
903,999000.7269999997
904,998395.1159999997
905,992771.5309999997
906,988489.1799999997
907,989703.9999999997
908,986348.7729999997
909,985753.6699999997
910,984818.5879999996
911,988711.5379999996
912,987495.3579999995
913,981696.2169999996
914,980765.2569999996
915,978480.3249999996
916,989848.4599999996
917,990705.2699999997
918,993584.0559999996
919,993196.7639999996
920,992526.4819999996
921,992079.2169999996
922,996171.9629999996
923,996164.6089999996
924,1001446.2549999995
925,996686.7779999996
926,998074.4089999996
927,997607.0089999996
928,994403.6189999996
929,990796.2969999996
930,991279.0499999996
931,1000971.7929999996
932,998873.3419999996
933,1001517.9319999996
934,1003736.4709999996
935,1000488.9679999996
936,1000261.5249999996
937,996894.0859999997
938,995974.7069999996
939,991791.3439999996
940,968715.0529999996
941,961448.1529999997
942,959367.3739999996
943,954028.6289999996
944,958179.9699999996
945,955869.2449999996
946,955927.5559999996
947,948132.8659999997
948,942967.2939999996
949,948536.7989999996
950,967298.2219999996
951,970371.3729999997
952,962412.4799999997
953,965357.6989999997
954,972723.8769999996
955,973160.9539999997
956,977354.0249999997
957,976587.0399999997
958,966108.0649999997
959,959705.2259999998
960,989639.4689999998
961,988912.3329999998
962,985503.2059999998
963,986562.1209999998
964,981824.0229999998
965,966948.9819999997
966,972722.1179999998
967,983551.1859999998
968,990591.1279999998
969,999031.9889999997
970,986653.7539999997
971,989706.6579999997
972,1009173.5279999997
973,1000242.1839999997
974,999397.9369999997
975,997322.6989999998
976,999215.4829999998
977,996808.2469999997
978,999129.0359999997
979,994417.8009999997
980,991737.6139999998
981,988030.4539999998
982,998527.3309999998
983,990462.1039999998
984,981596.9559999998
985,986373.8939999997
986,980066.7859999997
987,968081.7379999997
988,968074.8029999996
989,964611.8679999998
990,965149.9649999997
991,972293.0569999998
992,967735.0839999997
993,961120.1519999998
994,959531.2789999997
995,952684.4199999997
996,951297.6209999998
997,954306.8339999998
998,959214.0209999997
999,963927.1659999997
1000,951187.2709999997
1001,949860.4829999998
1002,947917.7059999998
1003,958768.9449999998
1004,967126.0949999999
1005,954843.1769999998
1006,937711.3579999997
1007,937074.6759999997
1008,955101.9989999997
1009,958679.1799999997
1010,944740.3329999998
1011,941743.5939999998
1012,942391.8779999997
1013,932221.1569999998
1014,929953.5129999998
1015,939460.8859999997
1016,925009.1879999997
1017,916026.5969999997
1018,911088.0719999998
1019,919085.5829999998
1020,920191.0359999997
1021,929844.4809999997
1022,919454.6501199998
1023,910470.9701199997
1024,908646.1601199998
1025,908225.0501199998
1026,871167.3701199999
1027,877343.6501199998
1028,878747.3501199998
1029,882677.7101199998
1030,884923.6301199998
1031,913278.3701199999
1032,895872.4901199997
1033,899662.4801199998
1034,893626.5701199997
1035,889415.4701199997
1036,891521.0201199998
1037,884923.6301199998
1038,881975.8601199997
1039,882537.3401199997
1040,889976.9501199997
1041,895311.0101199998
1042,902189.1401199998
1043,889415.4701199997
1044,894749.5301199998
1045,898539.5201199999
1046,890398.0601199998
1047,888292.5101199998
1048,884221.7801199998
1049,900364.3301199998
1050,912155.4101199998
1051,913278.3701199999
1052,899662.4801199998
1053,898820.2601199998
1054,880151.0501199998
1055,869763.6701199998
1056,869342.5601199998
1057,868359.9701199997
1058,871307.7401199997
1059,877343.6501199998
1060,876361.0601199998
1061,863587.3901199998
1062,863868.1301199998
1063,853761.4901199997
1064,842812.6301199998
1065,844637.4401199998
1066,814457.8901199998
1067,847865.9501199997
1068,850673.3501199998
1069,840566.7101199998
1070,860920.3601199997
1071,857270.7401199997
1072,854463.3401199997
1073,860639.6201199999
1074,849690.7601199998
1075,846041.1401199998
1076,846321.8801199998
1077,851234.8301199998
1078,850532.9801199998
1079,864148.8701199999
1080,858534.0701199997
1081,852217.4201199998
1082,856288.1501199998
1083,843935.5901199997
1084,827231.5601199998
1085,849410.0201199998
1086,852077.0501199998
1087,843093.3701199999
1088,865412.2001199997
1089,844075.9601199998
1090,822739.7201199997
1091,856428.5201199998
1092,854182.6001199998
1093,856288.1501199998
1094,843935.5901199997
1095,833828.9501199997
1096,867938.8601199997
1097,870746.2601199998
1098,853059.6401199998
1099,840566.7101199998
1100,845198.9201199998
1101,843935.5901199997
1102,842391.5201199998
1103,837057.4601199998
1104,836215.2401199997
1105,839443.7501199997
1106,840426.3401199997
1107,859937.7701199998
1108,838741.9001199998
1109,826389.3401199997
1110,823722.3101199998
1111,824985.6401199998
1112,827371.9301199997
1113,830460.0701199997
1114,835232.6501199998
1115,839724.4901199997
1116,842812.6301199998
1117,845620.0301199998
1118,854744.0801199998
1119,849550.3901199998
1120,842672.2601199998
1121,833969.3201199997
1122,856428.5201199998
1123,864569.9801199998
1124,872290.3301199998
1125,880572.1601199998
1126,869342.5601199998
1127,861481.8401199997
1128,861481.8401199997
1129,864008.5001199997
1130,871588.4801199998
1131,867938.8601199997
1132,861201.1001199998
1133,865552.5701199997
1134,861060.7301199998
1135,858112.9601199998
1136,859657.0301199998
1137,850954.0901199997
1138,838040.0501199998
1139,827091.1901199998
1140,830319.7001199997
1141,825968.2301199998
1142,830460.0701199997
1143,836636.3501199998
1144,830038.9601199998
1145,831302.2901199998
1146,830038.9601199998
1147,829337.1101199997
1148,830600.4401199998
1149,838040.0501199998
1150,838741.9001199998
1151,852357.7901199998
1152,864991.0901199997
1153,868359.9701199997
1154,845620.0301199998
1155,848006.3201199997
1156,853200.0101199998
1157,864008.5001199997
1158,864429.6101199997
1159,861201.1001199998
1160,867517.7501199997
1161,868359.9701199997
1162,877203.2801199998
1163,880852.9001199998
1164,883519.9301199997
1165,906540.6101199997
1166,904575.4301199997
1167,915103.1801199997
1168,912015.0401199998
1169,901346.9201199997
1170,899943.2201199997
1171,898118.4101199998
1172,903873.5801199998
1173,903312.1001199997
1174,897135.8201199997
1175,898399.1501199998
1176,905417.6501199998
1177,903873.5801199998
1178,901487.2901199998
1179,908646.1601199998
1180,909207.6401199998
1181,907382.8301199998
1182,907242.4601199997
1183,910190.2301199998
1184,919033.5401199998
1185,913138.0001199997
1186,923946.4901199996
1187,917559.6551199997
1188,907102.0901199998
1189,913138.0001199997
1190,911874.6701199997
1191,906400.2401199996
1192,918893.1701199997
1193,953143.4501199998
1194,958196.7701199999
1195,966057.4901199996
1196,965074.9001199998
1197,956933.4401199998
1198,964373.0501199998
1199,956933.4401199998
1200,953564.5601199999
1201,945001.9901199996
1202,935877.9401199998
1203,942896.4401199998
1204,960161.9501199998
1205,951880.1201199999
1206,952862.7101199997
1207,957775.6601199998
1208,960442.6901199998
1209,955670.1101199997
1210,968022.6701199997
1211,981217.4501199998
