日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,-1,1000000.0,72.2064,75.15360000000001,72.2064,75.15360000000001
2016-08-10,-1,1005564.6036916397,71.8046,74.7354,71.8046,74.7354
2016-08-11,1,992114.9884109271,72.765,75.735,72.765,75.735
2016-08-12,1,994920.9701963319,72.9708,75.94919999999999,72.9708,75.94919999999999
2016-08-15,1,1002804.4428315164,73.54899999999999,76.551,73.54899999999999,76.551
2016-08-16,1,1015631.7881362236,74.4898,77.53020000000001,74.4898,77.53020000000001
2016-08-17,1,1023648.8789516654,75.0778,78.1422,75.0778,78.1422
2016-08-18,1,1035273.6606340562,75.9304,79.0296,75.9304,79.0296
2016-08-19,-1,1022713.551689864,75.0092,78.0708,75.0092,78.0708
2016-08-22,-1,1025118.6789344966,74.83279999999999,77.8872,74.83279999999999,77.8872
2016-08-23,1,1018003.5283342442,75.3522,78.4278,75.3522,78.4278
2016-08-24,1,1028992.511667804,76.1656,79.2744,76.1656,79.2744
2016-08-25,-1,1024226.2056436093,75.8128,78.9072,75.8128,78.9072
2016-08-26,-1,1026741.7560452677,75.6266,78.71340000000001,75.6266,78.71340000000001
2016-08-29,1,1016363.907532694,76.391,79.509,76.391,79.509
2016-08-30,-1,1014929.6544239244,76.28320000000001,79.3968,76.28320000000001,79.3968
2016-08-31,-1,1027837.9324028515,75.31299999999999,78.387,75.31299999999999,78.387
2016-09-01,-1,1027971.6783927542,75.3032,78.3768,75.3032,78.3768
2016-09-02,1,1019008.3646951597,75.9598,79.06020000000001,75.9598,79.06020000000001
2016-09-06,1,1025581.7640287628,76.44980000000001,79.5702,76.44980000000001,79.5702
2016-09-07,-1,1014012.5812016212,75.58739999999999,78.6726,75.58739999999999,78.6726
2016-09-08,1,1005861.5660279533,76.195,79.305,76.195,79.305
2016-09-09,-1,984644.6789760453,74.5878,77.6322,74.5878,77.6322
2016-09-12,-1,988008.331801348,74.333,77.36699999999999,74.333,77.36699999999999
2016-09-13,-1,1018488.7470474278,72.0398,74.98020000000001,72.0398,74.98020000000001
2016-09-14,-1,1042180.9760972321,70.36399999999999,73.236,70.36399999999999,73.236
2016-09-15,1,1035358.9000698545,70.82459999999999,73.7154,70.82459999999999,73.7154
2016-09-16,-1,1017594.3361278783,69.6094,72.45060000000001,69.6094,72.45060000000001
2016-09-19,-1,1020602.8509890195,69.4036,72.23639999999999,69.4036,72.23639999999999
2016-09-20,-1,1025214.4425213052,69.09,71.91,69.09,71.91
2016-09-21,1,1006309.7790421891,70.36399999999999,73.236,70.36399999999999,73.236
2016-09-22,-1,1000843.7509944667,69.98179999999999,72.8382,69.98179999999999,72.8382
2016-09-23,-1,1026211.727318511,68.208,70.99199999999999,68.208,70.99199999999999
2016-09-26,-1,1030340.1653019761,67.9336,70.70639999999999,67.9336,70.70639999999999
2016-09-27,-1,1040298.7329700706,67.277,70.02300000000001,67.277,70.02300000000001
2016-09-28,1,991049.3392023687,70.462,73.33800000000001,70.462,73.33800000000001
2016-09-29,1,994357.431572446,70.6972,73.5828,70.6972,73.5828
2016-09-30,1,1005108.7317751979,71.4616,74.3784,71.4616,74.3784
2016-10-03,-1,1003730.3599543321,71.36359999999999,74.2764,71.36359999999999,74.2764
2016-10-04,-1,1006073.5920498034,71.197,74.10300000000001,71.197,74.10300000000001
2016-10-05,-1,1007596.8968691493,71.0892,73.99080000000001,71.0892,73.99080000000001
2016-10-06,1,993706.6722086979,72.06920000000001,75.0108,72.06920000000001,75.0108
2016-10-07,-1,993706.6722086979,72.06920000000001,75.0108,72.06920000000001,75.0108
2016-10-10,1,977086.3403237824,73.27459999999999,76.2654,73.27459999999999,76.2654
2016-10-11,-1,962973.0161623583,72.2162,75.1638,72.2162,75.1638
2016-10-12,1,958921.9694123198,72.52,75.48,72.52,75.48
2016-10-13,-1,957626.1289131142,72.42200000000001,75.378,72.42200000000001,75.378
2016-10-14,-1,966437.8443077138,71.7556,74.6844,71.7556,74.6844
2016-10-17,-1,976337.1666681451,71.0206,73.9194,71.0206,73.9194
2016-10-18,1,974989.9372398739,71.11859999999999,74.0214,71.11859999999999,74.0214
2016-10-19,1,1001054.1576924765,73.0198,76.0002,73.0198,76.0002
2016-10-20,-1,995545.7399679574,72.618,75.582,72.618,75.582
2016-10-21,1,988693.8057252628,73.1178,76.1022,73.1178,76.1022
2016-10-24,1,994259.4322954895,73.5294,76.5306,73.5294,76.5306
2016-10-25,-1,986308.5371951659,72.9414,75.91860000000001,72.9414,75.91860000000001
2016-10-26,-1,986838.596868521,72.9022,75.87780000000001,72.9022,75.87780000000001
2016-10-27,-1,994798.0424676756,72.3142,75.26580000000001,72.3142,75.26580000000001
2016-10-28,-1,996955.0784724845,72.1574,75.1026,72.1574,75.1026
2016-10-31,-1,1006703.926177227,71.45179999999999,74.3682,71.45179999999999,74.3682
2016-11-01,-1,1060691.202975375,67.62,70.38,67.62,70.38
2016-11-02,-1,1079291.7298681315,66.4342,69.14580000000001,66.4342,69.14580000000001
2016-11-03,-1,1084704.9056780618,66.101,68.799,66.101,68.799
2016-11-04,-1,1098535.0942456396,65.2582,67.9218,65.2582,67.9218
2016-11-07,1,1087647.0755911549,65.905,68.595,65.905,68.595
2016-11-08,-1,1081824.7269337154,65.5522,68.2278,65.5522,68.2278
2016-11-09,1,1081662.9950265642,65.562,68.23800000000001,65.562,68.23800000000001
2016-11-10,-1,1062584.3353235545,64.40559999999999,67.0344,64.40559999999999,67.0344
2016-11-11,-1,1075033.9691975522,63.651,66.24900000000001,63.651,66.24900000000001
2016-11-14,1,1061461.5618882065,64.4546,67.08539999999999,64.4546,67.08539999999999
2016-11-15,1,1105359.6225288622,67.1202,69.85979999999999,67.1202,69.85979999999999
2016-11-16,1,1112460.7793972036,67.5514,70.30860000000001,67.5514,70.30860000000001
2016-11-17,-1,1094385.1073686983,66.4538,69.1662,66.4538,69.1662
2016-11-18,1,1087768.120286835,66.8556,69.5844,66.8556,69.5844
2016-11-21,1,1103872.573548191,67.8454,70.61460000000001,67.8454,70.61460000000001
2016-11-22,1,1104829.273741935,67.9042,70.67580000000001,67.9042,70.67580000000001
2016-11-23,1,1113758.4755502113,68.45299999999999,71.247,68.45299999999999,71.247
2016-11-25,-1,1112163.975227305,68.355,71.145,68.355,71.145
2016-11-28,-1,1133849.1796188336,67.0222,69.7578,67.0222,69.7578
2016-11-29,-1,1147444.095941212,66.2186,68.92139999999999,66.2186,68.92139999999999
2016-11-30,1,1083083.978675899,69.9328,72.7872,69.9328,72.7872
2016-12-01,-1,1081717.9815054839,69.8446,72.69539999999999,69.8446,72.69539999999999
2016-12-02,-1,1088092.6349674216,69.43299999999999,72.267,69.43299999999999,72.267
2016-12-05,1,1086096.1347197748,69.5604,72.3996,69.5604,72.3996
2016-12-06,-1,1077374.314533944,69.00179999999999,71.8182,69.00179999999999,71.8182
2016-12-07,-1,1104457.861426787,67.2672,70.0128,67.2672,70.0128
2016-12-08,1,1093516.2625664985,67.9336,70.70639999999999,67.9336,70.70639999999999
2016-12-09,1,1113392.6401030505,69.16839999999999,71.9916,69.16839999999999,71.9916
2016-12-12,1,1126170.3113765484,69.9622,72.8178,69.9622,72.8178
2016-12-13,1,1141314.218071064,70.90299999999999,73.797,70.90299999999999,73.797
2016-12-14,-1,1119387.1031696296,69.54079999999999,72.3792,69.54079999999999,72.3792
2016-12-15,1,1114023.636215322,69.874,72.726,69.874,72.726
2016-12-16,1,1147459.9697567073,71.9712,74.9088,71.9712,74.9088
2016-12-19,-1,1132304.2484786029,71.0206,73.9194,71.0206,73.9194
2016-12-20,-1,1133710.449421932,70.9324,73.82759999999999,70.9324,73.82759999999999
2016-12-21,-1,1137156.377839628,70.71679999999999,73.6032,70.71679999999999,73.6032
2016-12-22,1,1134004.6140429548,70.9128,73.8072,70.9128,73.8072
2016-12-23,-1,1130086.6876539176,70.6678,73.5522,70.6678,73.5522
2016-12-27,1,1126325.478320442,70.90299999999999,73.797,70.90299999999999,73.797
2016-12-28,-1,1118852.9665085028,70.43260000000001,73.3074,70.43260000000001,73.3074
2016-12-29,-1,1123056.2544027187,70.16799999999999,73.032,70.16799999999999,73.032
2016-12-30,-1,1128859.757393347,69.8054,72.6546,69.8054,72.6546
2017-01-03,1,1112377.7393154437,70.82459999999999,73.7154,70.82459999999999,73.7154
2017-01-04,-1,1100218.08227851,70.0504,72.90960000000001,70.0504,72.90960000000001
2017-01-05,-1,1113455.1772807417,69.2076,72.03240000000001,69.2076,72.03240000000001
2017-01-06,1,1106202.424780754,69.6584,72.5016,69.6584,72.5016
2017-01-09,-1,1096864.7565918337,69.0704,71.8896,69.0704,71.8896
2017-01-10,-1,1114450.6983476335,67.963,70.737,67.963,70.737
2017-01-11,-1,1114450.6983476335,67.963,70.737,67.963,70.737
2017-01-12,-1,1119593.0808057624,67.6494,70.4106,67.6494,70.4106
2017-01-13,1,1118782.134057388,67.69839999999999,70.4616,67.69839999999999,70.4616
2017-01-17,1,1129309.1807733304,68.3354,71.1246,68.3354,71.1246
2017-01-18,-1,1122669.0436140434,67.9336,70.70639999999999,67.9336,70.70639999999999
2017-01-19,-1,1132224.3629408218,67.3554,70.1046,67.3554,70.1046
2017-01-20,-1,1134530.654382866,67.2182,69.96180000000001,67.2182,69.96180000000001
2017-01-23,-1,1144455.1097353913,66.63019999999999,69.3498,66.63019999999999,69.3498
2017-01-24,-1,1146475.033447235,66.5126,69.2274,66.5126,69.2274
2017-01-25,1,1142083.0560095413,66.7674,69.4926,66.7674,69.4926
2017-01-26,1,1149123.6384772353,67.179,69.92099999999999,67.179,69.92099999999999
2017-01-27,1,1155828.9551131346,67.571,70.32900000000001,67.571,70.32900000000001
2017-01-30,-1,1137892.233112104,66.52239999999999,69.2376,66.52239999999999,69.2376
2017-01-31,-1,1139736.195186976,66.4146,69.1254,66.4146,69.1254
2017-02-01,-1,1142427.0287597948,66.2578,68.9622,66.2578,68.9622
2017-02-02,1,1127388.4241806464,67.13,69.87,67.13,69.87
