日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,1,1000000.0,167.874,174.72600000000003,167.874,174.72600000000003
2016-08-10,1,1002743.7244600117,168.3346,175.20540000000003,168.3346,175.20540000000003
2016-08-11,1,1016929.3636894337,170.71599999999998,177.684,170.71599999999998,177.684
2016-08-12,1,1030472.8546409807,172.9896,180.05040000000002,172.9896,180.05040000000002
2016-08-15,1,1045826.0361938119,175.567,182.733,175.567,182.733
2016-08-16,1,1043607.7057793343,175.1946,182.3454,175.1946,182.3454
2016-08-17,1,1052539.4045534148,176.69400000000002,183.906,176.69400000000002,183.906
2016-08-18,1,1073613.5434909512,180.2318,187.5882,180.2318,187.5882
2016-08-19,1,1083420.8990075889,181.8782,189.30180000000001,181.8782,189.30180000000001
2016-08-22,1,1058785.7559836542,177.7426,184.9974,177.7426,184.9974
2016-08-23,1,1063922.9422066547,178.605,185.895,178.605,185.895
2016-08-24,1,1054173.9638061877,176.9684,184.19160000000002,176.9684,184.19160000000002
2016-08-25,1,1053181.5528312898,176.8018,184.0182,176.8018,184.0182
2016-08-26,1,1047869.2352597779,175.91,183.09,175.91,183.09
2016-08-29,1,1067834.2089900754,179.2616,186.5784,179.2616,186.5784
2016-08-30,1,1067542.3234092232,179.2126,186.5274,179.2126,186.5274
2016-08-31,1,1045242.2650321069,175.469,182.63100000000003,175.469,182.63100000000003
2016-09-01,1,1052072.387624051,176.6156,183.8244,176.6156,183.8244
2016-09-02,1,1072446.001167542,180.0358,187.38420000000002,180.0358,187.38420000000002
2016-09-06,1,1071220.0817279625,179.82999999999998,187.17000000000002,179.82999999999998,187.17000000000002
2016-09-07,1,1099299.4746059543,184.5438,192.0762,184.5438,192.0762
2016-09-08,1,1094629.3053123173,183.75979999999998,191.2602,183.75979999999998,191.2602
2016-09-09,1,1054290.7180385287,176.988,184.212,176.988,184.212
2016-09-12,1,1069527.145359019,179.5458,186.8742,179.5458,186.8742
2016-09-13,1,1032516.0537069467,173.3326,180.4074,173.3326,180.4074
2016-09-14,1,1029246.9352014009,172.78379999999999,179.83620000000002,172.78379999999999,179.83620000000002
2016-09-15,1,1041914.7694103908,174.91039999999998,182.0496,174.91039999999998,182.0496
2016-09-16,1,1033975.4816112081,173.5776,180.66240000000002,173.5776,180.66240000000002
2016-09-19,1,1030356.1004086394,172.97,180.03,172.97,180.03
2016-09-20,1,1025977.8166958549,172.23499999999999,179.26500000000001,172.23499999999999,179.26500000000001
2016-09-21,1,1064856.976065382,178.7618,186.0582,178.7618,186.0582
2016-09-22,1,1045242.2650321071,175.469,182.63100000000003,175.469,182.63100000000003
2016-09-23,1,1024693.5201401048,172.0194,179.0406,172.0194,179.0406
2016-09-26,1,1019089.3169877407,171.0786,178.0614,171.0786,178.0614
2016-09-27,1,1008814.9445417395,169.3538,176.2662,169.3538,176.2662
2016-09-28,1,1070811.4419147694,179.7614,187.0986,179.7614,187.0986
2016-09-29,1,1082078.2253356685,181.6528,189.0672,181.6528,189.0672
2016-09-30,1,1083771.1617046117,181.937,189.363,181.937,189.363
2016-10-03,1,1082253.3566841797,181.6822,189.09779999999998,181.6822,189.09779999999998
2016-10-04,1,1065382.3701109164,178.85,186.15,178.85,186.15
2016-10-05,1,1081903.093987157,181.6234,189.03660000000002,181.6234,189.03660000000002
2016-10-06,1,1086981.9030939871,182.476,189.92399999999998,182.476,189.92399999999998
2016-10-07,1,1088091.0683012258,182.66219999999998,190.1178,182.66219999999998,190.1178
2016-10-10,1,1128079.3928779918,189.3752,197.1048,189.3752,197.1048
2016-10-11,1,1123525.9778166958,188.6108,196.3092,188.6108,196.3092
2016-10-12,1,1114477.5248102741,187.0918,194.7282,187.0918,194.7282
2016-10-13,1,1098423.817863397,184.39679999999998,191.9232,184.39679999999998,191.9232
2016-10-14,1,1085580.8523058959,182.2408,189.6792,182.2408,189.6792
2016-10-17,1,1075773.4967892582,180.5944,187.9656,180.5944,187.9656
2016-10-18,1,1074314.0688849967,180.3494,187.7106,180.3494,187.7106
2016-10-19,1,1103502.6269702276,185.2494,192.8106,185.2494,192.8106
2016-10-20,1,1105545.8260361936,185.5924,193.1676,185.5924,193.1676
2016-10-21,1,1091652.072387624,183.26,190.74,183.26,190.74
2016-10-24,1,1081903.093987157,181.6234,189.03660000000002,181.6234,189.03660000000002
2016-10-25,1,1068476.357267951,179.36939999999998,186.69060000000002,179.36939999999998,186.69060000000002
2016-10-26,1,1068476.357267951,179.36939999999998,186.69060000000002,179.36939999999998,186.69060000000002
2016-10-27,1,1066374.7810858141,179.01659999999998,186.3234,179.01659999999998,186.3234
2016-10-28,1,1060303.5610040864,177.9974,185.2626,177.9974,185.2626
2016-10-31,1,1045067.1336835962,175.4396,182.6004,175.4396,182.6004
