日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,0,1000000.0,167.87401,174.726,167.87401,174.726
2016-08-10,-1,1000000.0,168.33461,175.2054,168.33461,175.2054
2016-08-11,0,985853.1951904297,170.716,177.68399,170.716,177.68399
2016-08-12,-1,985853.1951904297,172.98961,180.0504,172.98961,180.0504
2016-08-15,-1,971164.8357040304,175.567,182.73299,175.567,182.73299
2016-08-16,-1,973224.764588737,175.19461,182.3454,175.19461,182.3454
2016-08-17,0,964895.4090211764,176.694,183.906,176.694,183.906
2016-08-18,0,964895.4090211764,180.23181,187.5882,180.23181,187.5882
2016-08-19,0,964895.4090211764,181.8782,189.30179,181.8782,189.30179
2016-08-22,0,964895.4090211764,177.7426,184.99739,177.7426,184.99739
2016-08-23,0,964895.4090211764,178.60501,185.89499,178.60501,185.89499
2016-08-24,0,964895.4090211764,176.9684,184.1916,176.9684,184.1916
2016-08-25,0,964895.4090211764,176.8018,184.0182,176.8018,184.0182
2016-08-26,0,964895.4090211764,175.91,183.09,175.91,183.09
2016-08-29,0,964895.4090211764,179.2616,186.5784,179.2616,186.5784
2016-08-30,0,964895.4090211764,179.2126,186.52739,179.2126,186.52739
2016-08-31,0,964895.4090211764,175.46901,182.631,175.46901,182.631
2016-09-01,0,964895.4090211764,176.6156,183.8244,176.6156,183.8244
2016-09-02,0,964895.4090211764,180.03581,187.3842,180.03581,187.3842
2016-09-06,0,964895.4090211764,179.83,187.17,179.83,187.17
2016-09-07,0,964895.4090211764,184.54381,192.07619,184.54381,192.07619
2016-09-08,0,964895.4090211764,183.7598,191.2602,183.7598,191.2602
2016-09-09,-1,964895.4090211764,176.988,184.212,176.988,184.212
2016-09-12,-1,950950.874322327,179.5458,186.8742,179.5458,186.8742
2016-09-13,0,983858.6676482464,173.3326,180.4074,173.3326,180.4074
2016-09-14,-1,983858.6676482464,172.7838,179.8362,172.7838,179.8362
2016-09-15,-1,971749.4509581815,174.9104,182.04959,174.9104,182.04959
2016-09-16,-1,979154.1015009143,173.5776,180.66238,173.5776,180.66238
2016-09-19,-1,982581.5344503884,172.97,180.03,172.97,180.03
