日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,1,1000000.0,9.182599999999999,9.5574,9.182599999999999,9.5574
2016-08-10,1,988260.4055496266,9.0748,9.4452,9.0748,9.4452
2016-08-11,1,992529.3489861261,9.114,9.486,9.114,9.486
2016-08-12,1,985058.697972252,9.0454,9.4146,9.0454,9.4146
2016-08-15,1,1020277.4813233726,9.3688,9.7512,9.3688,9.7512
2016-08-16,1,1018143.0096051227,9.3492,9.730799999999999,9.3492,9.730799999999999
2016-08-17,1,1019210.2454642478,9.359,9.741000000000001,9.359,9.741000000000001
2016-08-18,1,1027748.1323372466,9.4374,9.822600000000001,9.4374,9.822600000000001
2016-08-19,1,1034151.5474919956,9.4962,9.883799999999999,9.4962,9.883799999999999
2016-08-22,1,1030949.8399146211,9.4668,9.853200000000001,9.4668,9.853200000000001
2016-08-23,1,1032017.0757737459,9.4766,9.8634,9.4766,9.8634
2016-08-24,1,1027748.1323372466,9.4374,9.822600000000001,9.4374,9.822600000000001
2016-08-25,1,1029882.6040554963,9.457,9.843,9.457,9.843
2016-08-26,1,1044823.9060832442,9.594199999999999,9.9858,9.594199999999999,9.9858
2016-08-29,1,1052294.5570971186,9.662799999999999,10.0572,9.662799999999999,10.0572
2016-08-30,1,1064034.1515474922,9.7706,10.169400000000001,9.7706,10.169400000000001
2016-08-31,1,1064034.1515474922,9.7706,10.169400000000001,9.7706,10.169400000000001
2016-09-01,1,1051227.3212379937,9.652999999999999,10.047,9.652999999999999,10.047
2016-09-02,1,1059765.2081109928,9.731399999999999,10.1286,9.731399999999999,10.1286
2016-09-06,1,1055496.2646744933,9.6922,10.087800000000001,9.6922,10.087800000000001
2016-09-07,1,1062966.9156883673,9.760800000000001,10.1592,9.760800000000001,10.1592
2016-09-08,1,1059765.2081109928,9.731399999999999,10.1286,9.731399999999999,10.1286
2016-09-09,1,1049092.849519744,9.6334,10.0266,9.6334,10.0266
2016-09-12,1,1058697.9722518676,9.7216,10.1184,9.7216,10.1184
2016-09-13,1,1025613.6606189967,9.4178,9.8022,9.4178,9.8022
2016-09-14,1,1016008.5378868731,9.3296,9.7104,9.3296,9.7104
2016-09-15,1,1027748.1323372468,9.4374,9.822600000000001,9.4374,9.822600000000001
2016-09-16,1,1020277.4813233726,9.3688,9.7512,9.3688,9.7512
2016-09-19,1,1030949.8399146211,9.4668,9.853200000000001,9.4668,9.853200000000001
2016-09-20,1,1029882.6040554963,9.457,9.843,9.457,9.843
2016-09-21,1,1033084.3116328707,9.4864,9.8736,9.4864,9.8736
2016-09-22,1,1042689.4343649944,9.5746,9.965399999999999,9.5746,9.965399999999999
2016-09-23,1,1043756.6702241192,9.584399999999999,9.9756,9.584399999999999,9.9756
2016-09-26,1,1020277.4813233721,9.3688,9.7512,9.3688,9.7512
2016-09-27,1,1036286.0192102452,9.5158,9.904200000000001,9.5158,9.904200000000001
2016-09-28,1,1049092.8495197434,9.6334,10.0266,9.6334,10.0266
2016-09-29,1,1032017.0757737454,9.4766,9.8634,9.4766,9.8634
2016-09-30,1,1053361.7929562428,9.6726,10.0674,9.6726,10.0674
2016-10-03,1,1058697.9722518672,9.7216,10.1184,9.7216,10.1184
2016-10-04,1,1075773.7459978652,9.8784,10.281600000000001,9.8784,10.281600000000001
2016-10-05,1,1100320.1707577372,10.1038,10.516200000000001,10.1038,10.516200000000001
2016-10-06,1,1101387.4066168622,10.1136,10.5264,10.1136,10.5264
2016-10-07,1,1102454.6424759869,10.1234,10.5366,10.1234,10.5366
2016-10-10,1,1106723.5859124863,10.1626,10.577399999999999,10.1626,10.577399999999999
2016-10-11,1,1094983.9914621126,10.0548,10.4652,10.0548,10.4652
2016-10-12,1,1092849.519743863,10.0352,10.4448,10.0352,10.4448
2016-10-13,1,1061899.6798292417,9.751,10.149,9.751,10.149
2016-10-14,1,1072572.0384204905,9.849,10.251000000000001,9.849,10.251000000000001
2016-10-17,1,1068303.094983991,9.8098,10.2102,9.8098,10.2102
2016-10-18,1,1093916.755602988,10.045,10.455,10.045,10.455
2016-10-19,1,1124866.595517609,10.329199999999998,10.7508,10.329199999999998,10.7508
2016-10-20,1,1132337.246531483,10.397799999999998,10.8222,10.397799999999998,10.8222
2016-10-21,1,1135538.9541088575,10.427200000000001,10.8528,10.427200000000001,10.8528
2016-10-24,1,1132337.246531483,10.397799999999998,10.8222,10.397799999999998,10.8222
2016-10-25,1,1133404.4823906077,10.407599999999999,10.8324,10.407599999999999,10.8324
2016-10-26,1,1147278.548559231,10.535,10.965,10.535,10.965
2016-10-27,1,1156883.6712913548,10.623199999999999,11.0568,10.623199999999999,11.0568
2016-10-28,1,1136606.1899679825,10.437,10.863000000000001,10.437,10.863000000000001
2016-10-31,1,1143009.6051227315,10.495800000000001,10.9242,10.495800000000001,10.9242
2016-11-01,1,1156883.6712913548,10.623199999999999,11.0568,10.623199999999999,11.0568
2016-11-02,1,1121664.8879402343,10.2998,10.7202,10.2998,10.7202
2016-11-03,1,1116328.7086446101,10.2508,10.669200000000002,10.2508,10.669200000000002
2016-11-04,1,1122732.1237993592,10.3096,10.7304,10.3096,10.7304
2016-11-07,1,1169690.5016008534,10.7408,11.179200000000002,10.7408,11.179200000000002
2016-11-08,1,1162219.8505869792,10.6722,11.107800000000001,10.6722,11.107800000000001
2016-11-09,1,1231590.1814300953,11.309199999999999,11.7708,11.309199999999999,11.7708
2016-11-10,1,1299893.2764140868,11.936399999999999,12.4236,11.936399999999999,12.4236
2016-11-11,1,1328708.644610458,12.200999999999999,12.699,12.200999999999999,12.699
2016-11-14,1,1416221.9850586972,13.0046,13.5354,13.0046,13.5354
2016-11-15,1,1443970.1173959437,13.2594,13.8006,13.2594,13.8006
2016-11-16,1,1375667.0224119525,12.632200000000001,13.1478,12.632200000000001,13.1478
2016-11-17,1,1405549.6264674484,12.9066,13.4334,12.9066,13.4334
2016-11-18,1,1415154.7491995723,12.9948,13.5252,12.9948,13.5252
2016-11-21,1,1399146.2113126991,12.8478,13.3722,12.8478,13.3722
2016-11-22,1,1403415.1547491986,12.887,13.413,12.887,13.413
2016-11-23,1,1419423.6926360717,13.034,13.566,13.034,13.566
2016-11-25,1,1425827.1077908208,13.092799999999999,13.6272,13.092799999999999,13.6272
2016-11-28,1,1395944.5037353244,12.8184,13.3416,12.8184,13.3416
2016-11-29,1,1406616.862326573,12.9164,13.4436,12.9164,13.4436
2016-11-30,1,1445037.3532550682,13.2692,13.810799999999999,13.2692,13.810799999999999
2016-12-01,1,1477054.4290288142,13.5632,14.1168,13.5632,14.1168
2016-12-02,1,1466382.0704375654,13.4652,14.014800000000001,13.4652,14.014800000000001
2016-12-05,1,1496264.6744930614,13.7396,14.3004,13.7396,14.3004
2016-12-06,1,1519743.8633938085,13.9552,14.5248,13.9552,14.5248
2016-12-07,1,1543223.0522945556,14.1708,14.749200000000002,14.1708,14.749200000000002
2016-12-08,1,1552828.1750266792,14.259,14.841000000000001,14.259,14.841000000000001
2016-12-09,1,1558164.3543223036,14.308,14.892,14.308,14.892
2016-12-12,1,1532550.6937033066,14.072799999999999,14.6472,14.072799999999999,14.6472
2016-12-13,1,1525080.0426894326,14.004199999999999,14.5758,14.004199999999999,14.5758
2016-12-14,1,1530416.2219850572,14.0532,14.6268,14.0532,14.6268
2016-12-15,1,1549626.4674493049,14.2296,14.8104,14.2296,14.8104
2016-12-16,1,1515474.9199573093,13.915999999999999,14.484,13.915999999999999,14.484
2016-12-19,1,1524012.806830308,13.994399999999999,14.5656,13.994399999999999,14.5656
2016-12-20,1,1556029.8826040542,14.2884,14.8716,14.2884,14.8716
2016-12-21,1,1550693.7033084298,14.2394,14.820599999999999,14.2394,14.820599999999999
2016-12-22,1,1552828.1750266796,14.259,14.841000000000001,14.259,14.841000000000001
2016-12-23,1,1553895.4108858046,14.2688,14.8512,14.2688,14.8512
2016-12-27,1,1562433.2977588032,14.3472,14.9328,14.3472,14.9328
2016-12-28,1,1540021.344717181,14.141399999999999,14.7186,14.141399999999999,14.7186
2016-12-29,1,1512273.2123799345,13.8866,14.4534,13.8866,14.4534
2016-12-30,1,1532550.693703307,14.072799999999999,14.6472,14.072799999999999,14.6472
2017-01-03,1,1540021.344717181,14.141399999999999,14.7186,14.141399999999999,14.7186
2017-01-04,1,1560298.8260405534,14.327599999999999,14.9124,14.327599999999999,14.9124
2017-01-05,1,1540021.344717181,14.141399999999999,14.7186,14.141399999999999,14.7186
2017-01-06,1,1545357.5240128054,14.1904,14.7696,14.1904,14.7696
2017-01-09,1,1533617.9295624318,14.0826,14.657399999999999,14.0826,14.657399999999999
2017-01-10,1,1553895.4108858046,14.2688,14.8512,14.2688,14.8512
2017-01-11,1,1549626.4674493049,14.2296,14.8104,14.2296,14.8104
2017-01-12,1,1540021.344717181,14.141399999999999,14.7186,14.141399999999999,14.7186
2017-01-13,1,1566702.2411953027,14.3864,14.9736,14.3864,14.9736
2017-01-17,1,1470651.0138740647,13.504399999999999,14.0556,13.504399999999999,14.0556
2017-01-18,1,1497331.9103521863,13.7494,14.310599999999999,13.7494,14.310599999999999
2017-01-19,1,1491995.7310565622,13.7004,14.2596,13.7004,14.2596
2017-01-20,1,1498399.146211311,13.759199999999998,14.3208,13.759199999999998,14.3208
2017-01-23,1,1484525.080042688,13.6318,14.1882,13.6318,14.1882
2017-01-24,1,1519743.8633938085,13.9552,14.5248,13.9552,14.5248
2017-01-25,1,1560298.8260405534,14.327599999999999,14.9124,14.327599999999999,14.9124
2017-01-26,1,1568836.7129135523,14.405999999999999,14.994,14.405999999999999,14.994
2017-01-27,1,1551760.9391675545,14.249199999999998,14.8308,14.249199999999998,14.8308
2017-01-30,1,1542155.8164354304,14.161,14.738999999999999,14.161,14.738999999999999
2017-01-31,1,1537886.8729989312,14.1218,14.6982,14.1218,14.6982
2017-02-01,1,1543223.0522945556,14.1708,14.749200000000002,14.1708,14.749200000000002
2017-02-02,1,1520811.0992529334,13.965,14.535,13.965,14.535
2017-02-03,1,1560298.8260405532,14.327599999999999,14.9124,14.327599999999999,14.9124
2017-02-06,1,1561366.0618996783,14.3374,14.922600000000001,14.3374,14.922600000000001
2017-02-07,1,1556029.882604054,14.2884,14.8716,14.2884,14.8716
2017-02-08,1,1546424.7598719301,14.2002,14.7798,14.2002,14.7798
2017-02-09,1,1599786.5528281734,14.6902,15.2898,14.6902,15.2898
2017-02-10,1,1599786.5528281734,14.6902,15.2898,14.6902,15.2898
2017-02-13,1,1616862.3265741712,14.847,15.453000000000001,14.847,15.453000000000001
2017-02-14,1,1653148.345784417,15.1802,15.799800000000001,15.1802,15.799800000000001
2017-02-15,1,1660618.996798291,15.248800000000001,15.8712,15.248800000000001,15.8712
2017-02-16,1,1663820.7043756659,15.2782,15.9018,15.2782,15.9018
2017-02-17,1,1641408.7513340437,15.0724,15.687600000000002,15.0724,15.687600000000002
2017-02-21,1,1646744.930629668,15.1214,15.7386,15.1214,15.7386
2017-02-22,1,1635005.3361792944,15.0136,15.6264,15.0136,15.6264
2017-02-23,1,1637139.8078975442,15.033199999999999,15.6468,15.033199999999999,15.6468
2017-02-24,1,1622198.505869796,14.895999999999999,15.504,14.895999999999999,15.504
2017-02-27,1,1633938.10032017,15.0038,15.616200000000001,15.0038,15.616200000000001
2017-02-28,1,1629669.1568836702,14.964599999999999,15.5754,14.964599999999999,15.5754
2017-03-01,1,1697972.2518676617,15.5918,16.2282,15.5918,16.2282
2017-03-02,1,1635005.3361792946,15.0136,15.6264,15.0136,15.6264
2017-03-03,1,1639274.279615794,15.0528,15.6672,15.0528,15.6672
2017-03-06,1,1625400.2134471708,14.9254,15.534600000000001,14.9254,15.534600000000001
2017-03-07,1,1627534.6851654204,14.945,15.555,14.945,15.555
2017-03-08,1,1623265.741728921,14.905800000000001,15.5142,14.905800000000001,15.5142
2017-03-09,1,1622198.5058697958,14.895999999999999,15.504,14.895999999999999,15.504
2017-03-10,1,1614727.8548559218,14.8274,15.4326,14.8274,15.4326
2017-03-13,1,1613660.618996797,14.817599999999999,15.4224,14.817599999999999,15.4224
2017-03-14,1,1610458.9114194224,14.7882,15.3918,14.7882,15.3918
2017-03-15,1,1600853.7886872988,14.7,15.3,14.7,15.3
2017-03-16,1,1606189.967982923,14.749,15.351,14.749,15.351
2017-03-17,1,1606189.967982923,14.749,15.351,14.749,15.351
2017-03-20,1,1588046.9583778002,14.5824,15.177600000000002,14.5824,15.177600000000002
2017-03-21,1,1504802.5613660607,13.818,14.382,13.818,14.382
2017-03-22,1,1513340.4482390597,13.8964,14.4636,13.8964,14.4636
2017-03-23,1,1518676.627534684,13.9454,14.514600000000002,13.9454,14.514600000000002
2017-03-24,1,1518676.627534684,13.9454,14.514600000000002,13.9454,14.514600000000002
2017-03-27,1,1502668.0896478111,13.798399999999999,14.361600000000001,13.798399999999999,14.361600000000001
2017-03-28,1,1536819.6371398068,14.112,14.688,14.112,14.688
2017-03-29,1,1527214.5144076832,14.0238,14.596200000000001,14.0238,14.596200000000001
2017-03-30,1,1566702.2411953034,14.3864,14.9736,14.3864,14.9736
2017-03-31,1,1550693.7033084303,14.2394,14.820599999999999,14.2394,14.820599999999999
2017-04-03,1,1556029.8826040546,14.2884,14.8716,14.2884,14.8716
2017-04-04,1,1553895.410885805,14.2688,14.8512,14.2688,14.8512
2017-04-05,1,1533617.9295624325,14.0826,14.657399999999999,14.0826,14.657399999999999
2017-04-06,1,1550693.7033084303,14.2394,14.820599999999999,14.2394,14.820599999999999
2017-04-07,1,1541088.5805763067,14.1512,14.7288,14.1512,14.7288
2017-04-10,1,1517609.3916755596,13.9356,14.5044,13.9356,14.5044
2017-04-11,1,1512273.2123799352,13.8866,14.4534,13.8866,14.4534
2017-04-12,1,1489861.2593383132,13.680800000000001,14.2392,13.680800000000001,14.2392
2017-04-13,1,1459978.6552828168,13.4064,13.9536,13.4064,13.9536
2017-04-17,1,1493062.9669156875,13.7102,14.2698,13.7102,14.2698
2017-04-18,1,1423692.6360725712,13.0732,13.6068,13.0732,13.6068
2017-04-19,1,1425827.107790821,13.092799999999999,13.6272,13.092799999999999,13.6272
2017-04-20,1,1455709.7118463172,13.3672,13.9128,13.3672,13.9128
2017-04-21,1,1437566.7022411944,13.2006,13.739400000000002,13.2006,13.739400000000002
2017-04-24,1,1473852.72145144,13.5338,14.086200000000002,13.5338,14.086200000000002
2017-04-25,1,1479188.9007470643,13.582799999999999,14.1372,13.582799999999999,14.1372
2017-04-26,1,1496264.674493062,13.7396,14.3004,13.7396,14.3004
2017-04-27,1,1471718.2497331903,13.514199999999999,14.0658,13.514199999999999,14.0658
2017-04-28,1,1467449.3062966908,13.475,14.025,13.475,14.025
2017-05-01,1,1480256.1366061892,13.5926,14.1474,13.5926,14.1474
2017-05-02,1,1477054.429028815,13.5632,14.1168,13.5632,14.1168
2017-05-03,1,1506937.0330843108,13.837599999999998,14.4024,13.837599999999998,14.4024
2017-05-04,1,1522945.5709711837,13.984599999999999,14.5554,13.984599999999999,14.5554
2017-05-05,1,1524012.8068303084,13.994399999999999,14.5656,13.994399999999999,14.5656
2017-05-08,1,1531483.4578441824,14.062999999999999,14.637,14.062999999999999,14.637
2017-05-09,1,1516542.1558164344,13.9258,14.494200000000001,13.9258,14.494200000000001
2017-05-10,1,1531483.4578441824,14.062999999999999,14.637,14.062999999999999,14.637
2017-05-11,1,1513340.44823906,13.8964,14.4636,13.8964,14.4636
2017-05-12,1,1508004.2689434357,13.8474,14.412600000000001,13.8474,14.412600000000001
2017-05-15,1,1530416.221985058,14.0532,14.6268,14.0532,14.6268
2017-05-16,1,1551760.9391675552,14.249199999999998,14.8308,14.249199999999998,14.8308
2017-05-17,1,1490928.495197438,13.6906,14.249400000000001,13.6906,14.249400000000001
2017-05-18,1,1495197.4386339374,13.7298,14.2902,13.7298,14.2902
2017-05-19,1,1503735.3255069363,13.8082,14.3718,13.8082,14.3718
2017-05-22,1,1501600.8537886867,13.7886,14.3514,13.7886,14.3514
2017-05-23,1,1544290.2881536814,14.1806,14.759400000000001,14.1806,14.759400000000001
2017-05-24,1,1522945.5709711842,13.984599999999999,14.5554,13.984599999999999,14.5554
2017-05-25,1,1524012.8068303089,13.994399999999999,14.5656,13.994399999999999,14.5656
2017-05-26,1,1508004.268943436,13.8474,14.412600000000001,13.8474,14.412600000000001
2017-05-30,1,1490928.4951974382,13.6906,14.249400000000001,13.6906,14.249400000000001
2017-05-31,1,1477054.429028815,13.5632,14.1168,13.5632,14.1168
2017-06-01,1,1471718.2497331905,13.514199999999999,14.0658,13.514199999999999,14.0658
2017-06-02,1,1445037.3532550689,13.2692,13.810799999999999,13.2692,13.810799999999999
2017-06-05,1,1443970.117395944,13.2594,13.8006,13.2594,13.8006
2017-06-06,1,1440768.4098185697,13.23,13.77,13.23,13.77
2017-06-07,1,1450373.5325506933,13.3182,13.8618,13.3182,13.8618
2017-06-08,1,1497331.9103521875,13.7494,14.310599999999999,13.7494,14.310599999999999
2017-06-09,1,1536819.6371398077,14.112,14.688,14.112,14.688
