日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,0,1000000.0,9.1826,9.5574,9.1826,9.5574
2016-08-10,0,1000000.0,9.0748005,9.4452,9.0748005,9.4452
2016-08-11,0,1000000.0,9.114,9.486,9.114,9.486
2016-08-12,0,1000000.0,9.0454,9.414599,9.0454,9.414599
2016-08-15,0,1000000.0,9.3688,9.751201,9.3688,9.751201
2016-08-16,0,1000000.0,9.3492,9.7308,9.3492,9.7308
2016-08-17,0,1000000.0,9.359,9.741,9.359,9.741
2016-08-18,0,1000000.0,9.4374,9.8226,9.4374,9.8226
2016-08-19,0,1000000.0,9.4962,9.8838,9.4962,9.8838
2016-08-22,0,1000000.0,9.4668,9.8532,9.4668,9.8532
2016-08-23,0,1000000.0,9.476601,9.8633995,9.476601,9.8633995
2016-08-24,0,1000000.0,9.4374,9.8226,9.4374,9.8226
2016-08-25,0,1000000.0,9.457,9.842999,9.457,9.842999
2016-08-26,0,1000000.0,9.5942,9.9858,9.5942,9.9858
2016-08-29,0,1000000.0,9.6628,10.0571995,9.6628,10.0571995
2016-08-30,0,1000000.0,9.7706,10.1694,9.7706,10.1694
2016-08-31,0,1000000.0,9.7706,10.1694,9.7706,10.1694
2016-09-01,0,1000000.0,9.653001,10.047,9.653001,10.047
2016-09-02,0,1000000.0,9.7314005,10.1286,9.7314005,10.1286
2016-09-06,0,1000000.0,9.692201,10.0878,9.692201,10.0878
2016-09-07,-1,1000000.0,9.7608,10.1592,9.7608,10.1592
2016-09-08,-1,1003012.0015144348,9.7314005,10.1286,9.7314005,10.1286
2016-09-09,-1,1013112.8366420192,9.6334,10.0266,9.6334,10.0266
2016-09-12,-1,1003837.1492821359,9.721601,10.1184,9.721601,10.1184
2016-09-13,-1,1035207.1200305593,9.4178,9.802199,9.4178,9.802199
2016-09-14,-1,1044901.981079396,9.3296,9.710401,9.3296,9.710401
2016-09-15,-1,1032828.5578940377,9.4374,9.8226,9.4374,9.8226
2016-09-16,-1,1040336.0912233037,9.3688,9.751201,9.3688,9.751201
2016-09-19,-1,1029454.0318088599,9.4668,9.8532,9.4668,9.8532
2016-09-20,-1,1030519.7364898067,9.457,9.842999,9.457,9.842999
2016-09-21,-1,1027315.9958682496,9.486401,9.8736,9.486401,9.8736
2016-09-22,-1,1017764.5355466143,9.5746,9.965401,9.5746,9.965401
2016-09-23,-1,1016722.9433613952,9.5844,9.975599,9.5844,9.975599
2016-09-26,-1,1039593.9154478599,9.3688,9.751201,9.3688,9.751201
2016-09-27,-1,1023282.3472888464,9.5158,9.9042,9.5158,9.9042
2016-09-28,-1,1010636.1870506477,9.6334,10.0266,9.6334,10.0266
2016-09-29,-1,1027086.0264451824,9.476601,9.8633995,9.476601,9.8633995
2016-09-30,-1,1005843.3668370377,9.6726,10.0674,9.6726,10.0674
2016-10-03,-1,1000747.8468512299,9.721601,10.1184,9.721601,10.1184
2016-10-04,-1,984606.7679405248,9.8784,10.2816,9.8784,10.2816
2016-10-05,-1,962140.5104123161,10.103801,10.5162,10.103801,10.5162
2016-10-06,-1,961207.3430509714,10.1136,10.5264,10.1136,10.5264
2016-10-07,-1,960275.8828502252,10.1234,10.5366,10.1234,10.5366
2016-10-10,-1,956557.544691291,10.1626005,10.577399,10.1626005,10.577399
2016-10-11,-1,966704.2106746963,10.0548,10.4652,10.0548,10.4652
2016-10-12,-1,968588.6747723223,10.0352,10.444799,10.0352,10.444799
2016-10-13,-1,996019.4087258353,9.751,10.148999,9.751,10.148999
2016-10-14,-1,986009.118066067,9.849,10.251,9.849,10.251
2016-10-17,-1,989933.5331095916,9.8098,10.2102,9.8098,10.2102
2016-10-18,-1,966198.9180403611,10.045,10.455,10.045,10.455
2016-10-19,-1,938862.5844779839,10.3292,10.7508,10.3292,10.7508
2016-10-20,-1,932627.233832628,10.3977995,10.8222,10.3977995,10.8222
