日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,0,1000000.0,51.7832,53.896800000000006,51.7832,53.896800000000006
2016-08-10,1,1000000.0,51.8322,53.9478,51.8322,53.9478
2016-08-11,0,989222.9154849688,51.2736,53.3664,51.2736,53.3664
2016-08-12,0,989222.9154849688,51.303,53.397000000000006,51.303,53.397000000000006
2016-08-15,0,989222.9154849688,50.4602,52.519800000000004,50.4602,52.519800000000004
2016-08-16,0,989222.9154849688,49.9408,51.9792,49.9408,51.9792
2016-08-17,0,989222.9154849688,50.440599999999996,52.4994,50.440599999999996,52.4994
2016-08-18,0,989222.9154849688,51.2638,53.3562,51.2638,53.3562
2016-08-19,1,989222.9154849688,50.9208,52.9992,50.9208,52.9992
2016-08-22,1,989984.4419787985,50.96,53.04,50.96,53.04
2016-08-23,1,984463.3748985322,50.6758,52.7442,50.6758,52.7442
2016-08-24,1,985986.4278861919,50.7542,52.8258,50.7542,52.8258
2016-08-25,1,987319.099250394,50.8228,52.8972,50.8228,52.8972
2016-08-26,0,971898.1877503396,50.028999999999996,52.071,50.028999999999996,52.071
2016-08-29,0,971898.1877503396,50.3132,52.366800000000005,50.3132,52.366800000000005
2016-08-30,0,971898.1877503396,49.9408,51.9792,49.9408,51.9792
2016-08-31,0,971898.1877503396,50.303399999999996,52.3566,50.303399999999996,52.3566
2016-09-01,0,971898.1877503396,50.1564,52.2036,50.1564,52.2036
2016-09-02,0,971898.1877503396,50.763999999999996,52.836,50.763999999999996,52.836
2016-09-06,1,971898.1877503396,51.0874,53.1726,51.0874,53.1726
2016-09-07,1,973576.1243875453,51.175599999999996,53.2644,51.175599999999996,53.2644
2016-09-08,1,978237.0594908942,51.4206,53.5194,51.4206,53.5194
2016-09-09,1,948407.0748294605,49.852599999999995,51.8874,49.852599999999995,51.8874
2016-09-12,1,968728.7518800625,50.9208,52.9992,50.9208,52.9992
2016-09-13,1,955678.1335906851,50.2348,52.285199999999996,50.2348,52.285199999999996
2016-09-14,0,957356.0702278909,50.323,52.377,50.323,52.377
2016-09-15,0,957356.0702278909,50.4308,52.489200000000004,50.4308,52.489200000000004
2016-09-16,1,957356.0702278909,50.9306,53.0094,50.9306,53.0094
2016-09-19,1,965829.8780459557,51.3814,53.4786,51.3814,53.4786
2016-09-20,1,960487.6948563062,51.0972,53.1828,51.0972,53.1828
2016-09-21,1,979645.8690536701,52.1164,54.2436,52.1164,54.2436
2016-09-22,1,985172.2654567559,52.410399999999996,54.5496,52.410399999999996,54.5496
2016-09-23,1,986093.3315239368,52.4594,54.6006,52.4594,54.6006
2016-09-26,1,982040.6408283407,52.2438,54.376200000000004,52.2438,54.376200000000004
2016-09-27,1,973382.6197968395,51.7832,53.896800000000006,51.7832,53.896800000000006
2016-09-28,1,970803.634808733,51.646,53.754000000000005,51.646,53.754000000000005
2016-09-29,1,958829.7759353805,51.00899999999999,53.091,51.00899999999999,53.091
2016-09-30,0,945013.784927666,50.273999999999994,52.326,50.273999999999994,52.326
2016-10-03,0,945013.784927666,49.7056,51.7344,49.7056,51.7344
2016-10-04,0,945013.784927666,48.8432,50.836800000000004,48.8432,50.836800000000004
2016-10-05,0,945013.784927666,48.5296,50.510400000000004,48.5296,50.510400000000004
2016-10-06,0,945013.784927666,48.4414,50.4186,48.4414,50.4186
2016-10-07,0,945013.784927666,48.17679999999999,50.1432,48.17679999999999,50.1432
2016-10-10,0,945013.784927666,48.755,50.745,48.755,50.745
2016-10-11,0,945013.784927666,48.4218,50.398199999999996,48.4218,50.398199999999996
2016-10-12,0,945013.784927666,49.0294,51.0306,49.0294,51.0306
