date,portfolio_value
881,1000000.0
882,999917.69228
883,999518.21716
884,999598.5369599999
885,999386.66684
886,998825.04732
887,999449.33824
888,999556.9635600001
889,998685.13216
890,998909.44856
891,998671.2990000001
892,999760.6523200001
893,1000442.9057600001
894,999409.54156
895,1000589.0161200002
896,1000718.1257600001
897,1000405.9061600001
898,1000807.8254800001
899,1001328.9606000001
900,1002548.3462400001
901,1003233.9472
902,1001505.6734000001
903,994536.20144
904,996935.52584
905,991266.02552
906,992202.92104
907,992342.49872
908,993307.51068
909,994357.84656
910,993200.2246000001
911,996068.6422400001
912,999633.04396
913,999623.6504
914,1001458.29684
915,998711.1674
916,998208.9984800001
917,990232.1236400001
918,989295.03012
919,980641.6816799999
920,975536.2807199999
921,969983.5304400001
922,971345.9587600001
923,971947.15364
924,973243.974
925,969460.0840000001
926,976124.0798000001
927,975852.20732
928,972121.0605600001
929,973168.393
930,975207.90344
931,975243.17208
932,972541.6398400001
933,970908.4804
934,971972.5522
935,972581.6437600001
936,951059.16388
937,938361.27516
938,937475.41304
939,945327.5263200001
940,938284.18408
941,928851.32108
942,927904.0151600001
943,930487.7246400001
944,935053.59232
945,938762.7074000001
946,931690.4444
947,936067.53008
948,937002.86932
949,945910.9944800001
950,941773.86852
951,937792.5623999999
952,930724.2730400001
953,931191.52312
954,927489.7666
955,933668.2606800001
956,930954.27116
957,932752.0777200001
958,932845.74052
959,936166.8020000001
960,926947.3808
961,916977.8762
962,926022.65612
963,931065.96428
964,928684.2108400001
965,942129.726
966,941785.041
967,940906.63996
968,951195.8890399999
969,956260.01976
970,932168.37284
971,927091.59652
972,932248.8365199999
973,937665.17976
974,939089.3440399999
975,919187.13292
976,911111.89344
977,909879.1788799999
978,909912.45758
979,902278.6357399999
980,910076.3089399999
981,917570.40602
982,939806.11184
983,946436.3303600001
984,947899.0300400001
985,959203.1524400001
986,954859.86362
987,946646.21493
988,936013.7477200001
989,941379.6283200001
990,945920.80292
991,952516.9143500001
992,958783.23054
993,940095.9191899999
994,948344.27875
995,950749.2861
996,946339.6310999999
997,937428.1704000001
