日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-16,0,1000000.0,67.61019999999999,70.3698,67.61019999999999,70.3698
2016-08-17,0,1000000.0,67.7082,70.4718,67.7082,70.4718
2016-08-18,0,1000000.0,67.669,70.431,67.669,70.431
2016-08-19,0,1000000.0,67.6396,70.40039999999999,67.6396,70.40039999999999
2016-08-22,0,1000000.0,67.5906,70.3494,67.5906,70.3494
2016-08-23,-1,1000000.0,67.9336,70.70639999999999,67.9336,70.70639999999999
2016-08-24,0,1004327.7553375649,67.6396,70.40039999999999,67.6396,70.40039999999999
2016-08-25,0,1004327.7553375649,67.6592,70.42080000000001,67.6592,70.42080000000001
2016-08-26,0,1004327.7553375649,67.6886,70.45139999999999,67.6886,70.45139999999999
2016-08-29,0,1004327.7553375649,68.2374,71.0226,68.2374,71.0226
2016-08-30,-1,1004327.7553375649,68.9332,71.74680000000001,68.9332,71.74680000000001
2016-08-31,0,1005755.5741537969,68.8352,71.64479999999999,68.8352,71.64479999999999
2016-09-01,0,1005755.5741537969,68.7176,71.5224,68.7176,71.5224
2016-09-02,1,1005755.5741537969,69.2174,72.0426,69.2174,72.0426
2016-09-06,1,1002053.231674964,68.96260000000001,71.7774,68.96260000000001,71.7774
2016-09-07,0,1004901.1874279126,69.15859999999999,71.9814,69.15859999999999,71.9814
2016-09-08,0,1004901.1874279126,69.12920000000001,71.9508,69.12920000000001,71.9508
2016-09-09,1,1004901.1874279126,68.306,71.09400000000001,68.306,71.09400000000001
2016-09-12,0,1018597.8320198281,69.23700000000001,72.063,69.23700000000001,72.063
2016-09-13,1,1018597.8320198281,67.7964,70.56360000000001,67.7964,70.56360000000001
2016-09-14,-1,1022131.562573236,68.0316,70.8084,68.0316,70.8084
2016-09-15,0,1008143.8791326629,68.96260000000001,71.7774,68.96260000000001,71.7774
2016-09-16,0,1008143.8791326629,67.9042,70.67580000000001,67.9042,70.67580000000001
2016-09-19,0,1008143.8791326629,67.6396,70.40039999999999,67.6396,70.40039999999999
2016-09-20,0,1008143.8791326629,68.5706,71.3694,68.5706,71.3694
2016-09-21,0,1008143.8791326629,69.64859999999999,72.4914,69.64859999999999,72.4914
2016-09-22,1,1008143.8791326629,69.6192,72.4608,69.6192,72.4608
2016-09-23,1,1002183.5690364393,69.2076,72.03240000000001,69.2076,72.03240000000001
2016-09-26,0,983876.9023123241,67.9434,70.7166,67.9434,70.7166
2016-09-27,-1,983876.9023123241,68.6784,71.4816,68.6784,71.4816
2016-09-28,0,978822.7401429114,69.0312,71.8488,69.0312,71.8488
2016-09-29,1,978822.7401429114,67.2182,69.96180000000001,67.2182,69.96180000000001
2016-09-30,1,993664.1988066906,68.2374,71.0226,68.2374,71.0226
2016-10-03,-1,996375.6191394964,68.4236,71.2164,68.4236,71.2164
2016-10-04,-1,974541.550143744,69.92299999999999,72.777,69.92299999999999,72.777
2016-10-05,0,956102.4318158664,71.246,74.15400000000001,71.246,74.15400000000001
2016-10-06,0,956102.4318158664,71.05,73.95,71.05,73.95
2016-10-07,0,956102.4318158664,70.8148,73.7052,70.8148,73.7052
2016-10-10,1,956102.4318158664,70.4032,73.27680000000001,70.4032,73.27680000000001
2016-10-11,0,936139.2685680408,68.9332,71.74680000000001,68.9332,71.74680000000001
2016-10-12,0,936139.2685680408,69.2174,72.0426,69.2174,72.0426
2016-10-13,1,936139.2685680408,67.3848,70.13520000000001,67.3848,70.13520000000001
2016-10-14,-1,939542.9162868019,67.6298,70.39020000000001,67.6298,70.39020000000001
2016-10-17,1,944716.4608193187,67.25739999999999,70.0026,67.25739999999999,70.0026
2016-10-18,0,960408.9679639206,68.3746,71.16539999999999,68.3746,71.16539999999999
2016-10-19,-1,960408.9679639206,69.1194,71.9406,69.1194,71.9406
2016-10-20,0,953600.454083558,69.6094,72.45060000000001,69.6094,72.45060000000001
2016-10-21,0,953600.454083558,69.46239999999999,72.2976,69.46239999999999,72.2976
2016-10-24,1,953600.454083558,70.0014,72.85860000000001,70.0014,72.85860000000001
2016-10-25,0,946391.3788321912,69.4722,72.3078,69.4722,72.3078
2016-10-26,1,946391.3788321912,68.7862,71.5938,68.7862,71.5938
2016-10-27,0,954751.0120402831,69.3938,72.2262,69.3938,72.2262
2016-10-28,0,954751.0120402831,69.0704,71.8896,69.0704,71.8896
2016-10-31,0,954751.0120402831,68.80579999999999,71.6142,68.80579999999999,71.6142
2016-11-01,1,954751.0120402831,69.2566,72.0834,69.2566,72.0834
2016-11-02,1,945429.1187573088,68.5804,71.37960000000001,68.5804,71.37960000000001
2016-11-03,0,950427.8151554255,68.943,71.75699999999999,68.943,71.75699999999999
2016-11-04,-1,950427.8151554255,68.9822,71.7978,68.9822,71.7978
2016-11-07,-1,924098.3047199503,70.89320000000001,73.7868,70.89320000000001,73.7868
2016-11-08,0,925120.2547389936,70.8148,73.7052,70.8148,73.7052
2016-11-09,-1,925120.2547389936,74.0292,77.05080000000001,74.0292,77.05080000000001
2016-11-10,-1,910424.1426700662,75.20519999999999,78.2748,75.20519999999999,78.2748
2016-11-11,-1,913864.6300478915,74.921,77.979,74.921,77.979
2016-11-14,-1,889239.8931231216,76.9398,80.0802,76.9398,80.0802
2016-11-15,-1,880858.3172613065,77.66499999999999,80.83500000000001,77.66499999999999,80.83500000000001
2016-11-16,-1,896085.7733451927,76.32239999999999,79.4376,76.32239999999999,79.4376
2016-11-17,-1,888721.9457265367,76.94959999999999,80.0904,76.94959999999999,80.0904
2016-11-18,-1,888948.314026518,76.92999999999999,80.07000000000001,76.92999999999999,80.07000000000001
2016-11-21,-1,887929.1376155321,77.01820000000001,80.1618,77.01820000000001,80.1618
2016-11-22,-1,894482.1201809604,76.44980000000001,79.5702,76.44980000000001,79.5702
2016-11-23,-1,891386.2328274307,76.7144,79.8456,76.7144,79.8456
2016-11-25,-1,889564.2885600268,76.8712,80.0088,76.8712,80.0088
2016-11-28,-1,907482.5901398946,75.3228,78.3972,75.3228,78.3972
2016-11-29,0,905711.5468336105,75.4698,78.5502,75.4698,78.5502
2016-11-30,-1,905711.5468336105,77.22399999999999,80.376,77.22399999999999,80.376
2016-12-01,-1,887436.4026779578,78.7822,81.9978,78.7822,81.9978
2016-12-02,-1,908962.7241759304,76.8712,80.0088,76.8712,80.0088
2016-12-05,-1,900619.3641375996,77.57679999999999,80.7432,77.57679999999999,80.7432
2016-12-06,0,895499.6229316632,78.0178,81.2022,78.0178,81.2022
2016-12-07,-1,895499.6229316632,78.3216,81.5184,78.3216,81.5184
2016-12-08,-1,878468.0985716016,79.8112,83.0688,79.8112,83.0688
2016-12-09,-1,888283.987197586,78.9194,82.1406,78.9194,82.1406
2016-12-12,-1,891593.1290845757,78.6254,81.83460000000001,78.6254,81.83460000000001
2016-12-13,-1,893482.3330225587,78.4588,81.66120000000001,78.4588,81.66120000000001
2016-12-14,-1,901071.2411721386,77.7924,80.96759999999999,77.7924,80.96759999999999
2016-12-15,-1,893011.7730286234,78.4882,81.6918,78.4882,81.6918
2016-12-16,-1,909402.4248746976,77.0476,80.1924,77.0476,80.1924
2016-12-19,-1,912872.5435145147,76.75359999999999,79.8864,76.75359999999999,79.8864
2016-12-20,-1,904830.1270816108,77.4298,80.59020000000001,77.4298,80.59020000000001
2016-12-21,-1,906547.9415236088,77.2828,80.4372,77.2828,80.4372
2016-12-22,-1,904938.5487793365,77.42,80.58,77.42,80.58
2016-12-23,-1,908489.57346442,77.11619999999999,80.2638,77.11619999999999,80.2638
2016-12-27,-1,904910.570188604,77.42,80.58,77.42,80.58
2016-12-28,-1,911783.3086963656,76.83200000000001,79.968,76.83200000000001,79.968
2016-12-29,-1,920389.4266611019,76.10679999999999,79.2132,76.10679999999999,79.2132
2016-12-30,-1,919678.3351648403,76.1656,79.2744,76.1656,79.2744
2017-01-03,0,901573.4991792227,77.66499999999999,80.83500000000001,77.66499999999999,80.83500000000001
2017-01-04,-1,901573.4991792227,80.6246,83.91539999999999,80.6246,83.91539999999999
2017-01-05,-1,908039.1411448934,80.0464,83.31360000000001,80.0464,83.31360000000001
2017-01-06,-1,899590.197128364,80.79119999999999,84.0888,80.79119999999999,84.0888
2017-01-09,-1,911266.1009484433,79.7426,82.99740000000001,79.7426,82.99740000000001
2017-01-10,-1,912050.0339343891,79.67399999999999,82.926,79.67399999999999,82.926
2017-01-11,-1,894661.6261533521,81.193,84.50699999999999,81.193,84.50699999999999
2017-01-12,-1,902868.540285839,80.4482,83.7318,80.4482,83.7318
2017-01-13,-1,893629.7831431893,81.2714,84.58860000000001,81.2714,84.58860000000001
2017-01-17,-1,923047.4764746847,78.596,81.804,78.596,81.804
2017-01-18,-1,923622.9424824619,78.547,81.75300000000001,78.547,81.75300000000001
2017-01-19,-1,939756.0943162168,77.175,80.325,77.175,80.325
2017-01-20,-1,936653.407528633,77.4298,80.59020000000001,77.4298,80.59020000000001
2017-01-23,-1,941988.0997623741,76.9888,80.1312,76.9888,80.1312
2017-01-24,-1,918486.3600025187,78.9096,82.1304,78.9096,82.1304
2017-01-25,-1,949513.2216419481,76.244,79.356,76.244,79.356
2017-01-26,-1,964402.7605931457,75.0484,78.1116,75.0484,78.1116
2017-01-27,0,971706.9340215086,74.48,77.52,74.48,77.52
2017-01-30,0,971706.9340215086,74.676,77.724,74.676,77.724
2017-01-31,0,971706.9340215086,74.676,77.724,74.676,77.724
2017-02-01,0,971706.9340215086,74.81320000000001,77.8668,74.81320000000001,77.8668
2017-02-02,1,971706.9340215086,74.4506,77.4894,74.4506,77.4894
2017-02-03,1,991788.2804268498,75.98920000000001,79.0908,75.98920000000001,79.0908
2017-02-06,0,988974.3337968019,75.77359999999999,78.8664,75.77359999999999,78.8664
2017-02-07,0,988974.3337968019,75.95,79.05,75.95,79.05
2017-02-08,0,988974.3337968019,75.803,78.89699999999999,75.803,78.89699999999999
2017-02-09,0,988974.3337968019,76.38119999999999,79.4988,76.38119999999999,79.4988
2017-02-10,0,988974.3337968019,76.5478,79.6722,76.5478,79.6722
2017-02-13,0,988974.3337968019,77.7042,80.87580000000001,77.7042,80.87580000000001
2017-02-14,-1,988974.3337968019,79.821,83.07900000000001,79.821,83.07900000000001
2017-02-15,-1,983388.9661657827,80.2718,83.5482,80.2718,83.5482
2017-02-16,-1,997195.5503568538,79.1448,82.3752,79.1448,82.3752
2017-02-17,-1,998306.8381172811,79.0566,82.2834,79.0566,82.2834
2017-02-21,-1,1000039.3651699204,78.9194,82.1406,78.9194,82.1406
2017-02-22,-1,1004013.196001342,78.60579999999999,81.8142,78.60579999999999,81.8142
2017-02-23,-1,1008894.9457387879,78.22359999999999,81.4164,78.22359999999999,81.4164
2017-02-24,-1,1019891.4203415532,77.371,80.52900000000001,77.371,80.52900000000001
2017-02-27,0,1016532.6898882434,77.6258,80.79419999999999,77.6258,80.79419999999999
2017-02-28,-1,1016532.6898882434,78.1158,81.3042,78.1158,81.3042
2017-03-01,-1,991792.0874747041,80.01700000000001,83.283,80.01700000000001,83.283
2017-03-02,-1,1007340.0834571613,78.7626,81.9774,78.7626,81.9774
2017-03-03,-1,1009220.1508021727,78.6156,81.8244,78.6156,81.8244
2017-03-06,-1,1016768.5438523011,78.0276,81.2124,78.0276,81.2124
2017-03-07,-1,1017023.9491634925,78.008,81.192,78.008,81.192
2017-03-08,-1,1012935.4106743928,78.3216,81.5184,78.3216,81.5184
2017-03-09,-1,1013062.1543443971,78.31179999999999,81.5082,78.31179999999999,81.5082
2017-03-10,-1,1013062.1543443971,78.31179999999999,81.5082,78.31179999999999,81.5082
2017-03-13,-1,1017752.8438339154,77.9492,81.13080000000001,77.9492,81.13080000000001
2017-03-14,-1,1022871.0376676288,77.5572,80.7228,77.5572,80.7228
2017-03-15,-1,1016150.126123692,78.0668,81.25319999999999,78.0668,81.25319999999999
2017-03-16,-1,1004031.8406627644,78.9978,82.2222,78.9978,82.2222
2017-03-17,-1,1028942.6914421408,77.0378,80.1822,77.0378,80.1822
2017-03-20,-1,1040068.5187888627,76.2048,79.3152,76.2048,79.3152
2017-03-21,-1,1059462.8005821223,74.7838,77.8362,74.7838,77.8362
2017-03-22,-1,1052798.6393414012,75.25420000000001,78.3258,75.25420000000001,78.3258
2017-03-23,-1,1046217.7909642186,75.7246,78.8154,75.7246,78.8154
2017-03-24,-1,1047030.1769802386,75.66579999999999,78.7542,75.66579999999999,78.7542
2017-03-27,-1,1034825.4475503431,76.5478,79.6722,76.5478,79.6722
2017-03-28,-1,1017735.1284191187,77.812,80.98800000000001,77.812,80.98800000000001
2017-03-29,0,1018888.732468964,77.7238,80.89620000000001,77.7238,80.89620000000001
2017-03-30,-1,1018888.732468964,78.4392,81.64080000000001,78.4392,81.64080000000001
2017-03-31,0,1024362.5225109638,78.0178,81.2022,78.0178,81.2022
2017-04-03,0,1024362.5225109638,77.24359999999999,80.3964,77.24359999999999,80.3964
2017-04-04,0,1024362.5225109638,77.11619999999999,80.2638,77.11619999999999,80.2638
2017-04-05,0,1024362.5225109638,77.0378,80.1822,77.0378,80.1822
2017-04-06,-1,1024362.5225109638,77.30239999999999,80.4576,77.30239999999999,80.4576
2017-04-07,0,1025661.1565405161,77.2044,80.3556,77.2044,80.3556
2017-04-10,0,1025661.1565405161,76.8516,79.9884,76.8516,79.9884
2017-04-11,-1,1025661.1565405161,76.75359999999999,79.8864,76.75359999999999,79.8864
2017-04-12,-1,1033387.6642315132,76.1754,79.28460000000001,76.1754,79.28460000000001
2017-04-13,-1,1039104.3334148345,75.75399999999999,78.846,75.75399999999999,78.846
2017-04-17,-1,1023242.1974066908,76.9104,80.04960000000001,76.9104,80.04960000000001
2017-04-18,-1,1033281.6532171287,76.1558,79.26419999999999,76.1558,79.26419999999999
2017-04-19,-1,1031154.191313709,76.3126,79.4274,76.3126,79.4274
2017-04-20,0,1025195.2933287192,76.75359999999999,79.8864,76.75359999999999,79.8864
2017-04-21,0,1025195.2933287192,76.146,79.254,76.146,79.254
2017-04-24,0,1025195.2933287192,78.19420000000001,81.3858,78.19420000000001,81.3858
2017-04-25,0,1025195.2933287192,79.0076,82.23240000000001,79.0076,82.23240000000001
2017-04-26,-1,1025195.2933287192,81.87899999999999,85.221,81.87899999999999,85.221
2017-04-27,-1,1010716.1736862549,83.0354,86.42460000000001,83.0354,86.42460000000001
2017-04-28,-1,1020616.9694393481,82.22200000000001,85.578,82.22200000000001,85.578
2017-05-01,-1,1020130.3820880064,82.2612,85.6188,82.2612,85.6188
2017-05-02,-1,1027300.7052406382,81.68299999999999,85.017,81.68299999999999,85.017
2017-05-03,-1,1022000.8935639318,82.1044,85.4556,82.1044,85.4556
2017-05-04,-1,1022732.8111291482,82.0456,85.3944,82.0456,85.3944
2017-05-05,-1,1024198.7444465815,81.928,85.27199999999999,81.928,85.27199999999999
2017-05-08,-1,1026771.4924888515,81.7222,85.0578,81.7222,85.0578
2017-05-09,-1,1026032.7193799736,81.781,85.119,81.781,85.119
2017-05-10,-1,1024680.2496480168,81.8888,85.2312,81.8888,85.2312
2017-05-11,-1,1033632.0996030557,81.1734,84.4866,81.1734,84.4866
2017-05-12,-1,1036876.6287096209,80.9186,84.22139999999999,80.9186,84.22139999999999
2017-05-15,-1,1034113.9684417739,81.1342,84.4458,81.1342,84.4458
2017-05-16,-1,1032739.9795961573,81.242,84.558,81.242,84.558
2017-05-17,-1,1071109.5711179448,78.22359999999999,81.4164,78.22359999999999,81.4164
2017-05-18,-1,1070170.236740868,78.2922,81.48780000000001,78.2922,81.48780000000001
2017-05-19,-1,1057846.3336516004,79.1938,82.42620000000001,79.1938,82.42620000000001
2017-05-22,-1,1057846.3336516004,79.1938,82.42620000000001,79.1938,82.42620000000001
2017-05-23,-1,1048682.957416529,79.8798,83.14020000000001,79.8798,83.14020000000001
2017-05-24,-1,1044823.2483351285,80.1738,83.4462,80.1738,83.4462
2017-05-25,-1,1040608.7064459879,80.49719999999999,83.78280000000001,80.49719999999999,83.78280000000001
2017-05-26,-1,1042509.0145293443,80.35019999999999,83.6298,80.35019999999999,83.6298
2017-05-30,-1,1046450.6878371147,80.0464,83.31360000000001,80.0464,83.31360000000001
2017-05-31,-1,1049269.237681926,79.8308,83.08919999999999,79.8308,83.08919999999999
2017-06-01,-1,1031751.3618748131,81.16359999999999,84.4764,81.16359999999999,84.4764
2017-06-02,-1,1033495.4477316409,81.02640000000001,84.3336,81.02640000000001,84.3336
2017-06-05,-1,1028620.4692046051,81.40859999999999,84.7314,81.40859999999999,84.7314
2017-06-06,-1,1025772.4770544056,81.634,84.966,81.634,84.966
2017-06-07,-1,1012350.0040653384,82.7022,86.0778,82.7022,86.0778
2017-06-08,-1,993036.2997574206,84.28,87.72,84.28,87.72
2017-06-09,-1,977447.9392379728,85.603,89.097,85.603,89.097
2017-06-12,-1,980133.5431923758,85.3678,88.8522,85.3678,88.8522
2017-06-13,-1,963481.0619166931,86.8182,90.3618,86.8182,90.3618
2017-06-14,-1,961305.9155978836,87.0142,90.56580000000001,87.0142,90.56580000000001
2017-06-15,-1,961197.6482349376,87.024,90.576,87.024,90.576
2017-06-16,-1,967151.0120472036,86.485,90.015,86.485,90.015
2017-06-19,-1,953232.8048483373,87.72959999999999,91.3104,87.72959999999999,91.3104
2017-06-20,-1,957172.6634027817,87.367,90.933,87.367,90.933
2017-06-21,-1,954703.2330877774,87.5924,91.1676,87.5924,91.1676
2017-06-22,-1,962180.2107467775,86.9064,90.45360000000001,86.9064,90.45360000000001
2017-06-23,-1,977804.2466452369,85.4952,88.98479999999999,85.4952,88.98479999999999
2017-06-26,-1,971303.4848037165,86.0636,89.57639999999999,86.0636,89.57639999999999
2017-06-27,-1,970418.671790914,86.14200000000001,89.658,86.14200000000001,89.658
2017-06-28,-1,950988.2182943042,87.8668,91.4532,87.8668,91.4532
2017-06-29,-1,951200.3503974258,87.8472,91.4328,87.8472,91.4328
2017-06-30,-1,950245.3299652998,87.9354,91.5246,87.9354,91.5246
2017-07-03,-1,935948.7603068451,89.2584,92.9016,89.2584,92.9016
2017-07-05,-1,931324.5075385305,89.6994,93.3606,89.6994,93.3606
2017-07-06,-1,940685.5754609106,88.7978,92.4222,88.7978,92.4222
2017-07-07,-1,937986.3342113814,89.0526,92.68740000000001,89.0526,92.68740000000001
2017-07-10,-1,931276.8468422012,89.6896,93.3504,89.6896,93.3504
2017-07-11,-1,944708.7244408869,88.396,92.004,88.396,92.004
2017-07-12,-1,936434.6679851408,89.1702,92.8098,89.1702,92.8098
2017-07-13,-1,928201.3705415963,89.9542,93.62580000000001,89.9542,93.62580000000001
2017-07-14,-1,925369.9468162273,90.22859999999999,93.9114,90.22859999999999,93.9114
2017-07-17,-1,920445.0931837742,90.7088,94.41120000000001,90.7088,94.41120000000001
2017-07-18,-1,925218.3607370177,90.2384,93.9216,90.2384,93.9216
2017-07-19,-1,939988.8971215029,88.7978,92.4222,88.7978,92.4222
2017-07-20,-1,937291.6549489878,89.0526,92.68740000000001,89.0526,92.68740000000001
2017-07-21,-1,936053.8977288507,89.1702,92.8098,89.1702,92.8098
2017-07-24,-1,930498.6817185906,89.6994,93.3606,89.6994,93.3606
2017-07-25,-1,920230.9698368493,90.6892,94.39080000000001,90.6892,94.39080000000001
2017-07-26,-1,902928.1614565153,92.3944,96.1656,92.3944,96.1656
2017-07-27,-1,909919.4380566773,91.679,95.42099999999999,91.679,95.42099999999999
2017-07-28,-1,913615.5298414077,91.3066,95.0334,91.3066,95.0334
2017-07-31,-1,913027.1759529191,91.36540000000001,95.0946,91.36540000000001,95.0946
2017-08-01,-1,909403.6636167335,91.728,95.472,91.728,95.472
