日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,0,1000000.0,66.4538,69.1662,66.4538,69.1662
2016-08-10,0,1000000.0,66.336205,69.0438,66.336205,69.0438
2016-08-11,0,1000000.0,67.130005,69.869995,67.130005,69.869995
2016-08-12,0,1000000.0,66.8752,69.6048,66.8752,69.6048
2016-08-15,0,1000000.0,67.8258,70.5942,67.8258,70.5942
2016-08-16,0,1000000.0,67.6102,70.3698,67.6102,70.3698
2016-08-17,0,1000000.0,67.7082,70.471794,67.7082,70.471794
2016-08-18,0,1000000.0,67.66901,70.431,67.66901,70.431
2016-08-19,0,1000000.0,67.639595,70.4004,67.639595,70.4004
2016-08-22,0,1000000.0,67.5906,70.3494,67.5906,70.3494
2016-08-23,0,1000000.0,67.9336,70.7064,67.9336,70.7064
2016-08-24,0,1000000.0,67.639595,70.4004,67.639595,70.4004
2016-08-25,0,1000000.0,67.6592,70.4208,67.6592,70.4208
2016-08-26,0,1000000.0,67.6886,70.4514,67.6886,70.4514
2016-08-29,0,1000000.0,68.2374,71.0226,68.2374,71.0226
2016-08-30,0,1000000.0,68.9332,71.746796,68.9332,71.746796
2016-08-31,0,1000000.0,68.8352,71.6448,68.8352,71.6448
2016-09-01,0,1000000.0,68.717606,71.5224,68.717606,71.5224
2016-09-02,0,1000000.0,69.2174,72.042595,69.2174,72.042595
2016-09-06,0,1000000.0,68.9626,71.777405,68.9626,71.777405
2016-09-07,-1,1000000.0,69.1586,71.9814,69.1586,71.9814
2016-09-08,-1,1000425.1003265381,69.1292,71.9508,69.1292,71.9508
2016-09-09,-1,1012338.3360561036,68.306,71.093994,68.306,71.093994
2016-09-12,-1,998540.2522749434,69.237,72.063,69.237,72.063
2016-09-13,-1,1019316.6690096469,67.7964,70.5636,67.7964,70.5636
2016-09-14,-1,1015780.4263217635,68.0316,70.808395,68.0316,70.808395
2016-09-15,-1,1001879.604445183,68.9626,71.777405,68.9626,71.777405
2016-09-16,-1,1017255.9324121937,67.904205,70.6758,67.904205,70.6758
2016-09-19,-1,1021219.8870896192,67.639595,70.4004,67.639595,70.4004
2016-09-20,-1,1007163.6705393714,68.5706,71.3694,68.5706,71.3694
2016-09-21,-1,991330.0872583644,69.6486,72.4914,69.6486,72.4914
2016-09-22,-1,991748.5476082797,69.6192,72.4608,69.6192,72.4608
2016-09-23,-1,997611.8891000217,69.2076,72.0324,69.2076,72.0324
2016-09-26,-1,1015835.0630285762,67.943405,70.7166,67.943405,70.7166
2016-09-27,-1,1004845.8757325844,68.678406,71.4816,68.678406,71.4816
2016-09-28,-1,999684.0159249658,69.031204,71.8488,69.031204,71.8488
2016-09-29,-1,1025939.3116746909,67.2182,69.96179,67.2182,69.96179
2016-09-30,-1,1010383.4174345692,68.2374,71.0226,68.2374,71.0226
2016-10-03,-1,1007626.3835589754,68.4236,71.2164,68.4236,71.2164
2016-10-04,-1,985545.7341435604,69.923,72.777,69.923,72.777
2016-10-05,-1,966898.4408885255,71.246,74.15399,71.246,74.15399
2016-10-06,-1,969558.3715135332,71.05,73.95,71.05,73.95
2016-10-07,-1,972767.9226593918,70.814804,73.7052,70.814804,73.7052
2016-10-10,-1,978422.0452948788,70.4032,73.276794,70.4032,73.276794
2016-10-11,-1,998851.2485759819,68.9332,71.746796,68.9332,71.746796
2016-10-12,-1,994733.1314304436,69.2174,72.042595,69.2174,72.042595
2016-10-13,-1,1021069.5926833923,67.3848,70.1352,67.3848,70.1352
2016-10-14,-1,1017357.1027712587,67.62981,70.3902,67.62981,70.3902
2016-10-17,-1,1022959.1954296841,67.2574,70.002594,67.2574,70.002594
2016-10-18,-1,1005966.9626051724,68.374596,71.1654,68.374596,71.1654
2016-10-19,-1,995008.9773063037,69.1194,71.9406,69.1194,71.9406
2016-10-20,-1,987955.2213240893,69.6094,72.4506,69.6094,72.4506
2016-10-21,-1,990041.5778144338,69.4624,72.29759,69.4624,72.29759
2016-10-24,-1,982359.1618015893,70.0014,72.8586,70.0014,72.8586
