日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,-1,1000000.0,42.218399999999995,43.9416,42.218399999999995,43.9416
2016-08-10,-1,997214.4846796655,42.336,44.06400000000001,42.336,44.06400000000001
2016-08-11,-1,992828.5876405652,42.5222,44.2578,42.5222,44.2578
2016-08-12,-1,995345.5534078034,42.4144,44.1456,42.4144,44.1456
2016-08-15,-1,1001324.9860299389,42.159600000000005,43.8804,42.159600000000005,43.8804
2016-08-16,1,1025997.3357554557,41.1208,42.7992,41.1208,42.7992
2016-08-17,1,1023552.1562136172,41.0228,42.6972,41.0228,42.6972
2016-08-18,1,1012304.3303211598,40.571999999999996,42.228,40.571999999999996,42.228
2016-08-19,1,1002768.1301079894,40.1898,41.8302,40.1898,41.8302
2016-08-22,1,1000322.9505661508,40.0918,41.728199999999994,40.0918,41.728199999999994
2016-08-23,1,998855.8428410479,40.033,41.667,40.033,41.667
2016-08-24,1,999344.8787494155,40.0526,41.6874,40.0526,41.6874
2016-08-25,1,1004235.2378330926,40.248599999999996,41.891400000000004,40.248599999999996,41.891400000000004
2016-08-26,1,994699.0376199222,39.8664,41.4936,39.8664,41.4936
2016-08-29,1,1002523.6121538054,40.18,41.82,40.18,41.82
2016-08-30,1,999833.914657783,40.0722,41.7078,40.0722,41.7078
2016-08-31,1,999589.3967035993,40.062400000000004,41.6976,40.062400000000004,41.6976
2016-09-01,1,1001545.5403370701,40.1408,41.7792,40.1408,41.7792
2016-09-02,1,1001301.0223828863,40.131,41.769000000000005,40.131,41.769000000000005
2016-09-06,1,1008147.5251000338,40.40539999999999,42.0546,40.40539999999999,42.0546
2016-09-07,1,1009125.5969167694,40.4446,42.095400000000005,40.4446,42.095400000000005
2016-09-08,1,1007169.4532832984,40.3662,42.013799999999996,40.3662,42.013799999999996
2016-09-09,1,970980.7960640879,38.9158,40.504200000000004,38.9158,40.504200000000004
2016-09-12,1,995432.5914824733,39.8958,41.5242,39.8958,41.5242
2016-09-13,1,977338.2628728681,39.1706,40.7694,39.1706,40.7694
2016-09-14,1,975382.1192393973,39.0922,40.6878,39.0922,40.6878
2016-09-15,1,989075.1246736933,39.641000000000005,41.259,39.641000000000005,41.259
2016-09-16,1,982962.175819097,39.396,41.004000000000005,39.396,41.004000000000005
2016-09-19,1,979538.924460523,39.2588,40.861200000000004,39.2588,40.861200000000004
2016-09-20,1,977093.7449186842,39.1608,40.7592,39.1608,40.7592
2016-09-21,1,992009.3401238993,39.7586,41.3814,39.7586,41.3814
2016-09-22,1,1005213.3096498272,40.2878,41.9322,40.2878,41.9322
2016-09-23,1,1009370.1148709529,40.4544,42.1056,40.4544,42.1056
2016-09-26,1,1005946.8635123789,40.3172,41.9628,40.3172,41.9628
2016-09-27,1,1013771.4380462624,40.6308,42.2892,40.6308,42.2892
2016-09-28,1,998855.8428410472,40.033,41.667,40.033,41.667
2016-09-29,1,995921.6273908409,39.9154,41.544599999999996,39.9154,41.544599999999996
2016-09-30,1,992987.4119406347,39.797799999999995,41.422200000000004,39.797799999999995,41.422200000000004
2016-10-03,1,996899.6992075765,39.9546,41.58540000000001,39.9546,41.58540000000001
2016-10-04,1,975626.637193581,39.102,40.698,39.102,40.698
2016-10-05,1,957532.3085839758,38.376799999999996,39.9432,38.376799999999996,39.9432
2016-10-06,1,956309.7188130565,38.327799999999996,39.8922,38.327799999999996,39.8922
2016-10-07,1,950441.287912644,38.0926,39.6474,38.0926,39.6474
2016-10-10,1,953864.5392712179,38.2298,39.7902,38.2298,39.7902
2016-10-11,1,956065.2008588726,38.318,39.882000000000005,38.318,39.882000000000005
2016-10-12,1,961689.1138051013,38.5434,40.1166,38.5434,40.1166
2016-10-13,1,962667.1856218366,38.5826,40.157399999999996,38.5826,40.157399999999996
2016-10-14,1,958999.4163090789,38.4356,40.0044,38.4356,40.0044
2016-10-17,1,960222.0060799983,38.4846,40.055400000000006,38.4846,40.055400000000006
2016-10-18,1,962422.6676676528,38.5728,40.1472,38.5728,40.1472
2016-10-19,1,962911.7035760205,38.592400000000005,40.1676,38.592400000000005,40.1676
2016-10-20,1,945061.8929205991,37.876999999999995,39.423,37.876999999999995,39.423
2016-10-21,1,916697.8102352719,36.7402,38.2398,36.7402,38.2398
2016-10-24,1,901293.179121689,36.1228,37.5972,36.1228,37.5972
2016-10-25,1,897380.8918547474,35.966,37.434000000000005,35.966,37.434000000000005
2016-10-26,1,890778.9070917834,35.7014,37.1586,35.7014,37.1586
2016-10-27,1,892979.568679438,35.7896,37.250400000000006,35.7896,37.250400000000006
2016-10-28,1,892735.050725254,35.779799999999994,37.2402,35.779799999999994,37.2402
2016-10-31,1,899581.5534424019,36.0542,37.5258,36.0542,37.5258
2016-11-01,1,893957.6404961733,35.8288,37.2912,35.8288,37.2912
2016-11-02,1,889311.79936668,35.642599999999995,37.0974,35.642599999999995,37.0974
