日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,1,1000000.0,79.28200000000001,82.518,79.28200000000001,82.518
2016-08-10,1,1007911.0012360939,79.9092,83.17080000000001,79.9092,83.17080000000001
2016-08-11,1,1018912.237330037,80.7814,84.07860000000001,80.7814,84.07860000000001
2016-08-12,1,1024351.0506798517,81.21260000000001,84.5274,81.21260000000001,84.5274
2016-08-15,-1,1023114.9567367119,81.1146,84.4254,81.1146,84.4254
2016-08-16,-1,1082447.4660074166,76.4106,79.5294,76.4106,79.5294
2016-08-17,1,1079393.2343475264,76.6262,79.7538,76.6262,79.7538
2016-08-18,-1,1074147.4301647404,76.2538,79.3662,76.2538,79.3662
2016-08-19,1,1052888.1184766067,77.76299999999999,80.937,77.76299999999999,80.937
2016-08-22,-1,1049570.8906301144,77.51799999999999,80.682,77.51799999999999,80.682
2016-08-23,-1,1055011.1442983616,77.11619999999999,80.2638,77.11619999999999,80.2638
2016-08-24,-1,1056485.9343081827,77.0084,80.1516,77.0084,80.1516
2016-08-25,1,1053528.0963653498,77.22399999999999,80.376,77.22399999999999,80.376
2016-08-26,-1,1052057.4353171242,77.11619999999999,80.2638,77.11619999999999,80.2638
2016-08-29,-1,1053661.7928242795,76.9986,80.14139999999999,76.9986,80.14139999999999
2016-08-30,-1,1068279.22128525,75.9304,79.0296,75.9304,79.0296
2016-08-31,-1,1068830.7335316548,75.8912,78.9888,75.8912,78.9888
2016-09-01,1,1064828.1391008156,76.1754,79.28460000000001,76.1754,79.28460000000001
2016-09-02,-1,1064143.1859687555,76.1264,79.23360000000001,76.1264,79.23360000000001
2016-09-06,-1,1068800.867266765,75.7932,78.88680000000001,75.7932,78.88680000000001
2016-09-07,1,1065898.770264877,75.999,79.101,75.999,79.101
2016-09-08,-1,1047618.3658231971,74.6956,77.7444,74.6956,77.7444
2016-09-09,-1,1067685.5767140635,73.26480000000001,76.2552,73.26480000000001,76.2552
2016-09-12,1,1056260.369900644,74.0488,77.0712,74.0488,77.0712
2016-09-13,-1,1038786.5019496673,72.8238,75.7962,72.8238,75.7962
2016-09-14,-1,1040743.575160177,72.6866,75.6534,72.6866,75.6534
2016-09-15,1,1028535.8508728727,73.53920000000001,76.5408,73.53920000000001,76.5408
2016-09-16,-1,1023464.4454248054,73.1766,76.16340000000001,73.1766,76.16340000000001
2016-09-19,1,1023190.3154005856,73.19619999999999,76.1838,73.19619999999999,76.1838
2016-09-20,1,1028259.0048730482,73.5588,76.5612,73.5588,76.5612
2016-09-21,1,1042506.1320388884,74.57799999999999,77.622,74.57799999999999,77.622
2016-09-22,1,1047985.7963334424,74.97,78.03,74.97,78.03
2016-09-23,-1,1041410.1991799775,74.4996,77.54039999999999,74.4996,77.54039999999999
2016-09-26,-1,1052917.4941985407,73.6764,76.68360000000001,73.6764,76.68360000000001
2016-09-27,1,1052077.1769645435,73.73519999999999,76.7448,73.73519999999999,76.7448
2016-09-28,-1,1040191.669250298,72.9022,75.87780000000001,72.9022,75.87780000000001
2016-09-29,-1,1047462.8033813662,72.3926,75.34740000000001,72.3926,75.34740000000001
2016-09-30,1,1034559.1733410651,73.2844,76.2756,73.2844,76.2756
2016-10-03,-1,1028610.2505737921,72.863,75.83699999999999,72.863,75.83699999999999
2016-10-04,1,1028056.8624093947,72.9022,75.87780000000001,72.9022,75.87780000000001
2016-10-05,-1,1025431.0954533819,72.71600000000001,75.684,72.71600000000001,75.684
2016-10-06,1,1025154.6989316962,72.73559999999999,75.7044,72.73559999999999,75.7044
2016-10-07,-1,1018524.7574673035,72.2652,75.2148,72.2652,75.2148
2016-10-10,1,1003469.2653919122,73.3334,76.3266,73.3334,76.3266
2016-10-11,-1,995423.2736875805,72.7454,75.7146,72.7454,75.7146
2016-10-12,1,979867.6897258725,73.8822,76.8978,73.8822,76.8978
2016-10-13,-1,967910.1585606277,72.9806,75.9594,72.9806,75.9594
2016-10-14,-1,971029.5145167783,72.7454,75.7146,72.7454,75.7146
2016-10-17,-1,982933.554099296,71.85359999999999,74.7864,71.85359999999999,74.7864
2016-10-18,-1,985078.5263941118,71.6968,74.6232,71.6968,74.6232
2016-10-19,1,981039.1119884496,71.9908,74.9292,71.9908,74.9292
2016-10-20,-1,978768.8063930505,71.8242,74.75580000000001,71.8242,74.75580000000001
2016-10-21,1,976097.8586337572,72.02019999999999,74.9598,72.02019999999999,74.9598
2016-10-24,1,985262.4731725693,72.69640000000001,75.6636,72.69640000000001,75.6636
2016-10-25,-1,977824.5251410697,72.1476,75.09240000000001,72.1476,75.09240000000001
2016-10-26,1,971581.9616146325,72.6082,75.57180000000001,72.6082,75.57180000000001
2016-10-27,-1,959648.6428797249,71.71640000000001,74.6436,71.71640000000001,74.6436
2016-10-28,1,955714.5817583267,72.0104,74.9496,72.0104,74.9496
2016-10-31,1,959226.325594401,72.275,75.225,72.275,75.225
2016-11-01,-1,942578.058519678,71.0206,73.9194,71.0206,73.9194
2016-11-02,1,939066.3146836036,71.28519999999999,74.1948,71.28519999999999,74.1948
2016-11-03,-1,926931.0062452947,70.36399999999999,73.236,70.36399999999999,73.236
2016-11-04,1,925381.8179340211,70.4816,73.3584,70.4816,73.3584
2016-11-07,1,943524.0365559199,71.8634,74.7966,71.8634,74.7966
2016-11-08,-1,942237.3543841541,71.7654,74.69460000000001,71.7654,74.69460000000001
2016-11-09,1,933101.9109646165,72.46119999999999,75.4188,72.46119999999999,75.4188
2016-11-10,1,951400.5013202925,73.8822,76.8978,73.8822,76.8978
2016-11-11,-1,951400.5013202925,73.8822,76.8978,73.8822,76.8978
2016-11-14,-1,966165.5707797001,72.73559999999999,75.7044,72.73559999999999,75.7044
2016-11-15,-1,975668.4118827609,72.02019999999999,74.9598,72.02019999999999,74.9598
2016-11-16,1,937167.4131828017,74.8622,77.9178,74.8622,77.9178
2016-11-17,1,945877.8316061528,75.55799999999999,78.642,75.55799999999999,78.642
2016-11-18,1,953606.7944325068,76.1754,79.28460000000001,76.1754,79.28460000000001
2016-11-21,-1,952870.7027347587,76.1166,79.2234,76.1166,79.2234
2016-11-22,1,932750.862996314,77.7238,80.89620000000001,77.7238,80.89620000000001
2016-11-23,1,934162.1617424943,77.84140000000001,81.0186,77.84140000000001,81.0186
2016-11-25,-1,931927.6053943754,77.6552,80.8248,77.6552,80.8248
2016-11-28,-1,938866.4908964282,77.077,80.22300000000001,77.077,80.22300000000001
2016-11-29,1,936956.5272785842,77.2338,80.3862,77.2338,80.3862
2016-11-30,-1,931368.7900901445,76.7732,79.9068,76.7732,79.9068
2016-12-01,-1,939334.2877843032,76.1166,79.2234,76.1166,79.2234
2016-12-02,-1,946227.8186718668,75.55799999999999,78.642,75.55799999999999,78.642
2016-12-05,1,943405.089770511,75.7834,78.8766,75.7834,78.8766
2016-12-06,1,944747.06002623,75.8912,78.9888,75.8912,78.9888
2016-12-07,1,953896.8572243147,76.6262,79.7538,76.6262,79.7538
2016-12-08,-1,951334.914008851,76.4204,79.53960000000001,76.4204,79.53960000000001
