日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-16,1,1000000.0,151.8706,158.0694,151.8706,158.0694
2016-08-17,1,998064.1414467315,151.57659999999998,157.7634,151.57659999999998,157.7634
2016-08-18,1,989546.3638123508,150.283,156.417,150.283,156.417
2016-08-19,1,991030.5220365233,150.50840000000002,156.6516,150.50840000000002,156.6516
2016-08-22,1,993676.1953926568,150.9102,157.06980000000001,150.9102,157.06980000000001
2016-08-23,1,997289.7980254245,151.459,157.64100000000002,151.459,157.64100000000002
2016-08-24,1,976059.8825579145,148.23479999999998,154.2852,148.23479999999998,154.2852
2016-08-25,1,976640.640123895,148.32299999999998,154.377,148.32299999999998,154.377
2016-08-26,0,983158.0305865655,149.3128,155.40720000000002,149.3128,155.40720000000002
2016-08-29,1,983158.0305865655,150.4398,156.5802,150.4398,156.5802
2016-08-30,1,980916.4482094873,150.0968,156.2232,150.0968,156.2232
2016-08-31,1,974704.0627644415,149.1462,155.2338,149.1462,155.2338
2016-09-01,1,966762.4566285067,147.93099999999998,153.969,147.93099999999998,153.969
2016-09-02,1,968235.4964763012,148.1564,154.20360000000002,148.1564,154.20360000000002
2016-09-06,1,967082.6826823752,147.98,154.02,147.98,154.02
2016-09-07,1,963880.4221436918,147.49,153.51,147.49,153.51
2016-09-08,1,964841.100305297,147.637,153.663,147.637,153.663
2016-09-09,1,920201.5883960509,140.8064,146.55360000000002,140.8064,146.55360000000002
2016-09-12,1,937621.8857264882,143.472,149.328,143.472,149.328
2016-09-13,1,929616.2343797798,142.247,148.053,142.247,148.053
2016-09-14,1,946908.4412886701,144.893,150.807,144.893,150.807
2016-09-15,1,960678.1616050084,147.0,153.0,147.0,153.0
2016-09-16,1,960998.387658877,147.049,153.05100000000002,147.049,153.05100000000002
2016-09-19,1,960678.1616050084,147.0,153.0,147.0,153.0
2016-09-20,1,971053.4857503425,148.5876,154.6524,148.5876,154.6524
2016-09-21,-1,995390.6658443359,152.3116,158.52839999999998,152.3116,158.52839999999998
2016-09-22,-1,981044.5386310342,154.5068,160.8132,154.5068,160.8132
2016-09-23,-1,981044.5386310342,154.5068,160.8132,154.5068,160.8132
2016-09-26,0,990378.3379964188,153.0368,159.2832,153.0368,159.2832
2016-09-27,-1,990378.3379964188,155.70239999999998,162.0576,155.70239999999998,162.0576
2016-09-28,-1,991874.377781912,155.4672,161.81279999999998,155.4672,161.81279999999998
2016-09-29,1,1008005.466376701,152.9388,159.18120000000002,152.9388,159.18120000000002
2016-09-30,-1,1027382.7340886714,155.8788,162.2412,155.8788,162.2412
2016-10-03,-1,1026995.188734432,155.9376,162.3024,155.9376,162.3024
2016-10-04,0,1036999.2268348491,154.4186,160.7214,154.4186,160.7214
2016-10-05,0,1036999.2268348491,155.1144,161.4456,155.1144,161.4456
2016-10-06,0,1036999.2268348491,155.2712,161.6088,155.2712,161.6088
2016-10-07,-1,1036999.2268348491,155.0458,161.3742,155.0458,161.3742
