日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-16,1,1000000.0,91.0322,94.7478,91.0322,94.7478
2016-08-17,1,1018085.9080633007,92.67859999999999,96.4614,92.67859999999999,96.4614
2016-08-18,0,1031650.3391107763,93.9134,97.7466,93.9134,97.7466
2016-08-19,-1,1031650.3391107763,93.7664,97.59360000000001,93.7664,97.59360000000001
2016-08-22,0,1035424.1436539282,93.4234,97.2366,93.4234,97.2366
2016-08-23,-1,1035424.1436539282,94.0898,97.93020000000001,94.0898,97.93020000000001
2016-08-24,-1,1041139.9523836082,93.5704,97.3896,93.5704,97.3896
2016-08-25,0,1045501.6614426096,93.1784,96.9816,93.1784,96.9816
2016-08-26,-1,1045501.6614426096,93.22739999999999,97.0326,93.22739999999999,97.0326
2016-08-29,-1,1035280.7369693452,94.1388,97.9812,94.1388,97.9812
2016-08-30,-1,1037543.99904267,93.93299999999999,97.767,93.93299999999999,97.767
2016-08-31,-1,1041007.8913712421,93.6194,97.4406,93.6194,97.4406
2016-09-01,-1,1043623.2152896876,93.3842,97.1958,93.3842,97.1958
2016-09-02,-1,1043732.7360384852,93.3744,97.18560000000001,93.3744,97.18560000000001
2016-09-06,-1,1036174.2181137732,94.0506,97.8894,94.0506,97.8894
2016-09-07,-1,1032827.1929224085,94.3544,98.2056,94.3544,98.2056
2016-09-08,0,1029072.6279294417,94.69739999999999,98.5626,94.69739999999999,98.5626
2016-09-09,0,1029072.6279294417,90.8656,94.5744,90.8656,94.5744
2016-09-12,1,1029072.6279294417,91.9338,95.6862,91.9338,95.6862
2016-09-13,1,1014044.0648736551,90.5912,94.2888,90.5912,94.2888
2016-09-14,1,1017115.5960091442,90.8656,94.5744,90.8656,94.5744
2016-09-15,1,1019528.9419013143,91.0812,94.7988,91.0812,94.7988
2016-09-16,1,1013385.8796303356,90.5324,94.2276,90.5324,94.2276
2016-09-19,0,1021174.4050096119,91.2282,94.9518,91.2282,94.9518
2016-09-20,-1,1021174.4050096119,91.2772,95.00280000000001,91.2772,95.00280000000001
2016-09-21,0,1000452.6997758973,93.1294,96.9306,93.1294,96.9306
2016-09-22,-1,1000452.6997758973,93.1784,96.9816,93.1784,96.9816
2016-09-23,-1,1008344.3649508228,92.4434,96.2166,92.4434,96.2166
2016-09-26,-1,1009947.7960410657,92.2964,96.06360000000001,92.2964,96.06360000000001
2016-09-27,-1,1002762.9901019332,92.95299999999999,96.747,92.95299999999999,96.747
2016-09-28,-1,988913.5486993657,94.23679999999999,98.0832,94.23679999999999,98.0832
2016-09-29,-1,990970.3572449135,94.04079999999999,97.8792,94.04079999999999,97.8792
2016-09-30,-1,974757.1073400102,95.57939999999999,99.48060000000001,95.57939999999999,99.48060000000001
2016-10-03,-1,976556.1053849319,95.40299999999999,99.297,95.40299999999999,99.297
2016-10-04,-1,983377.4526028234,94.7366,98.60340000000001,94.7366,98.60340000000001
2016-10-05,-1,964354.8412821728,96.56920000000001,100.5108,96.56920000000001,100.5108
2016-10-06,-1,966214.2630382477,96.383,100.317,96.383,100.317
2016-10-07,-1,968965.0509757234,96.1086,100.03139999999999,96.1086,100.03139999999999
2016-10-10,-1,976078.8965625749,95.40299999999999,99.297,95.40299999999999,99.297
2016-10-11,-1,984200.3542535423,94.6092,98.47080000000001,94.6092,98.47080000000001
2016-10-12,-1,990623.0414627794,93.9918,97.8282,93.9918,97.8282
2016-10-13,-1,982050.2427513406,94.8052,98.67479999999999,94.8052,98.67479999999999
2016-10-14,0,981035.0988163071,94.9032,98.77680000000001,94.9032,98.77680000000001
2016-10-17,0,981035.0988163071,94.8346,98.7054,94.8346,98.7054
2016-10-18,0,981035.0988163071,94.7856,98.6544,94.7856,98.6544
2016-10-19,0,981035.0988163071,95.1776,99.06240000000001,95.1776,99.06240000000001
2016-10-20,1,981035.0988163071,88.8272,92.4528,88.8272,92.4528
2016-10-21,0,978112.7744928253,88.5626,92.1774,88.5626,92.1774
2016-10-24,0,978112.7744928253,88.08239999999999,91.6776,88.08239999999999,91.6776
