日期,买卖信号,portfolio_value,Q25预测,Q75预测,Q25真实,Q75真实
2016-08-09,1,1000000.0,41.973404,43.6866,41.973404,43.6866
2016-08-10,0,992295.0863838196,41.65,43.35,41.65,43.35
2016-08-11,1,992295.0863838196,41.9636,43.6764,41.9636,43.6764
2016-08-12,1,990209.4422798662,41.8754,43.5846,41.8754,43.5846
2016-08-15,1,996002.833652744,42.1204,43.8396,42.1204,43.8396
2016-08-16,1,996929.7805457597,42.159603,43.880398,42.159603,43.880398
2016-08-17,1,1001564.550046433,42.355602,44.0844,42.355602,44.0844
2016-08-18,1,1001564.550046433,42.355602,44.0844,42.355602,44.0844
2016-08-19,0,1004577.025437132,42.482998,44.217,42.482998,44.217
2016-08-22,0,1004577.025437132,42.5026,44.237396,42.5026,44.237396
2016-08-23,0,1004577.025437132,42.5712,44.308796,42.5712,44.308796
2016-08-24,0,1004577.025437132,42.375202,44.1048,42.375202,44.1048
2016-08-25,0,1004577.025437132,42.532,44.268,42.532,44.268
2016-08-26,0,1004577.025437132,42.532,44.268,42.532,44.268
2016-08-29,0,1004577.025437132,42.9632,44.7168,42.9632,44.7168
2016-08-30,0,1004577.025437132,43.198402,44.9616,43.198402,44.9616
2016-08-31,0,1004577.025437132,43.267002,45.033,43.267002,45.033
2016-09-01,0,1004577.025437132,43.1494,44.9106,43.1494,44.9106
2016-09-02,0,1004577.025437132,43.276802,45.043198,43.276802,45.043198
2016-09-06,0,1004577.025437132,42.9828,44.7372,42.9828,44.7372
2016-09-07,0,1004577.025437132,42.7868,44.5332,42.7868,44.5332
2016-09-08,0,1004577.025437132,42.9632,44.7168,42.9632,44.7168
2016-09-09,0,1004577.025437132,42.5418,44.2782,42.5418,44.2782
2016-09-12,0,1004577.025437132,42.924,44.676,42.924,44.676
2016-09-13,0,1004577.025437132,42.365402,44.094597,42.365402,44.094597
2016-09-14,0,1004577.025437132,42.0616,43.778397,42.0616,43.778397
2016-09-15,0,1004577.025437132,42.1694,43.8906,42.1694,43.8906
2016-09-16,0,1004577.025437132,41.748,43.451996,41.748,43.451996
2016-09-19,0,1004577.025437132,42.0028,43.7172,42.0028,43.7172
2016-09-20,0,1004577.025437132,42.159603,43.880398,42.159603,43.880398
2016-09-21,0,1004577.025437132,42.3948,44.1252,42.3948,44.1252
2016-09-22,0,1004577.025437132,42.3066,44.033398,42.3066,44.033398
2016-09-23,0,1004577.025437132,42.1008,43.8192,42.1008,43.8192
2016-09-26,0,1004577.025437132,41.6206,43.3194,41.6206,43.3194
2016-09-27,0,1004577.025437132,42.042004,43.758,42.042004,43.758
2016-09-28,0,1004577.025437132,41.953804,43.6662,41.953804,43.6662
