日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
1970-01-01 00:00:00.000009847,0,98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009848,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009849,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009850,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009851,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009852,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009853,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009854,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009855,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009856,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009857,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009858,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009859,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009860,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009861,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009862,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009863,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009864,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009865,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009866,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009867,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009868,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009869,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009870,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009871,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009872,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009873,[-0.8703143],98.0,102.0,98.0,102.0
1970-01-01 00:00:00.000009874,[-0.8703143],98.0,102.0,98.0,102.0
