日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2023-12-19,0,891.31335,927.6935,891.31335,927.6935
2023-12-20,0,887.1806,923.392,887.1806,923.392
2023-12-21,0,884.4011,920.49915,884.4011,920.49915
2023-12-22,0,887.6767,923.9084,887.6767,923.9084
2023-12-25,0,908.25116,945.3226,908.25116,945.3226
2023-12-26,0,894.9157,931.4428,894.9157,931.4428
2023-12-27,0,904.3455,941.2575,904.3455,941.2575
2023-12-28,0,924.46326,962.1964,924.46326,962.1964
2023-12-29,0,912.4949,949.7395,912.4949,949.7395
2024-01-01,0,912.0635,949.2905,912.0635,949.2905
2024-01-02,0,951.6962,990.54095,951.6962,990.54095
2024-01-03,0,967.87616,1007.3813,967.87616,1007.3813
2024-01-04,0,948.3696,987.0786,948.3696,987.0786
2024-01-05,0,952.9574,991.85364,952.9574,991.85364
2024-01-08,0,970.25775,1009.86005,970.25775,1009.86005
2024-01-09,0,986.19666,1026.4496,986.19666,1026.4496
2024-01-10,0,983.53973,1023.68414,983.53973,1023.68414
2024-01-11,0,955.2819,994.273,955.2819,994.273
2024-01-12,0,949.5322,988.2886,949.5322,988.2886
2024-01-15,0,978.484,1018.4221,978.484,1018.4221
2024-01-16,-1,968.1873,1007.70514,968.1873,1007.70514
2024-01-17,-1,959.2814,998.43567,959.2814,998.43567
2024-01-18,-1,994.2374,1034.8185,994.2374,1034.8185
2024-01-19,-1,1018.9202,1060.5088,1018.9202,1060.5088
2024-01-22,-1,1025.1493,1066.9921,1025.1493,1066.9921
2024-01-23,-1,1051.885,1094.8191,1051.885,1094.8191
2024-01-24,-1,1063.7247,1107.142,1063.7247,1107.142
2024-01-25,-1,1083.2914,1127.5072,1083.2914,1127.5072
2024-01-26,-1,1085.9333,1130.2571,1085.9333,1130.2571
2024-01-29,-1,1097.4014,1142.1931,1097.4014,1142.1931
2024-01-30,-1,1072.1857,1115.9484,1072.1857,1115.9484
2024-01-31,-1,1050.3159,1093.1858,1050.3159,1093.1858
2024-02-01,-1,1049.0187,1091.8358,1049.0187,1091.8358
2024-02-02,-1,1033.3507,1075.5282,1033.3507,1075.5282
2024-02-05,-1,1067.2323,1110.7928,1067.2323,1110.7928
2024-02-06,-1,1061.7732,1105.1108,1061.7732,1105.1108
2024-02-07,-1,1043.8136,1086.4181,1043.8136,1086.4181
2024-02-08,-1,1048.389,1091.1803,1048.389,1091.1803
2024-02-09,-1,1039.2478,1081.666,1039.2478,1081.666
2024-02-12,-1,1037.7362,1080.0927,1037.7362,1080.0927
2024-02-13,-1,1026.8168,1068.7277,1026.8168,1068.7277
2024-02-14,-1,1018.39386,1059.9609,1018.39386,1059.9609
2024-02-15,-1,1024.433,1066.2465,1024.433,1066.2465
2024-02-16,-1,1021.7664,1063.4711,1021.7664,1063.4711
2024-02-19,-1,1011.86914,1053.1699,1011.86914,1053.1699
2024-02-20,-1,1012.7197,1054.0552,1012.7197,1054.0552
2024-02-21,-1,1000.3427,1041.173,1000.3427,1041.173
2024-02-22,-1,980.75757,1020.78845,980.75757,1020.78845
2024-02-23,-1,1007.201,1048.3112,1007.201,1048.3112
2024-02-26,-1,1009.00275,1050.1865,1009.00275,1050.1865
2024-02-27,-1,976.42755,1016.2817,976.42755,1016.2817
2024-02-28,-1,965.7707,1005.1899,965.7707,1005.1899
