日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2022-01-25,0,108.9074,113.35259,108.9074,113.35259
2022-01-26,0,108.495804,112.924194,108.495804,112.924194
2022-01-27,0,100.548004,104.65199,100.548004,104.65199
2022-01-28,0,103.1352,107.344795,103.1352,107.344795
2022-01-31,0,111.965004,116.534996,111.965004,116.534996
2022-02-01,0,114.444405,119.11559,114.444405,119.11559
2022-02-02,0,120.3048,125.2152,120.3048,125.2152
2022-02-03,0,117.678406,122.4816,117.678406,122.4816
2022-02-04,0,121.128,126.072,121.128,126.072
2022-02-07,0,121.1966,126.143394,121.1966,126.143394
2022-02-08,0,125.6654,130.79459,125.6654,130.79459
2022-02-09,0,130.19301,135.507,130.19301,135.507
2022-02-10,0,123.2546,128.2854,123.2546,128.2854
2022-02-11,0,110.916405,115.443596,110.916405,115.443596
2022-02-14,0,111.9846,116.5554,111.9846,116.5554
2022-02-15,0,119.0406,123.8994,119.0406,123.8994
2022-02-16,0,115.336205,120.0438,115.336205,120.0438
2022-02-17,0,110.122604,114.6174,110.122604,114.6174
2022-02-18,0,111.553406,116.1066,111.553406,116.1066
2022-02-22,0,113.337006,117.963,113.337006,117.963
2022-02-23,1,107.564804,111.9552,107.564804,111.9552
2022-02-24,1,114.2778,118.9422,114.2778,118.9422
2022-02-25,1,118.6388,123.48119,118.6388,123.48119
2022-02-28,1,120.8732,125.80679,120.8732,125.80679
2022-03-01,1,111.553406,116.1066,111.553406,116.1066
2022-03-02,1,115.9144,120.6456,115.9144,120.6456
2022-03-03,1,109.7404,114.219604,109.7404,114.219604
2022-03-04,1,106.241806,110.5782,106.241806,110.5782
2022-03-07,1,100.891,105.008995,100.891,105.008995
2022-03-08,1,103.4194,107.640594,103.4194,107.640594
2022-03-09,1,108.829,113.271,108.829,113.271
2022-03-10,1,104.3308,108.589195,104.3308,108.589195
2022-03-11,1,102.2042,106.3758,102.2042,106.3758
2022-03-14,1,100.205,104.295,100.205,104.295
2022-03-15,1,107.1434,111.5166,107.1434,111.5166
2022-03-16,1,113.06261,117.6774,113.06261,117.6774
2022-03-17,1,109.45621,113.9238,109.45621,113.9238
2022-03-18,1,111.1908,115.729195,111.1908,115.729195
2022-03-21,1,113.6016,118.238396,113.6016,118.238396
2022-03-22,1,112.4844,117.0756,112.4844,117.0756
2022-03-23,1,111.6416,116.198395,111.6416,116.198395
2022-03-24,0,118.1194,122.9406,118.1194,122.9406
2022-03-25,0,117.2766,122.06339,117.2766,122.06339
2022-03-28,-1,117.8352,122.6448,117.8352,122.6448
2022-03-29,-1,120.7654,125.6946,120.7654,125.6946
2022-03-30,0,116.8356,121.6044,116.8356,121.6044
2022-03-31,1,107.1532,111.526794,107.1532,111.526794
2022-04-01,1,106.02621,110.3538,106.02621,110.3538
2022-04-04,1,108.319405,112.74059,108.319405,112.74059
2022-04-05,1,104.6836,108.9564,104.6836,108.9564
2022-04-06,1,101.5966,105.74339,101.5966,105.74339
2022-04-07,1,101.6456,105.7944,101.6456,105.7944
2022-04-08,1,98.98,103.02,98.98,103.02
2022-04-11,1,95.42261,99.3174,95.42261,99.3174
2022-04-12,1,93.198,97.002,93.198,97.002
2022-04-13,1,95.7852,99.69479,95.7852,99.69479
2022-04-14,1,91.1988,94.921196,91.1988,94.921196
2022-04-18,1,92.0122,95.7678,92.0122,95.7678
2022-04-19,1,94.9914,98.8686,94.9914,98.8686
2022-04-20,1,92.139595,95.9004,92.139595,95.9004
2022-04-21,1,88.053,91.646996,88.053,91.646996
2022-04-22,1,86.377205,89.902794,86.377205,89.902794
2022-04-25,1,88.876205,92.5038,88.876205,92.5038
2022-04-26,1,83.4568,86.863205,83.4568,86.863205
2022-04-27,1,83.21181,86.6082,83.21181,86.6082
2022-04-28,1,87.8472,91.4328,87.8472,91.4328
2022-04-29,1,83.8096,87.23039,83.8096,87.23039
2022-05-02,1,88.0432,91.636795,88.0432,91.636795
2022-05-03,1,89.307396,92.9526,89.307396,92.9526
2022-05-04,1,97.4316,101.408394,97.4316,101.408394
2022-05-05,1,91.99261,95.7474,91.99261,95.7474
2022-05-06,1,93.4332,97.246796,93.4332,97.246796
2022-05-09,1,84.632805,88.0872,84.632805,88.0872
2022-05-10,1,86.95541,90.5046,86.95541,90.5046
2022-05-11,1,86.1616,89.6784,86.1616,89.6784
2022-05-12,1,85.3188,88.80119,85.3188,88.80119
2022-05-13,1,93.217606,97.0224,93.217606,97.0224
2022-05-16,1,92.3552,96.124794,92.3552,96.124794
2022-05-17,1,100.4206,104.5194,100.4206,104.5194
2022-05-18,1,94.3544,98.2056,94.3544,98.2056
2022-05-19,1,94.7366,98.60339,94.7366,98.60339
2022-05-20,1,91.630005,95.369995,91.630005,95.369995
2022-05-23,1,93.1686,96.9714,93.1686,96.9714
2022-05-24,1,89.33681,92.9832,89.33681,92.9832
2022-05-25,1,90.797005,94.503,90.797005,94.503
2022-05-26,1,96.775,100.725,96.775,100.725
2022-05-27,-1,100.214806,104.3052,100.214806,104.3052
2022-05-31,-1,99.8228,103.8972,99.8228,103.8972
2022-06-01,-1,99.1956,103.2444,99.1956,103.2444
2022-06-02,-1,106.4182,110.761795,106.4182,110.761795
2022-06-03,-1,104.174,108.426,104.174,108.426
2022-06-06,-1,103.537,107.763,103.537,107.763
2022-06-07,-1,103.1744,107.3856,103.1744,107.3856
2022-06-08,-1,99.86201,103.937996,99.86201,103.937996
2022-06-09,-1,96.824005,100.776,96.824005,100.776
2022-06-10,-1,92.9236,96.7164,92.9236,96.7164
2022-06-13,1,85.2502,88.7298,85.2502,88.7298
