日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2022-01-10,0,98.0,102.0,98.0,102.0
2022-01-11,0,98.0,102.0,98.0,102.0
2022-01-12,0,98.0,102.0,98.0,102.0
2022-01-13,0,98.0,102.0,98.0,102.0
2022-01-14,0,98.0,102.0,98.0,102.0
2022-01-17,0,98.0,102.0,98.0,102.0
2022-01-18,0,98.0,102.0,98.0,102.0
2022-01-19,0,98.0,102.0,98.0,102.0
2022-01-20,0,98.0,102.0,98.0,102.0
2022-01-21,0,98.0,102.0,98.0,102.0
2022-01-24,0,98.0,102.0,98.0,102.0
2022-01-25,0,98.0,102.0,98.0,102.0
2022-01-26,0,98.0,102.0,98.0,102.0
2022-01-27,0,98.0,102.0,98.0,102.0
2022-01-28,0,97.99717163855532,101.99705619523105,97.99717163855532,101.99705619523105
2022-01-31,-1,97.15995089744287,101.12566317897115,97.15995089744287,101.12566317897115
2022-02-01,1,97.73515547227169,101.72434549154809,97.73515547227169,101.72434549154809
2022-02-02,1,98.63586997630422,102.66182385288808,98.63586997630422,102.66182385288808
2022-02-03,1,99.48213383060173,103.54262908899364,99.48213383060173,103.54262908899364
2022-02-04,1,100.8325181593102,104.9481311454045,100.8325181593102,104.9481311454045
2022-02-07,-1,98.97230610711975,103.01199207067566,98.97230610711975,103.01199207067566
2022-02-08,1,100.39055154260248,104.48812507495362,100.39055154260248,104.48812507495362
2022-02-09,1,101.30755220540138,105.44255433623408,101.30755220540138,105.44255433623408
2022-02-10,1,102.09748586235465,106.26473018326708,102.09748586235465,106.26473018326708
2022-02-11,0,101.93233549073823,106.09283898015612,101.93233549073823,106.09283898015612
2022-02-14,-1,100.43785969439446,104.53736417171669,100.43785969439446,104.53736417171669
2022-02-15,-1,98.78901275832084,102.8212173607013,98.78901275832084,102.8212173607013
2022-02-16,0,98.7907553825,102.82303111239797,98.7907553825,102.82303111239797
2022-02-17,1,101.79920449439733,105.95427406559723,101.79920449439733,105.95427406559723
2022-02-18,1,103.05637290874273,107.26275547644653,103.05637290874273,107.26275547644653
2022-02-21,1,103.91823559469849,108.15979623121679,103.91823559469849,108.15979623121679
2022-02-22,1,104.58568995033491,108.85449362177715,104.58568995033491,108.85449362177715
2022-02-23,1,105.12800462883683,109.41894359327915,105.12800462883683,109.41894359327915
2022-02-24,-1,103.19859760336593,107.41078526064618,103.19859760336593,107.41078526064618
2022-02-25,1,106.5575609262614,110.90684912733329,106.5575609262614,110.90684912733329
2022-02-28,0,106.9099669084678,111.27363902718076,106.9099669084678,111.27363902718076
2022-03-01,-1,105.38723694070715,109.68875681583806,105.38723694070715,109.68875681583806
2022-03-02,-1,104.64297331251754,108.91411508037541,104.64297331251754,108.91411508037541
2022-03-03,1,105.94728342012331,110.27166233523039,105.94728342012331,110.27166233523039
2022-03-04,-1,104.85072158119473,109.1303428702231,104.85072158119473,109.1303428702231
2022-03-07,0,104.68229460484694,108.95504132341212,104.68229460484694,108.95504132341212
2022-03-08,-1,103.44050412798627,107.66256552096532,103.44050412798627,107.66256552096532
2022-03-09,-1,102.557844764634,106.74387924482313,102.557844764634,106.74387924482313
2022-03-10,-1,101.52725769565096,105.67122739751427,101.52725769565096,105.67122739751427
2022-03-11,0,101.7112766265896,105.86275730522591,101.7112766265896,105.86275730522591
2022-03-14,1,102.37758813183427,106.55626519843975,102.37758813183427,106.55626519843975
2022-03-15,1,104.46887028175266,108.73290580345684,104.46887028175266,108.73290580345684
2022-03-16,1,105.72998250437469,110.04549199434918,105.72998250437469,110.04549199434918
2022-03-17,-1,104.13739058344967,108.38789632154968,104.13739058344967,108.38789632154968
2022-03-18,1,105.03084161699535,109.31781474421966,105.03084161699535,109.31781474421966
2022-03-21,0,104.98488106615011,109.2699782525236,104.98488106615011,109.2699782525236
2022-03-22,-1,103.62183347321961,107.85129606396326,103.62183347321961,107.85129606396326
2022-03-23,1,104.38064694780358,108.64108151710168,104.38064694780358,108.64108151710168
2022-03-24,-1,103.74578429668789,107.98030610471598,103.74578429668789,107.98030610471598
2022-03-25,0,103.92832548672976,108.17029795557588,103.92832548672976,108.17029795557588
2022-03-28,0,103.66590077871163,107.89716203498557,103.66590077871163,107.89716203498557
2022-03-29,-1,103.0962499264782,107.30426012755895,103.0962499264782,107.30426012755895
2022-03-30,-1,100.84888869110071,104.96516986216605,100.84888869110071,104.96516986216605
2022-03-31,-1,100.09700569242409,104.18259776150262,100.09700569242409,104.18259776150262
2022-04-01,1,100.7819585430222,104.89550787130884,100.7819585430222,104.89550787130884
2022-04-04,0,101.14151440770054,105.26973948556586,101.14151440770054,105.26973948556586
2022-04-05,0,101.02534739985974,105.14883096720096,101.02534739985974,105.14883096720096
2022-04-06,-1,99.80348620809697,103.87709789006011,99.80348620809697,103.87709789006011
2022-04-07,1,101.24752316690711,105.38007513290333,101.24752316690711,105.38007513290333
2022-04-08,-1,99.95723949184907,104.037126818047,99.95723949184907,104.037126818047
2022-04-11,0,100.25353690557799,104.34551800376485,100.25353690557799,104.34551800376485
2022-04-12,-1,98.1366695885879,102.14224793914251,98.1366695885879,102.14224793914251
2022-04-13,-1,95.78191885333003,99.69138492897615,95.78191885333003,99.69138492897615
2022-04-14,1,97.9358042225547,101.93318398674062,97.9358042225547,101.93318398674062
2022-04-15,1,98.87184596427389,102.90743151383609,98.87184596427389,102.90743151383609
2022-04-18,-1,97.92125629219845,101.91804226330859,97.92125629219845,101.91804226330859
2022-04-19,1,98.72434304175908,102.7539080638717,98.72434304175908,102.7539080638717
2022-04-20,-1,97.32506923045744,101.29752103578224,97.32506923045744,101.29752103578224
2022-04-21,0,97.5502839769081,101.53192822086353,97.5502839769081,101.53192822086353
2022-04-22,-1,96.90784708781942,100.8632694179345,96.90784708781942,100.8632694179345
2022-04-25,1,97.47021497948678,101.4485911010985,97.47021497948678,101.4485911010985
2022-04-26,-1,96.67546150912108,100.62139871357499,96.67546150912108,100.62139871357499
2022-04-27,1,100.68167593811974,104.79113209885934,100.68167593811974,104.79113209885934
2022-04-28,1,102.33983372684673,106.51696979733029,102.33983372684673,106.51696979733029
2022-04-29,1,104.31121558121241,108.56881621718027,104.31121558121241,108.56881621718027
2022-05-02,-1,102.50586190348773,106.68977463424233,102.50586190348773,106.68977463424233
2022-05-03,0,102.50711070549754,106.69107440776274,102.50711070549754,106.69107440776274
2022-05-04,0,102.77648874056884,106.97144746467369,102.77648874056884,106.97144746467369
2022-05-05,1,103.97700765864941,108.22096715492081,103.97700765864941,108.22096715492081
2022-05-06,0,103.82158060489027,108.05919613978375,103.82158060489027,108.05919613978375
2022-05-09,1,105.72224507620318,110.0374387527829,105.72224507620318,110.0374387527829
2022-05-10,1,106.29180161313855,110.63024249530747,106.29180161313855,110.63024249530747
2022-05-11,-1,104.91051498750384,109.19257682372849,104.91051498750384,109.19257682372849
2022-05-12,-1,100.5192258793465,104.62205142544227,100.5192258793465,104.62205142544227
2022-05-13,1,102.62436034121964,106.81310974290207,102.62436034121964,106.81310974290207
2022-05-16,1,103.79340317955439,108.02986861545457,103.79340317955439,108.02986861545457
2022-05-17,-1,101.98155103587919,106.14406332305794,101.98155103587919,106.14406332305794
2022-05-18,-1,100.0530881787366,104.13688769623604,100.0530881787366,104.13688769623604
2022-05-19,0,99.6502305489861,103.7175868979243,99.6502305489861,103.7175868979243
2022-05-20,-1,97.39027107710261,101.36538418229047,97.39027107710261,101.36538418229047
2022-05-23,1,97.90579684458999,101.90195181783855,97.90579684458999,101.90195181783855
2022-05-24,-1,96.42701204415529,100.36280845412081,96.42701204415529,100.36280845412081
2022-05-25,1,97.40730044963405,101.38310863125176,97.40730044963405,101.38310863125176
2022-05-26,0,97.65193470385893,101.63772795707766,97.65193470385893,101.63772795707766
2022-05-27,-1,95.73048341399442,99.63785008395337,95.73048341399442,99.63785008395337
2022-05-30,0,96.1695722792462,100.09486094370523,96.1695722792462,100.09486094370523
2022-05-31,1,97.4293550341615,101.4060634029028,97.4293550341615,101.4060634029028
2022-06-01,-1,95.50370991668356,99.4018205255278,95.50370991668356,99.4018205255278
2022-06-02,0,95.28369722269544,99.17282772158096,95.28369722269544,99.17282772158096
2022-06-03,-1,92.56474085183983,96.34289353967004,92.56474085183983,96.34289353967004
2022-06-06,1,93.54187858998137,97.35991445079694,93.54187858998137,97.35991445079694
2022-06-07,-1,91.90349760950308,95.65466077723791,91.90349760950308,95.65466077723791
2022-06-08,-1,90.2606196206211,93.94472654391177,90.2606196206211,93.94472654391177
2022-06-09,1,93.36691350669676,97.17780793554152,93.36691350669676,97.17780793554152
2022-06-10,0,93.02273328392339,96.81957954041006,93.02273328392339,96.81957954041006
2022-06-13,0,93.36551795090719,97.17635541829117,93.36551795090719,97.17635541829117
2022-06-14,-1,92.30089197842871,96.06827532448703,92.30089197842871,96.06827532448703
2022-06-15,1,92.93804776660576,96.73143747136518,92.93804776660576,96.73143747136518
2022-06-16,1,94.8028847727934,98.67239027372376,94.8028847727934,98.67239027372376
