日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2023-12-19,0,120.68653,125.61251,120.68653,125.61251
2023-12-20,0,119.67628,124.56101,119.67628,124.56101
2023-12-21,0,120.56166,125.482544,120.56166,125.482544
2023-12-22,0,119.59901,124.4806,119.59901,124.4806
2023-12-25,0,118.99844,123.855515,118.99844,123.855515
2023-12-26,0,117.482506,122.2777,117.482506,122.2777
2023-12-27,0,117.09542,121.874825,117.09542,121.874825
2023-12-28,0,119.39436,124.26759,119.39436,124.26759
2023-12-29,0,119.54661,124.42606,119.54661,124.42606
2024-01-01,0,120.17605,125.081184,120.17605,125.081184
2024-01-02,0,120.0766,124.97768,120.0766,124.97768
2024-01-03,0,122.34128,127.33479,122.34128,127.33479
2024-01-04,0,121.708786,126.67648,121.708786,126.67648
2024-01-05,0,122.99406,128.01422,122.99406,128.01422
2024-01-08,0,125.06939,130.17426,125.06939,130.17426
2024-01-09,0,125.18603,130.29565,125.18603,130.29565
2024-01-10,0,124.7036,129.79353,124.7036,129.79353
2024-01-11,0,122.55764,127.55999,122.55764,127.55999
2024-01-12,0,123.37232,128.40793,123.37232,128.40793
2024-01-15,0,120.858154,125.79114,120.858154,125.79114
2024-01-16,-1,119.2814,124.150024,119.2814,124.150024
2024-01-17,-1,121.121735,126.065475,121.121735,126.065475
2024-01-18,-1,122.07222,127.05475,122.07222,127.05475
2024-01-19,-1,121.10059,126.043465,121.10059,126.043465
2024-01-22,-1,123.507195,128.5483,123.507195,128.5483
2024-01-23,-1,123.536606,128.57892,123.536606,128.57892
2024-01-24,-1,125.42187,130.54112,125.42187,130.54112
2024-01-25,-1,126.739265,131.9123,126.739265,131.9123
2024-01-26,-1,127.459206,132.66162,127.459206,132.66162
2024-01-29,-1,127.62522,132.83441,127.62522,132.83441
2024-01-30,-1,130.56113,135.89014,130.56113,135.89014
2024-01-31,-1,127.43203,132.63333,127.43203,132.63333
2024-02-01,-1,126.66606,131.8361,126.66606,131.8361
2024-02-02,-1,122.34553,127.33921,122.34553,127.33921
2024-02-05,-1,121.0397,125.98009,121.0397,125.98009
2024-02-06,-1,120.012596,124.911064,120.012596,124.911064
2024-02-07,-1,115.75188,120.47644,115.75188,120.47644
2024-02-08,-1,115.154686,119.854866,115.154686,119.854866
2024-02-09,-1,113.8229,118.46873,113.8229,118.46873
2024-02-12,-1,114.76617,119.45049,114.76617,119.45049
2024-02-13,-1,117.66612,122.46881,117.66612,122.46881
2024-02-14,-1,118.33758,123.16767,118.33758,123.16767
2024-02-15,-1,119.10725,123.96876,119.10725,123.96876
2024-02-16,-1,120.42281,125.33802,120.42281,125.33802
2024-02-19,-1,124.23067,129.3013,124.23067,129.3013
2024-02-20,-1,127.78537,133.0011,127.78537,133.0011
2024-02-21,-1,131.41919,136.78323,131.41919,136.78323
2024-02-22,-1,134.78929,140.29088,134.78929,140.29088
