日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2023-12-19,-1,53.711357,55.903656,53.711357,55.903656
2023-12-20,-1,52.449802,54.59061,52.449802,54.59061
2023-12-21,-1,51.10944,53.195538,51.10944,53.195538
2023-12-22,-1,50.99337,53.07473,50.99337,53.07473
2023-12-25,0,51.479412,53.58061,51.479412,53.58061
2023-12-26,0,50.697773,52.76707,50.697773,52.76707
2023-12-27,0,50.79935,52.87279,50.79935,52.87279
2023-12-28,0,51.322342,53.41713,51.322342,53.41713
2023-12-29,0,50.158234,52.205505,50.158234,52.205505
2024-01-01,0,49.48777,51.507675,49.48777,51.507675
2024-01-02,0,48.95416,50.952282,48.95416,50.952282
2024-01-03,0,46.85671,48.769222,46.85671,48.769222
2024-01-04,0,47.21524,49.142387,47.21524,49.142387
2024-01-05,0,46.667,48.571777,46.667,48.571777
2024-01-08,0,47.685497,49.63184,47.685497,49.63184
2024-01-09,0,46.94265,48.858673,46.94265,48.858673
2024-01-10,0,46.402546,48.296528,46.402546,48.296528
2024-01-11,0,45.870697,47.742966,45.870697,47.742966
2024-01-12,0,45.159184,47.002415,45.159184,47.002415
2024-01-15,0,44.719124,46.544395,44.719124,46.544395
2024-01-16,0,45.40884,47.262257,45.40884,47.262257
2024-01-17,0,46.30813,48.198257,46.30813,48.198257
2024-01-18,0,45.342457,47.193165,45.342457,47.193165
2024-01-19,0,45.263535,47.111023,45.263535,47.111023
2024-01-22,0,45.89817,47.77156,45.89817,47.77156
2024-01-23,0,44.556877,46.375526,44.556877,46.375526
2024-01-24,0,43.927513,45.720474,43.927513,45.720474
2024-01-25,0,44.172573,45.975536,44.172573,45.975536
2024-01-26,0,44.41191,46.22464,44.41191,46.22464
2024-01-29,0,44.429783,46.243244,44.429783,46.243244
2024-01-30,0,44.660316,46.483185,44.660316,46.483185
2024-01-31,0,46.175026,48.059723,46.175026,48.059723
2024-02-01,0,46.306698,48.196766,46.306698,48.196766
2024-02-02,0,46.21541,48.101753,46.21541,48.101753
2024-02-05,0,47.69267,49.63931,47.69267,49.63931
2024-02-06,0,48.407887,50.383717,48.407887,50.383717
2024-02-07,0,48.218243,50.18633,48.218243,50.18633
2024-02-08,0,47.163197,49.088223,47.163197,49.088223
2024-02-09,0,47.554337,49.49533,47.554337,49.49533
2024-02-12,0,47.74115,49.689766,47.74115,49.689766
2024-02-13,0,47.384563,49.318623,47.384563,49.318623
2024-02-14,0,47.21517,49.14232,47.21517,49.14232
2024-02-15,0,47.38167,49.315617,47.38167,49.315617
2024-02-16,0,46.700592,48.606735,46.700592,48.606735
2024-02-19,0,45.91026,47.784145,45.91026,47.784145
2024-02-20,0,45.184647,47.028915,45.184647,47.028915
2024-02-21,0,45.056232,46.89526,45.056232,46.89526
2024-02-22,0,45.218693,47.06435,45.218693,47.06435
2024-02-23,0,45.234524,47.08083,45.234524,47.08083
2024-02-26,0,44.31841,46.127323,44.31841,46.127323
2024-02-27,0,43.53982,45.31695,43.53982,45.31695
2024-02-28,0,43.657253,45.439182,43.657253,45.439182
2024-02-29,0,42.58039,44.318367,42.58039,44.318367
2024-03-01,0,41.850216,43.558384,41.850216,43.558384
2024-03-04,0,41.075535,42.752087,41.075535,42.752087
2024-03-05,0,40.747047,42.410194,40.747047,42.410194
2024-03-06,0,40.30155,41.94651,40.30155,41.94651
2024-03-07,0,41.018036,42.692238,41.018036,42.692238
2024-03-08,0,41.52559,43.220512,41.52559,43.220512
2024-03-11,0,41.545826,43.241573,41.545826,43.241573
2024-03-12,0,40.24,41.88245,40.24,41.88245
2024-03-13,0,39.84787,41.47431,39.84787,41.47431
2024-03-14,0,40.096355,41.732937,40.096355,41.732937
2024-03-15,0,40.140297,41.77867,40.140297,41.77867
2024-03-18,0,41.451366,43.14326,41.451366,43.14326
2024-03-19,0,42.215904,43.939003,42.215904,43.939003
2024-03-20,0,41.904793,43.61519,41.904793,43.61519
2024-03-21,0,43.65812,45.44008,43.65812,45.44008
2024-03-22,0,44.26199,46.0686,44.26199,46.0686
