日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2023-12-19,-1,200.32556,208.5021,200.32556,208.5021
2023-12-20,-1,199.02304,207.14642,199.02304,207.14642
2023-12-21,-1,199.16678,207.29602,199.16678,207.29602
2023-12-22,-1,201.3767,209.59615,201.3767,209.59615
2023-12-25,1,202.76231,211.03831,202.76231,211.03831
2023-12-26,1,200.47063,208.65309,200.47063,208.65309
2023-12-27,1,202.36536,210.62515,202.36536,210.62515
2023-12-28,1,206.25879,214.67752,206.25879,214.67752
2023-12-29,1,208.24477,216.74455,208.24477,216.74455
2024-01-01,-1,212.35895,221.02664,212.35895,221.02664
2024-01-02,-1,206.45056,214.8771,206.45056,214.8771
2024-01-03,1,202.60449,210.87405,202.60449,210.87405
2024-01-04,1,204.09364,212.424,204.09364,212.424
2024-01-05,-1,201.18483,209.39644,201.18483,209.39644
2024-01-08,-1,200.69193,208.88342,200.69193,208.88342
2024-01-09,1,198.37993,206.47707,198.37993,206.47707
2024-01-10,1,195.99385,203.9936,195.99385,203.9936
2024-01-11,-1,201.68398,209.91597,201.68398,209.91597
2024-01-12,-1,199.90685,208.0663,199.90685,208.0663
2024-01-15,0,198.16928,206.25781,198.16928,206.25781
2024-01-16,0,197.64659,205.71379,197.64659,205.71379
2024-01-17,0,202.9629,211.24709,202.9629,211.24709
2024-01-18,0,206.14767,214.56186,206.14767,214.56186
2024-01-19,0,212.51578,221.18988,212.51578,221.18988
2024-01-22,0,210.03912,218.61215,210.03912,218.61215
2024-01-23,0,214.7551,223.5206,214.7551,223.5206
2024-01-24,0,213.24649,221.95041,213.24649,221.95041
2024-01-25,0,212.7928,221.47823,212.7928,221.47823
2024-01-26,0,207.99953,216.4893,207.99953,216.4893
2024-01-29,0,207.80309,216.28484,207.80309,216.28484
2024-01-30,0,209.33621,217.88055,209.33621,217.88055
2024-01-31,0,212.43832,221.10925,212.43832,221.10925
2024-02-01,0,214.47246,223.22643,214.47246,223.22643
2024-02-02,0,207.23491,215.69347,207.23491,215.69347
2024-02-05,0,210.54749,219.14127,210.54749,219.14127
2024-02-06,0,210.13843,218.71548,210.13843,218.71548
2024-02-07,0,209.44571,217.9945,209.44571,217.9945
2024-02-08,0,207.51282,215.98273,207.51282,215.98273
2024-02-09,0,208.0727,216.56546,208.0727,216.56546
2024-02-12,0,213.13068,221.82986,213.13068,221.82986
2024-02-13,0,211.23563,219.85748,211.23563,219.85748
2024-02-14,0,222.6593,231.74744,222.6593,231.74744
2024-02-15,0,229.85951,239.24153,229.85951,239.24153
2024-02-16,0,231.13481,240.56886,231.13481,240.56886
2024-02-19,0,225.40544,234.60567,225.40544,234.60567
2024-02-20,0,227.24362,236.51886,227.24362,236.51886
2024-02-21,0,234.32368,243.8879,234.32368,243.8879
2024-02-22,0,234.7099,244.28989,234.7099,244.28989
2024-02-23,0,235.6926,245.31268,235.6926,245.31268
2024-02-26,0,231.96208,241.42992,231.96208,241.42992
2024-02-27,0,233.62051,243.15604,233.62051,243.15604
2024-02-28,0,228.42316,237.74655,228.42316,237.74655
2024-02-29,0,226.85794,236.11743,226.85794,236.11743
2024-03-01,0,224.39511,233.55408,224.39511,233.55408
2024-03-04,0,220.19136,229.17876,220.19136,229.17876
2024-03-05,0,219.0819,228.024,219.0819,228.024
2024-03-06,0,220.51215,229.51263,220.51215,229.51263
2024-03-07,0,221.39175,230.42813,221.39175,230.42813
2024-03-08,0,223.347,232.46318,223.347,232.46318
2024-03-11,0,223.14201,232.24983,223.14201,232.24983
2024-03-12,0,217.57497,226.45558,217.57497,226.45558
2024-03-13,0,220.00172,228.98137,220.00172,228.98137
2024-03-14,0,216.9768,225.83301,216.9768,225.83301
2024-03-15,0,213.46162,222.17433,213.46162,222.17433
2024-03-18,0,211.32703,219.9526,211.32703,219.9526
2024-03-19,0,215.05426,223.83197,215.05426,223.83197
2024-03-20,0,220.32771,229.32066,220.32771,229.32066
2024-03-21,0,219.99083,228.97005,219.99083,228.97005
2024-03-22,0,215.77568,224.58284,215.77568,224.58284
2024-03-25,0,215.86913,224.6801,215.86913,224.6801
2024-03-26,0,212.08266,220.73909,212.08266,220.73909
2024-03-27,0,218.07957,226.98076,218.07957,226.98076
2024-03-28,0,217.9219,226.81668,217.9219,226.81668
2024-03-29,0,222.9785,232.07967,222.9785,232.07967
2024-04-01,0,217.50194,226.37956,217.50194,226.37956
2024-04-02,0,218.54037,227.46039,218.54037,227.46039
2024-04-03,0,223.14175,232.24957,223.14175,232.24957
2024-04-04,0,224.5107,233.6744,224.5107,233.6744
2024-04-05,0,223.26552,232.37837,223.26552,232.37837
2024-04-08,0,221.80716,230.8605,221.80716,230.8605
2024-04-09,0,220.14531,229.13081,220.14531,229.13081
2024-04-10,0,220.27477,229.26555,220.27477,229.26555
2024-04-11,0,218.72342,227.65091,218.72342,227.65091
2024-04-12,0,219.66539,228.6313,219.66539,228.6313
2024-04-15,0,216.34831,225.17885,216.34831,225.17885
2024-04-16,0,219.8425,228.81564,219.8425,228.81564
2024-04-17,0,220.43642,229.43382,220.43642,229.43382
2024-04-18,0,225.38814,234.58763,225.38814,234.58763
2024-04-19,0,225.00743,234.19139,225.00743,234.19139
2024-04-22,0,232.48558,241.97478,232.48558,241.97478
2024-04-23,0,241.79945,251.66881,241.79945,251.66881
2024-04-24,0,239.38974,249.16074,239.38974,249.16074
2024-04-25,0,238.43442,248.16641,238.43442,248.16641
2024-04-26,0,238.05774,247.77438,238.05774,247.77438
2024-04-29,0,235.60901,245.22571,235.60901,245.22571
2024-04-30,0,230.50365,239.91194,230.50365,239.91194
2024-05-01,0,233.40019,242.92671,233.40019,242.92671
2024-05-02,0,235.40709,245.01552,235.40709,245.01552
2024-05-03,0,229.59511,238.96632,229.59511,238.96632
2024-05-06,0,229.14871,238.50171,229.14871,238.50171
2024-05-07,0,228.18558,237.49927,228.18558,237.49927
